ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
ADWYA,ADWYA,2021-06-17,5.04,5.24,5.04,5.24,34316
ADWYA,ADWYA,2021-06-18,5.23,5.28,5.2,5.2,9371
ADWYA,ADWYA,2021-06-21,5.2,5.2,5.15,5.15,10411
ADWYA,ADWYA,2021-06-22,5.2,5.2,5.15,5.17,6157
ADWYA,ADWYA,2021-06-23,5.09,5.09,5.08,5.09,1101
ADWYA,ADWYA,2021-06-24,4.95,5.07,4.95,5.07,5028
ADWYA,ADWYA,2021-06-25,4.96,5.2,4.96,5.2,15268
ADWYA,ADWYA,2021-07-01,5.13,5.14,5.13,5.14,1826
ADWYA,ADWYA,2021-07-02,5.0,5.0,5.0,5.0,16812
ADWYA,ADWYA,2021-07-05,4.85,5.0,4.85,5.0,4538
ADWYA,ADWYA,2021-07-06,5.0,5.0,4.9,5.0,1511
ADWYA,ADWYA,2021-07-07,5.0,5.07,5.0,5.07,2193
ADWYA,ADWYA,2021-07-08,5.09,5.1,5.09,5.1,1000
ADWYA,ADWYA,2021-07-12,5.08,5.13,5.08,5.13,15800
ADWYA,ADWYA,2021-07-13,5.1,5.13,5.0,5.12,10320
ADWYA,ADWYA,2021-07-14,5.1,5.13,5.1,5.13,10000
ADWYA,ADWYA,2021-07-15,5.14,5.14,5.13,5.14,5264
ADWYA,ADWYA,2021-07-16,5.13,5.13,5.13,5.13,6465
ADWYA,ADWYA,2021-07-22,5.12,5.13,5.0,5.09,10141
ADWYA,ADWYA,2021-07-23,5.0,5.1,4.96,5.0,2564
ADWYA,ADWYA,2021-07-26,4.8,4.96,4.8,4.9,16868
ADWYA,ADWYA,2021-07-27,4.96,4.96,4.9,4.9,4655
ADWYA,ADWYA,2021-07-28,4.96,5.05,4.82,4.99,296
ADWYA,ADWYA,2021-07-29,5.05,5.05,5.03,5.04,751
ADWYA,ADWYA,2021-07-30,5.03,5.03,5.03,5.03,1
ADWYA,ADWYA,2021-08-02,5.01,5.03,5.0,5.0,2390
ADWYA,ADWYA,2021-08-03,4.95,5.0,4.95,5.0,4346
ADWYA,ADWYA,2021-08-04,4.85,4.95,4.75,4.95,655
ADWYA,ADWYA,2021-08-06,4.9,5.03,4.9,5.03,8011
ADWYA,ADWYA,2021-08-09,5.02,5.02,4.88,5.0,12507
ADWYA,ADWYA,2021-08-11,5.0,5.0,4.99,4.99,161
ADWYA,ADWYA,2021-08-16,4.9,4.99,4.9,4.99,411
ADWYA,ADWYA,2021-08-17,4.98,4.98,4.98,4.98,11
ADWYA,ADWYA,2021-08-18,4.84,4.84,4.84,4.84,1800
ADWYA,ADWYA,2021-08-19,4.84,4.98,4.84,4.98,1220
ADWYA,ADWYA,2021-08-23,4.96,5.0,4.95,5.0,14011
ADWYA,ADWYA,2021-08-24,4.98,4.99,4.85,4.99,20099
ADWYA,ADWYA,2021-08-25,4.98,4.98,4.84,4.95,46
ADWYA,ADWYA,2021-08-26,4.93,4.93,4.92,4.93,9037
ADWYA,ADWYA,2021-08-27,4.95,4.95,4.93,4.93,1405
ADWYA,ADWYA,2021-08-30,4.98,4.98,4.64,4.98,2485
ADWYA,ADWYA,2021-08-31,4.69,4.98,4.69,4.69,445
ADWYA,ADWYA,2021-09-01,4.69,4.9,4.68,4.89,3687
ADWYA,ADWYA,2021-09-02,4.88,4.88,4.68,4.79,76
ADWYA,ADWYA,2021-09-03,4.87,4.87,4.68,4.8,1671
