ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
AIR LIQUIDE TUNISIE,AL,2021-06-17,115.1,115.1,115.1,115.1,10
AIR LIQUIDE TUNISIE,AL,2021-06-18,115.2,115.2,115.1,115.1,179
AIR LIQUIDE TUNISIE,AL,2021-06-21,115.2,115.2,115.09,115.09,41
AIR LIQUIDE TUNISIE,AL,2021-06-22,115.09,115.09,115.09,115.09,1
AIR LIQUIDE TUNISIE,AL,2021-06-23,115.09,115.09,115.09,115.09,2
AIR LIQUIDE TUNISIE,AL,2021-06-25,115.09,115.09,114.5,114.5,186
AIR LIQUIDE TUNISIE,AL,2021-06-28,114.5,114.5,114.5,114.5,94
AIR LIQUIDE TUNISIE,AL,2021-06-29,113.5,113.5,113.5,113.5,199
AIR LIQUIDE TUNISIE,AL,2021-06-30,113.5,114.0,113.5,114.0,311
AIR LIQUIDE TUNISIE,AL,2021-07-02,117.0,117.0,117.0,117.0,5
AIR LIQUIDE TUNISIE,AL,2021-07-07,116.8,116.8,116.8,116.8,3
AIR LIQUIDE TUNISIE,AL,2021-07-08,116.8,116.8,116.8,116.8,5
AIR LIQUIDE TUNISIE,AL,2021-07-09,117.0,117.0,117.0,117.0,172
AIR LIQUIDE TUNISIE,AL,2021-07-12,117.0,117.0,117.0,117.0,60
AIR LIQUIDE TUNISIE,AL,2021-07-13,117.0,117.0,117.0,117.0,1
AIR LIQUIDE TUNISIE,AL,2021-07-14,114.5,114.5,114.5,114.5,1
AIR LIQUIDE TUNISIE,AL,2021-07-15,113.1,113.1,113.1,113.1,18
AIR LIQUIDE TUNISIE,AL,2021-07-16,113.1,115.8,113.1,115.8,59
AIR LIQUIDE TUNISIE,AL,2021-07-19,115.7,115.7,115.7,115.7,51
AIR LIQUIDE TUNISIE,AL,2021-07-22,119.0,119.0,119.0,119.0,2
AIR LIQUIDE TUNISIE,AL,2021-07-26,118.4,118.4,118.4,118.4,5
AIR LIQUIDE TUNISIE,AL,2021-07-28,117.0,117.0,117.0,117.0,30
AIR LIQUIDE TUNISIE,AL,2021-07-30,115.0,115.0,114.94,114.94,128
AIR LIQUIDE TUNISIE,AL,2021-08-03,114.0,114.0,114.0,114.0,10
AIR LIQUIDE TUNISIE,AL,2021-08-05,110.6,110.6,110.6,110.6,84
AIR LIQUIDE TUNISIE,AL,2021-08-09,112.99,112.99,112.99,112.99,10
AIR LIQUIDE TUNISIE,AL,2021-08-16,113.49,113.49,113.49,113.49,10
AIR LIQUIDE TUNISIE,AL,2021-08-18,108.5,108.5,108.49,108.49,152
AIR LIQUIDE TUNISIE,AL,2021-08-19,110.0,110.0,110.0,110.0,4
AIR LIQUIDE TUNISIE,AL,2021-08-20,108.0,108.0,108.0,108.0,48
AIR LIQUIDE TUNISIE,AL,2021-08-23,108.0,108.0,108.0,108.0,51
AIR LIQUIDE TUNISIE,AL,2021-08-24,111.24,111.24,108.0,108.0,70
AIR LIQUIDE TUNISIE,AL,2021-08-25,111.09,111.09,111.09,111.09,8
