ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
AMS,AMS,2021-06-21,0.73,0.73,0.73,0.73,5
AMS,AMS,2021-06-22,0.73,0.73,0.71,0.73,43
AMS,AMS,2021-06-23,0.73,0.73,0.73,0.73,86
AMS,AMS,2021-06-24,0.71,0.71,0.71,0.71,46
AMS,AMS,2021-06-25,0.74,0.74,0.74,0.74,61
AMS,AMS,2021-06-28,0.72,0.72,0.72,0.72,1
AMS,AMS,2021-06-29,0.7,0.7,0.68,0.68,1514
AMS,AMS,2021-06-30,0.68,0.68,0.66,0.66,417
AMS,AMS,2021-07-01,0.65,0.65,0.65,0.65,364
AMS,AMS,2021-07-02,0.66,0.66,0.66,0.66,1
AMS,AMS,2021-07-05,0.65,0.65,0.65,0.65,50
AMS,AMS,2021-07-14,0.65,0.65,0.65,0.65,14
AMS,AMS,2021-07-15,0.66,0.66,0.66,0.66,828
AMS,AMS,2021-07-16,0.67,0.67,0.67,0.67,193
AMS,AMS,2021-07-19,0.69,0.69,0.69,0.69,10
AMS,AMS,2021-07-22,0.69,0.69,0.69,0.69,500
AMS,AMS,2021-07-23,0.69,0.69,0.69,0.69,10
AMS,AMS,2021-07-30,0.67,0.67,0.67,0.67,82
AMS,AMS,2021-08-02,0.69,0.69,0.69,0.69,100
AMS,AMS,2021-08-06,0.69,0.69,0.69,0.69,5
AMS,AMS,2021-08-09,0.69,0.69,0.69,0.69,11
AMS,AMS,2021-08-12,0.65,0.65,0.65,0.65,500
AMS,AMS,2021-08-16,0.65,0.65,0.65,0.65,1883
AMS,AMS,2021-08-17,0.65,0.65,0.65,0.65,2342
AMS,AMS,2021-08-20,0.69,0.69,0.69,0.69,1412
AMS,AMS,2021-08-23,0.7,0.7,0.7,0.7,4707
AMS,AMS,2021-08-25,0.74,0.74,0.74,0.74,1928
AMS,AMS,2021-08-26,0.76,0.76,0.76,0.76,3381
AMS,AMS,2021-08-27,0.76,0.76,0.76,0.76,3939
AMS,AMS,2021-08-31,0.77,0.77,0.76,0.77,864
AMS,AMS,2021-09-01,0.78,0.78,0.78,0.78,1592
AMS,AMS,2021-09-02,0.78,0.78,0.78,0.78,608
AMS,AMS,2021-09-03,0.79,0.79,0.79,0.79,2476
AMS,AMS,2021-09-06,0.8,0.8,0.8,0.8,270
AMS,AMS,2021-09-07,0.8,0.8,0.8,0.8,467
AMS,AMS,2021-09-08,0.8,0.8,0.8,0.8,15
AMS,AMS,2021-09-09,0.8,0.8,0.8,0.8,2215
AMS,AMS,2021-09-10,0.81,0.81,0.81,0.81,2622
AMS,AMS,2021-09-13,0.82,0.82,0.82,0.82,3322
AMS,AMS,2021-09-15,0.88,0.88,0.88,0.88,910
AMS,AMS,2021-09-16,0.91,0.91,0.91,0.91,1602
AMS,AMS,2021-09-17,0.91,0.91,0.91,0.91,2687
AMS,AMS,2021-09-20,0.92,0.92,0.92,0.92,1842
AMS,AMS,2021-09-21,0.92,0.92,0.92,0.92,1050
AMS,AMS,2021-09-22,0.9,0.9,0.9,0.9,2137
AMS,AMS,2021-09-23,0.9,0.9,0.9,0.9,381
AMS,AMS,2021-09-27,0.9,0.9,0.9,0.9,574
AMS,AMS,2021-09-28,0.91,0.91,0.9,0.91,910
AMS,AMS,2021-10-01,0.84,0.84,0.84,0.84,407
AMS,AMS,2021-10-04,0.84,0.84,0.84,0.84,178
AMS,AMS,2021-10-08,0.81,0.84,0.81,0.81,120
AMS,AMS,2021-10-11,0.84,0.84,0.81,0.84,20
AMS,AMS,2021-10-13,0.83,0.84,0.83,0.83,1045
AMS,AMS,2021-10-19,0.84,0.84,0.83,0.84,2656
AMS,AMS,2021-10-20,0.84,0.84,0.84,0.84,3676
AMS,AMS,2021-10-21,0.85,0.85,0.84,0.85,2627
AMS,AMS,2021-10-25,0.9,0.9,0.88,0.9,540
AMS,AMS,2021-10-26,0.92,0.92,0.9,0.92,3120
AMS,AMS,2021-10-27,0.93,0.93,0.92,0.93,2752
AMS,AMS,2021-10-28,0.97,0.97,0.93,0.97,1058
AMS,AMS,2021-10-29,1.0,1.0,0.97,1.0,3951
AMS,AMS,2021-11-01,1.04,1.04,1.0,1.04,1050
AMS,AMS,2021-11-03,1.12,1.12,1.08,1.12,9123
AMS,AMS,2021-11-04,1.11,1.12,1.11,1.11,1075
AMS,AMS,2021-11-05,1.11,1.11,1.11,1.11,1863
AMS,AMS,2021-11-08,1.11,1.11,1.11,1.11,1000
AMS,AMS,2021-11-09,1.07,1.11,1.07,1.07,590
AMS,AMS,2021-11-10,1.03,1.07,1.03,1.03,5287
AMS,AMS,2021-11-11,0.99,1.03,0.99,0.99,1720
AMS,AMS,2021-11-15,1.02,1.02,0.99,1.02,70
AMS,AMS,2021-11-18,0.98,0.98,0.98,0.98,3789
AMS,AMS,2021-11-19,0.94,0.98,0.94,0.94,422
AMS,AMS,2021-11-22,0.98,0.98,0.94,0.98,1003
AMS,AMS,2021-11-23,1.0,1.0,0.98,1.0,2510
AMS,AMS,2021-11-24,1.0,1.0,1.0,1.0,1933
AMS,AMS,2021-11-25,1.02,1.02,1.0,1.02,251
AMS,AMS,2021-11-26,1.0,1.02,1.0,1.0,1329
AMS,AMS,2021-11-29,0.99,1.0,0.99,0.99,1996
AMS,AMS,2021-11-30,0.98,0.99,0.98,0.98,100
AMS,AMS,2021-12-10,0.96,0.96,0.96,0.96,50
AMS,AMS,2022-03-14,1.02,1.02,1.01,1.02,166
AMS,AMS,2022-03-15,1.02,1.02,1.02,1.02,4771
AMS,AMS,2022-03-16,1.06,1.06,1.02,1.06,5483
AMS,AMS,2022-03-17,1.1,1.1,1.06,1.1,1063
AMS,AMS,2022-03-21,1.19,1.19,1.14,1.19,715
AMS,AMS,2022-03-22,1.18,1.19,1.18,1.18,991
AMS,AMS,2022-03-24,1.18,1.18,1.18,1.18,250
AMS,AMS,2022-03-28,1.15,1.18,1.15,1.15,845
AMS,AMS,2022-03-29,1.1,1.15,1.1,1.1,963
AMS,AMS,2022-03-31,1.19,1.19,1.14,1.19,9090
AMS,AMS,2022-04-01,1.19,1.19,1.19,1.19,2306
AMS,AMS,2022-04-04,1.2,1.2,1.19,1.2,80
AMS,AMS,2022-04-05,1.2,1.2,1.2,1.2,65
AMS,AMS,2022-04-06,1.19,1.2,1.19,1.19,90
AMS,AMS,2022-04-07,1.2,1.2,1.19,1.2,410
AMS,AMS,2022-04-08,1.2,1.2,1.2,1.2,245
AMS,AMS,2022-04-11,1.2,1.2,1.2,1.2,2271
AMS,AMS,2022-04-12,1.2,1.2,1.2,1.2,3585
AMS,AMS,2022-04-13,1.2,1.2,1.2,1.2,1347
AMS,AMS,2022-04-14,1.25,1.25,1.2,1.25,1081
AMS,AMS,2022-04-15,1.25,1.25,1.25,1.25,1323
AMS,AMS,2022-04-18,1.3,1.3,1.25,1.3,888
AMS,AMS,2022-04-20,1.25,1.25,1.25,1.25,4355
AMS,AMS,2022-04-21,1.22,1.25,1.22,1.22,5795
AMS,AMS,2022-04-22,1.2,1.22,1.2,1.2,6663
AMS,AMS,2022-04-25,1.21,1.21,1.2,1.21,4000
AMS,AMS,2022-04-26,1.16,1.21,1.16,1.16,115
AMS,AMS,2022-04-28,1.07,1.11,1.07,1.07,623
AMS,AMS,2022-04-29,1.03,1.07,1.03,1.03,5133
AMS,AMS,2022-05-05,0.99,1.03,0.99,0.99,1597
AMS,AMS,2022-05-06,0.95,0.99,0.95,0.95,3784
AMS,AMS,2022-05-10,0.88,0.91,0.88,0.88,318
AMS,AMS,2022-05-16,1.03,1.03,0.99,1.03,3547
AMS,AMS,2022-05-19,1.15,1.15,1.11,1.15,3541
AMS,AMS,2022-05-20,1.2,1.2,1.15,1.2,2165
AMS,AMS,2022-05-23,1.22,1.22,1.2,1.22,2016
AMS,AMS,2022-05-24,1.2,1.22,1.2,1.2,404
AMS,AMS,2022-05-25,1.2,1.2,1.2,1.2,1335
AMS,AMS,2022-05-26,1.15,1.2,1.15,1.15,300
AMS,AMS,2022-05-27,1.2,1.2,1.15,1.2,4402
AMS,AMS,2022-06-01,1.3,1.3,1.3,1.3,16031
AMS,AMS,2022-06-02,1.25,1.3,1.25,1.25,1370
AMS,AMS,2022-06-03,1.2,1.25,1.2,1.2,2471
AMS,AMS,2022-06-06,1.25,1.25,1.2,1.25,5
AMS,AMS,2022-06-07,1.29,1.29,1.25,1.29,740
AMS,AMS,2022-06-08,1.29,1.29,1.29,1.29,142
AMS,AMS,2022-06-10,1.32,1.32,1.29,1.32,21
AMS,AMS,2022-06-13,1.32,1.32,1.32,1.32,36
AMS,AMS,2022-06-14,1.32,1.32,1.32,1.32,2622
AMS,AMS,2022-06-15,1.32,1.32,1.32,1.32,4135
AMS,AMS,2022-06-21,1.31,1.37,1.31,1.31,1697
AMS,AMS,2022-06-23,1.26,1.31,1.26,1.26,896
AMS,AMS,2022-06-24,1.26,1.26,1.26,1.26,1179
AMS,AMS,2022-06-27,1.29,1.29,1.26,1.29,641
AMS,AMS,2022-06-28,1.33,1.33,1.29,1.33,252
AMS,AMS,2022-06-29,1.35,1.35,1.33,1.35,1957
AMS,AMS,2022-07-01,1.38,1.38,1.35,1.38,3055
AMS,AMS,2022-07-04,1.38,1.38,1.38,1.38,32
AMS,AMS,2022-07-05,1.4,1.4,1.38,1.4,329
AMS,AMS,2022-07-07,1.4,1.4,1.4,1.4,3424
AMS,AMS,2022-07-15,1.3,1.34,1.3,1.3,249
AMS,AMS,2022-07-20,1.18,1.2,1.18,1.18,199
AMS,AMS,2022-07-22,1.1,1.13,1.1,1.1,3213
AMS,AMS,2022-07-28,1.24,1.24,1.19,1.24,1000
AMS,AMS,2022-08-02,1.11,1.14,1.11,1.11,2315
AMS,AMS,2022-08-03,1.1,1.11,1.1,1.1,776
AMS,AMS,2022-08-04,1.11,1.11,1.1,1.11,60
AMS,AMS,2022-08-05,1.11,1.11,1.11,1.11,620
AMS,AMS,2022-08-10,1.11,1.11,1.11,1.11,290
AMS,AMS,2022-08-11,1.11,1.11,1.11,1.11,145
AMS,AMS,2022-08-12,1.11,1.11,1.11,1.11,57
AMS,AMS,2022-08-15,1.11,1.11,1.11,1.11,110
