ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
ASSAD,ASSAD,2021-06-17,1.975,2.04,1.975,2.03,7268
ASSAD,ASSAD,2021-06-18,2.01,2.035,2.01,2.03,5870
ASSAD,ASSAD,2021-06-21,2.025,2.025,2.0,2.015,20248
ASSAD,ASSAD,2021-06-22,2.01,2.01,1.985,2.01,3126
ASSAD,ASSAD,2021-06-23,1.975,1.975,1.945,1.975,3490
ASSAD,ASSAD,2021-06-24,1.995,1.995,1.975,1.975,1672
ASSAD,ASSAD,2021-06-25,1.975,1.99,1.95,1.99,2668
ASSAD,ASSAD,2021-06-28,1.995,2.035,1.995,2.025,14650
ASSAD,ASSAD,2021-06-29,2.0,2.025,2.0,2.025,2132
ASSAD,ASSAD,2021-06-30,2.0,2.025,2.0,2.025,2180
ASSAD,ASSAD,2021-07-01,1.995,2.02,1.995,2.02,1390
ASSAD,ASSAD,2021-07-02,2.015,2.015,1.995,2.0,7048
ASSAD,ASSAD,2021-07-05,1.99,2.0,1.99,2.0,1280
ASSAD,ASSAD,2021-07-06,1.985,2.0,1.95,2.0,6162
ASSAD,ASSAD,2021-07-07,1.955,2.0,1.955,2.0,2020
ASSAD,ASSAD,2021-07-08,2.005,2.065,2.005,2.065,59902
ASSAD,ASSAD,2021-07-12,2.25,2.25,2.235,2.24,112226
ASSAD,ASSAD,2021-07-13,2.24,2.295,2.24,2.29,44160
ASSAD,ASSAD,2021-07-14,2.295,2.36,2.295,2.35,87944
ASSAD,ASSAD,2021-07-15,2.36,2.43,2.36,2.4,105932
ASSAD,ASSAD,2021-07-16,2.425,2.425,2.355,2.355,29364
ASSAD,ASSAD,2021-07-19,2.355,2.355,2.305,2.325,53428
ASSAD,ASSAD,2021-07-22,2.365,2.39,2.36,2.39,29658
ASSAD,ASSAD,2021-07-23,2.4,2.41,2.39,2.4,35356
ASSAD,ASSAD,2021-07-26,2.375,2.375,2.305,2.34,34938
ASSAD,ASSAD,2021-07-27,2.385,2.385,2.34,2.375,3180
ASSAD,ASSAD,2021-07-28,2.39,2.39,2.35,2.365,12778
ASSAD,ASSAD,2021-07-29,2.35,2.35,2.33,2.335,10478
ASSAD,ASSAD,2021-07-30,2.365,2.365,2.33,2.33,14330
ASSAD,ASSAD,2021-08-02,2.35,2.36,2.35,2.36,3370
ASSAD,ASSAD,2021-08-03,2.35,2.36,2.35,2.35,2032
ASSAD,ASSAD,2021-08-04,2.325,2.345,2.32,2.345,2236
ASSAD,ASSAD,2021-08-05,2.32,2.325,2.315,2.315,3140
ASSAD,ASSAD,2021-08-06,2.315,2.325,2.31,2.32,11402
ASSAD,ASSAD,2021-08-09,2.32,2.345,2.315,2.32,15252
ASSAD,ASSAD,2021-08-11,2.35,2.35,2.315,2.315,12784
ASSAD,ASSAD,2021-08-12,2.325,2.345,2.315,2.345,23782
ASSAD,ASSAD,2021-08-16,2.32,2.375,2.315,2.375,12070
ASSAD,ASSAD,2021-08-17,2.38,2.51,2.38,2.51,84392
ASSAD,ASSAD,2021-08-18,2.585,2.66,2.585,2.65,124312
ASSAD,ASSAD,2021-08-19,2.67,2.75,2.61,2.75,71506
ASSAD,ASSAD,2021-08-20,2.75,2.87,2.735,2.865,83818
ASSAD,ASSAD,2021-08-23,2.83,2.83,2.75,2.78,52084
ASSAD,ASSAD,2021-08-24,2.715,2.715,2.645,2.645,46702
ASSAD,ASSAD,2021-08-25,2.645,2.8,2.645,2.8,57328
ASSAD,ASSAD,2021-08-26,2.83,2.87,2.8,2.815,49104
ASSAD,ASSAD,2021-08-27,2.8,2.805,2.775,2.795,15548
ASSAD,ASSAD,2021-08-30,2.78,2.795,2.78,2.78,4540
ASSAD,ASSAD,2021-08-31,2.715,2.795,2.715,2.715,8156
ASSAD,ASSAD,2021-09-01,5.43,5.49,5.33,5.34,5241
ASSAD,ASSAD,2021-09-02,5.3,5.34,5.1,5.1,12229
ASSAD,ASSAD,2021-09-03,5.1,5.1,4.8,5.09,43472
ASSAD,ASSAD,2021-09-06,5.09,5.09,4.9,4.99,3160
ASSAD,ASSAD,2021-09-07,4.9,5.01,4.8,5.0,16090
ASSAD,ASSAD,2021-09-08,4.95,5.0,4.85,4.99,11506
ASSAD,ASSAD,2021-09-09,5.0,5.28,5.0,5.28,14358
ASSAD,ASSAD,2021-09-10,5.28,5.28,5.21,5.25,5805
ASSAD,ASSAD,2021-09-13,5.2,5.24,5.1,5.24,786
ASSAD,ASSAD,2021-09-14,5.2,5.24,5.09,5.09,15555
ASSAD,ASSAD,2021-09-15,5.19,5.19,4.99,4.99,10646
ASSAD,ASSAD,2021-09-16,5.05,5.05,4.9,4.99,13484
ASSAD,ASSAD,2021-09-17,4.99,4.99,4.85,4.95,7442
ASSAD,ASSAD,2021-09-20,4.95,5.07,4.92,4.95,23930
ASSAD,ASSAD,2021-09-21,5.0,5.0,5.0,5.0,1269
ASSAD,ASSAD,2021-09-22,4.92,5.0,4.9,4.9,2547
ASSAD,ASSAD,2021-09-23,4.9,4.97,4.85,4.97,8673
ASSAD,ASSAD,2021-09-24,5.0,5.0,4.85,4.85,12336
ASSAD,ASSAD,2021-09-27,4.9,4.9,4.81,4.85,1394
ASSAD,ASSAD,2021-09-28,2.405,2.45,2.4,2.405,11686
ASSAD,ASSAD,2021-09-29,4.81,5.04,4.77,5.04,19919
ASSAD,ASSAD,2021-09-30,5.04,5.05,4.83,4.83,7273
ASSAD,ASSAD,2021-10-01,2.495,2.53,2.415,2.495,50044
ASSAD,ASSAD,2021-10-04,2.45,2.48,2.38,2.45,12186
ASSAD,ASSAD,2021-10-05,2.41,2.45,2.37,2.41,10343
ASSAD,ASSAD,2021-10-06,2.3,2.41,2.3,2.3,3356
ASSAD,ASSAD,2021-10-07,2.2,2.3,2.2,2.2,5685
ASSAD,ASSAD,2021-10-08,2.23,2.3,2.17,2.23,13599
ASSAD,ASSAD,2021-10-11,2.27,2.27,2.21,2.27,1883
ASSAD,ASSAD,2021-10-12,2.3,2.3,2.25,2.3,5009
ASSAD,ASSAD,2021-10-13,2.2,2.3,2.2,2.2,6295
ASSAD,ASSAD,2021-10-14,2.1,2.21,2.07,2.1,21949
ASSAD,ASSAD,2021-10-19,2.05,2.1,1.98,2.05,23474
ASSAD,ASSAD,2021-10-20,1.96,2.06,1.96,1.96,26247
ASSAD,ASSAD,2021-10-21,1.93,1.99,1.9,1.93,27813
ASSAD,ASSAD,2021-10-22,1.9,2.0,1.88,1.9,12235
ASSAD,ASSAD,2021-10-25,1.91,1.96,1.9,1.91,24159
ASSAD,ASSAD,2021-10-26,1.9,1.92,1.89,1.9,20010
ASSAD,ASSAD,2021-10-27,1.89,1.9,1.87,1.89,7600
ASSAD,ASSAD,2021-10-28,1.9,1.91,1.89,1.9,1521
ASSAD,ASSAD,2021-10-29,1.96,1.98,1.9,1.96,12510
ASSAD,ASSAD,2021-11-01,1.96,1.96,1.9,1.96,11019
ASSAD,ASSAD,2021-11-02,2.05,2.05,1.95,2.05,20189
ASSAD,ASSAD,2021-11-03,2.03,2.09,2.029,2.03,13853
ASSAD,ASSAD,2021-11-04,2.04,2.05,2.0,2.04,10508
ASSAD,ASSAD,2021-11-05,2.0,2.05,2.0,2.0,3520
ASSAD,ASSAD,2021-11-08,1.97,2.04,1.95,1.97,6636
ASSAD,ASSAD,2021-11-09,1.98,2.029,1.97,1.98,2368
ASSAD,ASSAD,2021-11-10,2.02,2.04,1.98,2.02,2569
ASSAD,ASSAD,2021-11-11,1.97,2.029,1.97,1.97,1682
ASSAD,ASSAD,2021-11-12,2.0,2.0,1.97,2.0,5
ASSAD,ASSAD,2021-11-15,1.98,2.0,1.93,1.98,15789
ASSAD,ASSAD,2021-11-16,1.99,1.99,1.95,1.99,686
ASSAD,ASSAD,2021-11-17,1.98,1.99,1.94,1.98,8235
ASSAD,ASSAD,2021-11-18,1.94,1.98,1.94,1.94,681
ASSAD,ASSAD,2021-11-19,1.96,1.96,1.93,1.96,34011
ASSAD,ASSAD,2021-11-22,1.98,1.99,1.94,1.98,5692
