ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
ASSURANCES MAGHREBIA,ASSMA,2021-06-17,63.9,63.9,63.05,63.8,1127
ASSURANCES MAGHREBIA,ASSMA,2021-06-18,63.5,63.5,63.5,63.5,230
ASSURANCES MAGHREBIA,ASSMA,2021-06-21,63.79,63.8,63.0,63.74,252
ASSURANCES MAGHREBIA,ASSMA,2021-06-22,63.74,63.75,63.49,63.5,585
ASSURANCES MAGHREBIA,ASSMA,2021-06-23,62.0,63.49,62.0,63.49,155
ASSURANCES MAGHREBIA,ASSMA,2021-06-25,62.11,63.49,62.11,63.49,53
ASSURANCES MAGHREBIA,ASSMA,2021-06-28,63.0,63.0,63.0,63.0,575
ASSURANCES MAGHREBIA,ASSMA,2021-06-29,61.5,61.52,61.5,61.51,810
ASSURANCES MAGHREBIA,ASSMA,2021-06-30,61.51,62.8,61.0,62.0,12118
ASSURANCES MAGHREBIA,ASSMA,2021-07-01,61.93,62.0,60.08,62.0,152
ASSURANCES MAGHREBIA,ASSMA,2021-07-02,62.9,62.9,62.9,62.9,1
ASSURANCES MAGHREBIA,ASSMA,2021-07-05,62.8,62.8,62.8,62.8,100
ASSURANCES MAGHREBIA,ASSMA,2021-07-06,62.37,62.4,62.37,62.4,250
ASSURANCES MAGHREBIA,ASSMA,2021-07-07,62.44,62.45,62.44,62.45,200
ASSURANCES MAGHREBIA,ASSMA,2021-07-09,62.8,62.8,62.2,62.2,426
ASSURANCES MAGHREBIA,ASSMA,2021-07-12,62.17,62.17,62.17,62.17,1
ASSURANCES MAGHREBIA,ASSMA,2021-07-13,62.0,62.0,62.0,62.0,250
ASSURANCES MAGHREBIA,ASSMA,2021-07-14,60.53,62.0,60.34,62.0,600
ASSURANCES MAGHREBIA,ASSMA,2021-07-15,60.34,61.99,58.6,61.99,452
ASSURANCES MAGHREBIA,ASSMA,2021-07-16,61.98,61.98,61.98,61.98,300
ASSURANCES MAGHREBIA,ASSMA,2021-07-27,60.13,61.99,60.13,61.99,110
ASSURANCES MAGHREBIA,ASSMA,2021-07-28,61.99,62.5,61.99,62.0,656
ASSURANCES MAGHREBIA,ASSMA,2021-07-29,62.0,64.95,62.0,64.95,1597
