ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
ARAB TUNISIAN BANK,ATB,2021-06-18,2.66,2.7,2.62,2.7,4006
ARAB TUNISIAN BANK,ATB,2021-06-21,2.69,2.7,2.69,2.7,39907
ARAB TUNISIAN BANK,ATB,2021-06-22,2.69,2.7,2.69,2.7,8098
ARAB TUNISIAN BANK,ATB,2021-06-23,2.69,2.7,2.69,2.69,8933
ARAB TUNISIAN BANK,ATB,2021-06-24,2.69,2.69,2.69,2.69,571
ARAB TUNISIAN BANK,ATB,2021-06-25,2.69,2.7,2.69,2.69,2778
ARAB TUNISIAN BANK,ATB,2021-06-29,2.69,2.69,2.66,2.66,5535
ARAB TUNISIAN BANK,ATB,2021-06-30,2.66,2.69,2.64,2.69,3337
ARAB TUNISIAN BANK,ATB,2021-07-01,2.7,2.7,2.7,2.7,1
ARAB TUNISIAN BANK,ATB,2021-07-02,2.7,2.7,2.64,2.7,1145
ARAB TUNISIAN BANK,ATB,2021-07-05,2.65,2.69,2.65,2.69,755
ARAB TUNISIAN BANK,ATB,2021-07-06,2.68,2.69,2.66,2.69,3099
ARAB TUNISIAN BANK,ATB,2021-07-07,2.7,2.7,2.66,2.69,12786
ARAB TUNISIAN BANK,ATB,2021-07-08,2.67,2.69,2.66,2.69,6101
ARAB TUNISIAN BANK,ATB,2021-07-09,2.66,2.66,2.65,2.66,18252
ARAB TUNISIAN BANK,ATB,2021-07-12,2.66,2.69,2.66,2.69,509
ARAB TUNISIAN BANK,ATB,2021-07-13,2.65,2.68,2.65,2.68,1650
ARAB TUNISIAN BANK,ATB,2021-07-14,2.65,2.69,2.64,2.69,4470
ARAB TUNISIAN BANK,ATB,2021-07-15,2.69,2.69,2.69,2.69,500
ARAB TUNISIAN BANK,ATB,2021-07-16,2.67,2.7,2.67,2.7,238
ARAB TUNISIAN BANK,ATB,2021-07-19,2.64,2.7,2.64,2.7,325
ARAB TUNISIAN BANK,ATB,2021-07-22,2.7,2.7,2.7,2.7,6965
ARAB TUNISIAN BANK,ATB,2021-07-23,2.63,2.7,2.63,2.69,4520
ARAB TUNISIAN BANK,ATB,2021-07-28,2.67,2.69,2.67,2.69,410
ARAB TUNISIAN BANK,ATB,2021-07-30,2.66,2.68,2.64,2.64,3171
ARAB TUNISIAN BANK,ATB,2021-08-02,2.64,2.65,2.64,2.65,1343
ARAB TUNISIAN BANK,ATB,2021-08-03,2.65,2.65,2.63,2.63,5176
ARAB TUNISIAN BANK,ATB,2021-08-04,2.63,2.64,2.62,2.64,2254
ARAB TUNISIAN BANK,ATB,2021-08-05,2.62,2.64,2.62,2.64,473
ARAB TUNISIAN BANK,ATB,2021-08-06,2.65,2.65,2.63,2.65,2039
ARAB TUNISIAN BANK,ATB,2021-08-09,2.65,2.65,2.65,2.65,3500
ARAB TUNISIAN BANK,ATB,2021-08-11,2.63,2.65,2.63,2.65,235
ARAB TUNISIAN BANK,ATB,2021-08-12,2.63,2.63,2.63,2.63,634
ARAB TUNISIAN BANK,ATB,2021-08-16,2.63,2.63,2.62,2.62,876
ARAB TUNISIAN BANK,ATB,2021-08-17,2.65,2.65,2.58,2.61,3184
ARAB TUNISIAN BANK,ATB,2021-08-18,2.61,2.61,2.54,2.57,3260
ARAB TUNISIAN BANK,ATB,2021-08-19,2.58,2.58,2.55,2.55,69
ARAB TUNISIAN BANK,ATB,2021-08-20,2.55,2.57,2.53,2.55,5692
ARAB TUNISIAN BANK,ATB,2021-08-23,2.52,2.6,2.52,2.6,14796
ARAB TUNISIAN BANK,ATB,2021-08-24,2.57,2.6,2.53,2.57,4816
ARAB TUNISIAN BANK,ATB,2021-08-25,2.56,2.58,2.55,2.58,1827
ARAB TUNISIAN BANK,ATB,2021-08-26,2.57,2.58,2.56,2.57,5241
ARAB TUNISIAN BANK,ATB,2021-08-27,2.57,2.57,2.5,2.55,25010
ARAB TUNISIAN BANK,ATB,2021-08-30,2.55,2.55,2.5,2.55,696
ARAB TUNISIAN BANK,ATB,2021-08-31,2.55,2.6,2.55,2.55,549
ARAB TUNISIAN BANK,ATB,2021-09-01,2.55,2.55,2.51,2.51,1510
ARAB TUNISIAN BANK,ATB,2021-09-02,2.51,2.51,2.49,2.49,12230
ARAB TUNISIAN BANK,ATB,2021-09-03,2.5,2.5,2.45,2.45,5832
ARAB TUNISIAN BANK,ATB,2021-09-06,2.42,2.45,2.42,2.42,3079
ARAB TUNISIAN BANK,ATB,2021-09-07,2.38,2.42,2.36,2.37,6967
ARAB TUNISIAN BANK,ATB,2021-09-08,2.38,2.38,2.33,2.33,4723
ARAB TUNISIAN BANK,ATB,2021-09-09,2.34,2.35,2.33,2.35,5793
ARAB TUNISIAN BANK,ATB,2021-09-10,2.35,2.35,2.29,2.34,34892
ARAB TUNISIAN BANK,ATB,2021-09-13,2.3,2.3,2.25,2.29,5063
ARAB TUNISIAN BANK,ATB,2021-09-14,2.25,2.28,2.22,2.22,20331
ARAB TUNISIAN BANK,ATB,2021-09-15,2.22,2.3,2.22,2.25,39578
ARAB TUNISIAN BANK,ATB,2021-09-16,2.2,2.24,2.18,2.2,11465
ARAB TUNISIAN BANK,ATB,2021-09-17,2.2,2.28,2.19,2.28,23984
ARAB TUNISIAN BANK,ATB,2021-09-20,2.28,2.37,2.28,2.3,10109
ARAB TUNISIAN BANK,ATB,2021-09-21,2.33,2.35,2.33,2.34,1481
ARAB TUNISIAN BANK,ATB,2021-09-22,2.34,2.43,2.34,2.43,16286
ARAB TUNISIAN BANK,ATB,2021-09-23,2.45,2.48,2.4,2.48,32638
ARAB TUNISIAN BANK,ATB,2021-09-24,2.48,2.48,2.44,2.44,1166
ARAB TUNISIAN BANK,ATB,2021-09-27,2.42,2.42,2.42,2.42,203
ARAB TUNISIAN BANK,ATB,2021-09-28,2.33,2.42,2.28,2.33,2420
ARAB TUNISIAN BANK,ATB,2021-09-29,2.33,2.33,2.32,2.32,2100
ARAB TUNISIAN BANK,ATB,2021-09-30,2.33,2.33,2.32,2.32,4393
ARAB TUNISIAN BANK,ATB,2021-10-01,2.32,2.32,2.32,2.32,7988
ARAB TUNISIAN BANK,ATB,2021-10-04,2.3,2.34,2.28,2.3,8707
ARAB TUNISIAN BANK,ATB,2021-10-05,2.2,2.3,2.2,2.2,5879
ARAB TUNISIAN BANK,ATB,2021-10-06,2.28,2.3,2.2,2.28,27071
ARAB TUNISIAN BANK,ATB,2021-10-07,2.28,2.3,2.25,2.28,15679
ARAB TUNISIAN BANK,ATB,2021-10-08,2.25,2.28,2.2,2.25,13614
ARAB TUNISIAN BANK,ATB,2021-10-11,2.24,2.28,2.24,2.24,5101
ARAB TUNISIAN BANK,ATB,2021-10-12,2.22,2.24,2.2,2.22,19631
ARAB TUNISIAN BANK,ATB,2021-10-13,2.25,2.26,2.2,2.25,8067
ARAB TUNISIAN BANK,ATB,2021-10-14,2.3,2.3,2.25,2.3,1
ARAB TUNISIAN BANK,ATB,2021-10-19,2.24,2.3,2.23,2.24,5850
ARAB TUNISIAN BANK,ATB,2021-10-20,2.23,2.25,2.23,2.23,1006
ARAB TUNISIAN BANK,ATB,2021-10-21,2.18,2.23,2.18,2.18,14034
ARAB TUNISIAN BANK,ATB,2021-10-22,2.19,2.2,2.15,2.19,9373
ARAB TUNISIAN BANK,ATB,2021-10-25,2.2,2.2,2.18,2.2,4402
ARAB TUNISIAN BANK,ATB,2021-10-26,2.24,2.24,2.17,2.24,9101
ARAB TUNISIAN BANK,ATB,2021-10-27,2.23,2.25,2.2,2.23,3456
ARAB TUNISIAN BANK,ATB,2021-10-28,2.17,2.23,2.16,2.17,1271
ARAB TUNISIAN BANK,ATB,2021-10-29,2.16,2.2,2.16,2.16,3978
ARAB TUNISIAN BANK,ATB,2021-11-01,2.15,2.21,2.13,2.15,4095
ARAB TUNISIAN BANK,ATB,2021-11-02,2.19,2.27,2.15,2.19,63342
ARAB TUNISIAN BANK,ATB,2021-11-03,2.25,2.25,2.19,2.25,14732
ARAB TUNISIAN BANK,ATB,2021-11-04,2.27,2.28,2.23,2.27,15846
ARAB TUNISIAN BANK,ATB,2021-11-05,2.26,2.29,2.26,2.26,24085
ARAB TUNISIAN BANK,ATB,2021-11-08,2.28,2.3,2.26,2.28,389
ARAB TUNISIAN BANK,ATB,2021-11-09,2.3,2.3,2.23,2.3,158
ARAB TUNISIAN BANK,ATB,2021-11-10,2.31,2.32,2.3,2.31,534
ARAB TUNISIAN BANK,ATB,2021-11-11,2.38,2.4,2.31,2.38,9103
ARAB TUNISIAN BANK,ATB,2021-11-12,2.38,2.38,2.38,2.38,2725
