ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
BANQUE NATIONALE AGRICOLE,BNA,2021-06-17,8.0,8.1,8.0,8.1,16978
BANQUE NATIONALE AGRICOLE,BNA,2021-06-18,8.02,8.11,8.02,8.11,4740
BANQUE NATIONALE AGRICOLE,BNA,2021-06-21,8.2,8.2,8.05,8.14,5802
BANQUE NATIONALE AGRICOLE,BNA,2021-06-22,8.06,8.1,8.0,8.1,60195
BANQUE NATIONALE AGRICOLE,BNA,2021-06-23,7.98,8.09,7.85,7.85,34448
BANQUE NATIONALE AGRICOLE,BNA,2021-06-24,7.98,7.99,7.83,7.85,16437
BANQUE NATIONALE AGRICOLE,BNA,2021-06-25,8.08,8.08,7.85,8.0,27004
BANQUE NATIONALE AGRICOLE,BNA,2021-06-28,8.0,8.0,8.0,8.0,12
BANQUE NATIONALE AGRICOLE,BNA,2021-06-29,8.0,8.0,7.76,7.76,32267
BANQUE NATIONALE AGRICOLE,BNA,2021-06-30,7.85,7.85,7.62,7.62,30226
BANQUE NATIONALE AGRICOLE,BNA,2021-07-01,7.33,7.33,7.16,7.16,8131
BANQUE NATIONALE AGRICOLE,BNA,2021-07-02,7.35,7.35,7.15,7.33,7346
BANQUE NATIONALE AGRICOLE,BNA,2021-07-05,7.47,7.47,7.2,7.3,1690
BANQUE NATIONALE AGRICOLE,BNA,2021-07-06,7.3,7.34,7.25,7.3,2073
BANQUE NATIONALE AGRICOLE,BNA,2021-07-07,7.31,7.31,7.24,7.25,9580
BANQUE NATIONALE AGRICOLE,BNA,2021-07-08,7.31,7.31,7.2,7.28,82484
BANQUE NATIONALE AGRICOLE,BNA,2021-07-09,7.28,7.28,7.18,7.23,5970
BANQUE NATIONALE AGRICOLE,BNA,2021-07-12,7.22,7.23,7.12,7.2,29896
BANQUE NATIONALE AGRICOLE,BNA,2021-07-13,7.25,7.27,7.15,7.27,22484
BANQUE NATIONALE AGRICOLE,BNA,2021-07-14,7.2,7.2,7.12,7.2,11737
BANQUE NATIONALE AGRICOLE,BNA,2021-07-15,7.2,7.3,7.2,7.25,2496
BANQUE NATIONALE AGRICOLE,BNA,2021-07-16,7.2,7.29,7.18,7.25,5914
BANQUE NATIONALE AGRICOLE,BNA,2021-07-19,7.2,7.2,7.17,7.2,2725
BANQUE NATIONALE AGRICOLE,BNA,2021-07-22,7.29,7.29,7.2,7.2,295
BANQUE NATIONALE AGRICOLE,BNA,2021-07-23,7.28,7.28,7.19,7.19,841
BANQUE NATIONALE AGRICOLE,BNA,2021-07-26,7.29,7.29,7.12,7.12,4870
BANQUE NATIONALE AGRICOLE,BNA,2021-07-27,7.13,7.16,7.13,7.16,4200
