ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
BNA ASSURANCES,BNASS,2025-08-13,3.48,3.48,3.48,3.48,1
BNA ASSURANCES,BNASS,2025-08-14,3.48,3.75,3.48,3.75,48544
BNA ASSURANCES,BNASS,2025-08-18,3.91,3.95,3.91,3.95,137583
BNA ASSURANCES,BNASS,2025-08-19,3.95,4.0,3.95,4.0,23571
BNA ASSURANCES,BNASS,2025-08-20,4.0,4.0,4.0,4.0,42887
BNA ASSURANCES,BNASS,2025-08-21,4.0,4.0,3.82,3.82,40535
BNA ASSURANCES,BNASS,2025-08-22,3.82,3.82,3.79,3.79,28284
BNA ASSURANCES,BNASS,2025-08-25,3.79,3.8,3.78,3.78,523
BNA ASSURANCES,BNASS,2025-08-26,3.78,3.78,3.7,3.7,33964
BNA ASSURANCES,BNASS,2025-08-27,3.7,3.8,3.7,3.8,46981
BNA ASSURANCES,BNASS,2025-08-28,3.8,3.8,3.8,3.8,112004
BNA ASSURANCES,BNASS,2025-08-29,3.8,3.93,3.79,3.79,4769
BNA ASSURANCES,BNASS,2025-09-01,3.79,3.79,3.7,3.7,23349
BNA ASSURANCES,BNASS,2025-09-02,3.7,3.8,3.7,3.7,12589
BNA ASSURANCES,BNASS,2025-09-03,3.7,3.7,3.7,3.7,3630
BNA ASSURANCES,BNASS,2025-09-05,3.7,3.7,3.7,3.7,551
BNA ASSURANCES,BNASS,2025-09-08,3.7,3.7,3.69,3.69,2700
BNA ASSURANCES,BNASS,2025-09-09,3.69,3.69,3.68,3.68,1088
BNA ASSURANCES,BNASS,2025-09-10,3.53,3.53,3.5,3.5,22638
BNA ASSURANCES,BNASS,2025-09-11,3.5,3.54,3.4,3.54,14502
BNA ASSURANCES,BNASS,2025-09-12,3.54,3.62,3.49,3.62,8271
BNA ASSURANCES,BNASS,2025-09-15,3.62,3.62,3.49,3.49,13987
BNA ASSURANCES,BNASS,2025-09-16,3.49,3.57,3.49,3.54,17419
BNA ASSURANCES,BNASS,2025-09-17,3.54,3.65,3.54,3.65,10876
BNA ASSURANCES,BNASS,2025-09-18,3.65,3.65,3.49,3.49,21910
BNA ASSURANCES,BNASS,2025-09-19,3.49,3.49,3.49,3.49,5843
BNA ASSURANCES,BNASS,2025-09-22,3.49,3.49,3.4,3.4,30732
BNA ASSURANCES,BNASS,2025-09-23,3.4,3.55,3.4,3.4,13927
BNA ASSURANCES,BNASS,2025-09-24,3.4,3.4,3.37,3.37,16900
BNA ASSURANCES,BNASS,2025-09-25,3.37,3.37,3.36,3.36,8548
BNA ASSURANCES,BNASS,2025-09-26,3.36,3.36,3.35,3.35,7113
BNA ASSURANCES,BNASS,2025-09-29,3.35,3.36,3.34,3.36,14784
BNA ASSURANCES,BNASS,2025-09-30,3.36,3.36,3.36,3.36,3888
BNA ASSURANCES,BNASS,2025-10-01,3.36,3.36,3.35,3.35,9195
BNA ASSURANCES,BNASS,2025-10-03,3.2,3.2,3.1,3.1,13373
