ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
BTE (ADP),BTE,2021-06-17,7.24,7.24,7.24,7.24,1
BTE (ADP),BTE,2021-06-23,7.43,7.43,7.43,7.43,103
BTE (ADP),BTE,2021-06-24,7.42,7.42,7.42,7.42,50
BTE (ADP),BTE,2021-06-25,7.42,7.42,7.42,7.42,900
BTE (ADP),BTE,2021-06-28,7.42,7.42,7.42,7.42,69
BTE (ADP),BTE,2021-06-30,7.42,7.42,7.42,7.42,200
BTE (ADP),BTE,2021-07-07,7.42,7.42,7.42,7.42,300
BTE (ADP),BTE,2021-07-08,7.42,7.42,7.2,7.2,32
BTE (ADP),BTE,2021-07-09,7.41,7.41,7.41,7.41,100
BTE (ADP),BTE,2021-07-12,7.2,7.2,7.2,7.2,841
BTE (ADP),BTE,2021-07-13,7.2,7.2,6.99,6.99,297
BTE (ADP),BTE,2021-07-15,6.8,6.8,6.8,6.8,6
BTE (ADP),BTE,2021-07-22,7.2,7.4,7.2,7.4,66
BTE (ADP),BTE,2021-07-23,7.5,7.5,7.5,7.5,100
BTE (ADP),BTE,2021-08-03,7.5,7.5,7.5,7.5,311
BTE (ADP),BTE,2021-08-05,7.5,7.5,7.5,7.5,65
BTE (ADP),BTE,2021-08-06,7.5,7.5,7.5,7.5,230
BTE (ADP),BTE,2021-08-12,7.5,7.5,7.5,7.5,65
BTE (ADP),BTE,2021-08-17,7.5,7.5,7.5,7.5,20
BTE (ADP),BTE,2021-08-18,7.5,7.5,7.5,7.5,19
BTE (ADP),BTE,2021-08-19,7.5,7.5,7.5,7.5,165
BTE (ADP),BTE,2021-08-24,7.5,7.5,7.5,7.5,80
BTE (ADP),BTE,2021-08-26,7.28,7.28,7.28,7.28,4
BTE (ADP),BTE,2021-09-01,7.6,7.6,7.6,7.6,1
BTE (ADP),BTE,2021-09-03,7.6,7.6,7.6,7.6,10
BTE (ADP),BTE,2021-09-17,7.21,7.21,7.21,7.21,22
BTE (ADP),BTE,2021-09-20,7.0,7.0,7.0,7.0,33
BTE (ADP),BTE,2021-09-24,6.7,6.7,6.7,6.7,15
BTE (ADP),BTE,2021-10-05,6.5,6.5,6.4,6.5,27
BTE (ADP),BTE,2021-10-07,6.6,6.6,6.5,6.6,4
BTE (ADP),BTE,2021-10-08,6.73,6.73,6.6,6.73,200
BTE (ADP),BTE,2021-10-11,6.86,6.86,6.73,6.86,400
BTE (ADP),BTE,2021-10-12,6.99,6.99,6.86,6.99,100
BTE (ADP),BTE,2021-10-13,7.0,7.0,6.99,7.0,45
BTE (ADP),BTE,2021-10-14,6.7,7.0,6.7,6.7,150
BTE (ADP),BTE,2021-10-19,6.7,6.7,6.7,6.7,75
BTE (ADP),BTE,2021-10-21,6.8,6.8,6.7,6.8,111
BTE (ADP),BTE,2021-10-22,6.8,6.8,6.8,6.8,100
BTE (ADP),BTE,2021-10-25,6.8,6.8,6.8,6.8,10
BTE (ADP),BTE,2021-10-27,6.8,6.8,6.8,6.8,6
BTE (ADP),BTE,2021-10-28,6.8,6.8,6.8,6.8,1050
BTE (ADP),BTE,2021-11-01,6.8,6.8,6.8,6.8,10
BTE (ADP),BTE,2021-11-02,6.8,6.8,6.8,6.8,61
BTE (ADP),BTE,2021-11-04,6.9,6.9,6.8,6.9,373
BTE (ADP),BTE,2021-11-05,7.2,7.2,6.9,7.2,30
BTE (ADP),BTE,2021-11-09,7.53,7.53,7.52,7.53,310
BTE (ADP),BTE,2021-11-10,7.53,7.53,7.53,7.53,170
BTE (ADP),BTE,2021-11-11,7.6,7.6,7.53,7.6,76
BTE (ADP),BTE,2021-11-16,7.17,7.26,7.17,7.17,3
BTE (ADP),BTE,2021-11-23,7.74,7.74,7.58,7.74,265
BTE (ADP),BTE,2021-11-24,7.74,7.74,7.74,7.74,150
BTE (ADP),BTE,2021-11-30,7.34,7.4,7.34,7.34,5
BTE (ADP),BTE,2021-12-06,7.34,7.39,7.34,7.34,65
BTE (ADP),BTE,2021-12-07,7.34,7.34,7.34,7.34,200
BTE (ADP),BTE,2021-12-09,7.33,7.34,7.33,7.33,200
BTE (ADP),BTE,2021-12-10,7.33,7.33,7.33,7.33,298
BTE (ADP),BTE,2022-03-15,7.28,7.28,7.27,7.28,65
BTE (ADP),BTE,2022-03-16,7.27,7.28,7.27,7.27,205
BTE (ADP),BTE,2022-03-25,7.0,7.27,7.0,7.0,200
BTE (ADP),BTE,2022-04-04,6.41,6.69,6.41,6.41,466
BTE (ADP),BTE,2022-04-05,6.68,6.69,6.41,6.68,37
BTE (ADP),BTE,2022-04-06,6.67,6.7,6.67,6.67,586
BTE (ADP),BTE,2022-04-07,6.95,6.95,6.67,6.95,1
BTE (ADP),BTE,2022-04-08,6.9,6.95,6.9,6.9,10
BTE (ADP),BTE,2022-04-11,6.9,6.9,6.9,6.9,80
BTE (ADP),BTE,2022-04-12,6.59,6.9,6.59,6.59,914
BTE (ADP),BTE,2022-04-13,6.85,6.85,6.59,6.85,25
BTE (ADP),BTE,2022-04-14,6.55,6.85,6.55,6.55,430
BTE (ADP),BTE,2022-04-15,6.39,6.55,6.39,6.39,556
BTE (ADP),BTE,2022-04-18,6.6,6.6,6.39,6.6,25
BTE (ADP),BTE,2022-04-21,6.6,6.6,6.6,6.6,450
BTE (ADP),BTE,2022-04-22,6.31,6.6,6.31,6.31,32
