ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
DELICE HOLDING,DH,2021-06-17,7.4,7.4,7.4,7.4,400
DELICE HOLDING,DH,2021-06-18,7.3,7.3,7.29,7.29,1080
DELICE HOLDING,DH,2021-06-21,7.3,7.3,7.3,7.3,5000
DELICE HOLDING,DH,2021-06-22,7.255,7.255,7.255,7.255,700
DELICE HOLDING,DH,2021-06-23,7.255,7.395,7.255,7.3,3802
DELICE HOLDING,DH,2021-06-24,7.3,7.3,7.3,7.3,4194
DELICE HOLDING,DH,2021-06-25,7.29,7.35,7.285,7.35,6542
DELICE HOLDING,DH,2021-06-28,7.35,7.35,7.25,7.29,2688
DELICE HOLDING,DH,2021-06-29,7.25,7.35,7.25,7.35,3168
DELICE HOLDING,DH,2021-06-30,7.35,7.375,7.35,7.35,10784
DELICE HOLDING,DH,2021-07-01,7.395,7.45,7.395,7.425,11800
DELICE HOLDING,DH,2021-07-02,7.29,7.425,7.25,7.425,21246
DELICE HOLDING,DH,2021-07-05,7.425,7.425,7.425,7.425,1000
DELICE HOLDING,DH,2021-07-06,7.375,7.375,7.3,7.3,1740
DELICE HOLDING,DH,2021-07-07,7.3,7.3,7.3,7.3,914
DELICE HOLDING,DH,2021-07-08,7.4,7.435,7.4,7.4,22714
DELICE HOLDING,DH,2021-07-09,7.4,7.4,7.3,7.4,1228
DELICE HOLDING,DH,2021-07-12,7.4,7.4,7.3,7.395,12900
DELICE HOLDING,DH,2021-07-13,7.21,7.325,7.2,7.325,1280
DELICE HOLDING,DH,2021-07-14,7.35,7.35,7.325,7.325,1354
DELICE HOLDING,DH,2021-07-15,7.325,7.325,7.325,7.325,136
DELICE HOLDING,DH,2021-07-16,7.3,7.325,7.3,7.325,422
DELICE HOLDING,DH,2021-07-19,7.325,7.325,7.325,7.325,42
DELICE HOLDING,DH,2021-07-22,7.325,7.325,7.25,7.325,2260
DELICE HOLDING,DH,2021-07-23,7.325,7.35,7.325,7.35,1032
DELICE HOLDING,DH,2021-07-26,7.33,7.35,7.2,7.35,2324
DELICE HOLDING,DH,2021-07-27,7.3,7.35,7.3,7.35,1604
DELICE HOLDING,DH,2021-07-28,7.35,7.35,7.325,7.325,596
DELICE HOLDING,DH,2021-07-29,7.295,7.375,7.29,7.375,6224
DELICE HOLDING,DH,2021-07-30,7.39,7.425,7.39,7.425,6918
DELICE HOLDING,DH,2021-08-02,7.4,7.4,7.4,7.4,400
DELICE HOLDING,DH,2021-08-03,7.4,7.4,7.4,7.4,800
DELICE HOLDING,DH,2021-08-04,7.4,7.4,7.35,7.4,25772
DELICE HOLDING,DH,2021-08-05,7.415,7.5,7.415,7.42,59142
DELICE HOLDING,DH,2021-08-09,7.42,7.45,7.42,7.45,8
DELICE HOLDING,DH,2021-08-11,7.35,7.45,7.33,7.45,402
DELICE HOLDING,DH,2021-08-12,7.33,7.45,7.325,7.45,2202
DELICE HOLDING,DH,2021-08-16,7.425,7.45,7.33,7.45,904
DELICE HOLDING,DH,2021-08-18,7.33,7.33,7.33,7.33,200
DELICE HOLDING,DH,2021-08-19,7.33,7.45,7.33,7.45,2434
DELICE HOLDING,DH,2021-08-20,7.45,7.45,7.35,7.44,2276
DELICE HOLDING,DH,2021-08-23,7.45,7.45,7.35,7.35,10352
DELICE HOLDING,DH,2021-08-24,7.35,7.4,7.34,7.4,330
DELICE HOLDING,DH,2021-08-25,7.35,7.45,7.35,7.4,2656
DELICE HOLDING,DH,2021-08-26,7.445,7.445,7.355,7.445,342
DELICE HOLDING,DH,2021-08-27,7.355,7.45,7.35,7.45,574
DELICE HOLDING,DH,2021-08-31,7.4,7.45,7.4,7.4,110
DELICE HOLDING,DH,2021-09-01,7.375,7.375,7.35,7.35,5512
DELICE HOLDING,DH,2021-09-02,7.35,7.35,7.35,7.35,60
DELICE HOLDING,DH,2021-09-03,7.25,7.25,7.25,7.25,1900
DELICE HOLDING,DH,2021-09-06,7.25,7.25,7.25,7.25,1718
DELICE HOLDING,DH,2021-09-07,7.25,7.34,7.25,7.34,3202
DELICE HOLDING,DH,2021-09-08,7.35,7.35,7.35,7.35,780
DELICE HOLDING,DH,2021-09-09,7.305,7.305,7.3,7.3,1874
DELICE HOLDING,DH,2021-09-10,7.345,7.35,7.345,7.35,4000
DELICE HOLDING,DH,2021-09-13,7.3,7.3,7.3,7.3,60
DELICE HOLDING,DH,2021-09-14,7.35,7.35,7.25,7.25,116096
DELICE HOLDING,DH,2021-09-15,7.225,7.225,7.225,7.225,1000
DELICE HOLDING,DH,2021-09-16,7.225,7.35,7.225,7.35,442
DELICE HOLDING,DH,2021-09-17,7.35,7.35,7.325,7.325,112
DELICE HOLDING,DH,2021-09-20,7.325,7.35,7.3,7.32,83230
DELICE HOLDING,DH,2021-09-21,7.34,7.34,7.34,7.34,2000
DELICE HOLDING,DH,2021-09-22,7.32,7.34,7.32,7.255,84
DELICE HOLDING,DH,2021-09-23,7.255,7.3,7.25,7.255,6172
DELICE HOLDING,DH,2021-09-24,7.3,7.3,7.25,7.275,9604
DELICE HOLDING,DH,2021-09-27,7.275,7.275,7.25,7.275,1778
DELICE HOLDING,DH,2021-09-28,7.25,7.3,7.25,7.25,10662
DELICE HOLDING,DH,2021-09-29,7.345,7.35,7.345,7.35,3344
DELICE HOLDING,DH,2021-09-30,7.35,7.35,7.35,7.35,1740
DELICE HOLDING,DH,2021-10-01,7.325,7.35,7.25,7.325,1004
DELICE HOLDING,DH,2021-10-04,7.3,7.325,7.3,7.3,1170
DELICE HOLDING,DH,2021-10-05,7.275,7.3,7.25,7.275,7062
DELICE HOLDING,DH,2021-10-06,7.325,7.35,7.25,7.325,13688
DELICE HOLDING,DH,2021-10-07,7.325,7.35,7.325,7.325,46
DELICE HOLDING,DH,2021-10-08,7.35,7.35,7.25,7.35,4570
DELICE HOLDING,DH,2021-10-11,7.35,7.4,7.35,7.35,6000
DELICE HOLDING,DH,2021-10-12,7.345,7.35,7.32,7.345,822
DELICE HOLDING,DH,2021-10-13,7.35,7.35,7.345,7.35,1000
DELICE HOLDING,DH,2021-10-14,7.35,7.35,7.215,7.35,1244
DELICE HOLDING,DH,2021-10-19,7.35,7.35,7.35,7.35,1010
DELICE HOLDING,DH,2021-10-20,7.345,7.35,7.345,7.345,6
DELICE HOLDING,DH,2021-10-21,7.345,7.345,7.345,7.345,1000
DELICE HOLDING,DH,2021-10-22,7.3,7.345,7.25,7.3,2938
DELICE HOLDING,DH,2021-10-25,7.3,7.3,7.25,7.3,1170
DELICE HOLDING,DH,2021-10-26,7.25,7.3,7.25,7.25,2360
DELICE HOLDING,DH,2021-10-27,7.25,7.25,7.225,7.25,3274
DELICE HOLDING,DH,2021-10-28,7.3,7.345,7.24,7.3,72016
DELICE HOLDING,DH,2021-10-29,7.345,7.345,7.3,7.345,23032
DELICE HOLDING,DH,2021-11-01,7.35,7.35,7.345,7.35,5308
DELICE HOLDING,DH,2021-11-02,7.39,7.39,7.35,7.39,4494
DELICE HOLDING,DH,2021-11-03,7.35,7.4,7.35,7.35,6340
DELICE HOLDING,DH,2021-11-04,7.425,7.425,7.35,7.425,21808
DELICE HOLDING,DH,2021-11-05,7.35,7.425,7.35,7.35,1446
DELICE HOLDING,DH,2021-11-08,7.345,7.35,7.345,7.345,586
DELICE HOLDING,DH,2021-11-09,7.375,7.375,7.345,7.375,400
DELICE HOLDING,DH,2021-11-10,7.35,7.375,7.35,7.35,800
DELICE HOLDING,DH,2021-11-11,7.35,7.37,7.35,7.35,4234
DELICE HOLDING,DH,2021-11-12,7.37,7.37,7.345,7.37,514
DELICE HOLDING,DH,2021-11-15,7.37,7.37,7.35,7.37,1610
DELICE HOLDING,DH,2021-11-16,7.37,7.37,7.35,7.37,820
DELICE HOLDING,DH,2021-11-17,7.37,7.4,7.365,7.37,6326
DELICE HOLDING,DH,2021-11-18,7.37,7.37,7.37,7.37,400
DELICE HOLDING,DH,2021-11-19,7.4,7.4,7.37,7.4,2552
DELICE HOLDING,DH,2021-11-22,7.35,7.4,7.35,7.35,360
DELICE HOLDING,DH,2021-11-23,7.3,7.35,7.275,7.3,2160
DELICE HOLDING,DH,2021-11-24,7.4,7.4,7.3,7.4,2000
DELICE HOLDING,DH,2021-11-25,7.4,7.4,7.4,7.4,692
DELICE HOLDING,DH,2021-11-26,7.4,7.4,7.35,7.4,400
DELICE HOLDING,DH,2021-11-29,7.4,7.4,7.39,7.4,14600
DELICE HOLDING,DH,2021-11-30,7.4,7.4,7.375,7.4,57690
DELICE HOLDING,DH,2021-12-01,7.395,7.4,7.395,7.395,114720
DELICE HOLDING,DH,2021-12-02,7.39,7.395,7.3,7.39,2202
DELICE HOLDING,DH,2021-12-03,7.395,7.395,7.39,7.395,85162
DELICE HOLDING,DH,2021-12-06,7.35,7.395,7.35,7.35,1000
DELICE HOLDING,DH,2021-12-07,7.3,7.395,7.3,7.3,1152
DELICE HOLDING,DH,2021-12-08,7.325,7.4,7.3,7.325,800
DELICE HOLDING,DH,2021-12-09,7.39,7.395,7.39,7.39,86140
DELICE HOLDING,DH,2021-12-10,7.39,7.39,7.305,7.39,49858
DELICE HOLDING,DH,2021-12-13,7.4,7.4,7.39,7.4,3218
DELICE HOLDING,DH,2022-03-15,7.845,7.845,7.64,7.845,1152
DELICE HOLDING,DH,2022-03-16,7.845,7.845,7.665,7.845,386
DELICE HOLDING,DH,2022-03-17,7.845,7.845,7.84,7.845,5000
DELICE HOLDING,DH,2022-03-18,7.85,7.85,7.755,7.85,1026
DELICE HOLDING,DH,2022-03-21,7.85,7.85,7.85,7.85,11768
DELICE HOLDING,DH,2022-03-22,7.825,7.85,7.825,7.825,8620
DELICE HOLDING,DH,2022-03-23,7.845,7.845,7.825,7.845,400
DELICE HOLDING,DH,2022-03-24,7.85,7.855,7.845,7.85,17064
DELICE HOLDING,DH,2022-03-25,7.85,7.85,7.75,7.85,2686
DELICE HOLDING,DH,2022-03-28,7.75,7.89,7.75,7.75,6400
DELICE HOLDING,DH,2022-03-29,7.75,7.75,7.75,7.75,598
DELICE HOLDING,DH,2022-03-30,7.75,7.75,7.75,7.75,80
DELICE HOLDING,DH,2022-03-31,7.75,7.75,7.625,7.75,6198
DELICE HOLDING,DH,2022-04-01,7.75,7.75,7.75,7.75,8522
DELICE HOLDING,DH,2022-04-04,7.75,7.75,7.75,7.75,1180
DELICE HOLDING,DH,2022-04-05,7.8,7.8,7.75,7.8,176
DELICE HOLDING,DH,2022-04-06,7.75,7.8,7.75,7.75,20
DELICE HOLDING,DH,2022-04-07,7.75,7.75,7.75,7.75,1160
DELICE HOLDING,DH,2022-04-08,7.75,7.75,7.75,7.75,2000
DELICE HOLDING,DH,2022-04-11,7.745,7.75,7.745,7.745,614
DELICE HOLDING,DH,2022-04-12,7.75,7.75,7.64,7.75,7230
DELICE HOLDING,DH,2022-04-13,7.75,7.75,7.725,7.75,5000
DELICE HOLDING,DH,2022-04-14,7.725,7.75,7.725,7.725,3544
DELICE HOLDING,DH,2022-04-15,7.75,7.775,7.725,7.75,15774
DELICE HOLDING,DH,2022-04-18,7.75,7.75,7.725,7.75,6148
DELICE HOLDING,DH,2022-04-19,7.745,7.75,7.5,7.745,9038
DELICE HOLDING,DH,2022-04-20,7.745,7.75,7.74,7.745,4086
DELICE HOLDING,DH,2022-04-21,7.775,7.775,7.745,7.775,4528
DELICE HOLDING,DH,2022-04-22,7.74,7.775,7.505,7.74,1236
DELICE HOLDING,DH,2022-04-25,7.75,7.75,7.735,7.75,3994
DELICE HOLDING,DH,2022-04-26,7.75,7.75,7.75,7.75,2400
DELICE HOLDING,DH,2022-04-27,7.75,7.75,7.75,7.75,2
DELICE HOLDING,DH,2022-04-28,7.75,7.75,7.7,7.75,2002
DELICE HOLDING,DH,2022-05-04,7.75,7.75,7.7,7.75,17000
DELICE HOLDING,DH,2022-05-05,7.75,7.75,7.75,7.75,80
DELICE HOLDING,DH,2022-05-06,7.7,7.75,7.5,7.7,11002
DELICE HOLDING,DH,2022-05-10,7.695,7.7,7.695,7.695,56
DELICE HOLDING,DH,2022-05-11,7.75,7.75,7.69,7.75,10250
DELICE HOLDING,DH,2022-05-12,7.595,7.75,7.595,7.595,1040
DELICE HOLDING,DH,2022-05-13,7.75,7.775,7.595,7.75,31720
DELICE HOLDING,DH,2022-05-16,7.745,7.75,7.6,7.745,366
DELICE HOLDING,DH,2022-05-17,7.745,7.75,7.595,7.745,1578
DELICE HOLDING,DH,2022-05-18,7.7,7.7,7.6,7.7,1200
DELICE HOLDING,DH,2022-05-19,7.7,7.7,7.6,7.7,2026
DELICE HOLDING,DH,2022-05-20,7.65,7.7,7.6,7.65,3442
DELICE HOLDING,DH,2022-05-23,7.55,7.65,7.55,7.55,3428
DELICE HOLDING,DH,2022-05-25,7.65,7.65,7.6,7.65,8602
DELICE HOLDING,DH,2022-05-26,7.55,7.65,7.55,7.55,36
DELICE HOLDING,DH,2022-05-27,7.5,7.6,7.5,7.5,11588
DELICE HOLDING,DH,2022-05-30,7.45,7.5,7.4,7.45,2850
DELICE HOLDING,DH,2022-05-31,7.5,7.5,7.45,7.5,1386
DELICE HOLDING,DH,2022-06-01,7.5,7.5,7.5,7.5,1558
DELICE HOLDING,DH,2022-06-02,7.5,7.5,7.4,7.5,4332
DELICE HOLDING,DH,2022-06-03,7.5,7.5,7.35,7.5,2204
DELICE HOLDING,DH,2022-06-06,7.5,7.5,7.5,7.5,920
DELICE HOLDING,DH,2022-06-07,7.49,7.5,7.49,7.49,1700
DELICE HOLDING,DH,2022-06-08,7.49,7.5,7.49,7.49,2604
DELICE HOLDING,DH,2022-06-09,7.49,7.49,7.49,7.49,20
DELICE HOLDING,DH,2022-06-10,7.5,7.5,7.31,7.5,220
DELICE HOLDING,DH,2022-06-13,7.5,7.5,7.5,7.5,300
DELICE HOLDING,DH,2022-06-14,7.5,7.5,7.5,7.5,220
DELICE HOLDING,DH,2022-06-15,7.5,7.5,7.5,7.5,5120
DELICE HOLDING,DH,2022-06-16,7.645,7.645,7.5,7.645,864
DELICE HOLDING,DH,2022-06-17,7.55,7.645,7.55,7.55,300
DELICE HOLDING,DH,2022-06-20,7.55,7.645,7.55,7.55,1652
DELICE HOLDING,DH,2022-06-21,7.5,7.55,7.5,7.5,5866
DELICE HOLDING,DH,2022-06-22,7.425,7.5,7.405,7.425,7718
DELICE HOLDING,DH,2022-06-24,7.5,7.5,7.425,7.5,2466
DELICE HOLDING,DH,2022-06-27,7.44,7.5,7.435,7.44,1094
DELICE HOLDING,DH,2022-06-28,7.6,7.6,7.44,7.6,4
DELICE HOLDING,DH,2022-06-29,7.6,7.6,7.6,7.6,2074
DELICE HOLDING,DH,2022-07-01,7.5,7.6,7.5,7.5,412
DELICE HOLDING,DH,2022-07-06,7.5,7.5,7.5,7.5,194
DELICE HOLDING,DH,2022-07-08,7.59,7.59,7.5,7.59,50
DELICE HOLDING,DH,2022-07-12,7.575,7.59,7.46,7.575,4064
DELICE HOLDING,DH,2022-07-14,7.6,7.6,7.55,7.6,3974
DELICE HOLDING,DH,2022-07-15,7.55,7.6,7.415,7.55,584
DELICE HOLDING,DH,2022-07-18,7.465,7.55,7.46,7.465,1280
DELICE HOLDING,DH,2022-07-19,7.485,7.485,7.465,7.485,454
DELICE HOLDING,DH,2022-07-21,7.55,7.55,7.485,7.55,14
DELICE HOLDING,DH,2022-07-22,7.55,7.55,7.55,7.55,3416
DELICE HOLDING,DH,2022-07-26,7.61,7.61,7.55,7.61,11888
DELICE HOLDING,DH,2022-07-27,7.6,7.65,7.6,7.6,4510
DELICE HOLDING,DH,2022-07-28,7.65,7.65,7.6,7.65,63312
DELICE HOLDING,DH,2022-07-29,7.65,7.65,7.61,7.65,9812
DELICE HOLDING,DH,2022-08-01,7.65,7.65,7.65,7.65,4010
DELICE HOLDING,DH,2022-08-02,7.65,7.65,7.5,7.65,81874
DELICE HOLDING,DH,2022-08-04,7.525,7.65,7.515,7.525,1750
DELICE HOLDING,DH,2022-08-05,7.53,7.6,7.525,7.53,5726
DELICE HOLDING,DH,2022-08-08,7.56,7.56,7.53,7.56,2720
DELICE HOLDING,DH,2022-08-09,7.625,7.65,7.56,7.625,5318
DELICE HOLDING,DH,2022-08-10,7.6,7.625,7.575,7.6,1620
DELICE HOLDING,DH,2022-08-11,7.645,7.645,7.6,7.645,804
DELICE HOLDING,DH,2022-08-15,7.65,7.65,7.64,7.65,12556
DELICE HOLDING,DH,2022-08-16,7.65,7.65,7.565,7.65,970
DELICE HOLDING,DH,2022-08-17,7.65,7.7,7.65,7.65,44516
DELICE HOLDING,DH,2022-08-18,7.65,7.65,7.56,7.65,1310
DELICE HOLDING,DH,2022-08-19,7.645,7.65,7.645,7.645,550
DELICE HOLDING,DH,2022-08-22,7.645,7.645,7.645,7.645,1400
DELICE HOLDING,DH,2022-08-23,7.645,7.645,7.64,7.645,1400
DELICE HOLDING,DH,2022-08-24,7.645,7.645,7.645,7.645,2800
DELICE HOLDING,DH,2022-08-25,7.645,7.65,7.645,7.645,30808
DELICE HOLDING,DH,2022-08-26,7.645,7.65,7.645,7.645,4960
DELICE HOLDING,DH,2022-08-29,7.645,7.645,7.6,7.645,1432
DELICE HOLDING,DH,2022-08-30,7.605,7.645,7.6,7.605,3744
DELICE HOLDING,DH,2022-08-31,7.605,7.605,7.605,7.605,2320
DELICE HOLDING,DH,2022-09-01,7.645,7.645,7.6,7.645,7986
DELICE HOLDING,DH,2022-09-02,7.56,7.645,7.55,7.56,4352
DELICE HOLDING,DH,2022-09-05,7.565,7.565,7.55,7.565,15336
DELICE HOLDING,DH,2022-09-06,7.525,7.6,7.525,7.525,67830
DELICE HOLDING,DH,2022-09-07,7.5,7.525,7.5,7.5,28374
DELICE HOLDING,DH,2022-09-08,7.5,7.5,7.4,7.5,4130
DELICE HOLDING,DH,2022-09-09,7.4,7.5,7.4,7.4,16352
DELICE HOLDING,DH,2022-09-12,7.21,7.45,7.21,7.21,26970
DELICE HOLDING,DH,2022-09-13,7.175,7.3,7.175,7.175,17912
DELICE HOLDING,DH,2022-09-14,7.25,7.25,7.175,7.25,600
DELICE HOLDING,DH,2022-09-15,7.195,7.25,7.19,7.195,468
DELICE HOLDING,DH,2022-09-16,7.1,7.195,7.1,7.1,1100
DELICE HOLDING,DH,2022-09-19,7.155,7.155,7.075,7.155,2706
DELICE HOLDING,DH,2022-09-20,7.13,7.155,7.13,7.13,1330
DELICE HOLDING,DH,2022-09-21,7.2,7.2,7.13,7.2,11502
DELICE HOLDING,DH,2022-09-22,7.15,7.3,7.15,7.15,32122
DELICE HOLDING,DH,2022-09-23,7.05,7.235,7.04,7.05,7924
DELICE HOLDING,DH,2022-09-26,7.15,7.245,7.05,7.15,736
DELICE HOLDING,DH,2022-09-27,7.1,7.175,7.1,7.1,2406
DELICE HOLDING,DH,2022-09-28,6.95,7.1,6.9,6.95,12058
DELICE HOLDING,DH,2022-09-29,6.81,6.95,6.81,6.81,2918
DELICE HOLDING,DH,2022-09-30,6.825,6.9,6.81,6.825,1536
DELICE HOLDING,DH,2022-10-03,6.975,7.0,6.81,6.975,9890
DELICE HOLDING,DH,2022-10-04,6.975,7.0,6.975,6.975,3282
DELICE HOLDING,DH,2022-10-05,6.975,6.975,6.975,6.975,10
DELICE HOLDING,DH,2022-10-06,7.0,7.0,6.975,7.0,2642
DELICE HOLDING,DH,2022-10-07,7.0,7.0,7.0,7.0,162
DELICE HOLDING,DH,2022-10-10,6.95,7.0,6.95,6.95,2504
DELICE HOLDING,DH,2022-10-11,6.9,6.95,6.89,6.9,1504
DELICE HOLDING,DH,2022-10-12,6.9,6.9,6.885,6.9,834
DELICE HOLDING,DH,2022-10-13,7.0,7.0,6.9,7.0,2050
DELICE HOLDING,DH,2022-10-17,7.0,7.0,6.995,7.0,1020
DELICE HOLDING,DH,2022-10-18,7.0,7.0,6.93,7.0,1924
DELICE HOLDING,DH,2022-10-19,7.0,7.0,6.995,7.0,5802
DELICE HOLDING,DH,2022-10-20,7.0,7.005,7.0,7.0,7482
DELICE HOLDING,DH,2022-10-21,7.0,7.0,6.925,7.0,3200
DELICE HOLDING,DH,2022-10-27,7.125,7.25,7.125,7.125,578
DELICE HOLDING,DH,2022-10-28,7.125,7.245,7.125,7.125,598
DELICE HOLDING,DH,2022-10-31,6.93,7.125,6.93,6.93,900
DELICE HOLDING,DH,2022-11-01,6.95,6.95,6.925,6.95,2024
DELICE HOLDING,DH,2022-11-02,6.95,6.955,6.95,6.95,778
DELICE HOLDING,DH,2022-11-03,6.925,6.95,6.925,6.925,4620
DELICE HOLDING,DH,2022-11-04,6.95,6.95,6.925,6.95,7690
DELICE HOLDING,DH,2022-11-08,6.95,6.95,6.95,6.95,22
DELICE HOLDING,DH,2022-11-10,6.9,7.0,6.9,6.9,380
DELICE HOLDING,DH,2022-11-11,6.9,6.95,6.9,6.9,862
DELICE HOLDING,DH,2022-11-14,6.75,6.9,6.75,6.75,2474
DELICE HOLDING,DH,2022-11-15,6.75,6.75,6.6,6.75,650
DELICE HOLDING,DH,2022-11-16,6.5,6.75,6.5,6.5,2214
DELICE HOLDING,DH,2022-11-17,6.45,6.5,6.45,6.45,86
DELICE HOLDING,DH,2022-11-18,6.36,6.45,6.35,6.36,1446
DELICE HOLDING,DH,2022-11-23,6.5,6.5,6.495,6.5,1082
DELICE HOLDING,DH,2022-11-24,6.5,6.5,6.5,6.5,600
DELICE HOLDING,DH,2022-11-25,6.495,6.5,6.49,6.495,2514
DELICE HOLDING,DH,2022-11-28,6.4,6.495,6.4,6.4,2342
DELICE HOLDING,DH,2022-11-29,6.495,6.5,6.4,6.495,1062
DELICE HOLDING,DH,2022-11-30,6.5,6.5,6.495,6.5,700
DELICE HOLDING,DH,2022-12-01,6.31,6.6,6.31,6.31,1094
