ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
GIF FILTER,GIF,2021-06-17,0.63,0.64,0.62,0.62,3372
GIF FILTER,GIF,2021-06-18,0.64,0.64,0.6,0.6,11628
GIF FILTER,GIF,2021-06-21,0.6,0.6,0.59,0.59,5092
GIF FILTER,GIF,2021-06-22,0.58,0.58,0.57,0.57,4380
GIF FILTER,GIF,2021-06-23,0.57,0.57,0.56,0.56,3177
GIF FILTER,GIF,2021-06-24,0.57,0.57,0.54,0.55,10232
GIF FILTER,GIF,2021-06-25,0.55,0.58,0.55,0.58,9910
GIF FILTER,GIF,2021-06-28,0.59,0.61,0.57,0.58,21086
GIF FILTER,GIF,2021-06-29,0.6,0.6,0.56,0.56,23229
GIF FILTER,GIF,2021-06-30,0.57,0.57,0.56,0.56,1539
GIF FILTER,GIF,2021-07-01,0.56,0.56,0.56,0.56,591
GIF FILTER,GIF,2021-07-02,0.55,0.55,0.55,0.55,1528
GIF FILTER,GIF,2021-07-07,0.52,0.52,0.52,0.52,21984
GIF FILTER,GIF,2021-07-08,0.51,0.51,0.51,0.51,1650
GIF FILTER,GIF,2021-07-12,0.49,0.49,0.49,0.49,26735
GIF FILTER,GIF,2021-07-14,0.47,0.47,0.47,0.47,20220
GIF FILTER,GIF,2021-07-15,0.47,0.47,0.47,0.47,36838
GIF FILTER,GIF,2021-07-26,0.52,0.52,0.52,0.52,3346
GIF FILTER,GIF,2021-07-27,0.52,0.52,0.52,0.52,3000
GIF FILTER,GIF,2021-07-28,0.53,0.53,0.53,0.53,3046
GIF FILTER,GIF,2021-07-29,0.54,0.54,0.54,0.54,1222
GIF FILTER,GIF,2021-08-05,0.57,0.57,0.57,0.57,2831
GIF FILTER,GIF,2021-08-06,0.56,0.56,0.56,0.56,11786
GIF FILTER,GIF,2021-08-09,0.55,0.55,0.55,0.55,7550
GIF FILTER,GIF,2021-08-11,0.56,0.56,0.56,0.56,50
GIF FILTER,GIF,2021-08-18,0.54,0.54,0.54,0.54,1848
GIF FILTER,GIF,2021-08-19,0.54,0.54,0.54,0.54,501
GIF FILTER,GIF,2021-08-23,0.52,0.52,0.52,0.52,3351
GIF FILTER,GIF,2021-08-24,0.52,0.52,0.52,0.52,3000
GIF FILTER,GIF,2021-08-25,0.53,0.53,0.53,0.53,500
GIF FILTER,GIF,2021-08-26,0.52,0.52,0.52,0.52,100
GIF FILTER,GIF,2021-09-14,0.51,0.51,0.51,0.51,1860
GIF FILTER,GIF,2021-09-15,0.52,0.52,0.52,0.52,300
GIF FILTER,GIF,2021-09-16,0.52,0.52,0.52,0.52,2000
GIF FILTER,GIF,2021-09-17,0.52,0.52,0.52,0.52,2569
GIF FILTER,GIF,2021-09-20,0.53,0.53,0.53,0.53,200
GIF FILTER,GIF,2021-09-22,0.52,0.52,0.52,0.52,1226
GIF FILTER,GIF,2021-09-24,0.53,0.53,0.53,0.53,76
GIF FILTER,GIF,2021-09-27,0.51,0.51,0.51,0.51,870
GIF FILTER,GIF,2021-09-28,0.5,0.51,0.5,0.5,1125
GIF FILTER,GIF,2021-09-29,0.52,0.52,0.52,0.52,611
GIF FILTER,GIF,2021-09-30,0.53,0.53,0.53,0.53,503
GIF FILTER,GIF,2021-10-01,0.53,0.53,0.53,0.53,133
GIF FILTER,GIF,2021-10-06,0.53,0.53,0.53,0.53,3326
GIF FILTER,GIF,2021-10-07,0.53,0.53,0.53,0.53,2008
GIF FILTER,GIF,2021-10-08,0.54,0.54,0.53,0.54,410
GIF FILTER,GIF,2021-10-11,0.55,0.55,0.54,0.55,910
GIF FILTER,GIF,2021-10-12,0.57,0.57,0.55,0.57,529
GIF FILTER,GIF,2021-10-14,0.55,0.55,0.55,0.55,5308
GIF FILTER,GIF,2021-10-19,0.56,0.56,0.55,0.56,8176
GIF FILTER,GIF,2021-10-20,0.56,0.56,0.56,0.56,2615
GIF FILTER,GIF,2021-10-21,0.56,0.56,0.56,0.56,7785
GIF FILTER,GIF,2021-10-22,0.58,0.58,0.56,0.58,294
GIF FILTER,GIF,2021-10-25,0.58,0.58,0.58,0.58,2300
GIF FILTER,GIF,2021-10-26,0.59,0.59,0.58,0.59,353
GIF FILTER,GIF,2021-10-27,0.59,0.59,0.59,0.59,2162
GIF FILTER,GIF,2021-10-28,0.6,0.6,0.59,0.6,1286
GIF FILTER,GIF,2021-10-29,0.6,0.6,0.6,0.6,800
GIF FILTER,GIF,2021-11-01,0.6,0.6,0.6,0.6,670
GIF FILTER,GIF,2021-11-02,0.6,0.6,0.6,0.6,170
GIF FILTER,GIF,2021-11-03,0.6,0.6,0.6,0.6,1913
GIF FILTER,GIF,2021-11-04,0.59,0.6,0.59,0.59,1600
GIF FILTER,GIF,2021-11-05,0.6,0.6,0.59,0.6,15
GIF FILTER,GIF,2021-11-08,0.59,0.6,0.59,0.59,806
GIF FILTER,GIF,2021-11-09,0.58,0.59,0.58,0.58,2176
GIF FILTER,GIF,2021-11-10,0.58,0.58,0.58,0.58,2700
GIF FILTER,GIF,2021-11-11,0.57,0.58,0.57,0.57,3937
GIF FILTER,GIF,2021-11-12,0.56,0.57,0.56,0.56,1254
GIF FILTER,GIF,2021-11-15,0.54,0.56,0.54,0.54,846
GIF FILTER,GIF,2021-11-16,0.52,0.54,0.52,0.52,700
GIF FILTER,GIF,2021-11-17,0.5,0.52,0.5,0.5,5135
GIF FILTER,GIF,2021-11-18,0.52,0.52,0.5,0.52,101
GIF FILTER,GIF,2021-11-19,0.5,0.52,0.5,0.5,3362
GIF FILTER,GIF,2021-11-22,0.48,0.5,0.48,0.48,500
GIF FILTER,GIF,2021-11-23,0.48,0.48,0.48,0.48,1295
GIF FILTER,GIF,2021-11-24,0.48,0.48,0.48,0.48,3400
GIF FILTER,GIF,2021-11-25,0.5,0.5,0.48,0.5,1000
GIF FILTER,GIF,2021-11-26,0.51,0.51,0.5,0.51,1107
GIF FILTER,GIF,2021-11-29,0.52,0.52,0.51,0.52,175
GIF FILTER,GIF,2021-11-30,0.52,0.52,0.52,0.52,2500
GIF FILTER,GIF,2021-12-01,0.53,0.53,0.52,0.53,1125
GIF FILTER,GIF,2021-12-02,0.52,0.53,0.52,0.52,1271
GIF FILTER,GIF,2021-12-06,0.51,0.52,0.51,0.51,100
GIF FILTER,GIF,2021-12-07,0.5,0.51,0.5,0.5,3121
GIF FILTER,GIF,2021-12-09,0.52,0.52,0.52,0.52,226
GIF FILTER,GIF,2022-03-14,0.44,0.44,0.43,0.44,3551
GIF FILTER,GIF,2022-03-15,0.45,0.45,0.44,0.45,4459
GIF FILTER,GIF,2022-03-16,0.46,0.46,0.45,0.46,3238
GIF FILTER,GIF,2022-03-17,0.46,0.46,0.46,0.46,3248
GIF FILTER,GIF,2022-03-21,0.45,0.45,0.44,0.45,5601
GIF FILTER,GIF,2022-03-23,0.44,0.44,0.43,0.44,4204
