ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
LAND'OR,LNDOR,2021-06-17,9.3,9.6,9.3,9.6,1679
LAND'OR,LNDOR,2021-06-18,9.6,9.6,9.6,9.6,178
LAND'OR,LNDOR,2021-06-21,9.5,9.5,9.35,9.5,265
LAND'OR,LNDOR,2021-06-22,9.35,9.6,9.35,9.59,1435
LAND'OR,LNDOR,2021-06-23,9.59,9.59,9.59,9.59,1237
LAND'OR,LNDOR,2021-06-24,9.58,9.59,9.31,9.59,1470
LAND'OR,LNDOR,2021-06-25,9.56,9.56,9.56,9.56,196
LAND'OR,LNDOR,2021-06-30,9.3,9.32,9.3,9.32,390
LAND'OR,LNDOR,2021-07-01,9.3,9.55,9.3,9.54,2006
LAND'OR,LNDOR,2021-07-02,9.55,9.55,9.27,9.27,360
LAND'OR,LNDOR,2021-07-05,9.16,9.54,9.16,9.54,1549
LAND'OR,LNDOR,2021-07-06,9.26,9.4,9.26,9.4,301
LAND'OR,LNDOR,2021-07-07,9.3,9.3,9.3,9.3,100
LAND'OR,LNDOR,2021-07-08,9.27,9.54,9.27,9.54,1530
LAND'OR,LNDOR,2021-07-09,9.54,9.69,9.26,9.69,320
LAND'OR,LNDOR,2021-07-12,9.7,9.7,9.65,9.65,43
LAND'OR,LNDOR,2021-07-15,9.72,9.72,9.72,9.72,107
LAND'OR,LNDOR,2021-07-16,9.72,9.72,9.65,9.65,2002
LAND'OR,LNDOR,2021-07-19,9.61,9.61,9.61,9.61,25
LAND'OR,LNDOR,2021-07-22,9.33,9.59,9.33,9.59,5023
LAND'OR,LNDOR,2021-07-23,9.5,9.65,9.5,9.61,490
LAND'OR,LNDOR,2021-07-26,9.33,9.59,9.2,9.49,16704
LAND'OR,LNDOR,2021-07-27,9.5,9.5,9.21,9.5,4246
LAND'OR,LNDOR,2021-07-28,9.65,9.65,9.65,9.65,2000
LAND'OR,LNDOR,2021-08-05,9.59,9.59,9.37,9.37,344
LAND'OR,LNDOR,2021-08-06,9.37,9.59,9.37,9.59,5
LAND'OR,LNDOR,2021-08-09,9.6,9.6,9.6,9.6,5
LAND'OR,LNDOR,2021-08-12,9.6,9.6,9.6,9.6,100
LAND'OR,LNDOR,2021-08-16,9.32,9.32,9.32,9.32,100
LAND'OR,LNDOR,2021-08-17,9.59,9.59,9.54,9.55,110
LAND'OR,LNDOR,2021-08-19,9.3,9.55,9.3,9.55,1086
LAND'OR,LNDOR,2021-08-20,9.58,9.58,9.58,9.58,305
LAND'OR,LNDOR,2021-08-23,9.56,9.63,9.56,9.63,4000
LAND'OR,LNDOR,2021-08-25,9.3,9.63,9.3,9.63,16003
LAND'OR,LNDOR,2021-08-26,9.64,9.7,9.64,9.7,3000
LAND'OR,LNDOR,2021-08-31,9.7,9.73,9.7,9.7,3500
LAND'OR,LNDOR,2021-09-01,9.7,9.7,9.51,9.7,6248
LAND'OR,LNDOR,2021-09-02,9.59,9.59,9.59,9.59,1500
LAND'OR,LNDOR,2021-09-03,9.4,9.59,9.4,9.59,2120
LAND'OR,LNDOR,2021-09-06,9.4,9.6,9.4,9.6,4490
LAND'OR,LNDOR,2021-09-09,9.58,9.6,9.58,9.6,470
LAND'OR,LNDOR,2021-09-13,9.58,9.58,9.4,9.4,1053
