ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
MIP,MIP,2021-07-27,0.22,0.22,0.22,0.22,1
MIP,MIP,2021-08-27,0.21,0.21,0.21,0.21,11
MIP,MIP,2021-09-06,0.21,0.21,0.21,0.21,0
MIP,MIP,2021-09-07,0.21,0.21,0.21,0.21,0
MIP,MIP,2021-09-08,0.21,0.21,0.21,0.21,0
MIP,MIP,2021-09-09,0.21,0.21,0.21,0.21,0
MIP,MIP,2021-09-10,0.21,0.21,0.21,0.21,0
MIP,MIP,2021-09-13,0.21,0.21,0.21,0.21,0
MIP,MIP,2021-09-14,0.21,0.21,0.21,0.21,0
MIP,MIP,2021-09-15,0.21,0.21,0.21,0.21,0
MIP,MIP,2021-09-16,0.21,0.21,0.21,0.21,0
MIP,MIP,2021-09-17,0.21,0.21,0.21,0.21,0
MIP,MIP,2021-09-20,0.21,0.21,0.21,0.21,0
MIP,MIP,2021-09-21,0.21,0.21,0.21,0.21,0
MIP,MIP,2021-09-22,0.21,0.21,0.21,0.21,0
MIP,MIP,2021-09-23,0.21,0.21,0.21,0.21,0
MIP,MIP,2021-09-24,0.21,0.21,0.21,0.21,0
MIP,MIP,2021-09-27,0.21,0.21,0.21,0.21,0
MIP,MIP,2021-09-28,0.21,0.21,0.21,0.21,0
MIP,MIP,2021-09-29,0.21,0.21,0.21,0.21,0
MIP,MIP,2021-09-30,0.21,0.21,0.21,0.21,0
MIP,MIP,2021-10-14,0.21,0.21,0.21,0.21,100
MIP,MIP,2021-11-05,0.21,0.21,0.21,0.21,400
MIP,MIP,2021-11-10,0.21,0.21,0.21,0.21,389
MIP,MIP,2022-03-14,0.2,0.2,0.19,0.2,57
MIP,MIP,2022-03-24,0.25,0.25,0.24,0.25,301
MIP,MIP,2022-03-31,0.21,0.22,0.21,0.21,3
MIP,MIP,2022-04-04,0.2,0.2,0.2,0.2,6
MIP,MIP,2022-04-15,0.16,0.17,0.16,0.16,14
MIP,MIP,2022-04-19,0.15,0.16,0.15,0.15,10
MIP,MIP,2022-04-20,0.15,0.15,0.15,0.15,995
MIP,MIP,2022-04-21,0.15,0.15,0.15,0.15,2142
MIP,MIP,2022-04-25,0.14,0.15,0.14,0.14,20
MIP,MIP,2022-04-26,0.13,0.14,0.13,0.13,6138
MIP,MIP,2022-04-29,0.16,0.16,0.15,0.16,1250
MIP,MIP,2022-05-09,0.17,0.17,0.17,0.17,11150
MIP,MIP,2022-05-11,0.19,0.19,0.18,0.19,9145
MIP,MIP,2022-05-12,0.2,0.2,0.19,0.2,4149
MIP,MIP,2022-05-20,0.26,0.26,0.25,0.26,11411
MIP,MIP,2022-05-24,0.28,0.28,0.27,0.28,1345
MIP,MIP,2022-06-01,0.34,0.34,0.33,0.34,9750
MIP,MIP,2022-06-02,0.34,0.34,0.34,0.34,555
MIP,MIP,2022-06-03,0.33,0.34,0.33,0.33,7000
MIP,MIP,2022-06-23,0.21,0.21,0.21,0.21,4923
MIP,MIP,2022-06-30,0.22,0.22,0.21,0.22,4175
MIP,MIP,2022-07-04,0.24,0.24,0.23,0.24,1000
MIP,MIP,2022-07-07,0.25,0.25,0.24,0.25,835
MIP,MIP,2022-07-12,0.26,0.26,0.25,0.26,1111
MIP,MIP,2022-08-12,0.22,0.23,0.22,0.22,50
MIP,MIP,2022-08-17,0.21,0.21,0.21,0.21,150
MIP,MIP,2022-08-18,0.2,0.21,0.2,0.2,115
MIP,MIP,2022-08-19,0.19,0.2,0.19,0.19,115
MIP,MIP,2022-08-22,0.18,0.19,0.18,0.18,250
MIP,MIP,2022-08-24,0.17,0.18,0.17,0.17,446
MIP,MIP,2022-08-25,0.18,0.18,0.17,0.18,1000
MIP,MIP,2022-08-26,0.18,0.18,0.18,0.18,1498
MIP,MIP,2022-08-29,0.19,0.19,0.18,0.19,226
MIP,MIP,2022-09-07,0.21,0.22,0.21,0.21,700
MIP,MIP,2022-09-14,0.18,0.19,0.18,0.18,10000
MIP,MIP,2022-09-15,0.17,0.18,0.17,0.17,165
MIP,MIP,2022-09-16,0.16,0.17,0.16,0.16,10230
MIP,MIP,2022-09-19,0.15,0.16,0.15,0.15,822
MIP,MIP,2022-09-20,0.15,0.15,0.15,0.15,200
MIP,MIP,2022-09-21,0.15,0.15,0.15,0.15,1000
MIP,MIP,2022-09-23,0.17,0.17,0.16,0.17,10000
