ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
ENNAKL AUTOMOBILES,NAKL,2021-06-17,12.29,12.29,12.06,12.06,634
ENNAKL AUTOMOBILES,NAKL,2021-06-18,12.28,12.28,12.28,12.28,205
ENNAKL AUTOMOBILES,NAKL,2021-06-21,12.28,12.3,12.0,12.0,501
ENNAKL AUTOMOBILES,NAKL,2021-06-22,12.29,12.29,12.29,12.29,150
ENNAKL AUTOMOBILES,NAKL,2021-06-23,12.3,12.3,11.94,12.0,4252
ENNAKL AUTOMOBILES,NAKL,2021-06-24,12.29,12.29,11.8,12.0,6978
ENNAKL AUTOMOBILES,NAKL,2021-06-25,11.69,11.8,11.69,11.8,132
ENNAKL AUTOMOBILES,NAKL,2021-06-28,11.8,12.0,11.5,12.0,238
ENNAKL AUTOMOBILES,NAKL,2021-06-29,12.0,12.0,12.0,12.0,80
ENNAKL AUTOMOBILES,NAKL,2021-06-30,12.0,12.0,12.0,12.0,50
ENNAKL AUTOMOBILES,NAKL,2021-07-01,12.0,12.0,12.0,12.0,100
ENNAKL AUTOMOBILES,NAKL,2021-07-02,12.0,12.0,12.0,12.0,100
ENNAKL AUTOMOBILES,NAKL,2021-07-05,12.0,12.0,12.0,12.0,200
ENNAKL AUTOMOBILES,NAKL,2021-07-06,12.0,12.0,12.0,12.0,200
ENNAKL AUTOMOBILES,NAKL,2021-07-07,12.0,12.0,12.0,12.0,210
ENNAKL AUTOMOBILES,NAKL,2021-07-08,12.0,12.0,11.9,12.0,289
ENNAKL AUTOMOBILES,NAKL,2021-07-09,11.99,11.99,11.8,11.8,850
ENNAKL AUTOMOBILES,NAKL,2021-07-12,11.99,12.0,11.99,12.0,300
ENNAKL AUTOMOBILES,NAKL,2021-07-13,11.99,11.99,11.99,11.99,222
ENNAKL AUTOMOBILES,NAKL,2021-07-14,11.99,11.99,11.99,11.99,100
ENNAKL AUTOMOBILES,NAKL,2021-07-15,11.99,11.99,11.99,11.99,200
ENNAKL AUTOMOBILES,NAKL,2021-07-16,11.99,12.0,11.99,12.0,523
ENNAKL AUTOMOBILES,NAKL,2021-07-19,12.0,12.0,12.0,12.0,208
ENNAKL AUTOMOBILES,NAKL,2021-07-22,12.0,12.0,12.0,12.0,100
ENNAKL AUTOMOBILES,NAKL,2021-07-23,12.0,12.0,12.0,12.0,200
ENNAKL AUTOMOBILES,NAKL,2021-07-26,11.99,12.0,11.99,12.0,20
ENNAKL AUTOMOBILES,NAKL,2021-07-27,12.0,12.0,11.99,12.0,302
ENNAKL AUTOMOBILES,NAKL,2021-07-28,12.0,12.0,11.6,11.6,2635
ENNAKL AUTOMOBILES,NAKL,2021-07-29,11.6,11.6,11.1,11.1,4259
ENNAKL AUTOMOBILES,NAKL,2021-07-30,11.43,11.43,11.09,11.09,2223
ENNAKL AUTOMOBILES,NAKL,2021-08-02,11.08,11.4,10.75,10.75,14288
ENNAKL AUTOMOBILES,NAKL,2021-08-03,11.07,11.3,11.0,11.0,275
ENNAKL AUTOMOBILES,NAKL,2021-08-04,11.39,11.39,11.0,11.0,254
ENNAKL AUTOMOBILES,NAKL,2021-08-05,11.33,11.33,11.0,11.15,379
ENNAKL AUTOMOBILES,NAKL,2021-08-06,11.48,11.48,11.15,11.34,65
ENNAKL AUTOMOBILES,NAKL,2021-08-09,11.34,11.68,11.34,11.68,594
ENNAKL AUTOMOBILES,NAKL,2021-08-11,11.35,11.35,11.35,11.35,672
ENNAKL AUTOMOBILES,NAKL,2021-08-12,11.69,11.69,11.69,11.69,200
ENNAKL AUTOMOBILES,NAKL,2021-08-16,11.69,11.69,11.69,11.69,300
ENNAKL AUTOMOBILES,NAKL,2021-08-17,12.0,12.0,12.0,12.0,20
ENNAKL AUTOMOBILES,NAKL,2021-08-18,12.0,12.0,11.64,12.0,352
ENNAKL AUTOMOBILES,NAKL,2021-08-19,12.0,12.0,11.69,11.69,60
ENNAKL AUTOMOBILES,NAKL,2021-08-20,11.69,11.69,11.5,11.65,361
ENNAKL AUTOMOBILES,NAKL,2021-08-23,11.98,11.98,11.65,11.65,437
ENNAKL AUTOMOBILES,NAKL,2021-08-24,11.79,11.79,11.79,11.79,1
ENNAKL AUTOMOBILES,NAKL,2021-08-25,11.89,12.0,11.89,11.89,302
ENNAKL AUTOMOBILES,NAKL,2021-08-26,12.0,12.0,12.0,12.0,200
ENNAKL AUTOMOBILES,NAKL,2021-08-27,12.0,12.0,12.0,12.0,150
ENNAKL AUTOMOBILES,NAKL,2021-08-31,12.2,12.2,12.0,12.2,3
ENNAKL AUTOMOBILES,NAKL,2021-09-02,12.2,12.2,12.2,12.2,10
ENNAKL AUTOMOBILES,NAKL,2021-09-03,12.0,12.0,12.0,12.0,200
ENNAKL AUTOMOBILES,NAKL,2021-09-06,12.1,12.1,12.1,12.1,10
ENNAKL AUTOMOBILES,NAKL,2021-09-07,12.1,12.1,12.1,12.1,300
ENNAKL AUTOMOBILES,NAKL,2021-09-08,12.1,12.1,12.1,12.1,5
ENNAKL AUTOMOBILES,NAKL,2021-09-09,12.1,12.2,12.1,12.2,100
ENNAKL AUTOMOBILES,NAKL,2021-09-10,12.01,12.01,12.0,12.0,300
ENNAKL AUTOMOBILES,NAKL,2021-09-13,12.2,12.2,12.0,12.19,721
ENNAKL AUTOMOBILES,NAKL,2021-09-14,12.2,12.2,12.2,12.2,100
ENNAKL AUTOMOBILES,NAKL,2021-09-16,12.2,12.2,12.15,12.15,535
ENNAKL AUTOMOBILES,NAKL,2021-09-17,12.2,12.2,12.2,12.2,30
ENNAKL AUTOMOBILES,NAKL,2021-09-20,12.2,12.2,12.2,12.2,3
ENNAKL AUTOMOBILES,NAKL,2021-09-22,12.19,12.19,12.19,12.19,30
ENNAKL AUTOMOBILES,NAKL,2021-09-23,12.19,12.19,12.19,12.19,50
ENNAKL AUTOMOBILES,NAKL,2021-09-24,12.2,12.2,12.2,12.2,20
ENNAKL AUTOMOBILES,NAKL,2021-09-27,11.8,11.8,11.8,11.8,35
ENNAKL AUTOMOBILES,NAKL,2021-09-28,12.19,12.19,12.15,12.19,20
ENNAKL AUTOMOBILES,NAKL,2021-09-30,12.15,12.19,12.15,12.18,144
ENNAKL AUTOMOBILES,NAKL,2021-10-01,12.18,12.18,12.18,12.18,102
ENNAKL AUTOMOBILES,NAKL,2021-10-04,12.17,12.18,11.8,12.17,110
ENNAKL AUTOMOBILES,NAKL,2021-10-05,12.2,12.2,12.17,12.2,20
ENNAKL AUTOMOBILES,NAKL,2021-10-06,12.14,12.2,12.0,12.14,26
