ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
TUNINDEX,PX1,2021-06-17,7360.99,7364.24,7326.34,7326.34,1579579
TUNINDEX,PX1,2021-06-18,7322.42,7367.8,7312.54,7322.0,1555313
TUNINDEX,PX1,2021-06-21,7321.94,7349.7,7314.88,7323.15,2691218
TUNINDEX,PX1,2021-06-22,7319.77,7329.51,7291.13,7323.84,1817959
TUNINDEX,PX1,2021-06-23,7323.84,7324.68,7294.46,7311.45,1312876
TUNINDEX,PX1,2021-06-24,7311.45,7324.47,7272.3,7296.86,1127512
TUNINDEX,PX1,2021-06-25,7317.43,7320.19,7282.81,7304.18,931853
TUNINDEX,PX1,2021-06-28,7304.18,7319.96,7289.12,7296.06,896812
TUNINDEX,PX1,2021-06-29,7298.88,7311.92,7265.77,7265.77,1601943
TUNINDEX,PX1,2021-06-30,7272.73,7273.3,7215.82,7245.73,2024990
TUNINDEX,PX1,2021-07-01,7246.76,7262.22,7231.75,7231.75,487421
TUNINDEX,PX1,2021-07-02,7231.75,7249.06,7220.72,7234.71,466860
TUNINDEX,PX1,2021-07-05,7237.1,7242.88,7207.27,7235.05,1585943
TUNINDEX,PX1,2021-07-06,7231.82,7249.12,7226.02,7246.27,1177925
TUNINDEX,PX1,2021-07-07,7245.07,7264.96,7245.07,7255.77,1219543
TUNINDEX,PX1,2021-07-08,7257.77,7276.28,7247.52,7271.69,1633281
TUNINDEX,PX1,2021-07-09,7267.91,7271.51,7249.66,7256.35,632089
TUNINDEX,PX1,2021-07-12,7252.03,7257.24,7242.11,7252.38,1324971
TUNINDEX,PX1,2021-07-13,7254.62,7261.74,7231.28,7251.03,818668
TUNINDEX,PX1,2021-07-14,7249.21,7249.21,7219.98,7236.8,1004742
TUNINDEX,PX1,2021-07-15,7236.91,7236.91,7215.02,7227.03,952511
TUNINDEX,PX1,2021-07-16,7242.09,7283.88,7242.09,7266.0,1270860
TUNINDEX,PX1,2021-07-19,7267.6,7296.0,7253.65,7289.16,624187
TUNINDEX,PX1,2021-07-22,7289.16,7299.44,7283.22,7284.62,898291
TUNINDEX,PX1,2021-07-23,7285.27,7292.54,7264.61,7284.92,1092698
TUNINDEX,PX1,2021-07-26,7260.65,7264.75,7202.91,7235.94,1279971
TUNINDEX,PX1,2021-07-27,7232.8,7258.71,7229.64,7258.71,657859
TUNINDEX,PX1,2021-07-28,7263.58,7283.76,7259.11,7268.64,934312
TUNINDEX,PX1,2021-07-29,7287.01,7305.3,7279.37,7285.76,1876928
TUNINDEX,PX1,2021-07-30,7297.47,7319.6,7290.19,7304.52,1022263
TUNINDEX,PX1,2021-08-02,7310.27,7314.69,7293.83,7295.48,747135
TUNINDEX,PX1,2021-08-03,7295.48,7312.74,7281.59,7289.26,452088
TUNINDEX,PX1,2021-08-04,7289.26,7289.26,7263.19,7274.17,1254771
TUNINDEX,PX1,2021-08-05,7279.81,7293.87,7274.69,7293.18,1831676
TUNINDEX,PX1,2021-08-06,7296.41,7304.27,7283.57,7299.45,1931844
TUNINDEX,PX1,2021-08-09,7313.06,7318.93,7296.03,7309.61,735880
TUNINDEX,PX1,2021-08-11,7311.82,7312.64,7280.19,7282.41,1126259
TUNINDEX,PX1,2021-08-12,7282.41,7288.05,7268.62,7282.6,692740
TUNINDEX,PX1,2021-08-16,7282.6,7299.84,7282.6,7299.84,688135
TUNINDEX,PX1,2021-08-17,7302.24,7307.74,7282.5,7303.23,2184632
TUNINDEX,PX1,2021-08-18,7308.42,7320.23,7279.46,7294.77,1911641
TUNINDEX,PX1,2021-08-19,7298.6,7320.45,7271.11,7313.03,1897526
TUNINDEX,PX1,2021-08-20,7313.03,7323.15,7290.39,7322.92,2035996
TUNINDEX,PX1,2021-08-23,7317.33,7325.51,7293.16,7301.34,1193631
TUNINDEX,PX1,2021-08-24,7303.54,7318.09,7290.86,7311.64,968818
TUNINDEX,PX1,2021-08-25,7310.34,7316.74,7298.33,7311.59,1249873
TUNINDEX,PX1,2021-08-26,7314.72,7329.58,7304.52,7317.02,713104
TUNINDEX,PX1,2021-08-27,7318.54,7348.42,7316.99,7348.42,1584343
TUNINDEX,PX1,2021-08-30,7318.54,7348.42,7316.99,7348.42,654371
TUNINDEX,PX1,2021-08-31,7352.1,7374.01,7339.5,7353.63,1036656
TUNINDEX,PX1,2021-09-01,7369.84,7369.84,7341.86,7347.08,0
TUNINDEX,PX1,2021-09-02,7356.18,7356.18,7321.32,7336.52,0
TUNINDEX,PX1,2021-09-03,7356.98,7356.98,7315.02,7346.46,0
TUNINDEX,PX1,2021-09-06,7367.65,7367.65,7314.33,7321.14,0
TUNINDEX,PX1,2021-09-07,7325.6,7325.6,7283.89,7297.91,0
TUNINDEX,PX1,2021-09-08,7298.07,7298.07,7270.51,7287.18,0
TUNINDEX,PX1,2021-09-09,7293.36,7293.36,7259.42,7283.99,0
TUNINDEX,PX1,2021-09-10,7289.15,7289.15,7251.62,7288.82,0
TUNINDEX,PX1,2021-09-13,7310.67,7310.67,7277.01,7285.42,0
TUNINDEX,PX1,2021-09-14,7305.29,7305.29,7250.82,7254.48,0
TUNINDEX,PX1,2021-09-15,7263.12,7263.12,7227.04,7240.25,0
TUNINDEX,PX1,2021-09-16,7246.73,7246.73,7215.02,7243.94,0
TUNINDEX,PX1,2021-09-17,7259.91,7259.91,7205.29,7255.78,0
TUNINDEX,PX1,2021-09-20,7261.97,7261.97,7237.34,7261.97,0
TUNINDEX,PX1,2021-09-21,7261.97,7261.97,7236.09,7245.99,0
TUNINDEX,PX1,2021-09-22,7270.06,7270.06,7189.27,7209.99,0
TUNINDEX,PX1,2021-09-23,7259.66,7259.66,7195.3,7258.01,0
TUNINDEX,PX1,2021-09-24,7265.96,7265.96,7225.86,7253.15,0
TUNINDEX,PX1,2021-09-27,7293.67,7293.67,7225.76,7285.03,0
TUNINDEX,PX1,2021-09-28,7288.67,7288.67,7217.15,7246.58,0
TUNINDEX,PX1,2021-09-29,7272.73,7272.73,7231.13,7266.24,0
TUNINDEX,PX1,2021-09-30,7303.02,7303.02,7244.45,7284.25,0
TUNINDEX,PX1,2021-10-01,7284.25,7299.87,7272.95,7289.98,3172172
TUNINDEX,PX1,2021-10-04,7288.47,7295.34,7259.39,7284.01,1740782
TUNINDEX,PX1,2021-10-05,7285.16,7289.59,7253.29,7271.6,8496929
TUNINDEX,PX1,2021-10-06,7273.48,7298.95,7272.88,7281.07,2395433
TUNINDEX,PX1,2021-10-07,7281.36,7299.8,7258.07,7269.26,2767070
TUNINDEX,PX1,2021-10-08,7271.52,7279.81,7248.52,7262.94,2440276
TUNINDEX,PX1,2021-10-11,7262.29,7285.62,7242.87,7256.01,1288327
TUNINDEX,PX1,2021-10-12,7256.33,7279.18,7234.43,7241.08,2039956
TUNINDEX,PX1,2021-10-13,7241.08,7252.34,7218.52,7228.21,1854540
TUNINDEX,PX1,2021-10-14,7229.64,7236.57,7212.22,7221.34,1090480
TUNINDEX,PX1,2021-10-19,7221.34,7223.0,7170.73,7174.57,15172734
TUNINDEX,PX1,2021-10-20,7174.57,7179.73,7087.98,7105.89,1754958
TUNINDEX,PX1,2021-10-21,7100.62,7121.57,7061.73,7078.23,1605962
TUNINDEX,PX1,2021-10-22,7079.91,7091.74,6988.73,7001.72,1869056
TUNINDEX,PX1,2021-10-25,7001.59,7030.3,6984.39,7003.7,1008752
TUNINDEX,PX1,2021-10-26,7005.23,7012.53,6959.57,6983.38,823482
TUNINDEX,PX1,2021-10-27,6984.48,7016.98,6984.48,7016.98,798409
TUNINDEX,PX1,2021-10-28,7017.09,7046.81,7017.09,7046.81,1508848
TUNINDEX,PX1,2021-10-29,7047.81,7070.14,7027.11,7041.24,1696493
TUNINDEX,PX1,2021-11-01,7041.52,7061.07,7010.35,7016.65,935732
TUNINDEX,PX1,2021-11-02,7017.08,7035.28,6985.82,7012.08,1049237
TUNINDEX,PX1,2021-11-03,7012.08,7029.56,7000.85,7029.56,487207
TUNINDEX,PX1,2021-11-04,7031.08,7032.5,6989.4,7002.54,3281990
TUNINDEX,PX1,2021-11-05,7018.12,7021.62,6976.18,7002.23,860505
TUNINDEX,PX1,2021-11-08,7002.27,7006.61,6983.37,7002.35,734538
TUNINDEX,PX1,2021-11-09,7002.35,7036.82,6987.92,7022.5,2532330
TUNINDEX,PX1,2021-11-10,7026.53,7062.0,7024.88,7035.0,464939
TUNINDEX,PX1,2021-11-11,7035.45,7047.16,7032.72,7038.68,6112375
TUNINDEX,PX1,2021-11-12,7038.68,7077.96,7038.68,7044.63,817399
TUNINDEX,PX1,2021-11-15,7046.14,7065.5,7014.03,7038.21,1005883
TUNINDEX,PX1,2021-11-16,7038.28,7045.41,7019.93,7044.1,900315
TUNINDEX,PX1,2021-11-17,7044.1,7044.39,7017.59,7025.25,897973
TUNINDEX,PX1,2021-11-18,7025.21,7032.77,7013.51,7031.58,376828
TUNINDEX,PX1,2021-11-19,7031.7,7046.23,7017.23,7033.48,559357
TUNINDEX,PX1,2021-11-22,7033.04,7037.49,7014.52,7035.75,2286967
TUNINDEX,PX1,2021-11-23,7035.75,7056.54,7035.75,7055.31,618480
TUNINDEX,PX1,2021-11-24,7055.88,7059.32,7033.83,7056.58,3897274
TUNINDEX,PX1,2021-11-25,7055.07,7072.09,7051.4,7064.55,685140
TUNINDEX,PX1,2021-11-26,7065.39,7096.65,7065.39,7072.1,585788
TUNINDEX,PX1,2021-11-29,7072.88,7082.42,7053.34,7067.33,4373253
TUNINDEX,PX1,2021-11-30,7066.77,7074.94,7025.56,7043.37,84368336
TUNINDEX,PX1,2021-12-01,7044.13,7052.2,7026.07,7040.78,1691026
TUNINDEX,PX1,2021-12-02,7040.78,7040.78,6981.95,7025.34,692436
TUNINDEX,PX1,2021-12-03,7024.9,7024.9,6993.57,7019.96,1810618
TUNINDEX,PX1,2021-12-06,7019.68,7023.72,6966.61,6980.85,479257
TUNINDEX,PX1,2021-12-07,6981.37,6981.37,6951.83,6976.59,1198159
TUNINDEX,PX1,2021-12-08,6976.59,6987.62,6956.84,6966.48,271650
TUNINDEX,PX1,2021-12-09,6966.54,6984.45,6959.8,6966.46,1262015
TUNINDEX,PX1,2021-12-10,6967.24,6994.12,6957.29,6972.69,1162517
TUNINDEX,PX1,2021-12-13,6972.73,6990.81,6943.74,6968.79,3003090
TUNINDEX,PX1,2022-03-14,7086.76,7104.87,7060.11,7084.13,942714
TUNINDEX,PX1,2022-03-15,7136.86,7181.1,7121.76,7153.77,1555426
TUNINDEX,PX1,2022-03-16,7153.95,7164.66,7128.05,7137.59,5195963
TUNINDEX,PX1,2022-03-17,7140.68,7157.2,7126.89,7157.2,1091013
