ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
SFBT,SFBT,2021-06-17,18.73,18.74,18.68,18.72,17331
SFBT,SFBT,2021-06-18,18.68,18.73,18.52,18.7,5740
SFBT,SFBT,2021-06-21,18.74,18.74,18.69,18.69,96152
SFBT,SFBT,2021-06-22,18.69,18.7,18.65,18.69,5203
SFBT,SFBT,2021-06-23,18.69,18.69,18.64,18.64,1923
SFBT,SFBT,2021-06-24,18.67,18.67,18.5,18.5,11823
SFBT,SFBT,2021-06-25,18.59,18.59,18.45,18.5,14924
SFBT,SFBT,2021-06-28,18.49,18.49,18.38,18.39,9717
SFBT,SFBT,2021-06-29,18.3,18.39,18.26,18.3,14198
SFBT,SFBT,2021-06-30,18.3,18.38,18.0,18.28,37313
SFBT,SFBT,2021-07-01,18.25,18.27,18.2,18.25,14804
SFBT,SFBT,2021-07-02,18.25,18.25,18.2,18.2,3882
SFBT,SFBT,2021-07-05,18.2,18.25,18.0,18.25,11684
SFBT,SFBT,2021-07-06,18.25,18.34,18.2,18.34,8898
SFBT,SFBT,2021-07-07,18.25,18.34,18.25,18.33,672
SFBT,SFBT,2021-07-08,18.35,18.48,18.35,18.48,5693
SFBT,SFBT,2021-07-09,18.48,18.5,18.48,18.49,3979
SFBT,SFBT,2021-07-12,18.49,18.5,18.49,18.5,2950
SFBT,SFBT,2021-07-13,18.54,18.54,18.45,18.49,3799
SFBT,SFBT,2021-07-14,18.49,18.49,18.34,18.49,5816
SFBT,SFBT,2021-07-15,18.49,18.49,18.26,18.26,5699
SFBT,SFBT,2021-07-16,18.49,18.5,18.48,18.5,1566
SFBT,SFBT,2021-07-19,18.5,18.5,18.26,18.49,297
SFBT,SFBT,2021-07-22,18.49,18.59,18.49,18.5,49610
SFBT,SFBT,2021-07-23,18.5,18.59,18.39,18.5,8409
SFBT,SFBT,2021-07-26,18.27,18.49,18.2,18.48,7590
SFBT,SFBT,2021-07-27,18.48,18.59,18.4,18.5,5105
SFBT,SFBT,2021-07-28,18.4,18.6,18.4,18.6,7803
SFBT,SFBT,2021-07-29,18.6,18.6,18.59,18.59,72
SFBT,SFBT,2021-07-30,18.59,18.6,18.4,18.58,3312
SFBT,SFBT,2021-08-02,18.57,18.57,18.41,18.54,1322
SFBT,SFBT,2021-08-03,18.57,18.57,18.5,18.54,3917
SFBT,SFBT,2021-08-04,18.54,18.54,18.44,18.53,3079
SFBT,SFBT,2021-08-05,18.53,18.6,18.5,18.57,13754
SFBT,SFBT,2021-08-06,18.57,18.79,18.57,18.6,18602
SFBT,SFBT,2021-08-09,18.7,18.7,18.45,18.65,34400
SFBT,SFBT,2021-08-11,18.5,18.64,18.5,18.64,2502
SFBT,SFBT,2021-08-12,18.5,18.6,18.5,18.59,260
SFBT,SFBT,2021-08-16,18.55,18.55,18.54,18.55,2497
SFBT,SFBT,2021-08-17,18.6,18.6,18.4,18.59,7903
SFBT,SFBT,2021-08-18,18.59,18.59,18.4,18.59,5144
SFBT,SFBT,2021-08-19,18.6,18.6,18.4,18.6,25704
SFBT,SFBT,2021-08-20,18.6,18.6,18.5,18.58,13977
SFBT,SFBT,2021-08-23,18.47,18.58,18.47,18.5,15115
SFBT,SFBT,2021-08-24,18.55,18.55,18.46,18.54,3059
SFBT,SFBT,2021-08-25,18.5,18.54,18.48,18.5,5779
SFBT,SFBT,2021-08-26,18.5,18.54,18.5,18.52,23770
SFBT,SFBT,2021-08-27,18.54,18.98,18.54,18.69,15513
SFBT,SFBT,2021-08-30,18.5,18.69,18.5,18.5,702
SFBT,SFBT,2021-08-31,18.5,18.6,18.41,18.5,4183
SFBT,SFBT,2021-09-01,18.7,18.7,18.4,18.69,4411
SFBT,SFBT,2021-09-02,18.5,18.69,18.5,18.65,3007
SFBT,SFBT,2021-09-03,18.68,18.69,18.5,18.64,880
SFBT,SFBT,2021-09-06,18.6,18.68,18.6,18.63,3348
SFBT,SFBT,2021-09-07,18.5,18.67,18.5,18.6,2379
SFBT,SFBT,2021-09-08,18.5,18.6,18.4,18.59,14549
SFBT,SFBT,2021-09-09,18.59,18.65,18.4,18.59,2963
SFBT,SFBT,2021-09-10,18.59,18.6,18.45,18.59,5604
SFBT,SFBT,2021-09-13,18.46,18.55,18.46,18.55,206
SFBT,SFBT,2021-09-14,18.54,18.6,18.5,18.5,6522
SFBT,SFBT,2021-09-15,18.5,18.51,18.3,18.5,11557
SFBT,SFBT,2021-09-16,18.45,18.51,18.35,18.48,19155
SFBT,SFBT,2021-09-17,18.48,18.48,18.3,18.47,4844
SFBT,SFBT,2021-09-20,18.4,18.5,18.36,18.5,19665
SFBT,SFBT,2021-09-21,18.49,18.49,18.49,18.49,492
SFBT,SFBT,2021-09-22,18.48,18.49,18.4,18.4,3976
SFBT,SFBT,2021-09-23,18.4,18.5,18.35,18.5,13214
SFBT,SFBT,2021-09-24,18.5,18.5,18.36,18.5,7919
SFBT,SFBT,2021-09-27,18.45,18.49,18.45,18.49,3401
SFBT,SFBT,2021-09-28,18.49,18.51,18.4,18.49,12944
SFBT,SFBT,2021-09-29,18.49,18.51,18.46,18.5,6802
SFBT,SFBT,2021-09-30,18.51,18.69,18.5,18.69,12888
SFBT,SFBT,2021-10-01,18.6,18.69,18.51,18.6,6137
SFBT,SFBT,2021-10-04,18.6,18.66,18.5,18.6,6210
SFBT,SFBT,2021-10-05,18.5,18.6,18.47,18.5,28550
SFBT,SFBT,2021-10-06,18.5,18.69,18.5,18.5,1817
SFBT,SFBT,2021-10-07,18.66,18.68,18.5,18.66,2710
SFBT,SFBT,2021-10-08,18.64,18.66,18.51,18.64,9451
SFBT,SFBT,2021-10-11,18.47,18.69,18.47,18.47,22083
SFBT,SFBT,2021-10-12,18.5,18.66,18.47,18.5,8318
SFBT,SFBT,2021-10-13,18.47,18.55,18.47,18.47,15472
