ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
SMD,SMD,2021-06-17,2.06,2.06,2.06,2.06,1450
SMD,SMD,2021-06-18,2.02,2.02,2.02,2.02,3521
SMD,SMD,2021-06-21,1.98,1.98,1.98,1.98,3048
SMD,SMD,2021-06-22,1.98,1.98,1.98,1.98,3000
SMD,SMD,2021-06-23,1.98,1.98,1.97,1.97,5017
SMD,SMD,2021-06-24,2.0,2.0,2.0,2.0,10
SMD,SMD,2021-06-25,2.06,2.06,2.06,2.06,20
SMD,SMD,2021-07-02,2.12,2.16,2.12,2.16,58
SMD,SMD,2021-07-05,2.16,2.16,2.16,2.16,99
SMD,SMD,2021-07-07,2.17,2.17,2.17,2.17,35
SMD,SMD,2021-07-09,2.11,2.11,2.11,2.11,4017
SMD,SMD,2021-07-12,2.05,2.05,2.05,2.05,3549
SMD,SMD,2021-07-13,2.0,2.0,1.95,1.95,20500
SMD,SMD,2021-07-14,2.0,2.06,2.0,2.06,400
SMD,SMD,2021-07-26,2.02,2.02,2.02,2.02,45
SMD,SMD,2021-07-28,2.06,2.06,2.06,2.06,20
SMD,SMD,2021-07-29,2.11,2.11,2.11,2.11,500
SMD,SMD,2021-08-11,2.15,2.15,2.15,2.15,20
SMD,SMD,2021-08-20,2.15,2.15,2.15,2.15,10
SMD,SMD,2021-09-07,2.2,2.2,2.2,2.2,50
SMD,SMD,2021-10-06,2.02,2.11,2.02,2.02,25
SMD,SMD,2021-10-07,2.02,2.02,2.02,2.02,500
SMD,SMD,2021-10-08,2.0,2.02,2.0,2.0,2000
SMD,SMD,2021-10-13,2.06,2.06,2.0,2.06,977
SMD,SMD,2021-10-20,2.15,2.15,2.06,2.15,12
SMD,SMD,2021-11-02,2.15,2.15,2.15,2.15,4534
SMD,SMD,2021-11-08,2.15,2.15,2.15,2.15,4458
SMD,SMD,2021-11-10,2.15,2.15,2.15,2.15,8
SMD,SMD,2021-11-19,2.19,2.19,2.15,2.19,10
SMD,SMD,2021-11-29,2.19,2.19,2.19,2.19,9
SMD,SMD,2021-12-01,2.24,2.24,2.19,2.24,10
SMD,SMD,2021-12-02,2.24,2.24,2.24,2.24,300
SMD,SMD,2021-12-03,2.24,2.24,2.24,2.24,10
SMD,SMD,2021-12-10,2.14,2.24,2.14,2.14,465
SMD,SMD,2022-03-24,2.28,2.38,2.28,2.28,123
SMD,SMD,2022-03-25,2.28,2.29,2.28,2.28,500
SMD,SMD,2022-03-29,2.18,2.28,2.18,2.18,1300
SMD,SMD,2022-04-01,2.37,2.37,2.27,2.37,20
SMD,SMD,2022-04-26,2.39,2.39,2.37,2.39,40
SMD,SMD,2022-05-05,2.22,2.29,2.22,2.22,42
SMD,SMD,2022-05-13,2.31,2.31,2.22,2.31,20
SMD,SMD,2022-06-09,2.19,2.21,2.19,2.19,9000
SMD,SMD,2022-06-10,2.2,2.2,2.19,2.2,585
SMD,SMD,2022-06-17,2.2,2.2,2.19,2.2,9430
SMD,SMD,2022-07-28,2.08,2.09,2.08,2.08,1
SMD,SMD,2022-08-11,1.83,1.91,1.83,1.83,33
SMD,SMD,2022-08-15,1.9,1.9,1.83,1.9,50
SMD,SMD,2022-08-16,1.98,1.98,1.9,1.98,10
SMD,SMD,2022-09-12,1.9,1.98,1.9,1.9,604
SMD,SMD,2022-09-14,1.79,1.82,1.79,1.79,911
SMD,SMD,2022-09-21,1.87,1.87,1.79,1.87,10
SMD,SMD,2022-10-03,1.86,1.87,1.86,1.86,3770
SMD,SMD,2022-10-05,1.94,1.94,1.86,1.94,10
SMD,SMD,2022-10-06,1.99,1.99,1.94,1.99,10
SMD,SMD,2022-12-05,1.83,1.91,1.83,1.83,115
SMD,SMD,2022-12-06,1.75,1.9,1.75,1.75,450
SMD,SMD,2022-12-07,1.71,1.75,1.71,1.71,60
SMD,SMD,2022-12-08,1.64,1.71,1.64,1.64,250
SMD,SMD,2023-04-11,1.99,2.06,1.99,1.99,120405
SMD,SMD,2023-04-19,1.91,1.91,1.9,1.9,50
SMD,SMD,2023-04-27,1.9,1.9,1.9,1.9,20
SMD,SMD,2023-05-05,1.9,1.98,1.9,1.98,10
SMD,SMD,2023-05-10,1.98,1.98,1.98,1.98,10600
SMD,SMD,2023-05-24,1.98,1.98,1.9,1.9,100
SMD,SMD,2023-05-30,1.9,1.9,1.9,1.9,310
SMD,SMD,2023-06-02,1.9,1.9,1.9,1.9,10
SMD,SMD,2023-08-28,1.9,1.9,1.89,1.89,2100
SMD,SMD,2023-10-30,1.81,1.89,1.81,1.89,5
SMD,SMD,2023-11-14,1.81,1.81,1.73,1.73,283
SMD,SMD,2023-11-15,1.73,1.73,1.71,1.71,173
SMD,SMD,2023-11-20,1.64,1.7,1.64,1.7,10
SMD,SMD,2023-11-21,1.7,1.77,1.7,1.77,20
SMD,SMD,2024-04-29,1.17,1.17,1.17,1.17,130
SMD,SMD,2024-05-02,1.2,1.2,1.2,1.2,1
SMD,SMD,2024-05-03,1.25,1.25,1.25,1.25,5
SMD,SMD,2024-05-14,1.25,1.28,1.25,1.28,10650
SMD,SMD,2024-06-20,1.17,1.17,1.17,1.17,60
SMD,SMD,2024-06-26,1.07,1.07,1.07,1.07,50
SMD,SMD,2024-06-28,1.11,1.15,1.11,1.15,17
SMD,SMD,2024-07-03,1.15,1.17,1.15,1.17,9005
SMD,SMD,2024-08-02,1.17,1.17,1.17,1.17,60
SMD,SMD,2024-09-05,1.03,1.03,1.0,1.0,55
SMD,SMD,2024-09-12,1.12,1.17,1.12,1.17,500
SMD,SMD,2024-09-13,1.17,1.17,1.17,1.17,350
SMD,SMD,2024-09-19,1.12,1.17,1.12,1.17,50
SMD,SMD,2024-09-30,1.17,1.22,1.17,1.22,50
SMD,SMD,2024-10-01,1.22,1.27,1.22,1.27,70
SMD,SMD,2024-10-16,0.87,0.87,0.84,0.84,3000
SMD,SMD,2024-10-18,0.81,0.81,0.78,0.78,3
SMD,SMD,2024-10-21,0.78,0.78,0.75,0.75,2
SMD,SMD,2024-10-22,0.75,0.75,0.75,0.75,1
SMD,SMD,2024-10-23,0.75,0.75,0.75,0.75,1000
SMD,SMD,2024-11-01,0.75,0.78,0.75,0.78,1
SMD,SMD,2024-11-06,0.78,0.78,0.76,0.76,1
SMD,SMD,2024-11-12,0.73,0.73,0.7,0.7,100
SMD,SMD,2024-11-13,0.7,0.7,0.7,0.7,1
SMD,SMD,2024-11-21,0.64,0.64,0.64,0.64,1
SMD,SMD,2024-11-22,0.64,0.64,0.64,0.64,1
SMD,SMD,2024-12-09,0.93,0.95,0.93,0.95,220
SMD,SMD,2024-12-20,1.07,1.11,1.07,1.11,2000
SMD,SMD,2025-01-09,1.59,1.59,1.52,1.52,27102
SMD,SMD,2025-01-13,1.58,1.65,1.58,1.65,100
SMD,SMD,2025-04-08,0.54,0.54,0.52,0.52,22195
SMD,SMD,2025-04-11,0.54,0.54,0.54,0.54,7965
SMD,SMD,2025-04-21,0.66,0.68,0.66,0.68,1500
SMD,SMD,2025-04-22,0.68,0.71,0.68,0.71,4140
SMD,SMD,2025-04-23,0.71,0.74,0.71,0.74,10
SMD,SMD,2025-04-24,0.74,0.74,0.72,0.72,1030
SMD,SMD,2025-04-25,0.72,0.74,0.72,0.74,201
SMD,SMD,2025-04-28,0.74,0.77,0.74,0.77,4433
SMD,SMD,2025-04-29,0.77,0.8,0.77,0.8,666
SMD,SMD,2025-04-30,0.74,0.77,0.74,0.77,2888
SMD,SMD,2025-05-02,0.77,0.79,0.77,0.79,17
SMD,SMD,2025-05-05,0.79,0.8,0.79,0.8,1520
SMD,SMD,2025-05-06,0.8,0.83,0.8,0.83,410
SMD,SMD,2025-05-08,0.8,0.83,0.8,0.8,102
SMD,SMD,2025-05-12,0.77,0.8,0.75,0.75,282
SMD,SMD,2025-05-15,0.69,0.69,0.69,0.69,350
SMD,SMD,2025-05-16,0.69,0.69,0.69,0.69,200
SMD,SMD,2025-05-19,0.69,0.69,0.69,0.69,3300
SMD,SMD,2025-05-20,0.69,0.7,0.69,0.7,15
SMD,SMD,2025-05-22,0.7,0.7,0.7,0.7,100
SMD,SMD,2025-05-28,0.7,0.7,0.7,0.7,1000
SMD,SMD,2025-05-29,0.7,0.73,0.7,0.73,5
SMD,SMD,2025-05-30,0.73,0.73,0.73,0.73,1200
SMD,SMD,2025-06-02,0.73,0.76,0.73,0.76,13
SMD,SMD,2025-06-04,0.76,0.76,0.75,0.76,310
SMD,SMD,2025-06-05,0.76,0.79,0.76,0.79,80
SMD,SMD,2025-06-17,0.8,0.8,0.79,0.79,10
