ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
SOMOCER,SOMOC,2021-06-17,0.94,0.96,0.94,0.94,4204
SOMOCER,SOMOC,2021-06-18,0.92,0.92,0.9,0.92,136595
SOMOCER,SOMOC,2021-06-21,0.91,0.92,0.9,0.9,43885
SOMOCER,SOMOC,2021-06-22,0.88,0.9,0.88,0.89,16588
SOMOCER,SOMOC,2021-06-23,0.89,0.89,0.85,0.88,41837
SOMOCER,SOMOC,2021-06-24,0.87,0.88,0.87,0.88,14279
SOMOCER,SOMOC,2021-06-25,0.88,0.9,0.88,0.9,16138
SOMOCER,SOMOC,2021-06-28,0.92,0.93,0.92,0.93,16658
SOMOCER,SOMOC,2021-06-29,0.94,0.94,0.92,0.93,11985
SOMOCER,SOMOC,2021-06-30,0.93,0.93,0.92,0.93,2587
SOMOCER,SOMOC,2021-07-01,0.92,0.93,0.91,0.93,2597
SOMOCER,SOMOC,2021-07-02,0.92,0.94,0.92,0.93,20429
SOMOCER,SOMOC,2021-07-05,0.94,0.94,0.92,0.92,535
SOMOCER,SOMOC,2021-07-06,0.93,0.93,0.91,0.92,2010
SOMOCER,SOMOC,2021-07-07,0.93,0.93,0.93,0.93,6
SOMOCER,SOMOC,2021-07-08,0.93,0.93,0.91,0.93,7332
SOMOCER,SOMOC,2021-07-12,0.9,0.9,0.9,0.9,10683
SOMOCER,SOMOC,2021-07-13,0.91,0.91,0.89,0.89,18249
SOMOCER,SOMOC,2021-07-14,0.89,0.89,0.88,0.89,1785
SOMOCER,SOMOC,2021-07-15,0.89,0.89,0.88,0.89,11751
SOMOCER,SOMOC,2021-07-16,0.88,0.9,0.88,0.9,18154
SOMOCER,SOMOC,2021-07-19,0.9,0.92,0.89,0.92,1976
SOMOCER,SOMOC,2021-07-22,0.92,0.92,0.9,0.92,4254
SOMOCER,SOMOC,2021-07-23,0.92,0.92,0.9,0.91,3696
SOMOCER,SOMOC,2021-07-26,0.93,0.94,0.91,0.91,22246
SOMOCER,SOMOC,2021-07-27,0.92,0.92,0.92,0.92,30
SOMOCER,SOMOC,2021-07-28,0.92,0.94,0.92,0.94,9731
SOMOCER,SOMOC,2021-07-29,0.93,0.94,0.93,0.94,1559
SOMOCER,SOMOC,2021-07-30,0.94,0.94,0.92,0.94,18616
SOMOCER,SOMOC,2021-08-02,0.93,0.94,0.93,0.94,3660
SOMOCER,SOMOC,2021-08-03,0.93,0.93,0.93,0.93,475
SOMOCER,SOMOC,2021-08-04,0.93,0.93,0.93,0.93,200
SOMOCER,SOMOC,2021-08-05,0.92,0.93,0.92,0.93,7112
SOMOCER,SOMOC,2021-08-06,0.93,0.93,0.91,0.93,4346
SOMOCER,SOMOC,2021-08-09,0.92,0.94,0.91,0.94,4984
SOMOCER,SOMOC,2021-08-11,0.93,0.93,0.92,0.93,1130
SOMOCER,SOMOC,2021-08-12,0.94,0.94,0.92,0.94,1060
SOMOCER,SOMOC,2021-08-17,0.92,0.93,0.92,0.93,3495
SOMOCER,SOMOC,2021-08-18,0.93,0.93,0.91,0.93,3423
SOMOCER,SOMOC,2021-08-19,0.91,0.93,0.91,0.93,7129
SOMOCER,SOMOC,2021-08-20,0.91,0.92,0.91,0.91,48388
SOMOCER,SOMOC,2021-08-23,0.91,0.91,0.9,0.9,8834
SOMOCER,SOMOC,2021-08-24,0.9,0.91,0.89,0.91,3008
SOMOCER,SOMOC,2021-08-25,0.9,0.9,0.89,0.9,31094
SOMOCER,SOMOC,2021-08-26,0.89,0.9,0.88,0.9,42611
SOMOCER,SOMOC,2021-08-27,0.89,0.89,0.88,0.89,94211
SOMOCER,SOMOC,2021-08-30,0.91,0.91,0.89,0.91,350
SOMOCER,SOMOC,2021-08-31,0.9,0.91,0.87,0.9,1181
SOMOCER,SOMOC,2021-09-01,0.9,0.9,0.89,0.89,160
SOMOCER,SOMOC,2021-09-02,0.88,0.9,0.87,0.88,41547
SOMOCER,SOMOC,2021-09-03,0.89,0.9,0.87,0.89,1901
SOMOCER,SOMOC,2021-09-06,0.87,0.88,0.86,0.86,38863
SOMOCER,SOMOC,2021-09-07,0.85,0.89,0.85,0.88,6869
SOMOCER,SOMOC,2021-09-08,0.89,0.89,0.87,0.88,2158
SOMOCER,SOMOC,2021-09-09,0.89,0.89,0.86,0.87,2011
SOMOCER,SOMOC,2021-09-10,0.88,0.88,0.87,0.87,9012
SOMOCER,SOMOC,2021-09-13,0.88,0.88,0.87,0.88,9187
SOMOCER,SOMOC,2021-09-14,0.89,0.89,0.88,0.88,1217
SOMOCER,SOMOC,2021-09-15,0.88,0.88,0.88,0.88,597
SOMOCER,SOMOC,2021-09-16,0.87,0.87,0.85,0.87,15661
SOMOCER,SOMOC,2021-09-17,0.86,0.87,0.84,0.87,32395
SOMOCER,SOMOC,2021-09-20,0.86,0.86,0.84,0.86,12655
SOMOCER,SOMOC,2021-09-21,0.85,0.85,0.85,0.85,20
SOMOCER,SOMOC,2021-09-22,0.85,0.86,0.83,0.85,18268
SOMOCER,SOMOC,2021-09-23,0.84,0.85,0.84,0.85,9026
SOMOCER,SOMOC,2021-09-24,0.84,0.86,0.84,0.85,13751
SOMOCER,SOMOC,2021-09-27,0.86,0.86,0.85,0.86,1060
SOMOCER,SOMOC,2021-09-28,0.86,0.86,0.86,0.86,5614
SOMOCER,SOMOC,2021-09-29,0.85,0.86,0.83,0.84,37951
SOMOCER,SOMOC,2021-09-30,0.84,0.86,0.84,0.85,11155
SOMOCER,SOMOC,2021-10-01,0.84,0.85,0.83,0.84,63944
SOMOCER,SOMOC,2021-10-04,0.84,0.85,0.84,0.84,1501
SOMOCER,SOMOC,2021-10-05,0.84,0.85,0.83,0.84,4188
SOMOCER,SOMOC,2021-10-06,0.85,0.85,0.84,0.85,5376
SOMOCER,SOMOC,2021-10-07,0.85,0.86,0.85,0.85,18400
SOMOCER,SOMOC,2021-10-08,0.85,0.87,0.85,0.85,43836
SOMOCER,SOMOC,2021-10-11,0.86,0.87,0.85,0.86,41142
SOMOCER,SOMOC,2021-10-12,0.91,0.91,0.86,0.91,171787
SOMOCER,SOMOC,2021-10-13,0.92,0.94,0.91,0.92,113142
SOMOCER,SOMOC,2021-10-14,0.94,0.94,0.92,0.94,11193
SOMOCER,SOMOC,2021-10-19,0.94,0.95,0.93,0.94,28023
SOMOCER,SOMOC,2021-10-20,0.94,0.95,0.93,0.94,99064
SOMOCER,SOMOC,2021-10-21,0.92,0.94,0.89,0.92,16337
SOMOCER,SOMOC,2021-10-22,0.9,0.93,0.88,0.9,10479
SOMOCER,SOMOC,2021-10-25,0.91,0.92,0.9,0.91,13325
SOMOCER,SOMOC,2021-10-26,0.9,0.91,0.89,0.9,26455
SOMOCER,SOMOC,2021-10-27,0.9,0.91,0.9,0.9,7796
SOMOCER,SOMOC,2021-10-28,0.91,0.91,0.89,0.91,33321
SOMOCER,SOMOC,2021-10-29,0.92,0.93,0.91,0.92,36322
SOMOCER,SOMOC,2021-11-01,0.89,0.93,0.89,0.89,11346
SOMOCER,SOMOC,2021-11-02,0.89,0.93,0.89,0.89,15807
SOMOCER,SOMOC,2021-11-03,0.92,0.92,0.89,0.92,21075
SOMOCER,SOMOC,2021-11-04,0.9,0.92,0.89,0.9,18094
SOMOCER,SOMOC,2021-11-05,0.9,0.9,0.89,0.9,7847
SOMOCER,SOMOC,2021-11-08,0.91,0.91,0.89,0.91,17749
SOMOCER,SOMOC,2021-11-09,0.92,0.92,0.9,0.92,23528
SOMOCER,SOMOC,2021-11-10,0.91,0.93,0.89,0.91,6899
SOMOCER,SOMOC,2021-11-11,0.92,0.92,0.88,0.92,7772
SOMOCER,SOMOC,2021-11-12,0.9,0.92,0.89,0.9,10159
SOMOCER,SOMOC,2021-11-15,0.89,0.9,0.89,0.89,7054
SOMOCER,SOMOC,2021-11-16,0.9,0.91,0.89,0.9,3398
SOMOCER,SOMOC,2021-11-17,0.89,0.9,0.89,0.89,22873
SOMOCER,SOMOC,2021-11-18,0.9,0.9,0.87,0.9,6377
SOMOCER,SOMOC,2021-11-19,0.89,0.9,0.86,0.89,24948
SOMOCER,SOMOC,2021-11-22,0.88,0.89,0.86,0.88,4683
SOMOCER,SOMOC,2021-11-23,0.88,0.88,0.87,0.88,708
SOMOCER,SOMOC,2021-11-24,0.87,0.88,0.87,0.87,6349
SOMOCER,SOMOC,2021-11-25,0.89,0.9,0.86,0.89,10168
