ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
SOTEM,SOTEM,2021-07-02,3.24,3.24,3.24,3.24,1340
SOTEM,SOTEM,2021-07-06,3.15,3.15,3.15,3.15,4968
SOTEM,SOTEM,2021-08-25,3.2,3.2,3.2,3.2,718
SOTEM,SOTEM,2021-09-23,3.1,3.1,3.1,3.1,101
SOTEM,SOTEM,2021-09-30,3.15,3.15,3.15,3.15,150
SOTEM,SOTEM,2021-10-07,3.15,3.15,3.15,3.15,1250
SOTEM,SOTEM,2021-11-01,3.15,3.15,3.15,3.15,7500
SOTEM,SOTEM,2022-04-25,3.1,3.1,2.99,3.1,600
SOTEM,SOTEM,2022-04-26,2.98,3.1,2.98,2.98,1001
SOTEM,SOTEM,2022-04-29,2.61,2.73,2.61,2.61,651
SOTEM,SOTEM,2022-05-05,2.39,2.5,2.39,2.39,500
SOTEM,SOTEM,2022-05-23,2.39,2.39,2.39,2.39,20
SOTEM,SOTEM,2022-06-02,2.6,2.6,2.49,2.6,251
SOTEM,SOTEM,2022-06-09,3.07,3.08,3.07,3.07,10
SOTEM,SOTEM,2022-06-10,3.15,3.15,3.07,3.15,50
SOTEM,SOTEM,2022-07-22,2.5,2.52,2.5,2.5,360000
SOTEM,SOTEM,2022-08-02,3.13,3.13,3.09,3.13,50
SOTEM,SOTEM,2022-08-03,3.15,3.15,3.13,3.15,105
SOTEM,SOTEM,2022-08-31,3.01,3.15,3.01,3.01,188
SOTEM,SOTEM,2022-09-07,2.5,2.53,2.5,2.5,312
SOTEM,SOTEM,2022-09-14,3.14,3.14,3.12,3.14,788
SOTEM,SOTEM,2022-09-20,3.13,3.14,3.13,3.13,950
SOTEM,SOTEM,2022-10-03,3.15,3.15,3.13,3.15,250
SOTEM,SOTEM,2022-10-04,3.14,3.15,3.14,3.14,9
SOTEM,SOTEM,2023-03-10,2.29,2.29,2.29,2.29,17
SOTEM,SOTEM,2023-03-13,2.29,2.29,2.29,2.29,50
SOTEM,SOTEM,2023-03-14,2.29,2.29,2.29,2.29,50
SOTEM,SOTEM,2023-03-16,2.19,2.29,2.19,2.19,65
SOTEM,SOTEM,2023-03-17,2.19,2.19,2.19,2.19,46
SOTEM,SOTEM,2023-04-10,1.31,1.37,1.31,1.31,2283
SOTEM,SOTEM,2023-04-25,1.89,1.93,1.89,1.93,150
SOTEM,SOTEM,2023-04-26,1.93,1.93,1.93,1.93,13
SOTEM,SOTEM,2023-04-27,1.93,1.93,1.93,1.93,37
SOTEM,SOTEM,2023-04-28,1.93,1.93,1.93,1.93,60
SOTEM,SOTEM,2023-05-04,1.92,1.92,1.85,1.85,108312
SOTEM,SOTEM,2023-05-12,2.28,2.34,2.28,2.34,94
SOTEM,SOTEM,2023-05-16,2.44,2.52,2.44,2.52,51
SOTEM,SOTEM,2023-05-22,2.86,2.9,2.86,2.9,510
SOTEM,SOTEM,2023-05-24,3.03,3.09,3.03,3.09,117
SOTEM,SOTEM,2023-05-25,3.09,3.1,3.09,3.1,550
SOTEM,SOTEM,2023-05-26,3.1,3.1,3.1,3.1,650
SOTEM,SOTEM,2023-05-29,3.1,3.1,3.1,3.1,370
SOTEM,SOTEM,2023-05-30,3.1,3.1,3.1,3.1,1061
SOTEM,SOTEM,2023-06-02,3.1,3.2,3.1,3.2,9
SOTEM,SOTEM,2023-06-06,3.2,3.2,3.2,3.2,1
SOTEM,SOTEM,2023-06-07,3.2,3.34,3.2,3.34,1
SOTEM,SOTEM,2023-06-12,3.34,3.39,3.34,3.39,11
SOTEM,SOTEM,2023-06-15,3.39,3.39,3.39,3.39,60
SOTEM,SOTEM,2023-06-23,3.39,3.39,3.39,3.39,176
SOTEM,SOTEM,2023-06-26,3.39,3.39,3.34,3.34,9
SOTEM,SOTEM,2023-08-21,2.23,2.23,2.23,2.23,1520
SOTEM,SOTEM,2023-08-22,2.23,2.23,2.23,2.23,2
SOTEM,SOTEM,2023-08-28,2.23,2.23,2.23,2.23,3
SOTEM,SOTEM,2023-09-12,2.33,2.33,2.23,2.23,1
SOTEM,SOTEM,2023-09-26,2.97,3.1,2.97,3.1,50
SOTEM,SOTEM,2023-09-28,3.1,3.1,3.1,3.1,500
SOTEM,SOTEM,2023-09-29,3.1,3.23,3.1,3.23,270
SOTEM,SOTEM,2023-10-02,3.23,3.37,3.23,3.37,100
SOTEM,SOTEM,2023-10-04,3.37,3.39,3.37,3.39,10
SOTEM,SOTEM,2023-10-05,3.39,3.39,3.39,3.39,100
SOTEM,SOTEM,2023-10-06,3.39,3.39,3.39,3.39,293
SOTEM,SOTEM,2023-10-09,3.39,3.4,3.39,3.4,500
SOTEM,SOTEM,2023-10-12,3.4,3.4,3.25,3.25,10
SOTEM,SOTEM,2023-10-17,3.11,3.15,3.11,3.15,549
SOTEM,SOTEM,2023-10-18,3.15,3.2,3.15,3.2,500
SOTEM,SOTEM,2023-10-25,3.18,3.19,3.18,3.19,51
SOTEM,SOTEM,2023-10-31,3.18,3.19,3.18,3.19,50
SOTEM,SOTEM,2023-11-03,3.04,3.17,3.04,3.17,50
SOTEM,SOTEM,2023-11-06,3.17,3.17,3.17,3.17,50
SOTEM,SOTEM,2023-11-13,3.16,3.19,3.16,3.19,50
SOTEM,SOTEM,2023-11-14,3.19,3.19,3.19,3.19,20
SOTEM,SOTEM,2024-03-04,1.94,1.94,1.86,1.86,7
SOTEM,SOTEM,2024-03-05,1.86,1.86,1.86,1.86,2
SOTEM,SOTEM,2024-03-06,1.86,1.86,1.8,1.8,70
SOTEM,SOTEM,2024-04-12,1.33,1.33,1.28,1.28,106
SOTEM,SOTEM,2024-05-09,1.23,1.23,1.23,1.23,70
SOTEM,SOTEM,2024-05-28,1.66,1.66,1.66,1.66,117
SOTEM,SOTEM,2024-07-05,1.71,1.71,1.71,1.71,20
SOTEM,SOTEM,2024-07-10,1.71,1.71,1.64,1.64,320
SOTEM,SOTEM,2024-07-31,1.38,1.38,1.32,1.32,70
SOTEM,SOTEM,2024-08-28,1.12,1.12,1.12,1.12,4487
SOTEM,SOTEM,2024-09-12,1.03,1.03,1.03,1.03,1500
SOTEM,SOTEM,2024-09-17,1.03,1.03,0.99,0.99,191
SOTEM,SOTEM,2024-09-23,1.2,1.25,1.2,1.25,50
SOTEM,SOTEM,2024-09-24,1.25,1.3,1.25,1.25,141
SOTEM,SOTEM,2024-09-25,1.25,1.25,1.25,1.25,117
SOTEM,SOTEM,2024-10-01,1.41,1.41,1.35,1.35,10
SOTEM,SOTEM,2024-10-07,1.66,1.66,1.6,1.6,1800
SOTEM,SOTEM,2024-10-08,1.6,1.6,1.6,1.6,40
SOTEM,SOTEM,2024-10-09,1.6,1.6,1.6,1.6,20
SOTEM,SOTEM,2024-10-23,1.97,1.97,1.97,1.97,30
SOTEM,SOTEM,2024-11-01,1.59,1.66,1.59,1.66,1
SOTEM,SOTEM,2024-11-05,1.66,1.66,1.66,1.66,300
SOTEM,SOTEM,2024-11-13,2.04,2.04,2.0,2.0,25
SOTEM,SOTEM,2024-11-28,1.99,2.0,1.99,2.0,2670
SOTEM,SOTEM,2024-12-10,2.58,2.69,2.58,2.69,1100
SOTEM,SOTEM,2024-12-13,2.93,2.93,2.81,2.81,680
SOTEM,SOTEM,2024-12-24,3.78,3.95,3.78,3.95,3800
