ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
STIP,STIP,2021-06-18,1.27,1.27,1.27,1.27,2715
STIP,STIP,2021-06-25,1.24,1.24,1.24,1.24,1
STIP,STIP,2021-06-29,1.25,1.25,1.25,1.25,5
STIP,STIP,2021-07-06,1.22,1.22,1.22,1.22,1
STIP,STIP,2021-07-12,1.28,1.28,1.28,1.28,315
STIP,STIP,2021-07-16,1.4,1.4,1.4,1.4,150
STIP,STIP,2021-07-19,1.42,1.42,1.42,1.42,300
STIP,STIP,2021-07-23,1.46,1.46,1.46,1.46,25
STIP,STIP,2021-07-27,1.46,1.46,1.46,1.46,1
STIP,STIP,2021-08-09,1.65,1.65,1.65,1.65,2880
STIP,STIP,2021-08-12,1.65,1.65,1.65,1.65,1000
STIP,STIP,2021-08-16,1.65,1.65,1.65,1.65,25
STIP,STIP,2021-08-24,1.74,1.74,1.74,1.74,10
STIP,STIP,2021-08-25,1.79,1.79,1.79,1.79,100
STIP,STIP,2021-08-26,1.79,1.79,1.79,1.79,1
STIP,STIP,2021-09-15,1.8,1.8,1.8,1.8,1
STIP,STIP,2021-09-20,1.8,1.8,1.8,1.8,2000
STIP,STIP,2021-09-22,1.8,1.8,1.8,1.8,24
STIP,STIP,2021-09-28,1.87,1.87,1.8,1.87,200
STIP,STIP,2021-10-04,1.95,1.95,1.87,1.95,200
STIP,STIP,2021-10-05,2.02,2.02,1.95,2.02,300
STIP,STIP,2021-10-06,2.1,2.1,2.02,2.1,20
STIP,STIP,2021-10-08,2.19,2.19,2.1,2.19,5
STIP,STIP,2021-10-11,2.19,2.19,2.19,2.19,5
STIP,STIP,2021-10-13,2.19,2.19,2.19,2.19,15
STIP,STIP,2021-10-19,2.19,2.19,2.19,2.19,179
STIP,STIP,2021-10-21,2.21,2.21,2.19,2.21,10
STIP,STIP,2021-10-22,2.3,2.3,2.21,2.3,10
STIP,STIP,2021-10-25,2.3,2.3,2.3,2.3,1485
STIP,STIP,2021-10-28,2.5,2.5,2.4,2.5,328
STIP,STIP,2021-10-29,2.6,2.6,2.5,2.6,10
STIP,STIP,2021-11-01,2.71,2.71,2.6,2.71,11
STIP,STIP,2021-11-05,2.48,2.59,2.48,2.48,625
STIP,STIP,2021-11-12,2.0,2.08,2.0,2.0,1050
STIP,STIP,2021-11-19,1.7,1.7,1.68,1.7,176721
STIP,STIP,2021-11-22,1.7,1.7,1.7,1.7,62366
STIP,STIP,2021-11-26,1.7,1.7,1.7,1.7,376373
STIP,STIP,2021-12-01,1.6,1.63,1.6,1.6,24
STIP,STIP,2022-03-14,2.77,2.77,2.77,2.77,182
STIP,STIP,2022-03-16,2.77,2.77,2.77,2.77,646
STIP,STIP,2022-03-17,2.65,2.77,2.65,2.65,954
STIP,STIP,2022-03-18,2.65,2.65,2.65,2.65,200
STIP,STIP,2022-03-21,2.66,2.66,2.65,2.66,81
STIP,STIP,2022-03-29,2.77,2.77,2.66,2.77,600
