ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
SOTIPAPIER,STPAP,2021-06-17,5.28,5.28,5.18,5.27,81
SOTIPAPIER,STPAP,2021-06-18,5.28,5.28,5.2,5.25,11000
SOTIPAPIER,STPAP,2021-06-21,5.27,5.27,5.18,5.18,6420
SOTIPAPIER,STPAP,2021-06-22,5.2,5.22,5.17,5.22,16340
SOTIPAPIER,STPAP,2021-06-23,5.23,5.23,5.18,5.2,6315
SOTIPAPIER,STPAP,2021-06-24,5.2,5.3,5.2,5.25,11412
SOTIPAPIER,STPAP,2021-06-25,4.95,5.09,4.82,4.83,4631
SOTIPAPIER,STPAP,2021-06-28,4.83,4.83,4.83,4.83,3171
SOTIPAPIER,STPAP,2021-06-29,4.83,4.83,4.75,4.75,4486
SOTIPAPIER,STPAP,2021-06-30,4.75,4.81,4.75,4.8,40737
SOTIPAPIER,STPAP,2021-07-01,4.81,4.81,4.75,4.8,13166
SOTIPAPIER,STPAP,2021-07-02,4.75,4.75,4.7,4.74,5154
SOTIPAPIER,STPAP,2021-07-05,4.81,4.94,4.7,4.94,5015
SOTIPAPIER,STPAP,2021-07-06,4.94,4.94,4.8,4.94,845
SOTIPAPIER,STPAP,2021-07-08,4.8,4.8,4.8,4.8,50
SOTIPAPIER,STPAP,2021-07-09,4.8,4.8,4.78,4.78,452
SOTIPAPIER,STPAP,2021-07-12,4.8,4.87,4.78,4.8,2963
SOTIPAPIER,STPAP,2021-07-13,4.73,4.79,4.72,4.79,252
SOTIPAPIER,STPAP,2021-07-14,4.72,4.73,4.7,4.73,3838
SOTIPAPIER,STPAP,2021-07-15,4.73,4.73,4.62,4.7,648
SOTIPAPIER,STPAP,2021-07-16,4.79,4.93,4.7,4.89,5456
SOTIPAPIER,STPAP,2021-07-19,4.89,4.9,4.8,4.9,1752
SOTIPAPIER,STPAP,2021-07-22,4.81,4.9,4.81,4.9,1858
SOTIPAPIER,STPAP,2021-07-23,4.89,4.89,4.8,4.8,2282
SOTIPAPIER,STPAP,2021-07-26,4.9,4.9,4.76,4.8,3932
SOTIPAPIER,STPAP,2021-07-27,4.8,4.8,4.8,4.8,275
SOTIPAPIER,STPAP,2021-07-28,4.8,4.8,4.8,4.8,2047
SOTIPAPIER,STPAP,2021-07-29,4.89,4.89,4.8,4.8,1993
SOTIPAPIER,STPAP,2021-07-30,4.89,4.9,4.88,4.89,22253
SOTIPAPIER,STPAP,2021-08-02,4.9,4.9,4.85,4.85,264
SOTIPAPIER,STPAP,2021-08-03,4.85,4.9,4.85,4.89,13315
SOTIPAPIER,STPAP,2021-08-04,4.85,4.9,4.85,4.9,14860
SOTIPAPIER,STPAP,2021-08-05,4.9,4.93,4.87,4.87,8250
SOTIPAPIER,STPAP,2021-08-06,4.93,4.93,4.87,4.93,116
SOTIPAPIER,STPAP,2021-08-09,4.93,4.96,4.86,4.86,5495
SOTIPAPIER,STPAP,2021-08-11,4.89,4.89,4.89,4.89,10
SOTIPAPIER,STPAP,2021-08-12,4.9,4.9,4.85,4.9,1104
SOTIPAPIER,STPAP,2021-08-16,4.9,4.99,4.9,4.99,651
SOTIPAPIER,STPAP,2021-08-17,4.98,4.98,4.9,4.94,5819
SOTIPAPIER,STPAP,2021-08-18,4.94,5.08,4.94,5.08,13097
SOTIPAPIER,STPAP,2021-08-19,5.14,5.25,5.1,5.15,6209
SOTIPAPIER,STPAP,2021-08-20,5.25,5.25,5.1,5.1,961
SOTIPAPIER,STPAP,2021-08-23,5.3,5.3,5.25,5.25,2920
SOTIPAPIER,STPAP,2021-08-24,5.3,5.38,5.25,5.34,7606
SOTIPAPIER,STPAP,2021-08-25,5.34,5.38,5.26,5.27,18824
SOTIPAPIER,STPAP,2021-08-26,5.3,5.3,5.21,5.21,7351
SOTIPAPIER,STPAP,2021-08-27,5.16,5.22,5.16,5.21,2405
SOTIPAPIER,STPAP,2021-08-30,5.13,5.21,5.13,5.13,1245
SOTIPAPIER,STPAP,2021-08-31,5.2,5.2,5.13,5.2,2820
SOTIPAPIER,STPAP,2021-09-01,5.21,5.5,5.21,5.4,18382
SOTIPAPIER,STPAP,2021-09-02,5.4,5.6,5.4,5.58,16647
SOTIPAPIER,STPAP,2021-09-03,5.58,5.58,5.37,5.37,2471
SOTIPAPIER,STPAP,2021-09-06,5.35,5.35,5.24,5.3,1603
SOTIPAPIER,STPAP,2021-09-07,5.24,5.26,5.2,5.24,4834
SOTIPAPIER,STPAP,2021-09-08,5.15,5.22,5.15,5.16,1660
SOTIPAPIER,STPAP,2021-09-09,5.25,5.25,5.15,5.19,4608
SOTIPAPIER,STPAP,2021-09-10,5.25,5.34,5.19,5.3,13309
SOTIPAPIER,STPAP,2021-09-13,5.3,5.3,5.19,5.19,1295
