ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
SOTRAPIL,STPIL,2021-06-17,12.8,12.83,12.8,12.83,106
SOTRAPIL,STPIL,2021-06-18,12.83,12.84,12.83,12.84,296
SOTRAPIL,STPIL,2021-06-21,12.84,12.84,12.8,12.8,783
SOTRAPIL,STPIL,2021-06-22,12.84,12.84,12.8,12.84,1365
SOTRAPIL,STPIL,2021-06-23,12.84,12.86,12.84,12.86,423
SOTRAPIL,STPIL,2021-06-24,12.84,12.86,12.81,12.86,776
SOTRAPIL,STPIL,2021-06-25,12.86,13.0,12.86,13.0,247
SOTRAPIL,STPIL,2021-06-28,13.0,13.0,12.95,13.0,529
SOTRAPIL,STPIL,2021-06-29,12.9,12.99,12.9,12.99,335
SOTRAPIL,STPIL,2021-06-30,12.95,12.95,12.95,12.95,140
SOTRAPIL,STPIL,2021-07-01,12.82,12.95,12.82,12.95,953
SOTRAPIL,STPIL,2021-07-02,12.95,12.95,12.9,12.9,230
SOTRAPIL,STPIL,2021-07-05,12.9,12.9,12.9,12.9,100
SOTRAPIL,STPIL,2021-07-06,12.95,12.95,12.95,12.95,514
SOTRAPIL,STPIL,2021-07-07,12.99,13.0,12.99,13.0,10
SOTRAPIL,STPIL,2021-07-08,13.0,13.0,13.0,13.0,800
SOTRAPIL,STPIL,2021-07-09,13.0,13.0,13.0,13.0,145
SOTRAPIL,STPIL,2021-07-12,12.25,12.25,11.95,11.95,15
SOTRAPIL,STPIL,2021-07-13,11.9,11.95,11.9,11.95,65
SOTRAPIL,STPIL,2021-07-14,11.97,11.97,11.95,11.95,252
SOTRAPIL,STPIL,2021-07-15,11.95,11.95,11.95,11.95,66
SOTRAPIL,STPIL,2021-07-16,12.25,12.25,11.95,12.25,200
SOTRAPIL,STPIL,2021-07-22,12.25,12.25,12.25,12.25,618
SOTRAPIL,STPIL,2021-07-23,11.9,12.25,11.89,11.89,675
SOTRAPIL,STPIL,2021-07-26,11.89,11.89,11.89,11.89,106
SOTRAPIL,STPIL,2021-07-28,11.89,11.89,11.62,11.89,403
SOTRAPIL,STPIL,2021-07-29,11.62,11.89,11.62,11.89,477
SOTRAPIL,STPIL,2021-07-30,11.8,11.8,11.64,11.64,290
SOTRAPIL,STPIL,2021-08-02,11.89,11.89,11.89,11.89,5
SOTRAPIL,STPIL,2021-08-03,11.89,11.89,11.61,11.61,64
SOTRAPIL,STPIL,2021-08-04,11.89,11.95,11.89,11.95,20
SOTRAPIL,STPIL,2021-08-05,11.95,11.95,11.95,11.95,15
SOTRAPIL,STPIL,2021-08-06,11.95,11.95,11.9,11.9,9
SOTRAPIL,STPIL,2021-08-11,11.9,11.95,11.9,11.95,895
SOTRAPIL,STPIL,2021-08-12,11.95,11.95,11.95,11.95,5
SOTRAPIL,STPIL,2021-08-16,11.66,11.95,11.66,11.95,53
SOTRAPIL,STPIL,2021-08-17,11.95,11.95,11.71,11.76,2104
SOTRAPIL,STPIL,2021-08-18,11.75,11.76,11.65,11.65,2059
SOTRAPIL,STPIL,2021-08-19,11.65,11.66,11.65,11.65,2272
SOTRAPIL,STPIL,2021-08-20,11.66,11.9,11.66,11.9,34
SOTRAPIL,STPIL,2021-08-23,11.9,11.9,11.9,11.9,49
SOTRAPIL,STPIL,2021-08-24,11.9,12.24,11.9,12.24,107
SOTRAPIL,STPIL,2021-08-25,12.24,12.25,11.97,11.97,509
SOTRAPIL,STPIL,2021-08-26,11.91,12.24,11.91,12.24,1713
SOTRAPIL,STPIL,2021-08-27,11.96,11.96,11.96,11.96,124
SOTRAPIL,STPIL,2021-09-01,11.65,11.9,11.65,11.9,105
SOTRAPIL,STPIL,2021-09-02,11.9,11.96,11.9,11.95,964
SOTRAPIL,STPIL,2021-09-03,12.0,12.0,11.95,11.95,600
SOTRAPIL,STPIL,2021-09-06,11.95,12.18,11.95,12.18,411
SOTRAPIL,STPIL,2021-09-07,12.18,12.18,11.96,12.18,1150
SOTRAPIL,STPIL,2021-09-08,12.18,12.22,11.99,12.22,190
SOTRAPIL,STPIL,2021-09-09,12.22,12.49,12.22,12.49,535
SOTRAPIL,STPIL,2021-09-10,12.5,12.75,12.32,12.32,467
SOTRAPIL,STPIL,2021-09-13,12.32,12.9,12.32,12.89,687
SOTRAPIL,STPIL,2021-09-14,12.95,13.0,12.95,13.0,194
SOTRAPIL,STPIL,2021-09-15,13.0,13.0,12.95,12.98,3081
SOTRAPIL,STPIL,2021-09-16,12.98,13.0,12.98,12.98,475
SOTRAPIL,STPIL,2021-09-17,12.98,12.98,12.81,12.97,715
SOTRAPIL,STPIL,2021-09-20,12.81,13.0,12.8,13.0,973
SOTRAPIL,STPIL,2021-09-22,13.0,13.0,12.99,12.98,10
