ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
TUNISIAN BOND INDEX,TBIDX,2021-06-17,156.41,156.41,156.41,156.41,0
TUNISIAN BOND INDEX,TBIDX,2021-06-18,156.44,156.44,156.44,156.44,0
TUNISIAN BOND INDEX,TBIDX,2021-06-21,156.56,156.56,156.56,156.56,0
TUNISIAN BOND INDEX,TBIDX,2021-06-22,156.59,156.59,156.59,156.59,0
TUNISIAN BOND INDEX,TBIDX,2021-06-23,156.65,156.65,156.65,156.65,0
TUNISIAN BOND INDEX,TBIDX,2021-06-24,156.68,156.68,156.68,156.68,0
TUNISIAN BOND INDEX,TBIDX,2021-06-25,156.72,156.72,156.72,156.72,0
TUNISIAN BOND INDEX,TBIDX,2021-06-28,156.82,156.82,156.82,156.82,0
TUNISIAN BOND INDEX,TBIDX,2021-06-29,156.86,156.86,156.86,156.86,0
TUNISIAN BOND INDEX,TBIDX,2021-06-30,156.89,156.89,156.89,156.89,0
TUNISIAN BOND INDEX,TBIDX,2021-07-01,156.92,156.92,156.92,156.92,0
TUNISIAN BOND INDEX,TBIDX,2021-07-02,156.96,156.96,156.96,156.96,0
TUNISIAN BOND INDEX,TBIDX,2021-07-05,156.87,156.87,156.87,156.87,0
TUNISIAN BOND INDEX,TBIDX,2021-07-06,156.88,156.88,156.88,156.88,0
TUNISIAN BOND INDEX,TBIDX,2021-07-07,156.91,156.91,156.91,156.91,0
TUNISIAN BOND INDEX,TBIDX,2021-07-08,156.87,156.87,156.87,156.87,0
TUNISIAN BOND INDEX,TBIDX,2021-07-09,156.91,156.91,156.91,156.91,0
TUNISIAN BOND INDEX,TBIDX,2021-07-12,157.01,157.01,157.01,157.01,0
TUNISIAN BOND INDEX,TBIDX,2021-07-13,157.08,157.08,157.08,157.08,0
TUNISIAN BOND INDEX,TBIDX,2021-07-14,157.09,157.09,157.09,157.09,0
TUNISIAN BOND INDEX,TBIDX,2021-07-15,157.13,157.13,157.13,157.13,0
TUNISIAN BOND INDEX,TBIDX,2021-07-16,157.17,157.17,157.17,157.17,0
TUNISIAN BOND INDEX,TBIDX,2021-07-19,157.28,157.28,157.28,157.28,0
TUNISIAN BOND INDEX,TBIDX,2021-07-20,157.31,157.31,157.31,157.31,0
TUNISIAN BOND INDEX,TBIDX,2021-07-21,157.35,157.35,157.35,157.35,0
TUNISIAN BOND INDEX,TBIDX,2021-07-22,157.39,157.39,157.39,157.39,0
TUNISIAN BOND INDEX,TBIDX,2021-07-23,157.43,157.43,157.43,157.43,0
TUNISIAN BOND INDEX,TBIDX,2021-07-26,157.47,157.47,157.47,157.47,0
TUNISIAN BOND INDEX,TBIDX,2021-07-27,157.49,157.49,157.49,157.49,0
TUNISIAN BOND INDEX,TBIDX,2021-07-28,157.53,157.53,157.53,157.53,0
TUNISIAN BOND INDEX,TBIDX,2021-07-29,157.57,157.57,157.57,157.57,0
TUNISIAN BOND INDEX,TBIDX,2021-07-30,157.61,157.61,157.61,157.61,0
TUNISIAN BOND INDEX,TBIDX,2021-08-02,157.73,157.73,157.73,157.73,0
TUNISIAN BOND INDEX,TBIDX,2021-08-03,157.76,157.76,157.76,157.76,0
TUNISIAN BOND INDEX,TBIDX,2021-08-04,157.77,157.77,157.77,157.77,0
TUNISIAN BOND INDEX,TBIDX,2021-08-05,157.81,157.81,157.81,157.81,0
TUNISIAN BOND INDEX,TBIDX,2021-08-06,157.84,157.84,157.84,157.84,0
TUNISIAN BOND INDEX,TBIDX,2021-08-09,157.95,157.95,157.95,157.95,0
TUNISIAN BOND INDEX,TBIDX,2021-08-10,157.98,157.98,157.98,157.98,0
TUNISIAN BOND INDEX,TBIDX,2021-08-11,158.01,158.01,158.01,158.01,0
TUNISIAN BOND INDEX,TBIDX,2021-08-12,158.04,158.04,158.04,158.04,0
TUNISIAN BOND INDEX,TBIDX,2021-08-13,158.08,158.08,158.08,158.08,0
TUNISIAN BOND INDEX,TBIDX,2021-08-16,158.13,158.13,158.13,158.13,0
TUNISIAN BOND INDEX,TBIDX,2021-08-17,158.14,158.14,158.14,158.14,0
TUNISIAN BOND INDEX,TBIDX,2021-08-18,158.15,158.15,158.15,158.15,0
TUNISIAN BOND INDEX,TBIDX,2021-08-19,158.18,158.18,158.18,158.18,0
TUNISIAN BOND INDEX,TBIDX,2021-08-20,158.22,158.22,158.22,158.22,0
TUNISIAN BOND INDEX,TBIDX,2021-08-23,158.31,158.31,158.31,158.31,0
