ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
TUNINVEST - SICAR,TINV,2021-06-17,12.0,12.0,12.0,12.0,10
TUNINVEST - SICAR,TINV,2021-06-23,12.0,12.0,12.0,12.0,18
TUNINVEST - SICAR,TINV,2021-06-24,12.0,12.0,12.0,12.0,6
TUNINVEST - SICAR,TINV,2021-06-25,12.0,12.0,12.0,12.0,1142
TUNINVEST - SICAR,TINV,2021-06-28,12.2,12.2,12.2,12.2,80
TUNINVEST - SICAR,TINV,2021-06-29,12.2,12.51,12.2,12.51,1030
TUNINVEST - SICAR,TINV,2021-06-30,12.88,12.91,12.88,12.91,2010
TUNINVEST - SICAR,TINV,2021-07-01,13.0,13.11,13.0,13.11,2268
TUNINVEST - SICAR,TINV,2021-07-02,13.5,13.75,13.5,13.75,138
TUNINVEST - SICAR,TINV,2021-07-05,13.9,13.9,13.9,13.9,893
TUNINVEST - SICAR,TINV,2021-07-06,13.91,13.91,13.91,13.91,322
TUNINVEST - SICAR,TINV,2021-07-07,14.3,14.3,14.29,14.29,1151
TUNINVEST - SICAR,TINV,2021-07-08,14.29,14.29,14.27,14.27,1166
TUNINVEST - SICAR,TINV,2021-07-09,14.0,14.19,14.0,14.19,161
TUNINVEST - SICAR,TINV,2021-07-12,14.19,14.19,14.19,14.19,1158
TUNINVEST - SICAR,TINV,2021-07-13,14.19,14.19,14.19,14.19,400
TUNINVEST - SICAR,TINV,2021-07-14,14.0,14.0,14.0,14.0,15
TUNINVEST - SICAR,TINV,2021-07-15,14.0,14.0,14.0,14.0,100
TUNINVEST - SICAR,TINV,2021-07-16,13.99,13.99,13.99,13.99,550
TUNINVEST - SICAR,TINV,2021-07-19,13.9,13.9,13.9,13.9,350
TUNINVEST - SICAR,TINV,2021-07-22,13.99,13.99,13.99,13.99,2290
TUNINVEST - SICAR,TINV,2021-09-15,12.3,12.3,12.3,12.3,50
TUNINVEST - SICAR,TINV,2021-10-06,12.0,12.2,12.0,12.0,1
TUNINVEST - SICAR,TINV,2021-10-08,12.0,12.0,12.0,12.0,1
TUNINVEST - SICAR,TINV,2021-10-13,11.46,12.0,11.46,11.46,298
TUNINVEST - SICAR,TINV,2021-10-14,11.45,11.46,11.45,11.45,950
TUNINVEST - SICAR,TINV,2021-10-19,11.45,11.45,11.45,11.45,1760
TUNINVEST - SICAR,TINV,2021-10-20,11.96,11.96,10.94,11.96,517
TUNINVEST - SICAR,TINV,2021-11-17,11.96,11.96,11.96,11.96,1
TUNINVEST - SICAR,TINV,2021-11-19,11.96,11.96,11.96,11.96,1
TUNINVEST - SICAR,TINV,2022-03-21,8.34,8.34,7.99,8.34,100
TUNINVEST - SICAR,TINV,2022-03-22,8.71,8.71,8.34,8.71,10
TUNINVEST - SICAR,TINV,2022-03-24,8.74,8.74,8.71,8.74,90
TUNINVEST - SICAR,TINV,2022-03-25,8.75,8.75,8.74,8.75,100
TUNINVEST - SICAR,TINV,2022-04-06,8.7,8.75,8.7,8.7,142
TUNINVEST - SICAR,TINV,2022-04-11,8.4,8.7,8.4,8.4,299
TUNINVEST - SICAR,TINV,2022-04-18,8.1,8.4,8.1,8.1,51
TUNINVEST - SICAR,TINV,2022-04-19,8.1,8.1,8.1,8.1,668
TUNINVEST - SICAR,TINV,2022-04-21,8.25,8.25,8.1,8.25,75
TUNINVEST - SICAR,TINV,2022-07-15,7.5,7.64,7.5,7.5,150
TUNINVEST - SICAR,TINV,2022-07-22,7.5,7.5,7.5,7.5,324
TUNINVEST - SICAR,TINV,2022-07-26,7.8,7.8,7.5,7.8,50
TUNINVEST - SICAR,TINV,2022-08-01,7.79,7.8,7.79,7.79,1200
TUNINVEST - SICAR,TINV,2022-08-03,7.5,7.79,7.5,7.5,80
TUNINVEST - SICAR,TINV,2022-08-17,7.0,7.0,7.0,7.0,51
TUNINVEST - SICAR,TINV,2022-08-25,7.0,7.0,7.0,7.0,78
TUNINVEST - SICAR,TINV,2022-09-06,7.28,7.28,7.0,7.28,1
TUNINVEST - SICAR,TINV,2022-09-12,7.28,7.28,7.28,7.28,30
TUNINVEST - SICAR,TINV,2022-09-27,6.96,7.28,6.96,6.96,170
TUNINVEST - SICAR,TINV,2022-10-21,6.65,6.96,6.65,6.65,205
TUNINVEST - SICAR,TINV,2022-10-24,6.36,6.65,6.36,6.36,202
TUNINVEST - SICAR,TINV,2022-10-26,6.36,6.36,6.36,6.36,126
TUNINVEST - SICAR,TINV,2022-10-28,6.5,6.5,6.36,6.5,5
TUNINVEST - SICAR,TINV,2022-10-31,6.5,6.5,6.5,6.5,7
TUNINVEST - SICAR,TINV,2022-11-03,6.21,6.5,6.21,6.21,5
TUNINVEST - SICAR,TINV,2022-11-08,6.0,6.21,6.0,6.0,210
TUNINVEST - SICAR,TINV,2022-11-09,6.01,6.01,6.0,6.01,281
TUNINVEST - SICAR,TINV,2022-11-15,6.01,6.01,6.01,6.01,1
TUNINVEST - SICAR,TINV,2022-11-22,5.57,5.83,5.57,5.57,42914
TUNINVEST - SICAR,TINV,2022-11-23,5.81,5.82,5.57,5.81,56
TUNINVEST - SICAR,TINV,2022-11-25,6.34,6.34,6.07,6.34,16
TUNINVEST - SICAR,TINV,2022-11-29,6.91,6.91,6.62,6.91,117
TUNINVEST - SICAR,TINV,2022-12-01,7.09,7.09,6.91,7.09,4
TUNINVEST - SICAR,TINV,2022-12-07,7.08,7.08,6.78,7.08,245
TUNINVEST - SICAR,TINV,2023-03-13,8.0,8.0,8.0,8.0,100
TUNINVEST - SICAR,TINV,2023-03-15,8.36,8.36,8.36,8.36,30
TUNINVEST - SICAR,TINV,2023-03-16,8.36,8.36,8.36,8.36,970
TUNINVEST - SICAR,TINV,2023-03-21,8.36,8.36,8.36,8.36,1000
TUNINVEST - SICAR,TINV,2023-03-23,9.05,9.05,8.73,9.05,348
TUNINVEST - SICAR,TINV,2023-04-05,9.0,9.05,9.0,9.0,10
TUNINVEST - SICAR,TINV,2023-04-07,8.6,9.0,8.6,8.6,100
TUNINVEST - SICAR,TINV,2023-04-13,8.6,8.6,8.6,8.6,66
TUNINVEST - SICAR,TINV,2023-04-19,8.6,8.6,8.6,8.6,216
TUNINVEST - SICAR,TINV,2023-04-20,8.6,8.6,8.6,8.6,131
TUNINVEST - SICAR,TINV,2023-05-11,8.58,8.58,8.56,8.58,820
TUNINVEST - SICAR,TINV,2023-05-18,8.56,8.56,8.55,8.55,339
TUNINVEST - SICAR,TINV,2023-05-19,8.55,8.9,8.55,8.9,1033
TUNINVEST - SICAR,TINV,2023-05-25,8.9,8.9,8.85,8.85,10
TUNINVEST - SICAR,TINV,2023-05-26,8.85,8.85,8.84,8.84,100
TUNINVEST - SICAR,TINV,2023-05-29,8.84,8.84,8.82,8.82,200
TUNINVEST - SICAR,TINV,2023-05-30,8.82,8.82,8.43,8.43,356
TUNINVEST - SICAR,TINV,2023-06-01,8.8,8.8,8.5,8.5,2
TUNINVEST - SICAR,TINV,2023-06-07,8.5,8.5,8.3,8.3,260
TUNINVEST - SICAR,TINV,2023-06-20,7.8,7.8,7.8,7.8,783
TUNINVEST - SICAR,TINV,2023-06-30,7.8,7.8,7.6,7.6,329
TUNINVEST - SICAR,TINV,2023-07-03,7.6,7.6,7.6,7.6,3
TUNINVEST - SICAR,TINV,2023-07-26,7.6,7.6,7.48,7.48,10
TUNINVEST - SICAR,TINV,2023-07-28,7.48,7.48,7.3,7.3,50
TUNINVEST - SICAR,TINV,2023-08-01,7.3,7.3,7.0,7.0,1150
TUNINVEST - SICAR,TINV,2023-08-02,7.0,7.0,7.0,7.0,1372
TUNINVEST - SICAR,TINV,2023-08-03,7.0,7.0,7.0,7.0,167
TUNINVEST - SICAR,TINV,2023-08-08,7.0,7.0,6.99,6.99,180
TUNINVEST - SICAR,TINV,2023-08-11,6.99,6.99,6.99,6.99,355
TUNINVEST - SICAR,TINV,2023-08-14,6.99,6.99,6.99,6.99,500
TUNINVEST - SICAR,TINV,2023-08-15,6.99,6.99,6.7,6.7,18
TUNINVEST - SICAR,TINV,2023-08-16,6.7,6.7,6.7,6.7,68
TUNINVEST - SICAR,TINV,2023-08-21,6.7,6.7,6.5,6.5,1902
TUNINVEST - SICAR,TINV,2023-08-22,6.5,6.79,6.5,6.79,200
TUNINVEST - SICAR,TINV,2023-08-23,6.79,7.0,6.79,7.0,681
TUNINVEST - SICAR,TINV,2023-08-28,7.0,7.0,7.0,7.0,5
TUNINVEST - SICAR,TINV,2023-08-29,7.0,7.0,7.0,7.0,300
TUNINVEST - SICAR,TINV,2023-08-30,7.0,7.0,7.0,7.0,200
TUNINVEST - SICAR,TINV,2023-08-31,7.0,7.0,7.0,7.0,144
TUNINVEST - SICAR,TINV,2023-09-01,7.0,7.09,7.0,7.09,80
TUNINVEST - SICAR,TINV,2023-09-18,6.78,7.08,6.78,7.08,32
TUNINVEST - SICAR,TINV,2023-09-19,7.08,7.08,6.78,6.78,10
TUNINVEST - SICAR,TINV,2023-10-16,6.45,6.45,6.19,6.19,1
TUNINVEST - SICAR,TINV,2023-10-17,6.19,6.19,5.93,5.93,1
TUNINVEST - SICAR,TINV,2023-10-27,6.45,6.74,6.45,6.74,288
TUNINVEST - SICAR,TINV,2023-11-01,6.44,6.44,6.16,6.16,100
TUNINVEST - SICAR,TINV,2023-11-02,6.16,6.16,5.89,5.89,5
TUNINVEST - SICAR,TINV,2023-11-08,6.42,6.43,6.42,6.43,242
TUNINVEST - SICAR,TINV,2023-11-09,6.43,6.5,6.43,6.5,465
TUNINVEST - SICAR,TINV,2023-11-13,6.21,6.48,6.21,6.48,50
TUNINVEST - SICAR,TINV,2023-11-14,6.48,6.48,6.45,6.45,1500
TUNINVEST - SICAR,TINV,2023-11-15,6.45,6.74,6.45,6.74,727
TUNINVEST - SICAR,TINV,2023-11-16,6.74,6.74,6.44,6.44,4460
TUNINVEST - SICAR,TINV,2023-11-22,6.44,6.64,6.44,6.64,490
TUNINVEST - SICAR,TINV,2023-11-23,6.64,6.75,6.64,6.75,813
TUNINVEST - SICAR,TINV,2023-11-24,6.75,6.76,6.75,6.76,130
TUNINVEST - SICAR,TINV,2023-11-28,6.76,6.76,6.76,6.76,489
TUNINVEST - SICAR,TINV,2023-11-29,6.76,7.06,6.76,7.06,500
TUNINVEST - SICAR,TINV,2023-11-30,7.06,7.27,7.06,7.27,300
TUNINVEST - SICAR,TINV,2024-03-06,10.2,10.2,10.0,10.0,50
TUNINVEST - SICAR,TINV,2024-03-15,10.0,10.0,10.0,10.0,2200
TUNINVEST - SICAR,TINV,2024-03-22,10.0,10.0,9.98,9.98,323
TUNINVEST - SICAR,TINV,2024-03-27,9.98,9.98,9.54,9.54,89
TUNINVEST - SICAR,TINV,2024-03-29,9.54,9.54,9.5,9.5,100
TUNINVEST - SICAR,TINV,2024-04-03,9.5,9.5,9.49,9.49,100
TUNINVEST - SICAR,TINV,2024-04-08,9.49,9.49,9.11,9.11,8
TUNINVEST - SICAR,TINV,2024-05-08,9.0,9.0,9.0,9.0,15
TUNINVEST - SICAR,TINV,2024-05-09,9.0,9.0,9.0,9.0,43
TUNINVEST - SICAR,TINV,2024-05-13,9.0,9.0,9.0,9.0,380
TUNINVEST - SICAR,TINV,2024-05-16,9.0,9.0,9.0,9.0,185
TUNINVEST - SICAR,TINV,2024-05-17,9.3,9.3,9.3,9.3,1
TUNINVEST - SICAR,TINV,2024-05-20,9.3,9.3,9.3,9.3,384
TUNINVEST - SICAR,TINV,2024-05-22,9.3,9.5,9.3,9.5,46
TUNINVEST - SICAR,TINV,2024-05-30,9.5,9.5,9.5,9.5,850
TUNINVEST - SICAR,TINV,2024-05-31,9.92,9.92,9.92,9.92,205
TUNINVEST - SICAR,TINV,2024-07-05,9.92,9.92,9.48,9.92,1220
TUNINVEST - SICAR,TINV,2024-07-17,9.92,9.92,9.9,9.9,856
TUNINVEST - SICAR,TINV,2024-07-19,9.9,9.9,9.8,9.8,1127
TUNINVEST - SICAR,TINV,2024-07-22,9.8,9.8,9.78,9.78,860
TUNINVEST - SICAR,TINV,2024-08-07,9.28,9.47,9.28,9.47,40
TUNINVEST - SICAR,TINV,2024-08-28,9.47,9.47,9.4,9.4,100
TUNINVEST - SICAR,TINV,2024-09-09,9.4,9.4,9.4,9.4,500
TUNINVEST - SICAR,TINV,2024-09-12,9.4,9.4,9.1,9.1,200
TUNINVEST - SICAR,TINV,2024-09-16,9.1,9.1,8.9,8.9,375
TUNINVEST - SICAR,TINV,2024-09-17,8.9,8.9,8.9,8.9,50
TUNINVEST - SICAR,TINV,2024-09-19,9.3,9.47,9.3,9.47,6
TUNINVEST - SICAR,TINV,2024-10-23,9.05,9.05,9.0,9.0,40
TUNINVEST - SICAR,TINV,2024-10-24,8.65,8.65,8.5,8.5,5000
TUNINVEST - SICAR,TINV,2024-10-28,8.5,8.5,8.5,8.5,1460
TUNINVEST - SICAR,TINV,2024-11-11,8.5,8.5,8.5,8.5,350
TUNINVEST - SICAR,TINV,2024-11-22,8.88,9.27,8.88,9.27,635
TUNINVEST - SICAR,TINV,2024-12-13,9.27,9.27,9.25,9.25,1
TUNINVEST - SICAR,TINV,2024-12-23,9.25,9.25,9.25,9.25,68
TUNINVEST - SICAR,TINV,2024-12-31,9.25,9.25,9.25,9.25,1
TUNINVEST - SICAR,TINV,2025-01-08,9.25,9.25,9.25,9.25,51
TUNINVEST - SICAR,TINV,2025-01-09,9.25,9.25,9.24,9.24,392
TUNINVEST - SICAR,TINV,2025-01-17,9.24,9.4,9.24,9.4,246
TUNINVEST - SICAR,TINV,2025-01-27,9.4,9.4,9.39,9.39,55
TUNINVEST - SICAR,TINV,2025-02-13,9.39,9.39,9.2,9.2,3
TUNINVEST - SICAR,TINV,2025-02-17,9.2,9.2,9.0,9.0,10
TUNINVEST - SICAR,TINV,2025-03-24,9.0,9.0,8.98,8.98,500
TUNINVEST - SICAR,TINV,2025-03-25,8.98,9.0,8.98,9.0,700
