ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
TELNET HOLDING,TLNET,2021-06-17,8.41,8.43,8.37,8.43,10751
TELNET HOLDING,TLNET,2021-06-18,8.37,8.42,8.37,8.42,8202
TELNET HOLDING,TLNET,2021-06-21,8.38,8.44,8.37,8.44,4175
TELNET HOLDING,TLNET,2021-06-22,8.38,8.63,8.38,8.63,3941
TELNET HOLDING,TLNET,2021-06-23,8.63,8.63,8.39,8.63,2669
TELNET HOLDING,TLNET,2021-06-24,8.69,8.69,8.45,8.65,1336
TELNET HOLDING,TLNET,2021-06-25,8.55,8.65,8.45,8.55,2780
TELNET HOLDING,TLNET,2021-06-28,8.64,8.64,8.5,8.64,251
TELNET HOLDING,TLNET,2021-06-29,8.44,8.65,8.44,8.63,499
TELNET HOLDING,TLNET,2021-06-30,8.45,8.6,8.44,8.6,1422
TELNET HOLDING,TLNET,2021-07-01,8.44,8.5,8.44,8.5,1860
TELNET HOLDING,TLNET,2021-07-02,8.35,8.5,8.35,8.5,31
TELNET HOLDING,TLNET,2021-07-06,8.35,8.5,8.35,8.5,1026
TELNET HOLDING,TLNET,2021-07-07,8.5,8.55,8.5,8.5,1003
TELNET HOLDING,TLNET,2021-07-08,8.5,8.6,8.41,8.6,958
TELNET HOLDING,TLNET,2021-07-09,8.6,8.6,8.46,8.59,905
TELNET HOLDING,TLNET,2021-07-12,8.59,8.6,8.59,8.6,3847
TELNET HOLDING,TLNET,2021-07-13,8.6,8.63,8.6,8.62,1468
TELNET HOLDING,TLNET,2021-07-14,8.6,8.79,8.6,8.79,12322
TELNET HOLDING,TLNET,2021-07-15,8.79,8.84,8.72,8.84,4929
TELNET HOLDING,TLNET,2021-07-16,8.84,8.84,8.6,8.79,192
TELNET HOLDING,TLNET,2021-07-19,8.6,8.7,8.53,8.7,190
TELNET HOLDING,TLNET,2021-07-22,8.7,8.7,8.55,8.66,503
TELNET HOLDING,TLNET,2021-07-23,8.6,8.66,8.6,8.66,80
TELNET HOLDING,TLNET,2021-07-26,8.28,8.58,8.28,8.58,3332
TELNET HOLDING,TLNET,2021-07-27,8.34,8.5,8.34,8.49,3976
TELNET HOLDING,TLNET,2021-07-28,8.45,8.55,8.45,8.48,32882
TELNET HOLDING,TLNET,2021-07-29,8.55,8.55,8.5,8.5,808
TELNET HOLDING,TLNET,2021-07-30,8.54,8.6,8.54,8.6,646
TELNET HOLDING,TLNET,2021-08-02,8.56,8.6,8.56,8.6,1467
TELNET HOLDING,TLNET,2021-08-03,8.58,8.58,8.45,8.58,602
TELNET HOLDING,TLNET,2021-08-04,8.58,8.58,8.57,8.57,302
TELNET HOLDING,TLNET,2021-08-06,8.55,8.55,8.48,8.54,1877
TELNET HOLDING,TLNET,2021-08-09,8.54,8.54,8.54,8.54,238
TELNET HOLDING,TLNET,2021-08-12,8.54,8.54,8.54,8.54,261
TELNET HOLDING,TLNET,2021-08-16,8.54,8.57,8.54,8.57,8731
TELNET HOLDING,TLNET,2021-08-17,8.56,8.75,8.56,8.64,2393
TELNET HOLDING,TLNET,2021-08-18,8.64,8.7,8.63,8.63,324
TELNET HOLDING,TLNET,2021-08-19,8.53,8.62,8.53,8.62,12
TELNET HOLDING,TLNET,2021-08-20,8.6,8.6,8.6,8.6,746
TELNET HOLDING,TLNET,2021-08-23,8.6,8.6,8.41,8.58,552
TELNET HOLDING,TLNET,2021-08-24,8.64,8.64,8.39,8.45,3197
TELNET HOLDING,TLNET,2021-08-25,8.44,8.44,8.42,8.43,1338
TELNET HOLDING,TLNET,2021-08-26,8.4,8.45,8.36,8.44,1023
TELNET HOLDING,TLNET,2021-08-27,8.33,8.4,8.33,8.4,2299
TELNET HOLDING,TLNET,2021-08-31,8.38,8.4,8.25,8.38,833
TELNET HOLDING,TLNET,2021-09-01,8.38,8.7,8.38,8.7,4743
TELNET HOLDING,TLNET,2021-09-02,8.7,8.7,8.69,8.69,1447
TELNET HOLDING,TLNET,2021-09-03,8.65,8.65,8.65,8.65,115
TELNET HOLDING,TLNET,2021-09-06,8.64,8.64,8.33,8.6,1293
TELNET HOLDING,TLNET,2021-09-07,8.65,8.65,8.5,8.5,495
TELNET HOLDING,TLNET,2021-09-08,8.5,8.5,8.49,8.49,1385
TELNET HOLDING,TLNET,2021-09-09,8.4,8.4,8.31,8.4,2492
TELNET HOLDING,TLNET,2021-09-10,8.49,8.49,8.35,8.45,1006
TELNET HOLDING,TLNET,2021-09-14,8.44,8.44,8.3,8.44,10062
TELNET HOLDING,TLNET,2021-09-15,8.3,8.43,8.28,8.34,13057
TELNET HOLDING,TLNET,2021-09-16,8.35,8.44,8.27,8.4,6877
TELNET HOLDING,TLNET,2021-09-17,8.31,8.54,8.31,8.54,5048
TELNET HOLDING,TLNET,2021-09-20,8.64,8.64,8.36,8.45,3394
TELNET HOLDING,TLNET,2021-09-21,8.55,8.55,8.55,8.55,1
TELNET HOLDING,TLNET,2021-09-22,8.55,8.55,8.36,8.5,24727
TELNET HOLDING,TLNET,2021-09-23,8.45,8.5,8.36,8.49,13001
TELNET HOLDING,TLNET,2021-09-24,8.37,8.48,8.3,8.45,20319
TELNET HOLDING,TLNET,2021-09-27,8.26,8.45,8.26,8.26,200
TELNET HOLDING,TLNET,2021-09-28,8.35,8.4,8.3,8.35,6323
TELNET HOLDING,TLNET,2021-09-29,8.4,8.63,8.4,8.59,34009
TELNET HOLDING,TLNET,2021-09-30,8.59,8.59,8.4,8.41,7118
TELNET HOLDING,TLNET,2021-10-01,8.5,8.54,8.4,8.5,47352
TELNET HOLDING,TLNET,2021-10-04,8.5,8.5,8.37,8.5,34057
TELNET HOLDING,TLNET,2021-10-05,8.49,8.5,8.39,8.49,23921
TELNET HOLDING,TLNET,2021-10-06,8.57,8.59,8.41,8.57,7095
TELNET HOLDING,TLNET,2021-10-07,8.69,9.0,8.55,8.69,22823
TELNET HOLDING,TLNET,2021-10-08,8.77,8.79,8.6,8.77,36841
TELNET HOLDING,TLNET,2021-10-11,8.7,8.77,8.7,8.7,12124
TELNET HOLDING,TLNET,2021-10-12,8.68,8.78,8.65,8.68,3234
TELNET HOLDING,TLNET,2021-10-13,8.78,8.78,8.6,8.78,5935
TELNET HOLDING,TLNET,2021-10-14,8.7,8.78,8.62,8.7,225
TELNET HOLDING,TLNET,2021-10-19,8.59,8.7,8.59,8.59,5222
TELNET HOLDING,TLNET,2021-10-20,8.55,8.59,8.5,8.55,17324
TELNET HOLDING,TLNET,2021-10-21,8.69,8.69,8.54,8.69,7648
TELNET HOLDING,TLNET,2021-10-22,8.62,8.69,8.41,8.62,8267
TELNET HOLDING,TLNET,2021-10-25,8.51,8.68,8.51,8.51,210
TELNET HOLDING,TLNET,2021-10-26,8.43,8.68,8.42,8.43,2048
TELNET HOLDING,TLNET,2021-10-27,8.54,8.55,8.42,8.54,425
TELNET HOLDING,TLNET,2021-10-28,8.52,8.57,8.42,8.52,1713
TELNET HOLDING,TLNET,2021-10-29,8.58,8.6,8.45,8.58,15301
TELNET HOLDING,TLNET,2021-11-01,8.7,8.93,8.58,8.7,629
TELNET HOLDING,TLNET,2021-11-02,8.69,8.7,8.55,8.69,5042
TELNET HOLDING,TLNET,2021-11-03,8.7,8.72,8.67,8.7,60853
TELNET HOLDING,TLNET,2021-11-04,8.75,8.79,8.69,8.75,655
TELNET HOLDING,TLNET,2021-11-05,8.74,8.8,8.7,8.74,26
TELNET HOLDING,TLNET,2021-11-08,8.69,8.74,8.6,8.69,314
TELNET HOLDING,TLNET,2021-11-09,8.58,8.69,8.55,8.58,8380
TELNET HOLDING,TLNET,2021-11-10,8.58,8.58,8.55,8.58,1638
TELNET HOLDING,TLNET,2021-11-11,8.68,8.68,8.55,8.68,5364
TELNET HOLDING,TLNET,2021-11-12,8.7,8.7,8.68,8.7,1000
TELNET HOLDING,TLNET,2021-11-16,8.69,8.7,8.55,8.69,804
TELNET HOLDING,TLNET,2021-11-17,8.6,8.69,8.59,8.6,765
TELNET HOLDING,TLNET,2021-11-18,8.55,8.6,8.47,8.55,5502
TELNET HOLDING,TLNET,2021-11-19,8.68,8.7,8.5,8.68,3579
TELNET HOLDING,TLNET,2021-11-22,8.68,8.68,8.68,8.68,130
TELNET HOLDING,TLNET,2021-11-23,8.55,8.68,8.47,8.55,2535
TELNET HOLDING,TLNET,2021-11-24,8.55,8.55,8.47,8.55,1607
TELNET HOLDING,TLNET,2021-11-25,8.47,8.55,8.47,8.47,420
TELNET HOLDING,TLNET,2021-11-26,8.67,8.67,8.47,8.67,257
TELNET HOLDING,TLNET,2021-11-29,8.68,8.68,8.5,8.68,2567
TELNET HOLDING,TLNET,2021-11-30,8.67,8.68,8.55,8.67,863
TELNET HOLDING,TLNET,2021-12-01,8.6,8.67,8.57,8.6,1648
TELNET HOLDING,TLNET,2021-12-02,8.59,8.6,8.44,8.59,1001
TELNET HOLDING,TLNET,2021-12-03,8.55,8.59,8.43,8.55,5902
TELNET HOLDING,TLNET,2021-12-06,8.49,8.55,8.41,8.49,1278
TELNET HOLDING,TLNET,2021-12-07,8.42,8.49,8.41,8.42,2061
TELNET HOLDING,TLNET,2021-12-08,8.33,8.5,8.33,8.33,1107
TELNET HOLDING,TLNET,2021-12-09,8.3,8.42,8.3,8.3,640
TELNET HOLDING,TLNET,2021-12-10,8.4,8.4,8.25,8.4,395
TELNET HOLDING,TLNET,2021-12-13,8.35,8.4,8.3,8.35,1539
TELNET HOLDING,TLNET,2022-03-14,8.15,8.16,8.029,8.15,462
TELNET HOLDING,TLNET,2022-03-15,8.13,8.15,8.039,8.13,662
TELNET HOLDING,TLNET,2022-03-16,8.13,8.14,8.029,8.13,622
TELNET HOLDING,TLNET,2022-03-17,8.13,8.13,8.119,8.13,1419
TELNET HOLDING,TLNET,2022-03-18,8.09,8.13,8.05,8.09,1308
TELNET HOLDING,TLNET,2022-03-21,8.14,8.14,8.039,8.14,2658
TELNET HOLDING,TLNET,2022-03-22,8.14,8.14,8.039,8.14,1499
TELNET HOLDING,TLNET,2022-03-23,8.14,8.14,8.09,8.14,120
TELNET HOLDING,TLNET,2022-03-24,8.3,8.3,8.09,8.3,6966
TELNET HOLDING,TLNET,2022-03-25,8.32,8.32,8.14,8.32,2274
TELNET HOLDING,TLNET,2022-03-28,8.3,8.32,8.15,8.3,151
TELNET HOLDING,TLNET,2022-03-29,8.16,8.3,8.16,8.16,702
TELNET HOLDING,TLNET,2022-03-30,8.15,8.3,8.15,8.15,740
TELNET HOLDING,TLNET,2022-03-31,8.29,8.29,8.29,8.29,50
TELNET HOLDING,TLNET,2022-04-01,8.29,8.29,8.16,8.29,1048
TELNET HOLDING,TLNET,2022-04-04,8.2,8.29,8.2,8.2,2965
TELNET HOLDING,TLNET,2022-04-05,8.2,8.25,8.2,8.2,6414
TELNET HOLDING,TLNET,2022-04-06,8.2,8.28,8.16,8.2,2419
TELNET HOLDING,TLNET,2022-04-07,8.27,8.28,8.2,8.27,2064
TELNET HOLDING,TLNET,2022-04-08,8.28,8.29,8.2,8.28,7277
TELNET HOLDING,TLNET,2022-04-11,8.29,8.29,8.28,8.29,1
TELNET HOLDING,TLNET,2022-04-12,8.28,8.29,8.2,8.28,618
TELNET HOLDING,TLNET,2022-04-13,8.1,8.28,8.1,8.1,1564
TELNET HOLDING,TLNET,2022-04-14,8.29,8.29,8.1,8.29,175
TELNET HOLDING,TLNET,2022-04-15,8.28,8.29,8.22,8.28,7849
TELNET HOLDING,TLNET,2022-04-18,8.15,8.28,8.15,8.15,4081
TELNET HOLDING,TLNET,2022-04-19,8.19,8.2,8.1,8.19,2733
TELNET HOLDING,TLNET,2022-04-20,8.19,8.2,8.16,8.19,4126
TELNET HOLDING,TLNET,2022-04-21,8.27,8.27,8.16,8.27,689
TELNET HOLDING,TLNET,2022-04-22,8.27,8.27,8.16,8.27,274
TELNET HOLDING,TLNET,2022-04-25,8.25,8.27,8.06,8.25,3565
TELNET HOLDING,TLNET,2022-04-26,8.54,8.59,8.25,8.54,30852
TELNET HOLDING,TLNET,2022-04-27,8.39,8.54,8.39,8.39,4569
TELNET HOLDING,TLNET,2022-04-28,8.3,8.49,8.3,8.3,1961
TELNET HOLDING,TLNET,2022-04-29,8.46,8.46,8.3,8.46,5525
TELNET HOLDING,TLNET,2022-05-04,8.53,8.53,8.46,8.53,5
TELNET HOLDING,TLNET,2022-05-05,8.33,8.53,8.33,8.33,486
TELNET HOLDING,TLNET,2022-05-06,8.39,8.4,8.33,8.39,225
TELNET HOLDING,TLNET,2022-05-09,8.37,8.39,8.15,8.37,953
TELNET HOLDING,TLNET,2022-05-11,8.3,8.37,8.3,8.3,14
TELNET HOLDING,TLNET,2022-05-12,8.29,8.3,8.109,8.29,4964
TELNET HOLDING,TLNET,2022-05-13,8.29,8.37,8.16,8.29,845
TELNET HOLDING,TLNET,2022-05-16,8.25,8.3,8.18,8.25,917
TELNET HOLDING,TLNET,2022-05-17,8.29,8.3,8.15,8.29,3063
TELNET HOLDING,TLNET,2022-05-18,8.24,8.29,8.119,8.24,6993
TELNET HOLDING,TLNET,2022-05-19,8.25,8.25,8.24,8.25,957
TELNET HOLDING,TLNET,2022-05-20,8.29,8.29,8.28,8.29,1200
TELNET HOLDING,TLNET,2022-05-23,8.34,8.39,8.27,8.34,3695
TELNET HOLDING,TLNET,2022-05-24,7.95,8.029,7.8,7.95,6882
TELNET HOLDING,TLNET,2022-05-25,7.97,8.2,7.9,7.97,3852
TELNET HOLDING,TLNET,2022-05-26,8.0,8.1,7.93,8.0,3792
TELNET HOLDING,TLNET,2022-05-27,7.94,8.09,7.94,7.94,3786
TELNET HOLDING,TLNET,2022-05-30,7.86,8.05,7.86,7.86,6307
TELNET HOLDING,TLNET,2022-05-31,7.96,7.99,7.81,7.96,4964
TELNET HOLDING,TLNET,2022-06-01,7.98,8.029,7.93,7.98,4678
TELNET HOLDING,TLNET,2022-06-02,7.96,7.98,7.92,7.96,1942
TELNET HOLDING,TLNET,2022-06-03,7.96,7.98,7.85,7.96,4509
TELNET HOLDING,TLNET,2022-06-06,7.98,7.98,7.96,7.98,1751
TELNET HOLDING,TLNET,2022-06-07,7.96,7.98,7.8,7.96,2532
TELNET HOLDING,TLNET,2022-06-08,7.8,7.96,7.8,7.8,11052
TELNET HOLDING,TLNET,2022-06-09,7.85,7.9,7.8,7.85,4607
TELNET HOLDING,TLNET,2022-06-10,7.75,7.85,7.75,7.75,1535
TELNET HOLDING,TLNET,2022-06-13,7.75,7.9,7.75,7.75,1297
TELNET HOLDING,TLNET,2022-06-14,7.8,7.85,7.7,7.8,1222
TELNET HOLDING,TLNET,2022-06-15,7.7,7.79,7.7,7.7,4151
TELNET HOLDING,TLNET,2022-06-16,7.74,7.75,7.65,7.74,829
TELNET HOLDING,TLNET,2022-06-17,7.74,7.77,7.7,7.74,5173
TELNET HOLDING,TLNET,2022-06-20,7.8,7.9,7.7,7.8,4258
TELNET HOLDING,TLNET,2022-06-21,7.8,7.89,7.8,7.8,251
TELNET HOLDING,TLNET,2022-06-22,7.79,7.8,7.68,7.79,67
TELNET HOLDING,TLNET,2022-06-23,7.79,7.8,7.66,7.79,822
TELNET HOLDING,TLNET,2022-06-24,7.74,7.79,7.74,7.74,240
TELNET HOLDING,TLNET,2022-06-27,7.79,7.8,7.66,7.79,6694
TELNET HOLDING,TLNET,2022-06-28,7.67,7.79,7.66,7.67,133
TELNET HOLDING,TLNET,2022-06-29,7.75,7.75,7.7,7.75,141
TELNET HOLDING,TLNET,2022-06-30,7.7,7.75,7.7,7.7,271
TELNET HOLDING,TLNET,2022-07-01,7.65,7.77,7.65,7.65,2461
TELNET HOLDING,TLNET,2022-07-04,7.8,7.8,7.5,7.8,1974
