ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
TUNISIE LEASING & FACTORING,TLS,2021-06-17,10.68,10.68,10.68,10.68,2
TUNISIE LEASING & FACTORING,TLS,2021-06-21,10.36,10.6,10.36,10.6,51
TUNISIE LEASING & FACTORING,TLS,2021-06-22,10.6,10.65,10.6,10.65,302
TUNISIE LEASING & FACTORING,TLS,2021-06-25,10.35,10.35,10.35,10.35,200
TUNISIE LEASING & FACTORING,TLS,2021-06-28,10.35,10.6,10.35,10.6,231
TUNISIE LEASING & FACTORING,TLS,2021-06-29,10.3,10.3,10.3,10.3,174
TUNISIE LEASING & FACTORING,TLS,2021-06-30,10.05,10.3,10.05,10.3,52
TUNISIE LEASING & FACTORING,TLS,2021-07-01,10.2,10.35,10.0,10.35,1655
TUNISIE LEASING & FACTORING,TLS,2021-07-07,10.35,10.35,10.35,10.35,49
TUNISIE LEASING & FACTORING,TLS,2021-07-08,10.64,10.64,10.64,10.64,10
TUNISIE LEASING & FACTORING,TLS,2021-08-16,10.9,10.9,10.9,10.9,10
TUNISIE LEASING & FACTORING,TLS,2021-08-20,10.64,10.64,10.64,10.64,15
TUNISIE LEASING & FACTORING,TLS,2021-09-03,10.43,10.43,10.43,10.43,50
TUNISIE LEASING & FACTORING,TLS,2021-09-09,10.0,10.4,10.0,10.4,149
TUNISIE LEASING & FACTORING,TLS,2021-09-22,10.3,10.3,10.3,10.3,2
TUNISIE LEASING & FACTORING,TLS,2021-09-23,10.0,10.4,10.0,10.35,762
TUNISIE LEASING & FACTORING,TLS,2021-09-24,10.15,10.15,10.15,10.15,15
TUNISIE LEASING & FACTORING,TLS,2021-09-27,10.0,10.0,10.0,10.0,51
TUNISIE LEASING & FACTORING,TLS,2021-09-28,10.1,10.1,10.0,10.1,5
TUNISIE LEASING & FACTORING,TLS,2021-09-29,9.7,10.0,9.7,9.7,1762
TUNISIE LEASING & FACTORING,TLS,2021-09-30,10.0,10.15,9.49,10.1,2334
TUNISIE LEASING & FACTORING,TLS,2021-10-01,10.0,10.1,10.0,10.0,100
TUNISIE LEASING & FACTORING,TLS,2021-10-04,9.71,10.0,9.71,9.71,61
TUNISIE LEASING & FACTORING,TLS,2021-10-05,10.0,10.0,9.71,10.0,25003
TUNISIE LEASING & FACTORING,TLS,2021-10-06,9.98,10.0,9.41,9.98,715
TUNISIE LEASING & FACTORING,TLS,2021-10-07,10.0,10.0,9.98,10.0,2
TUNISIE LEASING & FACTORING,TLS,2021-10-22,9.68,10.0,9.68,9.68,54
TUNISIE LEASING & FACTORING,TLS,2021-10-25,9.64,9.68,9.64,9.64,50
TUNISIE LEASING & FACTORING,TLS,2021-11-05,9.64,9.64,9.64,9.64,1467
TUNISIE LEASING & FACTORING,TLS,2021-11-08,9.63,9.64,9.45,9.63,12
TUNISIE LEASING & FACTORING,TLS,2021-11-16,9.25,9.63,9.25,9.25,57
TUNISIE LEASING & FACTORING,TLS,2021-11-19,9.01,9.25,9.01,9.01,1
TUNISIE LEASING & FACTORING,TLS,2021-11-22,9.1,9.1,8.98,9.1,60
TUNISIE LEASING & FACTORING,TLS,2021-11-23,9.1,9.1,8.98,9.1,405
TUNISIE LEASING & FACTORING,TLS,2021-11-25,9.1,9.1,9.1,9.1,545
TUNISIE LEASING & FACTORING,TLS,2021-11-29,9.1,9.1,9.1,9.1,2000
TUNISIE LEASING & FACTORING,TLS,2021-11-30,9.1,9.1,8.72,9.1,16
TUNISIE LEASING & FACTORING,TLS,2021-12-03,9.1,9.1,9.1,9.1,1
TUNISIE LEASING & FACTORING,TLS,2021-12-07,9.1,9.1,9.1,9.1,2
TUNISIE LEASING & FACTORING,TLS,2022-03-14,9.23,9.23,9.22,9.23,290
TUNISIE LEASING & FACTORING,TLS,2022-03-15,9.27,9.27,9.23,9.27,110
