ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
TUNIS RE,TRE,2021-06-18,6.89,6.89,6.83,6.88,122
TUNIS RE,TRE,2021-06-21,6.7,6.89,6.7,6.89,1702
TUNIS RE,TRE,2021-06-22,6.89,6.89,6.89,6.89,446
TUNIS RE,TRE,2021-06-29,6.88,6.88,6.88,6.88,150
TUNIS RE,TRE,2021-06-30,6.89,6.9,6.89,6.9,400
TUNIS RE,TRE,2021-07-02,7.1,7.1,7.1,7.1,50
TUNIS RE,TRE,2021-07-05,7.1,7.1,7.1,7.1,19
TUNIS RE,TRE,2021-07-07,7.0,7.0,7.0,7.0,29
TUNIS RE,TRE,2021-07-08,7.0,7.0,7.0,7.0,10
TUNIS RE,TRE,2021-07-09,6.9,6.9,6.9,6.9,10
TUNIS RE,TRE,2021-07-13,6.9,6.9,6.7,6.7,2074
TUNIS RE,TRE,2021-07-16,6.9,6.9,6.9,6.9,20
TUNIS RE,TRE,2021-07-19,7.1,7.1,7.1,7.1,20
TUNIS RE,TRE,2021-07-27,7.05,7.05,7.05,7.05,10
TUNIS RE,TRE,2021-08-06,6.84,7.0,6.84,7.0,264
TUNIS RE,TRE,2021-08-09,6.79,7.09,6.79,7.09,25
TUNIS RE,TRE,2021-08-18,6.88,6.88,6.88,6.88,47
TUNIS RE,TRE,2021-08-20,6.85,6.85,6.85,6.85,427
TUNIS RE,TRE,2021-08-23,6.85,6.85,6.85,6.85,503
TUNIS RE,TRE,2021-08-24,6.85,6.85,6.85,6.85,50
TUNIS RE,TRE,2021-08-25,6.84,6.88,6.84,6.88,3494
TUNIS RE,TRE,2021-08-26,6.88,7.0,6.88,7.0,2739
TUNIS RE,TRE,2021-08-31,7.0,7.0,6.91,7.0,127
TUNIS RE,TRE,2021-09-02,7.0,7.0,7.0,7.0,915
TUNIS RE,TRE,2021-09-03,7.0,7.18,7.0,7.18,275
TUNIS RE,TRE,2021-09-06,7.0,7.0,7.0,7.0,50
TUNIS RE,TRE,2021-09-07,7.0,7.0,7.0,7.0,165
TUNIS RE,TRE,2021-09-08,7.0,7.0,7.0,7.0,1870
TUNIS RE,TRE,2021-09-10,7.1,7.1,7.1,7.1,5
TUNIS RE,TRE,2021-09-17,6.9,7.05,6.9,7.05,355
TUNIS RE,TRE,2021-09-20,6.9,7.0,6.9,7.0,853
TUNIS RE,TRE,2021-09-22,6.9,6.9,6.9,6.98,651
TUNIS RE,TRE,2021-09-23,6.9,6.9,6.9,6.9,263
TUNIS RE,TRE,2021-09-24,7.05,7.05,6.91,6.91,250
