ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
UADH,UADH,2021-06-17,0.61,0.62,0.59,0.59,75250
UADH,UADH,2021-06-18,0.58,0.6,0.57,0.57,64555
UADH,UADH,2021-06-21,0.57,0.58,0.56,0.56,35177
UADH,UADH,2021-06-22,0.55,0.56,0.54,0.54,183239
UADH,UADH,2021-06-23,0.54,0.55,0.53,0.55,55856
UADH,UADH,2021-06-24,0.55,0.58,0.55,0.58,69951
UADH,UADH,2021-06-25,0.6,0.61,0.6,0.61,135319
UADH,UADH,2021-06-28,0.62,0.63,0.6,0.61,105235
UADH,UADH,2021-06-29,0.62,0.62,0.58,0.58,68190
UADH,UADH,2021-06-30,0.58,0.59,0.55,0.55,29708
UADH,UADH,2021-07-02,0.54,0.54,0.54,0.54,7493
UADH,UADH,2021-07-05,0.53,0.53,0.53,0.53,4458
UADH,UADH,2021-07-09,0.49,0.49,0.49,0.49,26246
UADH,UADH,2021-07-12,0.5,0.5,0.5,0.5,7150
UADH,UADH,2021-07-19,0.55,0.55,0.55,0.55,5405
UADH,UADH,2021-07-22,0.56,0.56,0.56,0.56,7127
UADH,UADH,2021-07-23,0.57,0.57,0.57,0.57,29808
UADH,UADH,2021-07-26,0.57,0.57,0.57,0.57,15996
UADH,UADH,2021-07-27,0.57,0.57,0.57,0.57,4150
UADH,UADH,2021-07-28,0.56,0.56,0.56,0.56,2150
UADH,UADH,2021-08-02,0.53,0.53,0.53,0.53,1853
UADH,UADH,2021-08-03,0.53,0.53,0.53,0.53,4858
UADH,UADH,2021-08-05,0.52,0.52,0.52,0.52,24403
UADH,UADH,2021-08-06,0.52,0.52,0.52,0.52,1132
UADH,UADH,2021-08-09,0.53,0.53,0.53,0.53,6784
UADH,UADH,2021-08-11,0.53,0.53,0.53,0.53,190
UADH,UADH,2021-08-18,0.49,0.49,0.49,0.49,54231
UADH,UADH,2021-08-19,0.5,0.5,0.5,0.5,11020
UADH,UADH,2021-08-31,0.48,0.5,0.48,0.48,2810
UADH,UADH,2021-09-01,0.49,0.49,0.49,0.49,12619
UADH,UADH,2021-09-02,0.5,0.5,0.5,0.5,14835
UADH,UADH,2021-09-03,0.49,0.49,0.49,0.49,1700
UADH,UADH,2021-09-06,0.51,0.51,0.51,0.51,3690
UADH,UADH,2021-09-07,0.51,0.51,0.51,0.51,19384
UADH,UADH,2021-09-08,0.51,0.51,0.51,0.51,1847
UADH,UADH,2021-09-09,0.49,0.49,0.49,0.49,31150
UADH,UADH,2021-09-10,0.48,0.48,0.48,0.48,23293
UADH,UADH,2021-09-13,0.47,0.47,0.47,0.47,7890
UADH,UADH,2021-09-14,0.47,0.47,0.47,0.47,354
UADH,UADH,2021-09-15,0.45,0.45,0.45,0.45,22384
UADH,UADH,2021-09-20,0.42,0.42,0.42,0.42,48308
UADH,UADH,2021-09-21,0.41,0.41,0.41,0.41,17821
UADH,UADH,2021-09-22,0.4,0.4,0.4,0.4,29738
UADH,UADH,2021-09-23,0.39,0.39,0.39,0.39,0
UADH,UADH,2021-09-24,0.38,0.38,0.38,0.38,24553
UADH,UADH,2021-09-27,0.38,0.38,0.38,0.38,0
UADH,UADH,2021-09-28,0.37,0.37,0.37,0.37,0
UADH,UADH,2021-09-29,0.35,0.35,0.35,0.35,0
UADH,UADH,2021-09-30,0.34,0.34,0.34,0.34,0
UADH,UADH,2021-10-01,0.33,0.34,0.33,0.33,115104
UADH,UADH,2021-10-04,0.32,0.33,0.32,0.32,50600
UADH,UADH,2021-10-05,0.32,0.32,0.32,0.32,107009
UADH,UADH,2021-10-13,0.38,0.38,0.37,0.38,84018
UADH,UADH,2021-10-21,0.42,0.42,0.41,0.42,88003
UADH,UADH,2021-11-01,0.5,0.51,0.5,0.5,89790
UADH,UADH,2021-11-09,0.62,0.62,0.6,0.62,113384
UADH,UADH,2021-11-10,0.6,0.62,0.6,0.6,54306
UADH,UADH,2021-11-22,0.44,0.46,0.44,0.44,29672
UADH,UADH,2021-11-24,0.44,0.44,0.43,0.44,18215
UADH,UADH,2021-11-25,0.44,0.44,0.44,0.44,18985
UADH,UADH,2021-11-26,0.45,0.45,0.44,0.45,14405
UADH,UADH,2021-11-30,0.47,0.47,0.47,0.47,14020
UADH,UADH,2021-12-01,0.45,0.47,0.45,0.45,6210
UADH,UADH,2021-12-03,0.43,0.43,0.43,0.43,17802
UADH,UADH,2021-12-10,0.39,0.39,0.39,0.39,20838
UADH,UADH,2021-12-13,0.39,0.39,0.39,0.39,5492
UADH,UADH,2022-03-14,0.5,0.5,0.48,0.5,33780
UADH,UADH,2022-03-15,0.51,0.51,0.5,0.51,30245
UADH,UADH,2022-03-16,0.52,0.52,0.51,0.52,20123
UADH,UADH,2022-03-17,0.54,0.54,0.52,0.54,21371
UADH,UADH,2022-03-18,0.54,0.54,0.54,0.54,41842
UADH,UADH,2022-03-21,0.53,0.54,0.53,0.53,12095
UADH,UADH,2022-03-23,0.51,0.51,0.51,0.51,32051
UADH,UADH,2022-03-25,0.47,0.49,0.47,0.47,31667
UADH,UADH,2022-03-28,0.46,0.47,0.46,0.46,3677
UADH,UADH,2022-03-29,0.44,0.46,0.44,0.44,7138
UADH,UADH,2022-03-30,0.45,0.45,0.44,0.45,12071
UADH,UADH,2022-04-01,0.49,0.49,0.47,0.49,9764
UADH,UADH,2022-04-05,0.45,0.47,0.45,0.45,4085
UADH,UADH,2022-04-06,0.46,0.46,0.45,0.46,10
UADH,UADH,2022-04-11,0.42,0.43,0.42,0.42,18360
UADH,UADH,2022-04-15,0.44,0.45,0.44,0.44,6164
UADH,UADH,2022-04-18,0.43,0.44,0.43,0.43,7439
UADH,UADH,2022-04-19,0.43,0.43,0.43,0.43,1004
UADH,UADH,2022-04-20,0.42,0.43,0.42,0.42,39170
UADH,UADH,2022-04-22,0.42,0.42,0.41,0.42,29494
UADH,UADH,2022-04-25,0.42,0.42,0.42,0.42,6400
UADH,UADH,2022-04-28,0.4,0.4,0.4,0.4,11821
UADH,UADH,2022-05-04,0.39,0.39,0.39,0.39,7038
UADH,UADH,2022-05-05,0.38,0.39,0.38,0.38,91777
UADH,UADH,2022-05-06,0.39,0.39,0.38,0.39,15669
UADH,UADH,2022-05-12,0.41,0.41,0.4,0.41,95621
UADH,UADH,2022-06-01,0.65,0.65,0.63,0.65,220601
UADH,UADH,2022-06-02,0.64,0.65,0.64,0.64,48933
UADH,UADH,2022-06-07,0.58,0.6,0.58,0.58,37558
UADH,UADH,2022-06-14,0.52,0.52,0.5,0.52,86299
UADH,UADH,2022-06-15,0.54,0.54,0.52,0.54,103645
UADH,UADH,2022-06-16,0.52,0.54,0.52,0.52,57240
UADH,UADH,2022-06-17,0.54,0.54,0.52,0.54,8240
UADH,UADH,2022-06-21,0.58,0.58,0.56,0.58,20525
UADH,UADH,2022-06-22,0.59,0.59,0.58,0.59,35109
UADH,UADH,2022-06-27,0.54,0.55,0.54,0.54,45324
UADH,UADH,2022-06-28,0.54,0.54,0.54,0.54,3000
UADH,UADH,2022-06-29,0.56,0.56,0.54,0.56,7820
UADH,UADH,2022-06-30,0.58,0.58,0.56,0.58,25210
UADH,UADH,2022-07-01,0.59,0.59,0.58,0.59,21715
UADH,UADH,2022-07-04,0.6,0.6,0.59,0.6,19922
UADH,UADH,2022-07-05,0.6,0.6,0.6,0.6,9600
UADH,UADH,2022-07-07,0.58,0.58,0.58,0.58,38725
UADH,UADH,2022-07-11,0.56,0.56,0.56,0.56,11351
UADH,UADH,2022-07-12,0.55,0.56,0.55,0.55,12130
UADH,UADH,2022-07-13,0.55,0.55,0.55,0.55,23790
UADH,UADH,2022-07-14,0.55,0.55,0.55,0.55,1000
UADH,UADH,2022-07-15,0.54,0.55,0.54,0.54,10222
UADH,UADH,2022-07-18,0.52,0.54,0.52,0.52,18974
UADH,UADH,2022-07-19,0.53,0.53,0.52,0.53,8071
UADH,UADH,2022-07-20,0.53,0.53,0.53,0.53,1656
UADH,UADH,2022-07-21,0.51,0.53,0.51,0.51,28809
UADH,UADH,2022-07-22,0.53,0.53,0.51,0.53,7974
UADH,UADH,2022-07-26,0.51,0.53,0.51,0.51,6282
UADH,UADH,2022-07-27,0.51,0.51,0.51,0.51,4619
UADH,UADH,2022-07-28,0.53,0.53,0.51,0.53,9
UADH,UADH,2022-07-29,0.53,0.53,0.53,0.53,10473
UADH,UADH,2022-08-01,0.55,0.55,0.53,0.55,6785
UADH,UADH,2022-08-02,0.56,0.56,0.55,0.56,1432
