ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
UNIMED,UMED,2021-06-17,7.39,7.4,7.26,7.35,7144
UNIMED,UMED,2021-06-18,7.4,7.4,7.3,7.3,2504
UNIMED,UMED,2021-06-21,7.4,7.5,7.21,7.5,9724
UNIMED,UMED,2021-06-22,7.5,7.5,7.4,7.4,1416
UNIMED,UMED,2021-06-23,7.27,7.48,7.2,7.25,2284
UNIMED,UMED,2021-06-24,7.45,7.45,7.25,7.39,689
UNIMED,UMED,2021-06-25,7.39,7.39,7.23,7.34,3242
UNIMED,UMED,2021-06-28,7.44,7.5,7.35,7.35,5414
UNIMED,UMED,2021-06-29,7.45,7.45,7.3,7.35,1596
UNIMED,UMED,2021-06-30,7.07,7.25,6.95,7.25,3572
UNIMED,UMED,2021-07-01,7.29,7.29,7.1,7.24,1268
UNIMED,UMED,2021-07-02,7.1,7.23,7.1,7.23,335
UNIMED,UMED,2021-07-07,7.1,7.22,7.1,7.22,1197
UNIMED,UMED,2021-07-08,7.23,7.23,7.1,7.2,111
UNIMED,UMED,2021-07-09,7.05,7.2,7.0,7.19,7837
UNIMED,UMED,2021-07-12,7.2,7.2,7.1,7.2,40
UNIMED,UMED,2021-07-13,7.2,7.2,7.1,7.1,3880
UNIMED,UMED,2021-07-14,7.2,7.2,7.2,7.2,44
UNIMED,UMED,2021-07-15,7.0,7.19,6.95,7.19,2953
UNIMED,UMED,2021-07-16,7.01,7.19,7.01,7.19,500
UNIMED,UMED,2021-07-19,7.2,7.2,7.18,7.18,456
UNIMED,UMED,2021-07-22,7.03,7.17,7.03,7.17,195
UNIMED,UMED,2021-07-23,7.01,7.14,7.0,7.1,5857
UNIMED,UMED,2021-07-26,7.01,7.1,7.01,7.1,19161
UNIMED,UMED,2021-07-27,6.96,7.1,6.96,7.1,2600
UNIMED,UMED,2021-07-28,7.1,7.1,7.1,7.1,20865
UNIMED,UMED,2021-07-29,7.1,7.1,7.08,7.1,1926
UNIMED,UMED,2021-07-30,7.02,7.1,7.0,7.1,48163
UNIMED,UMED,2021-08-02,7.0,7.09,6.99,7.0,2146
UNIMED,UMED,2021-08-03,7.0,7.1,7.0,7.0,6589
UNIMED,UMED,2021-08-04,6.96,6.96,6.96,6.96,2844
UNIMED,UMED,2021-08-05,6.96,7.1,6.96,7.0,23616
UNIMED,UMED,2021-08-06,7.0,7.0,6.98,6.98,132
UNIMED,UMED,2021-08-09,7.09,7.09,7.05,7.09,785
UNIMED,UMED,2021-08-11,7.1,7.1,7.1,7.1,134
UNIMED,UMED,2021-08-12,7.0,7.09,7.0,7.0,657
UNIMED,UMED,2021-08-16,7.15,7.15,6.96,7.14,551
UNIMED,UMED,2021-08-17,6.96,7.1,6.93,6.93,2659
UNIMED,UMED,2021-08-18,6.92,7.0,6.78,6.83,3842
