symbole,ticker_name,date,cloture,volume,daily_return,volume_zscore,return_zscore,volume_anomaly,price_anomaly,combined_anomaly,status,matched_headline,matched_news_date,gap_days,category
ALKIM,SOCIETE CHIMIQUE ALKIMIA,2023-11-03,28.97,6,0.1405511811023623,-1.3768587191744512,5.451943403209174,False,True,False,EXPLAINED,La chute des revenus se poursuit pour la société chimique ALKIMIA,2023-10-30,-4.0,earnings_results
ALKIM,SOCIETE CHIMIQUE ALKIMIA,2024-07-16,17.2,623,-0.0444444444444445,3.1424518274915254,-1.1204321496940683,True,False,False,UNEXPLAINED,,,,
ALKIM,SOCIETE CHIMIQUE ALKIMIA,2024-10-23,18.0,5,0.1457670273711011,-1.1555302951300366,4.463774956194542,False,True,False,UNEXPLAINED,,,,
ALKIM,SOCIETE CHIMIQUE ALKIMIA,2026-02-11,14.1,1,0.1352657004830917,-2.609601896398772,7.68217456635631,False,True,False,EXPLAINED,"Entre résilience et mutation, ALKIMIA prépare l'après-STPP",2026-02-06,-5.0,other_news
AMV,MAGHREBIA VIE,2023-05-30,6.91,67353,0.0390977443609021,1.641142469551025,3.690394642492015,False,True,False,UNEXPLAINED,,,,
AMV,MAGHREBIA VIE,2023-11-22,6.28,75961,-0.003174603174603,3.496080183973267,-0.2553870177121163,True,False,False,UNEXPLAINED,,,,
AMV,MAGHREBIA VIE,2024-03-05,5.83,43401,0.0318584070796459,2.9424656366786475,3.249453594188217,False,True,False,UNEXPLAINED,,,,
AMV,MAGHREBIA VIE,2024-03-06,6.0,75755,0.0291595197255574,3.2339655882618605,2.925567558644373,True,False,False,UNEXPLAINED,,,,
AMV,MAGHREBIA VIE,2024-05-17,6.0,4260,0.0434782608695651,0.5689520767314958,4.354641676743346,False,True,False,UNEXPLAINED,,,,
AMV,MAGHREBIA VIE,2024-05-30,5.7,13309,-0.0338983050847457,1.1584850288970752,-3.2693881283908137,False,True,False,UNEXPLAINED,,,,
AMV,MAGHREBIA VIE,2024-06-10,5.7,2134,0.0363636363636363,0.1506704082820599,3.01956152762594,False,True,False,UNEXPLAINED,,,,
AMV,MAGHREBIA VIE,2024-06-24,5.75,1,0.0589318600368324,-3.1831429231456028,4.190353841930792,False,True,False,UNEXPLAINED,,,,
AMV,MAGHREBIA VIE,2024-07-03,5.69,3503,0.0537037037037038,0.3920490310372662,3.2119035308452584,False,True,False,UNEXPLAINED,,,,
AMV,MAGHREBIA VIE,2025-04-24,5.77,10154,-0.0383333333333334,0.6794560739226484,-3.785765521254522,False,True,False,EXPLAINED,Assurances Maghrebia Vie augmente de 5% ses revenus trimestriels à 33 millions de dinars,2025-04-24,0.0,earnings_results
AMV,MAGHREBIA VIE,2025-04-25,5.99,17092,0.0381282495667245,0.9113181828278684,3.6878669214028,False,True,False,EXPLAINED,Assurances Maghrebia Vie augmente de 5% ses revenus trimestriels à 33 millions de dinars,2025-04-24,-1.0,earnings_results
AMV,MAGHREBIA VIE,2025-07-07,5.72,8375,-0.038655462184874,0.5804503461717809,-3.03220919186915,False,True,False,UNEXPLAINED,,,,
AMV,MAGHREBIA VIE,2025-09-02,6.0,53030,0.0526315789473683,1.841134992686168,5.330486954321584,False,True,False,EXPLAINED,Maghrebia Vie améliore de 22 % son bénéfice net au premier semestre 2025,2025-09-01,-1.0,earnings_results
AMV,MAGHREBIA VIE,2025-12-31,6.65,16901,-0.032023289665211,1.2000647312462889,-3.325321243665665,False,True,False,UNEXPLAINED,,,,
AMV,MAGHREBIA VIE,2026-01-19,7.0,37466,0.0447761194029849,1.6498329568751744,3.873616126130767,False,True,False,UNEXPLAINED,,,,
AMV,MAGHREBIA VIE,2026-01-20,7.35,42340,0.05,1.8750105366114933,3.823074023192183,False,True,False,UNEXPLAINED,,,,
AMV,MAGHREBIA VIE,2026-04-07,9.18,3676,0.0551724137931035,-0.423493800938699,3.557251208258579,False,True,False,UNEXPLAINED,,,,
AMV,MAGHREBIA VIE,2026-05-13,9.6,20141,0.0423452768729639,1.2595098816553154,3.217404126458336,False,True,False,UNEXPLAINED,,,,
