symbole,ticker_name,date,cloture,volume,daily_return,volume_zscore,return_zscore,volume_anomaly,price_anomaly,combined_anomaly
ALKIM,SOCIETE CHIMIQUE ALKIMIA,2023-11-03,28.97,6,0.1405511811023623,-1.3768587191744512,5.451943403209174,False,True,False
ALKIM,SOCIETE CHIMIQUE ALKIMIA,2024-07-16,17.2,623,-0.04444444444444451,3.1424518274915254,-1.1204321496940683,True,False,False
ALKIM,SOCIETE CHIMIQUE ALKIMIA,2024-10-23,18.0,5,0.14576702737110114,-1.1555302951300366,4.463774956194542,False,True,False
ALKIM,SOCIETE CHIMIQUE ALKIMIA,2026-02-11,14.1,1,0.13526570048309172,-2.6096018963987717,7.68217456635631,False,True,False
AMV,MAGHREBIA VIE,2023-05-30,6.91,67353,0.03909774436090219,1.641142469551025,3.6903946424920147,False,True,False
AMV,MAGHREBIA VIE,2023-11-22,6.28,75961,-0.0031746031746030523,3.496080183973267,-0.2553870177121163,True,False,False
AMV,MAGHREBIA VIE,2024-03-05,5.83,43401,0.031858407079645934,2.9424656366786475,3.249453594188217,False,True,False
AMV,MAGHREBIA VIE,2024-03-06,6.0,75755,0.029159519725557415,3.2339655882618605,2.9255675586443726,True,False,False
AMV,MAGHREBIA VIE,2024-05-17,6.0,4260,0.04347826086956519,0.5689520767314958,4.354641676743346,False,True,False
AMV,MAGHREBIA VIE,2024-05-30,5.7,13309,-0.03389830508474578,1.1584850288970752,-3.2693881283908137,False,True,False
AMV,MAGHREBIA VIE,2024-06-10,5.7,2134,0.036363636363636376,0.1506704082820599,3.0195615276259398,False,True,False
AMV,MAGHREBIA VIE,2024-06-24,5.75,1,0.058931860036832484,-3.1831429231456028,4.190353841930792,False,True,False
AMV,MAGHREBIA VIE,2024-07-03,5.69,3503,0.05370370370370381,0.39204903103726624,3.2119035308452584,False,True,False
AMV,MAGHREBIA VIE,2025-04-24,5.77,10154,-0.03833333333333344,0.6794560739226484,-3.7857655212545214,False,True,False
AMV,MAGHREBIA VIE,2025-04-25,5.99,17092,0.03812824956672456,0.9113181828278685,3.6878669214028,False,True,False
AMV,MAGHREBIA VIE,2025-07-07,5.72,8375,-0.038655462184874034,0.5804503461717809,-3.03220919186915,False,True,False
AMV,MAGHREBIA VIE,2025-09-02,6.0,53030,0.05263157894736836,1.8411349926861678,5.330486954321584,False,True,False
AMV,MAGHREBIA VIE,2025-12-31,6.65,16901,-0.03202328966521106,1.2000647312462889,-3.325321243665665,False,True,False
AMV,MAGHREBIA VIE,2026-01-19,7.0,37466,0.04477611940298498,1.6498329568751744,3.873616126130767,False,True,False
AMV,MAGHREBIA VIE,2026-01-20,7.35,42340,0.050000000000000044,1.8750105366114935,3.823074023192183,False,True,False
AMV,MAGHREBIA VIE,2026-04-07,9.18,3676,0.05517241379310356,-0.42349380093869904,3.557251208258579,False,True,False
AMV,MAGHREBIA VIE,2026-05-13,9.6,20141,0.042345276872963966,1.2595098816553154,3.217404126458336,False,True,False
CIL,CIL,2021-11-23,18.0,5,0.05882352941176472,-1.0410530214771538,5.58764280942034,False,True,False
CIL,CIL,2022-03-18,20.72,669,0.06256410256410261,0.534182471208451,3.4193981646240026,False,True,False
CIL,CIL,2022-04-21,18.0,75,-0.09547738693467334,-0.3361691668446263,-5.5534633644684455,False,True,False
CIL,CIL,2023-03-24,25.61,1678,0.191717077710563,1.094799203873942,7.422527625556716,False,True,False
CIL,CIL,2023-05-16,19.0,120,-0.28301886792452835,0.023234803973294214,-7.78925712022305,False,True,False
CIL,CIL,2024-04-26,20.98,34,-0.06339285714285703,-0.8994563588990464,-3.02754910509414,False,True,False
CIL,CIL,2024-07-24,21.11,34,-0.057589285714285676,-1.1610772124556126,-3.1107114986058813,False,True,False
CIL,CIL,2024-08-07,22.0,268,0.07160253287871399,0.30518171778605246,3.4171633757765383,False,True,False
CIL,CIL,2024-11-05,24.02,1839,0.0918181818181818,1.8616672773579608,3.8324990533810124,False,True,False
CIL,CIL,2025-01-17,25.0,64940,0.0,3.2477473230743286,-0.11694327032183581,True,False,False
CIL,CIL,2025-04-28,24.5,596,-0.07547169811320753,-0.8709402379492169,-4.527100696917538,False,True,False
CIL,CIL,2025-07-31,25.5,4430,-0.04315196998123827,3.2149071022794433,-1.906985379400954,True,False,False
CIL,CIL,2025-11-14,27.11,60332,0.003702332469455616,5.951964848559595,0.2632466296151841,True,False,False
CIL,CIL,2025-12-23,27.15,10958,-0.0007361059992639918,3.5665531724861177,-0.15141173982626432,True,False,False
CIL,CIL,2026-01-08,29.79,1169,0.034734282737061584,1.1565617051824577,3.330985697024298,False,True,False
CIL,CIL,2026-01-15,29.99,11558,0.034137931034482705,2.525360053047911,3.2281763850358494,False,True,False
CIL,CIL,2026-01-23,31.51,8451,0.04062087186261554,1.5970940810053036,3.358635456767275,False,True,False
CIL,CIL,2026-02-10,34.19,995,0.048773006134969155,0.08532014177007617,3.7613020960511543,False,True,False
CIL,CIL,2026-04-20,35.9,2479,0.057748968768414954,-0.37894576720462403,3.6144646547130086,False,True,False
CIL,CIL,2026-04-22,32.9,6809,-0.08356545961002781,0.7045468266347504,-5.275442056643872,False,True,False
CITY,CITY CARS,2021-09-02,10.9,1290,-0.05217391304347818,0.4210950491945178,-3.07552199582931,False,True,False
CITY,CITY CARS,2022-03-16,12.9,2119,0.04878048780487809,0.5995441088747391,4.29226860760601,False,True,False
CITY,CITY CARS,2022-03-22,12.0,6402,-0.039231385108086436,1.0701062300133353,-3.031779703881105,False,True,False
CITY,CITY CARS,2022-05-04,12.35,9806,0.05465414175918015,1.4664911647589494,3.2362188323199446,False,True,False
CITY,CITY CARS,2022-06-28,12.8,2183,0.036437246963562764,0.5508428559123004,3.1061512154919035,False,True,False
CITY,CITY CARS,2022-07-20,10.49,4761,-0.10341880341880338,0.916369868136983,-8.634467214705262,False,True,False
CITY,CITY CARS,2022-08-12,10.8,442,0.05882352941176494,-0.25662614852115306,3.4658132863125863,False,True,False
CITY,CITY CARS,2022-08-15,11.44,42,0.05925925925925912,-1.4998455365075818,3.13578593160837,False,True,False
CITY,CITY CARS,2022-12-01,10.2,6856,-0.03682719546742219,1.252756508492491,-3.6286373335796416,False,True,False
CITY,CITY CARS,2022-12-02,10.5,11,0.02941176470588247,-1.465430803386459,3.061203552908857,False,True,False
CITY,CITY CARS,2023-04-03,12.0,9,0.04347826086956519,-1.5609015510164448,4.469380317256066,False,True,False
CITY,CITY CARS,2023-04-11,11.35,600,-0.04621848739495804,0.2620282017646577,-4.298703801644225,False,True,False
CITY,CITY CARS,2023-04-12,11.8,2,0.0396475770925111,-2.226763862630255,3.364090096499549,False,True,False
CITY,CITY CARS,2023-07-17,12.9,702,-0.0652173913043479,-0.17908482437704823,-5.482863404952392,False,True,False
CITY,CITY CARS,2023-07-20,12.65,1063930,-0.00393700787401563,3.6790106313105486,-0.36175873100958367,True,False,False
CITY,CITY CARS,2024-07-08,12.1,514,-0.09634055265123231,-0.6980282905308601,-9.696117939091867,False,True,False
CITY,CITY CARS,2024-11-22,12.5,125,-0.035493827160493874,-1.2385074387324237,-3.6005716138425137,False,True,False
CITY,CITY CARS,2025-01-02,13.18,967,0.03779527559055129,0.11522573725307174,3.647334919270895,False,True,False
CITY,CITY CARS,2025-02-19,14.9,5757,0.047083626141953605,0.8636040531230972,3.9805014090189768,False,True,False
CITY,CITY CARS,2025-06-24,16.9,5768,0.04449938195302838,1.015479401132202,4.363946861797591,False,True,False
CITY,CITY CARS,2025-07-04,16.0,262,-0.04363419007770475,-0.7308219496687586,-4.276532029198295,False,True,False
CITY,CITY CARS,2025-07-30,17.2,1719,0.042424242424242475,0.4825274302415526,3.678053507794915,False,True,False
CITY,CITY CARS,2025-09-12,20.9,3844,0.045522761380690335,1.1245025794543118,3.0815810664227143,False,True,False
CITY,CITY CARS,2025-12-29,19.6,280118,-0.004065040650406471,4.466946373805713,-0.4388205575978534,True,False,False
CITY,CITY CARS,2026-01-12,19.69,2425,0.0363157894736843,1.113510631987813,3.699580926559175,False,True,False
CITY,CITY CARS,2026-01-16,20.57,1212,0.033668341708542826,0.60906265297354,3.3353191851689403,False,True,False
CITY,CITY CARS,2026-02-02,21.49,1896,0.03416746871992293,0.6038986196553374,3.320835076043987,False,True,False
CITY,CITY CARS,2026-02-03,22.4,1834,0.04234527687296419,0.5662367697399274,4.1020159901075495,False,True,False
CITY,CITY CARS,2026-02-05,23.95,6802,0.0597345132743361,1.3959332609067794,5.347162329055001,False,True,False
CITY,CITY CARS,2026-02-18,27.97,2745,0.05987116331943909,0.5216680360919196,3.78392400515312,False,True,False
