symbole,ticker_name,volume_anomalies,price_anomalies,combined_anomalies,first_flag,last_flag
ECYCL,EURO-CYCLES,35,23,11,2021-07-16,2026-04-23
SOTET,SOTETEL,45,21,11,2021-10-07,2026-04-30
SOMOC,SOMOCER,40,20,9,2021-08-27,2026-04-15
LNDOR,LAND'OR,32,25,8,2021-07-26,2026-05-22
ICF,ICF,36,27,7,2021-09-13,2026-06-03
NBL,NEW BODY LINE,29,25,7,2021-07-26,2026-04-28
STPAP,SOTIPAPIER,37,17,7,2021-09-17,2026-06-03
SIAME,SIAME,36,21,7,2021-07-15,2026-04-13
SAM,MEUBLES INTERIEURS,37,23,7,2021-07-16,2026-06-09
SOTUV,SOTUVER,35,28,6,2021-07-22,2026-04-16
SPDIT,SPDIT - SICAF,25,26,6,2021-08-20,2026-06-15
STB,STB BANK,48,22,6,2021-09-22,2026-05-20
TLNET,TELNET HOLDING,34,23,6,2021-07-28,2026-04-17
UMED,UNIMED,41,24,6,2021-07-26,2026-06-03
PGH,POULINA GROUP HOLDING,32,27,5,2021-08-11,2026-04-28
SERVI,SERVICOM,9,7,4,2021-08-24,2023-08-16
SFBT,SFBT,33,33,4,2021-07-16,2026-06-12
OTH,ONE TECH,33,17,4,2021-07-28,2026-04-13
NAKL,ENNAKL AUTOMOBILES,30,26,3,2021-07-29,2026-05-19
SAH,SAH,34,23,3,2021-07-26,2026-04-13
SITS,SITS,11,10,3,2022-03-21,2025-10-23
SMART,SMART TUNISIE,21,23,3,2022-06-07,2026-06-09
TLS,TUNISIE LEASING & FACTORING,28,18,3,2021-09-30,2026-06-11
TGH,TAWASOL,40,10,3,2021-10-19,2026-06-03
MPBS,MPBS,29,22,3,2021-08-20,2026-05-26
AMV,MAGHREBIA VIE,19,15,3,2023-05-05,2026-05-13
UADH,UADH,20,18,2,2021-10-13,2026-01-09
TPR,TPR,45,20,2,2021-07-30,2026-05-15
STIP,STIP,18,13,2,2021-11-05,2026-04-02
DH,DELICE HOLDING,29,20,2,2021-08-04,2026-03-12
GIF,GIF FILTER,15,7,2,2022-03-14,2024-10-22
PLAST,OFFICE PLAST,46,13,2,2021-08-16,2026-05-11
SOKNA,ESSOUKNA,23,7,2,2021-12-02,2026-04-15
STPIL,SOTRAPIL,31,25,2,2021-08-17,2026-04-03
CIL,CIL,17,18,1,2021-11-23,2026-04-22
MIP,MIP,10,7,1,2021-10-14,2022-11-02
LSTR,ELECTROSTAR,10,7,1,2021-10-20,2024-03-29
TRE,TUNIS RE,22,18,1,2021-08-25,2026-04-15
SOPAT,SOPAT,22,9,1,2021-09-24,2023-10-13
MGR,SOTUMAG,24,25,1,2021-08-12,2026-06-03
MNP,MONOPRIX,18,7,1,2021-07-28,2026-04-29
SCB,CIMENTS DE BIZERTE,28,12,1,2021-11-11,2026-04-16
WIFAK,WIFAK INT BANK,22,19,1,2022-03-21,2026-06-10
UIB,UIB,27,24,1,2021-07-30,2026-05-14
STAR,STAR,17,21,1,2022-03-14,2026-04-14
TAIR,TUNISAIR,23,6,1,2021-10-13,2026-04-22
SMD,SANIMED,4,7,1,2022-08-11,2026-06-11
ALKIM,SOCIETE CHIMIQUE ALKIMIA,5,6,0,2022-11-23,2026-02-11
CITY,CITY CARS,31,34,0,2021-07-23,2026-06-01
HL,HANNIBAL LEASE,17,18,0,2021-10-05,2026-05-26
PX1,TUNINDEX,27,29,0,2021-07-16,2026-05-21
MAG,MAGASIN GENERAL,16,13,0,2021-08-06,2026-06-15
SIPHA,SIPHAT,9,7,0,2022-06-17,2025-09-30
SIMPA,SIMPAR,6,6,0,2023-11-29,2026-05-15
STA,STA,21,22,0,2022-06-09,2026-06-02
SOTEM,SOTEMAIL,1,3,0,2023-04-10,2024-12-24
TINV,TUNINVEST - SICAR,12,8,0,2021-09-15,2026-06-09
UBCI,UBCI,8,15,0,2021-09-10,2026-06-09
