date_str,time_str,headline,url
06/04/26,09:01,"Un exercice 2025 solide et un dividende de 1,600 dinar proposé pour BH Assurance",https://www.ilboursa.com/marches/un-exercice-2025-solide-et-un-dividende-de-1-600-dinar-propose-pour-bh-assurance_60879
21/10/25,18:48,BH Assurance améliore de 4% son chiffre d’affaires à 154 millions de dinars à fin septembre,https://www.ilboursa.com/marches/bh-assurance-ameliore-de-4-son-chiffre-daffaires-a-154-millions-de-dinars-a-fin-septembre_57301
05/09/25,12:43,Une activité en progression pour BH Assurance au premier semestre 2025,https://www.ilboursa.com/marches/une-activite-en-progression-pour-bh-assurance-au-premier-semestre-2025_54881
04/08/25,15:51,"BH Assurance lance ""NEXT"" : Un challenge technologique étudiant placé sous le signe de l’innovation et de l’Intelligence Artificielle",https://www.ilboursa.com/marches/bh-assurance-lance-next-un-challenge-technologique-etudiant-place-sous-le-signe-de-linnovation-et-de-lintelligence-artificielle_54231
06/05/25,11:50,Nouvelle Direction Générale à la tête de BH Assurance,https://www.ilboursa.com/marches/nouvelle-direction-generale-a-la-tete-de-bh-assurance_52493
18/04/25,16:46,BH Assurance voit son chiffre d'affaires progresser de 15% au premier trimestre,https://www.ilboursa.com/marches/bh-assurance-voit-son-chiffre-d-affaires-progresser-de-15-au-premier-trimestre_52185
27/03/25,14:17,BH Assurance réalise un bénéfice net de 11 millions de dinars en 2024,https://www.ilboursa.com/marches/bh-assurance-realise-un-benefice-net-de-11-millions-de-dinars-en-2024_51759
31/01/25,19:47,Sami BANAOUES nommé Directeur Général par intérim de BH Assurance,https://www.ilboursa.com/marches/sami-banaoues-nomme-directeur-general-par-interim-de-bh-assurance_50658
21/01/25,10:54,Chiffre d’affaires record de 200 millions de dinars pour BH Assurance en 2024,https://www.ilboursa.com/marches/chiffre-daffaires-record-de-200-millions-de-dinars-pour-bh-assurance-en-2024_50396
24/10/24,09:30,BH Assurance annonce un chiffre d’affaires de 148 millions de dinars à fin septembre,https://www.ilboursa.com/marches/bh-assurance-annonce-un-chiffre-daffaires-de-148-millions-de-dinars-a-fin-septembre_48922
09/09/24,08:58,BH Assurance annonce des bénéfices semestriels de 3 millions de dinars,https://www.ilboursa.com/marches/bh-assurance-annonce-des-benefices-semestriels-de-3-millions-de-dinars_48016
24/07/24,13:27,Plus de 100 millions de dinars de chiffre d'affaires pour BH Assurance au premier semestre,https://www.ilboursa.com/marches/plus-de-100-millions-de-dinars-de-chiffre-d-affaires-pour-bh-assurance-au-premier-semestre_47394
23/04/24,18:06,"BH Assurance : L'Assemblée Générale approuve la distribution d'un dividende de 1,500 dinar",https://www.ilboursa.com/marches/bh-assurance-l-assemblee-generale-approuve-la-distribution-d-un-dividende-de-1-500-dinar_45885
22/04/24,09:05,BH Assurance améliore de 11% ses revenus au premier trimestre à 56 millions de dinars,https://www.ilboursa.com/marches/bh-assurance-ameliore-de-11-ses-revenus-au-premier-trimestre-a-56-millions-de-dinars_45838
01/04/24,09:48,BH Assurance dégage un bénéfice de plus de 13 millions de dinars en 2023,https://www.ilboursa.com/marches/bh-assurance-degage-un-benefice-de-plus-de-13-millions-de-dinars-en-2023_45516
23/01/24,08:54,BH Assurance améliore de 9% son chiffre d'affaires en 2023 à plus de 175 millions de dinars,https://www.ilboursa.com/marches/bh-assurance-ameliore-de-9-son-chiffre-d-affaires-en-2023-a-plus-de-175-millions-de-dinars_44509
23/10/23,11:17,Le chiffre d'affaires de BH Assurance dépasse les 130 millions de dinars à fin septembre,https://www.ilboursa.com/marches/le-chiffre-d-affaires-de-bh-assurance-depasse-les-130-millions-de-dinars-a-fin-septembre_43227
01/09/23,11:27,BH Assurance dégage un bénéfice net de 5 millions de dinars au premier semestre,https://www.ilboursa.com/marches/bh-assurance-degage-un-benefice-net-de-5-millions-de-dinars-au-premier-semestre_42357
20/07/23,19:16,Le chiffre d'affaires de BH Assurance dépasse les 90 millions de dinars à fin juin,https://www.ilboursa.com/marches/le-chiffre-d-affaires-de-bh-assurance-depasse-les-90-millions-de-dinars-a-fin-juin_41754
20/04/23,10:03,Le chiffre d'affaires trimestriel de BH Assurance dépasse les 50 millions de dinars,https://www.ilboursa.com/marches/le-chiffre-d-affaires-trimestriel-de-bh-assurance-depasse-les-50-millions-de-dinars_40293
12/03/23,19:25,BH Assurance stabilise quasiment son bénéfice net à 13 millions de dinars en 2022,https://www.ilboursa.com/marches/bh-assurance-stabilise-quasiment-son-benefice-net-a-13-millions-de-dinars-en-2022_39646
