date_str,time_str,headline,url
21/04/26,15:37,BNA Bank voit son PNB augmenter de 10% au premier trimestre à 278 millions de dinars,https://www.ilboursa.com/marches/bna-bank-voit-son-pnb-augmenter-de-10-au-premier-trimestre-a-278-millions-de-dinars_61211
31/03/26,08:44,La BNA Bank dégage un bénéfice record de 275 millions de dinars en 2025,https://www.ilboursa.com/marches/la-bna-bank-degage-un-benefice-record-de-275-millions-de-dinars-en-2025_60760
31/01/26,08:34,La BNA Bank décroche trois Gold Awards aux Tunisia Digital Awards 2026,https://www.ilboursa.com/marches/la-bna-bank-decroche-trois-gold-awards-aux-tunisia-digital-awards-2026_59450
27/01/26,14:04,BNA Bank : Une envolée boursière de près de 60 % portée par des fondamentaux solides,https://www.ilboursa.com/marches/bna-bank-une-envolee-boursiere-de-pres-de-60-portee-par-des-fondamentaux-solides_59328
26/01/26,09:59,Un PNB de plus d'un milliard de dinars pour la BNA Bank en 2025,https://www.ilboursa.com/marches/un-pnb-de-plus-d-un-milliard-de-dinars-pour-la-bna-bank-en-2025_59272
12/01/26,19:27,BNA BANK élue Marque de l’Année 2026 : La confiance des Tunisiens comme première distinction,https://www.ilboursa.com/marches/bna-bank-elue-marque-de-lannee-2026-la-confiance-des-tunisiens-comme-premiere-distinction_58972
09/12/25,10:49,BNA Bank lève avec succès 100 millions de dinars sur le marché obligataire,https://www.ilboursa.com/marches/bna-bank-leve-avec-succes-100-millions-de-dinars-sur-le-marche-obligataire_58249
01/12/25,18:04,BNA Bank émet un emprunt obligataire subordonné de 70 millions de dinars,https://www.ilboursa.com/marches/bna-bank-emet-un-emprunt-obligataire-subordonne-de-70-millions-de-dinars_58050
01/09/25,11:20,BNA Bank dégage un bénéfice net de 155 millions de dinars au premier semestre 2025,https://www.ilboursa.com/marches/bna-bank-degage-un-benefice-net-de-155-millions-de-dinars-au-premier-semestre-2025_54778
21/04/25,20:14,BNA Bank affiche un PNB en repli de 6% au premier trimestre à 253 millions de dinars,https://www.ilboursa.com/marches/bna-bank-affiche-un-pnb-en-repli-de-6-au-premier-trimestre-a-253-millions-de-dinars_52205
15/04/25,16:22,BNA Bank annonce un bénéfice net de plus de 250 millions de dinars en 2024,https://www.ilboursa.com/marches/bna-bank-annonce-un-benefice-net-de-plus-de-250-millions-de-dinars-en-2024_52097
31/01/25,09:24,La BNA Bank lance un appel à candidature pour le choix d'un Administrateur Indépendant,https://www.ilboursa.com/marches/la-bna-bank-lance-un-appel-a-candidature-pour-le-choix-d-un-administrateur-independant_50628
23/01/25,08:28,Le PNB de la BNA Bank frôle le milliard de dinars en 2024,https://www.ilboursa.com/marches/le-pnb-de-la-bna-bank-frole-le-milliard-de-dinars-en-2024_50442
22/10/24,08:54,La BNA Bank annonce un PNB de plus de 740 millions de dinars à fin septembre,https://www.ilboursa.com/marches/la-bna-bank-annonce-un-pnb-de-plus-de-740-millions-de-dinars-a-fin-septembre_48861
27/09/24,12:46,COFICERT reconduit la certification MSI 20000 de BNA Bank,https://www.ilboursa.com/marches/coficert-reconduit-la-certification-msi-20000-de-bna-bank_48411
16/09/24,16:20,COFICERT reconduit la certification MSI 20000 de la BNA Bank,https://www.ilboursa.com/marches/coficert-reconduit-la-certification-msi-20000-de-la-bna-bank_48173
05/09/24,12:20,"Qui est Slim EL MEMMI, nouveau Directeur Général de BNA Capitaux ?",https://www.ilboursa.com/marches/qui-est-slim-el-memmi-nouveau-directeur-general-de-bna-capitaux-_47976
30/08/24,15:13,La BNA Bank améliore de 47% son bénéfice net à fin juin à plus de 132 millions de dinars,https://www.ilboursa.com/marches/la-bna-bank-ameliore-de-47-son-benefice-net-a-fin-juin-a-plus-de-132-millions-de-dinars_47880
23/07/24,12:42,BNA Bank stabilise son PNB semestriel à près de 500 millions de dinars,https://www.ilboursa.com/marches/bna-bank-stabilise-son-pnb-semestriel-a-pres-de-500-millions-de-dinars_47373
23/04/24,09:17,BNA Bank réalise un PNB de 270 millions de dinars au premier trimestre,https://www.ilboursa.com/marches/bna-bank-realise-un-pnb-de-270-millions-de-dinars-au-premier-trimestre_45866
22/04/24,15:10,BNA Capitaux recommande de renforcer la position sur le titre BNA Bank,https://www.ilboursa.com/marches/bna-capitaux-recommande-de-renforcer-la-position-sur-le-titre-bna-bank_45851
17/04/24,09:57,"La BNA Bank propose un dividende de 0,900 dinar par action au titre de 2023",https://www.ilboursa.com/marches/la-bna-bank-propose-un-dividende-de-0-900-dinar-par-action-au-titre-de-2023_45757
16/04/24,17:39,Bénéfice record de 190 millions de dinars pour la BNA Bank en 2023,https://www.ilboursa.com/marches/benefice-record-de-190-millions-de-dinars-pour-la-bna-bank-en-2023_45747
07/02/24,10:18,BNA Bank lance un appel à candidature pour désigner un Administrateur Indépendant,https://www.ilboursa.com/marches/bna-bank-lance-un-appel-a-candidature-pour-designer-un-administrateur-independant_44747
20/01/24,09:13,BNA Bank frôle le milliard de dinars de PNB en 2023,https://www.ilboursa.com/marches/bna-bank-frole-le-milliard-de-dinars-de-pnb-en-2023_44456
19/10/23,18:14,BNA Bank augmente de 7% son PNB à fin septembre à 738 millions de dinars,https://www.ilboursa.com/marches/bna-bank-augmente-de-7-son-pnb-a-fin-septembre-a-738-millions-de-dinars_43179
31/08/23,13:36,BNA Bank annonce des bénéfices semestriels de 90 millions de dinars,https://www.ilboursa.com/marches/bna-bank-annonce-des-benefices-semestriels-de-90-millions-de-dinars_42339
24/07/23,15:11,"Offre TWENSA BNA : Riche, diversifiée et avec un Pack TWENSA 100% gratuit",https://www.ilboursa.com/marches/offre-twensa-bna-riche-diversifiee-et-avec-un-pack-twensa-100-gratuit_41800
21/07/23,16:21,BNA Bank réalise un PNB de 490 millions de dinars au premier semestre,https://www.ilboursa.com/marches/bna-bank-realise-un-pnb-de-490-millions-de-dinars-au-premier-semestre_41774
29/05/23,13:51,"BNA Bank décide de distribuer un dividende de 0,800 dinar par action",https://www.ilboursa.com/marches/bna-bank-decide-de-distribuer-un-dividende-de-0-800-dinar-par-action_40941
22/05/23,10:43,"Les engagements de la BNA envers l'Office des Céréales dépassent les 4,7 milliards de dinars",https://www.ilboursa.com/marches/les-engagements-de-la-bna-envers-l-office-des-cereales-depassent-les-4-7-milliards-de-dinars_40824
12/05/23,09:25,La BNA Bank annonce un bénéfice de près de 160 millions de dinars en 2022,https://www.ilboursa.com/marches/la-bna-bank-annonce-un-benefice-de-pres-de-160-millions-de-dinars-en-2022_40675
24/04/23,08:29,BNA Bank accroît de 14% son PNB au premier trimestre à 251 millions de dinars,https://www.ilboursa.com/marches/bna-bank-accroit-de-14-son-pnb-au-premier-trimestre-a-251-millions-de-dinars_40314
18/03/23,12:53,Le Ministère des Finances part à la recherche d'un nouveau directeur général de la BNA Bank,https://www.ilboursa.com/marches/le-ministere-des-finances-part-a-la-recherche-d-un-nouveau-directeur-general-de-la-bna-bank_39756
09/03/23,11:55,"Le Directeur Général de la BNA, Mondher LAKHAL, démis de ses fonctions",https://www.ilboursa.com/marches/le-directeur-general-de-la-bna-mondher-lakhal-demis-de-ses-fonctions_39613
02/03/23,08:48,La BNA Bank adopte une nouvelle identité visuelle,https://www.ilboursa.com/marches/la-bna-bank-adopte-une-nouvelle-identite-visuelle_39510
03/02/23,12:55,BNA Bank : Redressement intrinsèque de l’activité et performances remarquables en 2022,https://www.ilboursa.com/marches/bna-bank-redressement-intrinseque-de-lactivite-et-performances-remarquables-en-2022_39116
25/01/23,16:53,La BNA Bank annonce un PNB de plus de 900 millions de dinars en 2022,https://www.ilboursa.com/marches/la-bna-bank-annonce-un-pnb-de-plus-de-900-millions-de-dinars-en-2022_38963
22/12/22,15:16,BNA Bank et MAXULA Gestion lancent un Fonds de Retournement de 10 millions de dinars,https://www.ilboursa.com/marches/bna-bank-et-maxula-gestion-lancent-un-fonds-de-retournement-de-10-millions-de-dinars_38452
21/10/22,09:50,Le PNB de la BNA Bank frôle les 700 millions de dinars à fin septembre,https://www.ilboursa.com/marches/le-pnb-de-la-bna-bank-frole-les-700-millions-de-dinars-a-fin-septembre_37314
18/10/22,10:22,BNA Bank lève 150 millions de dinars sur le marché obligataire,https://www.ilboursa.com/marches/bna-bank-leve-150-millions-de-dinars-sur-le-marche-obligataire_37227
05/10/22,11:28,"Le Groupe BNA Bank, partenaire de la 5ème édition du Forum de l’Officine",https://www.ilboursa.com/marches/le-groupe-bna-bank-partenaire-de-la-5eme-edition-du-forum-de-lofficine_36980
