date_str,time_str,headline,url
04/05/26,14:53,Le groupe Délice annonce un bénéfice de 120 millions de dinars en 2025,https://www.ilboursa.com/marches/le-groupe-delice-annonce-un-benefice-de-120-millions-de-dinars-en-2025_61459
21/01/26,09:04,"Le groupe Délice signe une année 2025 record avec 1,5 milliard de dinars de revenus",https://www.ilboursa.com/marches/le-groupe-delice-signe-une-annee-2025-record-avec-1-5-milliard-de-dinars-de-revenus_59159
28/07/25,14:14,Délice Holding annonce le split de la valeur nominale de son action à 5 dinars,https://www.ilboursa.com/marches/delice-holding-annonce-le-split-de-la-valeur-nominale-de-son-action-a-5-dinars_54085
26/05/25,09:15,Tunisie valeurs réitère sa recommandation à l'achat sur Délice Holding,https://www.ilboursa.com/marches/tunisie-valeurs-reitere-sa-recommandation-a-l-achat-sur-delice-holding_52836
23/05/25,10:58,Les 10 ans de bourse de Délice Holding en 10 graphiques,https://www.ilboursa.com/marches/les-10-ans-de-bourse-de-delice-holding-en-10-graphiques_52814
30/04/25,16:01,Plus de 100 millions de dinars de bénéfice net pour le Groupe Délice en 2024,https://www.ilboursa.com/marches/plus-de-100-millions-de-dinars-de-benefice-net-pour-le-groupe-delice-en-2024_52434
21/04/25,20:04,Plus de 370 millions de dinars de revenus trimestriels pour le Groupe Délice,https://www.ilboursa.com/marches/plus-de-370-millions-de-dinars-de-revenus-trimestriels-pour-le-groupe-delice_52204
22/01/25,12:29,"Revenus records de 1,4 milliard de dinars pour le Groupe Délice en 2024",https://www.ilboursa.com/marches/revenus-records-de-1-4-milliard-de-dinars-pour-le-groupe-delice-en-2024_50433
20/06/24,09:53,Délice Holding : Incendie maîtrisé et stock de matières premières sauvé,https://www.ilboursa.com/marches/delice-holding-incendie-maitrise-et-stock-de-matieres-premieres-sauve_46846
14/06/24,14:41,Délice Holding : Une résilience confirmée,https://www.ilboursa.com/marches/delice-holding-une-resilience-confirmee_46787
13/06/24,12:28,Délice promet une forte hausse du dividende à 1 dinar par action l'année prochaine,https://www.ilboursa.com/marches/delice-promet-une-forte-hausse-du-dividende-a-1-dinar-par-action-l-annee-prochaine_46764
19/03/24,09:12,EL HADAYEK de Slim Ben Ayed allège sa participation dans le capital de Délice Holding,https://www.ilboursa.com/marches/el-hadayek-de-slim-ben-ayed-allege-sa-participation-dans-le-capital-de-delice-holding_45324
07/11/23,10:45,Le Groupe Délice dépasse le milliard de dinars de revenus à fin septembre,https://www.ilboursa.com/marches/le-groupe-delice-depasse-le-milliard-de-dinars-de-revenus-a-fin-septembre_43492
18/07/23,13:03,Le Groupe Délice augmente de 12% ses revenus au premier semestre à 702 millions de dinars,https://www.ilboursa.com/marches/le-groupe-delice-augmente-de-12-ses-revenus-au-premier-semestre-a-702-millions-de-dinars_41703
10/06/23,09:35,Délice Holding : Le champion national de l’industrie laitière confirme sa résilience,https://www.ilboursa.com/marches/delice-holding-le-champion-national-de-lindustrie-laitiere-confirme-sa-resilience_41179
19/05/23,15:16,Le Groupe Délice dégage un bénéfice de 78 millions de dinars en 2022,https://www.ilboursa.com/marches/le-groupe-delice-degage-un-benefice-de-78-millions-de-dinars-en-2022_40802
18/04/23,12:00,Le Groupe Délice annonce des revenus de plus de 350 millions de dinars au premier trimestre,https://www.ilboursa.com/marches/le-groupe-delice-annonce-des-revenus-de-plus-de-350-millions-de-dinars-au-premier-trimestre_40257
05/02/23,20:28,"Le Groupe Délice réalise un chiffre d'affaires de près de 1,3 milliard de dinars en 2022",https://www.ilboursa.com/marches/le-groupe-delice-realise-un-chiffre-d-affaires-de-pres-de-1-3-milliard-de-dinars-en-2022_39131
20/10/22,11:42,Le Groupe Délice réalise des revenus de 960 millions de dinars à fin septembre,https://www.ilboursa.com/marches/le-groupe-delice-realise-des-revenus-de-960-millions-de-dinars-a-fin-septembre_37292
21/07/22,12:04,Le Groupe Délice améliore de 7% ses revenus semestriels à 627 millions de dinars,https://www.ilboursa.com/marches/le-groupe-delice-ameliore-de-7-ses-revenus-semestriels-a-627-millions-de-dinars_35730
27/06/22,16:09,DELICE DANONE et le GROUPE DELICE sacrés Annonceurs de l’année 2022 aux Pros d'Or,https://www.ilboursa.com/marches/delice-danone-et-le-groupe-delice-sacres-annonceurs-de-lannee-2022-aux-pros-d-or_35331
08/06/22,08:46,Le Groupe Délice inaugure une nouvelle phase de croissance prometteuse,https://www.ilboursa.com/marches/le-groupe-delice-inaugure-une-nouvelle-phase-de-croissance-prometteuse_35010
12/05/22,16:18,Le Groupe Délice annonce un bénéfice net de 70 millions de dinars en 2021,https://www.ilboursa.com/marches/le-groupe-delice-annonce-un-benefice-net-de-70-millions-de-dinars-en-2021_34531
21/04/22,11:30,Le groupe Délice annonce des revenus de plus de 300 millions de dinars au premier trimestre,https://www.ilboursa.com/marches/le-groupe-delice-annonce-des-revenus-de-plus-de-300-millions-de-dinars-au-premier-trimestre_34134
04/03/22,09:35,Groupe Délice : Vers une année 2022 prometteuse,https://www.ilboursa.com/marches/groupe-delice-vers-une-annee-2022-prometteuse_33199
21/01/22,10:50,"Le Groupe Délice annonce un chiffre d’affaires de 1,2 milliard de dinars en 2021",https://www.ilboursa.com/marches/le-groupe-delice-annonce-un-chiffre-daffaires-de-1-2-milliard-de-dinars-en-2021_32446
21/10/21,09:02,Les revenus du Groupe Délice frôlent les 900 millions de dinars à fin septembre,https://www.ilboursa.com/marches/les-revenus-du-groupe-delice-frolent-les-900-millions-de-dinars-a-fin-septembre_30941
28/07/21,12:38,"Délice Holding : MAC SA recommande d'acheter le titre avec un objectif de cours de 17,400 dinars",https://www.ilboursa.com/marches/delice-holding-mac-sa-recommande-d-acheter-le-titre-avec-un-objectif-de-cours-de-17-400-dinars_29459
19/07/21,20:21,Le Groupe Délice augmente de 10% ses revenus semestriels à 588 millions de dinars,https://www.ilboursa.com/marches/le-groupe-delice-augmente-de-10-ses-revenus-semestriels-a-588-millions-de-dinars_29320
25/06/21,15:13,DANAO lance sa nouvelle édition limitée placée sous le thème de l’art,https://www.ilboursa.com/marches/danao-lance-sa-nouvelle-edition-limitee-placee-sous-le-theme-de-lart_28929
23/06/21,10:01,"Délice Holding : Réalisation de quatre transactions de bloc pour 4,4 millions de dinars",https://www.ilboursa.com/marches/delice-holding-realisation-de-quatre-transactions-de-bloc-pour-4-4-millions-de-dinars_28840
07/06/21,09:34,"Délice Holding : Réalisation de quatre transactions de bloc pour 3,3 millions de dinars",https://www.ilboursa.com/marches/delice-holding-realisation-de-quatre-transactions-de-bloc-pour-3-3-millions-de-dinars_28514
02/06/21,08:06,Délice Holding : Réalisation d'une transaction de bloc pour 4 millions de dinars,https://www.ilboursa.com/marches/delice-holding-realisation-d-une-transaction-de-bloc-pour-4-millions-de-dinars_28426
06/05/21,08:32,"Délice Holding propose la distribution d'un dividende de 0,370 dinar par action",https://www.ilboursa.com/marches/delice-holding-propose-la-distribution-d-un-dividende-de-0-370-dinar-par-action_27995
29/04/21,13:46,Le Groupe Délice annone un bénéfice net de 58 millions de dinars en 2020,https://www.ilboursa.com/marches/le-groupe-delice-annone-un-benefice-net-de-58-millions-de-dinars-en-2020_27876
20/04/21,13:38,Le Groupe Délice annonce un chiffre d'affaires de 288 millions de dinars au premier trimestre,https://www.ilboursa.com/marches/le-groupe-delice-annonce-un-chiffre-d-affaires-de-288-millions-de-dinars-au-premier-trimestre_27710
18/03/21,09:45,Délice Holding : L’heure est à l’écrémage,https://www.ilboursa.com/marches/delice-holding-lheure-est-a-lecremage_27137
05/03/21,16:02,Lancement de l’axe stratégique RSE du Groupe Délice,https://www.ilboursa.com/marches/lancement-de-laxe-strategique-rse-du-groupe-delice_26916
20/01/21,16:37,Le Groupe Délice franchit le cap du milliard de dinars de revenus en 2020,https://www.ilboursa.com/marches/le-groupe-delice-franchit-le-cap-du-milliard-de-dinars-de-revenus-en-2020_26116
18/12/20,09:32,Délice obtient le Prix « Elu Service Client de l'Année 2021 » dans la catégorie Agroalimentaire,https://www.ilboursa.com/marches/delice-obtient-le-prix-elu-service-client-de-l-annee-2021-dans-la-categorie-agroalimentaire_25698
26/10/20,17:20,Le Groupe Délice se lance dans l'eau minérale,https://www.ilboursa.com/marches/le-groupe-delice-se-lance-dans-l-eau-minerale_24816
20/10/20,15:39,Le groupe Délice annonce un chiffre d'affaires de plus de 800 millions de dinars à fin septembre,https://www.ilboursa.com/marches/le-groupe-delice-annonce-un-chiffre-d-affaires-de-plus-de-800-millions-de-dinars-a-fin-septembre_24709
14/09/20,12:10,Délice Holding obtient la prestigieuse certification internationale de sécurité ISO/IEC 27001,https://www.ilboursa.com/marches/delice-holding-obtient-la-prestigieuse-certification-internationale-de-securite-isoiec-27001_24111
21/07/20,11:13,Le groupe Délice augmente de 15% ses revenus au premier semestre à 531 millions de dinars,https://www.ilboursa.com/marches/le-groupe-delice-augmente-de-15-ses-revenus-au-premier-semestre-a-531-millions-de-dinars_23310
29/06/20,12:44,"Assemblée Générale de Délice : Lait, boissons, fromage et eau minérale, le Groupe voit plus grand",https://www.ilboursa.com/marches/assemblee-generale-de-delice-lait-boissons-fromage-et-eau-minerale-le-groupe-voit-plus-grand_23031
27/05/20,18:31,"Délice Holding tiendra son Assemblée à distance et propose un dividende de 0,333 dinar par action",https://www.ilboursa.com/marches/delice-holding-tiendra-son-assemblee-a-distance-et-propose-un-dividende-de-0-333-dinar-par-action_22550
19/05/20,11:05,"Groupe Délice : 2019, l’année de la reprise",https://www.ilboursa.com/marches/groupe-delice-2019-lannee-de-la-reprise_22450
12/05/20,15:00,Le Groupe Délice augmente de 50% ses bénéfices en 2019 à plus de 46 millions de dinars,https://www.ilboursa.com/marches/le-groupe-delice-augmente-de-50-ses-benefices-en-2019-a-plus-de-46-millions-de-dinars_22352
23/04/20,14:20,Le Groupe Délice améliore de 22% ses revenus trimestriels à 265 millions de dinars,https://www.ilboursa.com/marches/le-groupe-delice-ameliore-de-22-ses-revenus-trimestriels-a-265-millions-de-dinars_22009
31/03/20,20:26,Le Groupe Délice apporte son soutien au personnel soignant des hôpitaux et aux familles nécessiteuses,https://www.ilboursa.com/marches/le-groupe-delice-apporte-son-soutien-au-personnel-soignant-des-hopitaux-et-aux-familles-necessiteuses_21554
23/03/20,10:00,Coronavirus : Hamdi Meddeb fait don de 100 mille dinars à l'Hôpital Militaire,https://www.ilboursa.com/marches/coronavirus-hamdi-meddeb-fait-don-de-100-mille-dinars-a-l-hopital-militaire_21367
12/02/20,09:37,Le Groupe Délice signe un Partenariat Public-Privé avec la GIZ et l’APIA,https://www.ilboursa.com/marches/le-groupe-delice-signe-un-partenariat-public-prive-avec-la-giz-et-lapia_20772
04/02/20,08:15,"Top Délice expérience : Visite guidée de la ferme à l'usine, la qualité irréprochable",https://www.ilboursa.com/marches/top-delice-experience-visite-guidee-de-la-ferme-a-l-usine-la-qualite-irreprochable_20652
21/01/20,19:44,Le Groupe Délice réalise un chiffre d'affaires record de 956 millions de dinars en 2019,https://www.ilboursa.com/marches/le-groupe-delice-realise-un-chiffre-d-affaires-record-de-956-millions-de-dinars-en-2019_20467
26/11/19,12:43,Délice : Liste des candidats retenus pour le poste d’Administrateur représentant des petits porteurs,https://www.ilboursa.com/marches/delice-liste-des-candidats-retenus-pour-le-poste-dadministrateur-representant-des-petits-porteurs_19803
28/10/19,14:28,Délice Holding : Réalisation de six transactions de blocs pour plus de 32 millions de dinars,https://www.ilboursa.com/marches/delice-holding-realisation-de-six-transactions-de-blocs-pour-plus-de-32-millions-de-dinars_19407
22/10/19,09:25,Délice Holding réalise 720 millions de dinars de revenus à fin septembre,https://www.ilboursa.com/marches/delice-holding-realise-720-millions-de-dinars-de-revenus-a-fin-septembre_19293
17/09/19,16:13,Délice Holding changera son mode de gouvernance,https://www.ilboursa.com/marches/delice-holding-changera-son-mode-de-gouvernance_18823
04/09/19,10:18,Délice Holding réalise un bénéfice individuel de près de 19 millions de dinars à fin juin,https://www.ilboursa.com/marches/delice-holding-realise-un-benefice-individuel-de-pres-de-19-millions-de-dinars-a-fin-juin_18644
19/08/19,07:50,Délice Holding : Appel à candidature pour le poste d'Administrateur représentant les petits porteurs,https://www.ilboursa.com/marches/delice-holding-appel-a-candidature-pour-le-poste-d-administrateur-representant-les-petits-porteurs_18439
19/07/19,13:37,Délice Holding annonce un chiffre d'affaires de 460 millions de dinars au premier semestre,https://www.ilboursa.com/marches/delice-holding-annonce-un-chiffre-d-affaires-de-460-millions-de-dinars-au-premier-semestre_18111
09/07/19,09:48,Le Groupe Délice introduit pour la première fois le lait en bouteille PEHD Aseptique,https://www.ilboursa.com/marches/le-groupe-delice-introduit-pour-la-premiere-fois-le-lait-en-bouteille-pehd-aseptique_18000
24/06/19,12:13,"Groupe Délice, pionnier de la filière laitière en Tunisie",https://www.ilboursa.com/marches/groupe-delice-pionnier-de-la-filiere-laitiere-en-tunisie_17857
07/06/19,14:29,Le Groupe Délice Holding annonce un bénéfice de 31 millions de dinars en 2018,https://www.ilboursa.com/marches/le-groupe-delice-holding-annonce-un-benefice-de-31-millions-de-dinars-en-2018_17683
02/05/19,08:56,Délice Holding annonce un bénéfice net de près de 24 millions de dinars en 2018,https://www.ilboursa.com/marches/delice-holding-annonce-un-benefice-net-de-pres-de-24-millions-de-dinars-en-2018_17232
23/04/19,08:50,"Délice Holding augmente son chiffre d'affaires de 7,3% au premier trimestre",https://www.ilboursa.com/marches/delice-holding-augmente-son-chiffre-d-affaires-de-7-3-au-premier-trimestre_17091
25/03/19,09:04,Délice Holding va élire un Administrateur représentant des petits porteurs,https://www.ilboursa.com/marches/delice-holding-va-elire-un-administrateur-representant-des-petits-porteurs_16672
21/01/19,20:10,Délice Holding annonce un chiffre d'affaires record de 851 millions de dinars en 2018,https://www.ilboursa.com/marches/delice-holding-annonce-un-chiffre-d-affaires-record-de-851-millions-de-dinars-en-2018_15845
17/01/19,13:53,Danone investit dans le sport,https://www.ilboursa.com/marches/danone-investit-dans-le-sport_15790
22/10/18,09:11,Délice Holding annonce des revenus de 636 millions de dinars à fin septembre,https://www.ilboursa.com/marches/delice-holding-annonce-des-revenus-de-636-millions-de-dinars-a-fin-septembre_15096
24/09/18,18:45,Délice Holding suspend provisoirement la production au niveau du site de Soliman,https://www.ilboursa.com/marches/delice-holding-suspend-provisoirement-la-production-au-niveau-du-site-de-soliman_14895
30/08/18,14:17,Délice Holding stabilise son bénéfice net au premier semestre à plus de 23 millions de dinars,https://www.ilboursa.com/marches/delice-holding-stabilise-son-benefice-net-au-premier-semestre-a-plus-de-23-millions-de-dinars_14717
20/07/18,15:37,Délice Holding annonce des revenus de 424 millions de dinars à fin juin,https://www.ilboursa.com/marches/delice-holding-annonce-des-revenus-de-424-millions-de-dinars-a-fin-juin_14520
21/06/18,16:07,"Délice Holding : Distribution d'un dividende de 0,410 dinar par action",https://www.ilboursa.com/marches/delice-holding-distribution-d-un-dividende-de-0-410-dinar-par-action_14353
04/05/18,11:42,"Le Groupe Délice Holding annonce un bénéfice net de 38,6 millions de dinars",https://www.ilboursa.com/marches/le-groupe-delice-holding-annonce-un-benefice-net-de-38-6-millions-de-dinars_14133
23/04/18,10:59,Délice Holding améliore de 10% ses revenus trimestriels à 203 millions de dinars,https://www.ilboursa.com/marches/delice-holding-ameliore-de-10-ses-revenus-trimestriels-a-203-millions-de-dinars_14013
12/02/18,14:08,Délice Holding : Vers une consolidation du partenariat avec SAVENCIA,https://www.ilboursa.com/marches/delice-holding-vers-une-consolidation-du-partenariat-avec-savencia_13546
01/02/18,16:29,Délice Holding : Réalisation d'une transaction de bloc pour 435 mille dinars,https://www.ilboursa.com/marches/delice-holding-realisation-d-une-transaction-de-bloc-pour-435-mille-dinars_13488
22/01/18,11:55,"Délice Holding voit ses revenus atteindre 805 millions de dinars en 2017, un record",https://www.ilboursa.com/marches/delice-holding-voit-ses-revenus-atteindre-805-millions-de-dinars-en-2017-un-record_13404
03/01/18,16:44,Délice Holding : Le CMF dispense la société Meddeb Consulting de procéder à une OPA,https://www.ilboursa.com/marches/delice-holding-le-cmf-dispense-la-societe-meddeb-consulting-de-proceder-a-une-opa_13289
29/12/17,17:40,Délice Holding : Réalisation de six transactions de bloc pour plus de 802 millions de dinars,https://www.ilboursa.com/marches/delice-holding-realisation-de-six-transactions-de-bloc-pour-plus-de-802-millions-de-dinars_13275
25/10/17,10:30,"Partenariat tripartite entre Délice Holding, l'Université de Jendouba et la BTS",https://www.ilboursa.com/marches/partenariat-tripartite-entre-delice-holding-l-universite-de-jendouba-et-la-bts_12727
20/10/17,09:57,Délice Holding affiche des revenus de 608 millions de dinars à fin septembre,https://www.ilboursa.com/marches/delice-holding-affiche-des-revenus-de-608-millions-de-dinars-a-fin-septembre_12673
05/09/17,08:59,Délice Holding : Bénéfice net individuel de 23 Millions de dinars au premier semestre,https://www.ilboursa.com/marches/delice-holding-benefice-net-individuel-de-23-millions-de-dinars-au-premier-semestre_12357
21/07/17,09:26,Les revenus de Délice Holding atteignent 396 millions de dinars à fin juin,https://www.ilboursa.com/marches/les-revenus-de-delice-holding-atteignent-396-millions-de-dinars-a-fin-juin_12129
26/05/17,12:17,Délice Holding investira 230 millions de dinars sur les cinq prochaines années,https://www.ilboursa.com/marches/delice-holding-investira-230-millions-de-dinars-sur-les-cinq-prochaines-annees_11799
24/05/17,16:45,Délice Holding investira dans un méga-projet de transformation alimentaire à Sidi Bouzid,https://www.ilboursa.com/marches/delice-holding-investira-dans-un-mega-projet-de-transformation-alimentaire-a-sidi-bouzid_11781
23/05/17,16:48,Délice Holding va construire une unité de production fromagère au Maroc en 2018,https://www.ilboursa.com/marches/delice-holding-va-construire-une-unite-de-production-fromagere-au-maroc-en-2018_11771
17/05/17,14:16,Délice Holding tiendra une communication financière le 23 mai 2017,https://www.ilboursa.com/marches/delice-holding-tiendra-une-communication-financiere-le-23-mai-2017_11719
11/05/17,16:30,Délice Holding réalise un bénéfice net consolidé de 37 millions de dinars en 2016,https://www.ilboursa.com/marches/delice-holding-realise-un-benefice-net-consolide-de-37-millions-de-dinars-en-2016_11667
20/04/17,17:45,Délice Holding : Quasi stagnation des revenus au premier trimestre à 185 millions de dinars,https://www.ilboursa.com/marches/delice-holding-quasi-stagnation-des-revenus-au-premier-trimestre-a-185-millions-de-dinars_11477
06/04/17,16:48,Délice Holding : Réalisation d'une transaction de bloc pour 2 millions de dinars,https://www.ilboursa.com/marches/delice-holding-realisation-d-une-transaction-de-bloc-pour-2-millions-de-dinars_11362
16/03/17,17:32,Délice Holding déterminée à se donner les moyens de ses ambitions africaines,https://www.ilboursa.com/marches/delice-holding-determinee-a-se-donner-les-moyens-de-ses-ambitions-africaines_11210
23/01/17,11:13,Délice Holding : Croissance de 4% du chiffre d'affaires à 761 millions de dinars,https://www.ilboursa.com/marches/delice-holding-croissance-de-4-du-chiffre-d-affaires-a-761-millions-de-dinars_10821
10/01/17,17:03,Délice Danone met en place les projets ''Hlibna'' et ''Évolution'' au profit des petits éleveurs,https://www.ilboursa.com/marches/delice-danone-met-en-place-les-projets--hlibna--et--evolution--au-profit-des-petits-eleveurs_10724
19/12/16,10:07,Plus de 50% du budget de l'Espérance Sportive de Tunis provient du soutien de Hamdi Meddeb,https://www.ilboursa.com/marches/plus-de-50-du-budget-de-l-esperance-sportive-de-tunis-provient-du-soutien-de-hamdi-meddeb_10593
21/10/16,11:41,Délice Holding : Accroissement de 6% du chiffre d'affaires à 576 millions de dinars,https://www.ilboursa.com/marches/delice-holding-accroissement-de-6-du-chiffre-d-affaires-a-576-millions-de-dinars_10244
06/09/16,20:14,"Délice Holding : Quasi-stagnation du bénéfice semestriel à 26,7 millions de dinars",https://www.ilboursa.com/marches/delice-holding-quasi-stagnation-du-benefice-semestriel-a-26-7-millions-de-dinars_9959
20/07/16,14:00,"Délice Holding : Progression de 8% des revenus semestriels à 385,5 millions de dinars",https://www.ilboursa.com/marches/delice-holding-progression-de-8-des-revenus-semestriels-a-385-5-millions-de-dinars_9719
03/06/16,09:26,"Délice Holding : Mise en paiement du dividende de 0,450 DT par action à partir du 30 Juin",https://www.ilboursa.com/marches/delice-holding-mise-en-paiement-du-dividende-de-0-450-dt-par-action-a-partir-du-30-juin_9447
25/05/16,08:01,Délice Holding : Non renouvellement du contrat de liquidité,https://www.ilboursa.com/marches/delice-holding-non-renouvellement-du-contrat-de-liquidite_9366
24/05/16,16:13,Boubaker Mehri expose les indicateurs clés de performance de Délice Holding,https://www.ilboursa.com/marches/boubaker-mehri-expose-les-indicateurs-cles-de-performance-de-delice-holding_9362
18/05/16,11:15,Délice Holding tiendra une communication financière le 24 mai,https://www.ilboursa.com/marches/delice-holding-tiendra-une-communication-financiere-le-24-mai_9309
17/05/16,09:49,Délice Holding : Croissance soutenue de tous les pôles d'activité,https://www.ilboursa.com/marches/delice-holding-croissance-soutenue-de-tous-les-poles-d-activite_9297
12/05/16,08:55,"Délice Holding propose la distribution d'un dividende de 0,450 dinar par action",https://www.ilboursa.com/marches/delice-holding-propose-la-distribution-d-un-dividende-de-0-450-dinar-par-action_9253
04/05/16,12:22,Délice holding : Croissance du résultat net de 55% en 2015 à 40 millions de dinars,https://www.ilboursa.com/marches/delice-holding-croissance-du-resultat-net-de-55-en-2015-a-40-millions-de-dinars_9191
20/04/16,20:45,Délice Holding : Chiffre d'affaires trimestriel en hausse de 12% à 183 MDT,https://www.ilboursa.com/marches/delice-holding-chiffre-d-affaires-trimestriel-en-hausse-de-12-a-183-mdt_9052
11/03/16,09:27,"Délice Holding : Le bénéfice net serait de 30,2 millions de dinars en 2015",https://www.ilboursa.com/marches/delice-holding-le-benefice-net-serait-de-30-2-millions-de-dinars-en-2015_8727
21/01/16,14:58,Délice Holding : Progression de 11% des revenus à 735 millions de dinars en 2015,https://www.ilboursa.com/marches/delice-holding-progression-de-11-des-revenus-a-735-millions-de-dinars-en-2015_8396
11/11/15,13:42,Délice Holding : Le pôle fromage commencera à être bénéficiaire à partir de 2015,https://www.ilboursa.com/marches/delice-holding-le-pole-fromage-commencera-a-etre-beneficiaire-a-partir-de-2015_7919
04/11/15,12:39,IPO de Délice Holding : 18e plus grosse opération en Afrique en 2014,https://www.ilboursa.com/marches/ipo-de-delice-holding-18e-plus-grosse-operation-en-afrique-en-2014_7873
13/10/15,16:16,Délice Holding certifié MSI 20000 par Maghreb Corporate,https://www.ilboursa.com/marches/delice-holding-certifie-msi-20000-par-maghreb-corporate_7681
13/10/15,15:32,Délice Holding : Hausse de 10% des revenus à 544 millions de dinars à fin septembre,https://www.ilboursa.com/marches/delice-holding-hausse-de-10-des-revenus-a-544-millions-de-dinars-a-fin-septembre_7680
07/10/15,11:00,Délice Holding tiendra une communication financière le 13 octobre 2015,https://www.ilboursa.com/marches/delice-holding-tiendra-une-communication-financiere-le-13-octobre-2015_7637
28/08/15,14:11,Délice Holding : Baisse de 33% des bénéfices semestriels à 27 millions de dinars,https://www.ilboursa.com/marches/delice-holding-baisse-de-33-des-benefices-semestriels-a-27-millions-de-dinars_7382
20/07/15,16:15,Délice Holding : Chiffre d'affaires en hausse de 12% au premier semestre 2015,https://www.ilboursa.com/marches/delice-holding-chiffre-d-affaires-en-hausse-de-12-au-premier-semestre-2015_7155
30/06/15,14:19,Délice Holding : Quatre transactions de bloc pour un montant global de 695 mille dinars,https://www.ilboursa.com/marches/delice-holding-quatre-transactions-de-bloc-pour-un-montant-global-de-695-mille-dinars_7039
10/06/15,13:39,Le groupe Délice Holding s'attend à une croissance de 14% en 2015,https://www.ilboursa.com/marches/le-groupe-delice-holding-s-attend-a-une-croissance-de-14-en-2015_6896
