date_str,time_str,headline,url
07/08/24,09:10,Suspension de la cotation du titre MIP,https://www.ilboursa.com/marches/suspension-de-la-cotation-du-titre-mip_47609
05/08/24,13:40,Vers la mise en faillite directe de la société MIP,https://www.ilboursa.com/marches/vers-la-mise-en-faillite-directe-de-la-societe-mip_47579
01/08/24,15:53,La société MIP a réalisé un chiffre d'affaires de 800 dinars en 2022,https://www.ilboursa.com/marches/la-societe-mip-a-realise-un-chiffre-d-affaires-de-800-dinars-en-2022_47524
14/06/22,09:47,La société MIP a réalisé un chiffre d'affaires de seulement 800 dinars au premier trimestre,https://www.ilboursa.com/marches/la-societe-mip-a-realise-un-chiffre-d-affaires-de-seulement-800-dinars-au-premier-trimestre_35114
24/09/21,09:17,MIP : Vers la mise en difficulté de la société et le déclenchement de la procédure collective ?,https://www.ilboursa.com/marches/mip-vers-la-mise-en-difficulte-de-la-societe-et-le-declenchement-de-la-procedure-collective-_30393
15/06/21,09:32,La société MIP risque-t-elle de disparaitre ?,https://www.ilboursa.com/marches/la-societe-mip-risque-t-elle-de-disparaitre-_28684
09/03/21,07:46,La société MIP voit son chiffre d'affaires chuter de 55% en 2020 à 1 million de dinars,https://www.ilboursa.com/marches/la-societe-mip-voit-son-chiffre-d-affaires-chuter-de-55-en-2020-a-1-million-de-dinars_26954
17/11/20,16:00,La société MIP voit son chiffre d'affaires chuter de 35% au premier semestre,https://www.ilboursa.com/marches/la-societe-mip-voit-son-chiffre-d-affaires-chuter-de-35-au-premier-semestre_25173
23/10/20,15:40,Le groupe MIP cumule près de 17 millions de dinars de pertes à fin 2019,https://www.ilboursa.com/marches/le-groupe-mip-cumule-pres-de-17-millions-de-dinars-de-pertes-a-fin-2019_24785
11/03/20,09:49,"La société MIP, aux abois, annonce une nouvelle perte en 2017",https://www.ilboursa.com/marches/la-societe-mip-aux-abois-annonce-une-nouvelle-perte-en-2017_21156
13/12/19,09:04,"MIP, une société cotée qui emploie désormais 12 personnes",https://www.ilboursa.com/marches/mip-une-societe-cotee-qui-emploie-desormais-12-personnes_20028
02/08/18,13:06,"MIP annonce une perte consolidée de 7,8 millions de dinars en 2016",https://www.ilboursa.com/marches/mip-annonce-une-perte-consolidee-de-7-8-millions-de-dinars-en-2016_14600
10/11/16,13:22,Le Groupe Lawhat Tunisie détient désormais 85% du capital de MIP,https://www.ilboursa.com/marches/le-groupe-lawhat-tunisie-detient-desormais-85-du-capital-de-mip_10360
09/11/16,14:28,"MIP : Chute de 50% des revenus à fin septembre à 2,5 millions de dinars",https://www.ilboursa.com/marches/mip-chute-de-50-des-revenus-a-fin-septembre-a-2-5-millions-de-dinars_10355
19/10/16,09:43,"MIP : Le prix de l'Offre Publique d'Achat fixé à 1,250 dinar l'action",https://www.ilboursa.com/marches/mip-le-prix-de-l-offre-publique-d-achat-fixe-a-1-250-dinar-l-action_10205
15/09/16,11:15,MIP triple ses pertes au premier semestre,https://www.ilboursa.com/marches/mip-triple-ses-pertes-au-premier-semestre_9988
10/09/16,09:50,MIP : Les nouveaux acquéreurs dressent un sombre bilan financier,https://www.ilboursa.com/marches/mip-les-nouveaux-acquereurs-dressent-un-sombre-bilan-financier_9981
