date_str,time_str,headline,url
19/06/26,09:45,Assemblée Générale de SAH Lilas : Résilience des marges dans un contexte de contraction d'activité,https://www.ilboursa.com/marches/assemblee-generale-de-sah-lilas-resilience-des-marges-dans-un-contexte-de-contraction-d-activite_62388
07/05/26,18:33,Le groupe SAH Lilas annonce un bénéfice net de 63 millions de dinars en 2025,https://www.ilboursa.com/marches/le-groupe-sah-lilas-annonce-un-benefice-net-de-63-millions-de-dinars-en-2025_61577
23/04/26,15:24,Le Groupe SAH Lilas annonce des revenus de 235 millions de dinars à fin mars,https://www.ilboursa.com/marches/le-groupe-sah-lilas-annonce-des-revenus-de-235-millions-de-dinars-a-fin-mars_61283
11/02/26,13:24,"Après la Tunisie, Jumia décide de quitter l'Algérie",https://www.ilboursa.com/marches/apres-la-tunisie-jumia-decide-de-quitter-l-algerie_59711
26/01/26,08:24,Le Groupe SAH Lilas stabilise ses revenus à plus de 980 millions de dinars en 2025,https://www.ilboursa.com/marches/le-groupe-sah-lilas-stabilise-ses-revenus-a-plus-de-980-millions-de-dinars-en-2025_59270
25/12/25,09:58,"SAH : Réalisation d'une transaction de bloc pour plus de 1,8 million de dinars",https://www.ilboursa.com/marches/sah-realisation-d-une-transaction-de-bloc-pour-plus-de-1-8-million-de-dinars_58638
04/11/25,09:30,Le groupe SAH Lilas annonce des bénéfices de 30 millions de dinars au premier semestre,https://www.ilboursa.com/marches/le-groupe-sah-lilas-annonce-des-benefices-de-30-millions-de-dinars-au-premier-semestre_57348
17/10/25,15:07,Le groupe SAH Lilas stabilise ses revenus à 727 millions de dinars à fin septembre,https://www.ilboursa.com/marches/le-groupe-sah-lilas-stabilise-ses-revenus-a-727-millions-de-dinars-a-fin-septembre_56910
11/09/25,15:34,SAH Lilas affiche un bénéfice net de 22 millions de dinars au premier semestre 2025,https://www.ilboursa.com/marches/sah-lilas-affiche-un-benefice-net-de-22-millions-de-dinars-au-premier-semestre-2025_55021
29/07/25,09:40,"SAH LILAS, bientôt 30 ans… et plus ambitieuse que jamais",https://www.ilboursa.com/marches/sah-lilas-bientot-30-ans-et-plus-ambitieuse-que-jamais_54096
26/07/25,11:08,Le groupe SAH Lilas annonce des revenus de plus de 470 millions de dinars à fin juin,https://www.ilboursa.com/marches/le-groupe-sah-lilas-annonce-des-revenus-de-plus-de-470-millions-de-dinars-a-fin-juin_54052
17/06/25,13:33,BNA Capitaux recommande de renforcer la position sur le titre SAH Lilas,https://www.ilboursa.com/marches/bna-capitaux-recommande-de-renforcer-la-position-sur-le-titre-sah-lilas_53248
16/06/25,15:23,Le Groupe SAH Lilas prévoit 90 millions de dinars de bénéfices en 2025,https://www.ilboursa.com/marches/le-groupe-sah-lilas-prevoit-90-millions-de-dinars-de-benefices-en-2025_53226
12/05/25,20:20,Le Groupe SAH Lilas annonce un bénéfice record de près de 62 millions de dinars en 2024,https://www.ilboursa.com/marches/le-groupe-sah-lilas-annonce-un-benefice-record-de-pres-de-62-millions-de-dinars-en-2024_52611
24/04/25,09:07,SAH Lilas améliore de 8% ses revenus trimestriels boostés par la Libye et le cosmétique,https://www.ilboursa.com/marches/sah-lilas-ameliore-de-8-ses-revenus-trimestriels-boostes-par-la-libye-et-le-cosmetique_52273
14/02/25,11:07,"Forbes : Jalila Mezni, 35è femme d'affaires la plus puissante du Moyen-Orient en 2025",https://www.ilboursa.com/marches/forbes-jalila-mezni-35e-femme-d-affaires-la-plus-puissante-du-moyen-orient-en-2025_50932
27/01/25,08:47,Le groupe SAH Lilas annonce un chiffre d'affaires de 980 millions de dinars en 2024,https://www.ilboursa.com/marches/le-groupe-sah-lilas-annonce-un-chiffre-d-affaires-de-980-millions-de-dinars-en-2024_50515
13/12/24,14:28,"Dans les coulisses de Lilas Cosmetics : Innovation, qualité et une ambition internationale",https://www.ilboursa.com/marches/dans-les-coulisses-de-lilas-cosmetics-innovation-qualite-et-une-ambition-internationale_49801
25/10/24,10:01,Le Groupe SAH Lilas annonce des revenus de plus de 725 millions de dinars à fin septembre,https://www.ilboursa.com/marches/le-groupe-sah-lilas-annonce-des-revenus-de-plus-de-725-millions-de-dinars-a-fin-septembre_48945
04/09/24,16:07,Le Groupe SAH a plus que doublé ses bénéfices semestriels à 30 millions de dinars,https://www.ilboursa.com/marches/le-groupe-sah-a-plus-que-double-ses-benefices-semestriels-a-30-millions-de-dinars_47955
26/07/24,14:00,Les revenus du groupe SAH Lilas dépassent les 460 millions de dinars au premier semestre,https://www.ilboursa.com/marches/les-revenus-du-groupe-sah-lilas-depassent-les-460-millions-de-dinars-au-premier-semestre_47438
09/07/24,11:37,SAH Lilas se lance dans la fabrication des produits cosmétiques,https://www.ilboursa.com/marches/sah-lilas-se-lance-dans-la-fabrication-des-produits-cosmetiques_47142
15/06/24,09:58,"SAH Lilas propose la distribution d'un dividende de 0,350 dinar par action",https://www.ilboursa.com/marches/sah-lilas-propose-la-distribution-d-un-dividende-de-0-350-dinar-par-action_46796
12/06/24,09:50,Le groupe SAH Lilas stabilise ses bénéfices nets à 35 millions de dinars en 2023,https://www.ilboursa.com/marches/le-groupe-sah-lilas-stabilise-ses-benefices-nets-a-35-millions-de-dinars-en-2023_46715
05/06/24,09:23,SAH Lilas va élire un Administrateur représentant des actionnaires minoritaires,https://www.ilboursa.com/marches/sah-lilas-va-elire-un-administrateur-representant-des-actionnaires-minoritaires_46605
23/04/24,09:56,Le Groupe SAH Lilas annonce un chiffre d'affaires de 240 millions de dinars à fin mars,https://www.ilboursa.com/marches/le-groupe-sah-lilas-annonce-un-chiffre-d-affaires-de-240-millions-de-dinars-a-fin-mars_45869
07/02/24,12:20,"SAH Lilas, la valeur de croissance par excellence",https://www.ilboursa.com/marches/sah-lilas-la-valeur-de-croissance-par-excellence_44749
23/01/24,18:43,Le groupe SAH annonce des revenus records de plus de 900 millions de dinars en 2023,https://www.ilboursa.com/marches/le-groupe-sah-annonce-des-revenus-records-de-plus-de-900-millions-de-dinars-en-2023_44529
03/01/24,09:46,Forbes : Jalila MEZNI parmi les 100 PDG les plus puissants du Moyen-Orient en 2023,https://www.ilboursa.com/marches/forbes-jalila-mezni-parmi-les-100-pdg-les-plus-puissants-du-moyen-orient-en-2023_44196
02/11/23,09:15,Le Groupe SAH Lilas annonce un bénéfice semestriel de plus de 12 millions de dinars,https://www.ilboursa.com/marches/le-groupe-sah-lilas-annonce-un-benefice-semestriel-de-plus-de-12-millions-de-dinars_43389
23/10/23,18:14,Les revenus du Groupe SAH à fin septembre dépassent les 670 millions de dinars,https://www.ilboursa.com/marches/les-revenus-du-groupe-sah-a-fin-septembre-depassent-les-670-millions-de-dinars_43250
03/10/23,10:00,Azur Détergent du Groupe SAH augmente son capital de 12 millions de dinars,https://www.ilboursa.com/marches/azur-detergent-du-groupe-sah-augmente-son-capital-de-12-millions-de-dinars_42882
27/07/23,08:41,Le Groupe SAH réalise des revenus semestriels de 438 millions de dinars,https://www.ilboursa.com/marches/le-groupe-sah-realise-des-revenus-semestriels-de-438-millions-de-dinars_41848
23/06/23,14:37,SAH Lilas : Une montée à pas de géant,https://www.ilboursa.com/marches/sah-lilas-une-montee-a-pas-de-geant_41381
20/06/23,09:32,SAH Lilas : Réalisation de deux transactions de blocs pour plus de 6 millions de dinars,https://www.ilboursa.com/marches/sah-lilas-realisation-de-deux-transactions-de-blocs-pour-plus-de-6-millions-de-dinars_41324
13/06/23,09:52,SAH Lilas augmente son capital pour financer l’extension de son usine de Medjez El Bab,https://www.ilboursa.com/marches/sah-lilas-augmente-son-capital-pour-financer-lextension-de-son-usine-de-medjez-el-bab_41219
12/06/23,19:06,"SAH Lilas propose de distribuer un dividende de 0,330 dinar par action",https://www.ilboursa.com/marches/sah-lilas-propose-de-distribuer-un-dividende-de-0-330-dinar-par-action_41214
29/05/23,10:03,Le groupe SAH a plus que doublé son bénéfice en 2022,https://www.ilboursa.com/marches/le-groupe-sah-a-plus-que-double-son-benefice-en-2022_40939
19/04/23,09:59,SAH en quête de devenir leader régional dans les produits de grande consommation,https://www.ilboursa.com/marches/sah-en-quete-de-devenir-leader-regional-dans-les-produits-de-grande-consommation_40263
