date_str,time_str,headline,url
25/05/26,12:14,Des bénéfices résilients en 2025 pour Meuble Intérieurs malgré un léger repli du chiffre d’affaires,https://www.ilboursa.com/marches/des-benefices-resilients-en-2025-pour-meuble-interieurs-malgre-un-leger-repli-du-chiffre-daffaires_61927
23/04/26,10:41,Meuble Intérieurs maintient le cap au premier trimestre grâce au marché local,https://www.ilboursa.com/marches/meuble-interieurs-maintient-le-cap-au-premier-trimestre-grace-au-marche-local_61277
26/01/26,15:30,Meuble Intérieurs mise sur 2026 après une année 2025 de consolidation,https://www.ilboursa.com/marches/meuble-interieurs-mise-sur-2026-apres-une-annee-2025-de-consolidation_59291
17/11/25,08:52,Meuble Intérieurs annonce l'augmentation de son capital par incorporation de réserves,https://www.ilboursa.com/marches/meuble-interieurs-annonce-l-augmentation-de-son-capital-par-incorporation-de-reserves_57692
22/10/25,14:41,Meubles Intérieurs : Une dynamique de reprise attendue au quatrième trimestre 2025,https://www.ilboursa.com/marches/meubles-interieurs-une-dynamique-de-reprise-attendue-au-quatrieme-trimestre-2025_57041
17/09/25,08:00,"Meuble Intérieurs affiche un bénéfice semestriel de 1,3 million de dinars",https://www.ilboursa.com/marches/meuble-interieurs-affiche-un-benefice-semestriel-de-1-3-million-de-dinars_55158
03/09/25,08:30,Meuble Intérieurs approuve l'augmentation de son capital,https://www.ilboursa.com/marches/meuble-interieurs-approuve-l-augmentation-de-son-capital_54831
28/07/25,13:13,Meuble Intérieurs redresse la barre au deuxième trimestre 2025,https://www.ilboursa.com/marches/meuble-interieurs-redresse-la-barre-au-deuxieme-trimestre-2025_54082
30/06/25,11:35,Meuble Intérieurs : Une année 2024 de consolidation et d’ambition pour l’international,https://www.ilboursa.com/marches/meuble-interieurs-une-annee-2024-de-consolidation-et-dambition-pour-linternational_53499
12/05/25,18:33,"La société Meuble Intérieurs réalise un bénéfice net de 2,7 millions de dinars en 2024",https://www.ilboursa.com/marches/la-societe-meuble-interieurs-realise-un-benefice-net-de-2-7-millions-de-dinars-en-2024_52612
18/04/25,17:07,Meuble Intérieurs stabilise son chiffre d'affaires local au premier trimestre,https://www.ilboursa.com/marches/meuble-interieurs-stabilise-son-chiffre-d-affaires-local-au-premier-trimestre_52184
21/01/25,08:35,Meuble intérieurs annonce un chiffre d’affaires record en 2024,https://www.ilboursa.com/marches/meuble-interieurs-annonce-un-chiffre-daffaires-record-en-2024_50383
24/10/24,09:33,Le groupe Meuble Intérieurs annonce 22 millions de dinars de revenus à fin septembre,https://www.ilboursa.com/marches/le-groupe-meuble-interieurs-annonce-22-millions-de-dinars-de-revenus-a-fin-septembre_48921
25/09/24,09:46,Meuble Intérieurs améliore de plus de 30% son bénéfice semestriel,https://www.ilboursa.com/marches/meuble-interieurs-ameliore-de-plus-de-30-son-benefice-semestriel_48356
18/07/24,13:25,Meuble Intérieurs voit son chiffre d'affaires augmenter de 9% au premier semestre,https://www.ilboursa.com/marches/meuble-interieurs-voit-son-chiffre-d-affaires-augmenter-de-9-au-premier-semestre_47278
27/06/24,10:09,La société Meuble Intérieurs consolide sa croissance,https://www.ilboursa.com/marches/la-societe-meuble-interieurs-consolide-sa-croissance_46964
02/05/24,17:10,Meuble Intérieurs améliore de 50% son bénéfice en 2023,https://www.ilboursa.com/marches/meuble-interieurs-ameliore-de-50-son-benefice-en-2023_46022
20/04/24,10:08,Meuble intérieurs augmente de 20 % ses revenus au premier trimestre,https://www.ilboursa.com/marches/meuble-interieurs-augmente-de-20-ses-revenus-au-premier-trimestre_45823
