date_str,time_str,headline,url
19/05/26,14:27,"Assemblée générale de la SFBT : Maintenir les prix sans sacrifier la rentabilité, le pari réussi de 2025",https://www.ilboursa.com/marches/assemblee-generale-de-la-sfbt-maintenir-les-prix-sans-sacrifier-la-rentabilite-le-pari-reussi-de-2025_61800
20/04/26,16:35,La SFBT améliore de 6 % son chiffre d'affaires au premier trimestre,https://www.ilboursa.com/marches/la-sfbt-ameliore-de-6-son-chiffre-d-affaires-au-premier-trimestre_61183
27/03/26,16:24,Année 2025 record pour la SFBT avec un bénéfice consolidé de 300 millions de dinars,https://www.ilboursa.com/marches/annee-2025-record-pour-la-sfbt-avec-un-benefice-consolide-de-300-millions-de-dinars_60705
31/01/26,08:49,La SFBT annonce plus de 840 millions de dinars de chiffre d’affaires en 2025,https://www.ilboursa.com/marches/la-sfbt-annonce-plus-de-840-millions-de-dinars-de-chiffre-daffaires-en-2025_59451
24/12/25,08:19,SFBT : Réalisation d'une transaction de bloc pour plus de 2 millions de dinars,https://www.ilboursa.com/marches/sfbt-realisation-d-une-transaction-de-bloc-pour-plus-de-2-millions-de-dinars_58619
12/12/25,09:57,SFBT : Une éthique vivante au service de la confiance et de la performance,https://www.ilboursa.com/marches/sfbt-une-ethique-vivante-au-service-de-la-confiance-et-de-la-performance_58342
20/10/25,18:31,La SFBT stabilise quasiment son chiffre d'affaires à 627 millions de dinars à fin septembre,https://www.ilboursa.com/marches/la-sfbt-stabilise-quasiment-son-chiffre-d-affaires-a-627-millions-de-dinars-a-fin-septembre_56964
16/10/25,10:32,SFBT : La métamorphose d’un leader industriel,https://www.ilboursa.com/marches/sfbt-la-metamorphose-dun-leader-industriel_55863
24/09/25,09:11,SFBT : Réalisation d'une transaction de bloc pour 6 millions de dinars,https://www.ilboursa.com/marches/sfbt-realisation-d-une-transaction-de-bloc-pour-6-millions-de-dinars_55327
12/09/25,11:06,"MAC SA recommande SFBT à l'achat avec un cours cible à 14,300 dinars",https://www.ilboursa.com/marches/mac-sa-recommande-sfbt-a-l-achat-avec-un-cours-cible-a-14-300-dinars_55037
09/09/25,11:54,Tunisie Valeurs réitère sa recommandation d’Achat sur le titre SFBT,https://www.ilboursa.com/marches/tunisie-valeurs-reitere-sa-recommandation-dachat-sur-le-titre-sfbt_54952
02/09/25,09:22,La SFBT dénonce une campagne de désinformation et réaffirme sa transparence,https://www.ilboursa.com/marches/la-sfbt-denonce-une-campagne-de-desinformation-et-reaffirme-sa-transparence_54799
13/08/25,10:53,Le bénéfice net bondit à 170 millions de dinars au premier semestre 2025,https://www.ilboursa.com/marches/le-benefice-net-bondit-a-170-millions-de-dinars-au-premier-semestre-2025_54367
05/08/25,11:05,SFBT : Dix ans d’engagement ESG pour une croissance durable en Tunisie,https://www.ilboursa.com/marches/sfbt-dix-ans-dengagement-esg-pour-une-croissance-durable-en-tunisie_54243
23/07/25,13:40,"La SFBT sur le point d'acquérir Carthage Grains, filiale du Groupe Mokhtar",https://www.ilboursa.com/marches/la-sfbt-sur-le-point-d-acquerir-carthage-grains-filiale-du-groupe-mokhtar_53995
16/06/25,18:53,"SFBT : Réalisation d'une transaction de bloc pour 4,7 millions de dinars",https://www.ilboursa.com/marches/sfbt-realisation-d-une-transaction-de-bloc-pour-4-7-millions-de-dinars_53231
21/05/25,11:44,"Après la bière, les boissons gazeuses et l’eau, la SFBT à la recherche d’un quatrième pilier",https://www.ilboursa.com/marches/apres-la-biere-les-boissons-gazeuses-et-leau-la-sfbt-a-la-recherche-dun-quatrieme-pilier_52769
07/05/25,16:08,Assemblée Générale de la SFBT : Une année 2024 placée sous le signe de la résilience,https://www.ilboursa.com/marches/assemblee-generale-de-la-sfbt-une-annee-2024-placee-sous-le-signe-de-la-resilience_52530
