date_str,time_str,headline,url
12/09/25,09:38,Le groupe Poulina détient désormais près de 90 % du capital du promoteur immobilier SITS,https://www.ilboursa.com/marches/le-groupe-poulina-detient-desormais-pres-de-90-du-capital-du-promoteur-immobilier-sits_55035
16/06/25,10:14,Le Groupe Poulina lance une OPA sur le promoteur immobilier SITS,https://www.ilboursa.com/marches/le-groupe-poulina-lance-une-opa-sur-le-promoteur-immobilier-sits_53214
02/10/24,09:39,Le Groupe Poulina lance une OPA sur le promoteur immobilier SITS,https://www.ilboursa.com/marches/le-groupe-poulina-lance-une-opa-sur-le-promoteur-immobilier-sits_48490
05/06/24,10:32,Le promoteur immobilier SITS multiplie ses bénéfices quasiment par quatre en 2023,https://www.ilboursa.com/marches/le-promoteur-immobilier-sits-multiplie-ses-benefices-quasiment-par-quatre-en-2023_46610
04/05/23,14:36,Les revenus du promoteur immobilier SITS chutent de 55% au premier trimestre,https://www.ilboursa.com/marches/les-revenus-du-promoteur-immobilier-sits-chutent-de-55-au-premier-trimestre_40538
17/10/22,15:25,Le promoteur immobilier SITS divise par deux son chiffre d'affaires à fin septembre,https://www.ilboursa.com/marches/le-promoteur-immobilier-sits-divise-par-deux-son-chiffre-d-affaires-a-fin-septembre_37214
02/08/22,09:55,Les revenus du promoteur immobilier SITS chutent de 60% au premier semestre,https://www.ilboursa.com/marches/les-revenus-du-promoteur-immobilier-sits-chutent-de-60-au-premier-semestre_35888
28/03/22,15:55,Le promoteur immobilier SITS affiche des bénéfices en chute de 60% en 2021,https://www.ilboursa.com/marches/le-promoteur-immobilier-sits-affiche-des-benefices-en-chute-de-60-en-2021_33632
24/01/22,13:56,Le promoteur immobilier SITS annonce des revenus en chute de 35% en 2021,https://www.ilboursa.com/marches/le-promoteur-immobilier-sits-annonce-des-revenus-en-chute-de-35-en-2021_32495
20/10/21,14:20,Le promoteur immobilier SITS annonce des revenus en chute de 46% à fin septembre,https://www.ilboursa.com/marches/le-promoteur-immobilier-sits-annonce-des-revenus-en-chute-de-46-a-fin-septembre_30875
08/09/21,10:29,Le promoteur immobilier SITS multiplie son bénéfice semestriel par cinq,https://www.ilboursa.com/marches/le-promoteur-immobilier-sits-multiplie-son-benefice-semestriel-par-cinq_30112
22/03/21,07:30,Le promoteur immobilier SITS annonce un bénéfice consolidé de 10 millions de dinars en 2020,https://www.ilboursa.com/marches/le-promoteur-immobilier-sits-annonce-un-benefice-consolide-de-10-millions-de-dinars-en-2020_27182
21/01/21,13:34,"Le promoteur immobilier SITS annonce des revenus de 10 millions de dinars en 2020, en repli de 32%",https://www.ilboursa.com/marches/le-promoteur-immobilier-sits-annonce-des-revenus-de-10-millions-de-dinars-en-2020-en-repli-de-32_26481
15/01/21,11:20,La Tunisian Saudi Bank cède sa participation dans SITS pour plus de 7 millions de dinars,https://www.ilboursa.com/marches/la-tunisian-saudi-bank-cede-sa-participation-dans-sits-pour-plus-de-7-millions-de-dinars_26051
12/01/21,15:39,L'Offre Publique d'Achat de SITS a coûté 12 millions de dinars au Groupe Poulina,https://www.ilboursa.com/marches/l-offre-publique-d-achat-de-sits-a-coute-12-millions-de-dinars-au-groupe-poulina_26004
09/01/21,11:05,"Vente judiciaire de 760.000 actions SITS, prix minimal fixé à 2,170 dinars",https://www.ilboursa.com/marches/vente-judiciaire-de-760000-actions-sits-prix-minimal-fixe-a-2-170-dinars_25971
16/12/20,09:24,Suspension de la cotation des titres SITS les 16 et 17 décembre 2020,https://www.ilboursa.com/marches/suspension-de-la-cotation-des-titres-sits-les-16-et-17-decembre-2020_25651
