date_str,time_str,headline,url
18/06/26,10:02,Assemblée Générale de SOTETEL : Une année 2025 record portée par la fibre optique et l’Afrique,https://www.ilboursa.com/marches/assemblee-generale-de-sotetel-une-annee-2025-record-portee-par-la-fibre-optique-et-lafrique_62370
28/04/26,19:28,La SOTETEL augmente de 13% ses bénéfices en 2025,https://www.ilboursa.com/marches/la-sotetel-augmente-de-13-ses-benefices-en-2025_61380
24/04/26,14:14,Une rentabilité en forte accélération pour la SOTETEL au premier trimestre 2026,https://www.ilboursa.com/marches/une-rentabilite-en-forte-acceleration-pour-la-sotetel-au-premier-trimestre-2026_61312
23/01/26,09:30,La SOTETEL boucle 2025 avec un chiffre d'affaires record de plus de 77 millions de dinars,https://www.ilboursa.com/marches/la-sotetel-boucle-2025-avec-un-chiffre-d-affaires-record-de-plus-de-77-millions-de-dinars_59226
21/10/25,10:38,SOTETEL signe un troisième trimestre solide qui efface le retard du premier semestre,https://www.ilboursa.com/marches/sotetel-signe-un-troisieme-trimestre-solide-qui-efface-le-retard-du-premier-semestre_56988
24/07/25,08:45,"SOTETEL : Un premier semestre en demi-teinte, mais des signes de reprise en vue",https://www.ilboursa.com/marches/sotetel-un-premier-semestre-en-demi-teinte-mais-des-signes-de-reprise-en-vue_54017
09/07/25,11:55,"Assemblée Générale de SOTETEL : 2024, une année de croissance et de transformation stratégique",https://www.ilboursa.com/marches/assemblee-generale-de-sotetel-2024-une-annee-de-croissance-et-de-transformation-strategique_53712
06/05/25,08:04,SOTETEL : Des revenus en hausse de 18% au premier trimestre à 15 millions de dinars,https://www.ilboursa.com/marches/sotetel -des-revenus-en-hausse-de-18-au-premier-trimestre-a-15-millions-de-dinars_52486
05/05/25,15:59,La SOTETEL améliore de 6% son bénéfice en 2024 à plus de 4 millions de dinars,https://www.ilboursa.com/marches/la-sotetel-ameliore-de-6-son-benefice-en-2024-a-plus-de-4-millions-de-dinars_52473
28/01/25,09:38,La SOTETEL réalise en 2024 un chiffre d'affaires historique de plus de 70 millions de dinars,https://www.ilboursa.com/marches/la-sotetel-realise-en-2024-un-chiffre-d-affaires-historique-de-plus-de-70-millions-de-dinars_50549
14/01/25,08:18,La SOTETEL renouvelle avec succès ses certifications ISO 9001 et ISO 45001,https://www.ilboursa.com/marches/la-sotetel-renouvelle-avec-succes-ses-certifications-iso-9001-et-iso-45001_50259
24/12/24,09:22,Cybersécurité : SOTETEL et KEYSTONE scellent un partenariat stratégique,https://www.ilboursa.com/marches/cybersecurite-sotetel-et-keystone-scellent-un-partenariat-strategique_49966
20/11/24,15:08,SOTETEL et HPE s’engagent à soutenir le développement économique en Tunisie,https://www.ilboursa.com/marches/sotetel-et-hpe-sengagent-a-soutenir-le-developpement-economique-en-tunisie_49401
08/11/24,10:18,La SOTETEL devient officiellement partenaire Expert de Fortinet,https://www.ilboursa.com/marches/la-sotetel-devient-officiellement-partenaire-expert-de-fortinet_49195
25/10/24,09:14,Les revenus de SOTETEL s'envolent de 25% à fin septembre à près de 50 millions de dinars,https://www.ilboursa.com/marches/les-revenus-de-sotetel-s-envolent-de-25-a-fin-septembre-a-pres-de-50-millions-de-dinars_48943
05/09/24,10:40,La SOTETEL triple ses bénéfices au premier semestre,https://www.ilboursa.com/marches/la-sotetel-triple-ses-benefices-au-premier-semestre_47970
23/07/24,13:37,La SOTETEL voit ses revenus semestriels croître de 34% à 35 millions de dinars,https://www.ilboursa.com/marches/la-sotetel-voit-ses-revenus-semestriels-croitre-de-34-a-35-millions-de-dinars_47375
10/05/24,15:54,La SOTETEL poursuit son dynamisme commercial au premier trimestre de 2024,https://www.ilboursa.com/marches/la-sotetel-poursuit-son-dynamisme-commercial-au-premier-trimestre-de-2024_46157
02/05/24,17:32,"Avec une rentabilité améliorée en 2023, la SOTETEL renoue avec le versement de dividendes",https://www.ilboursa.com/marches/avec-une-rentabilite-amelioree-en-2023-la-sotetel-renoue-avec-le-versement-de-dividendes_46021
