date_str,time_str,headline,url
25/02/26,14:05,La SPDIT propose la distribution d'un dividende de 1 dinar par action au titre de 2025,https://www.ilboursa.com/marches/la-spdit-propose-la-distribution-d-un-dividende-de-1-dinar-par-action-au-titre-de-2025_60052
26/02/25,17:48,La SPDIT propose la distribution d'un dividende de 1 dinar par action au titre de 2024,https://www.ilboursa.com/marches/la-spdit-propose-la-distribution-d-un-dividende-de-1-dinar-par-action-au-titre-de-2024_51185
06/03/24,16:36,Elyès FAKHFAKH nommé Président du conseil d'administration de la SPDIT,https://www.ilboursa.com/marches/elyes-fakhfakh-nomme-president-du-conseil-d-administration-de-la-spdit_45160
22/08/23,10:00,La SPDIT SICAF dégage un bénéfice net semestriel de plus de 21 millions de dinars,https://www.ilboursa.com/marches/la-spdit-sicaf-degage-un-benefice-net-semestriel-de-plus-de-21-millions-de-dinars_42207
09/08/23,14:07,Groupe RIAHI cède sa participation dans le capital de la SPDIT pour 11 millions de dinars,https://www.ilboursa.com/marches/groupe-riahi-cede-sa-participation-dans-le-capital-de-la-spdit-pour-11-millions-de-dinars_42043
24/03/23,08:50,La SPDIT-SICAF améliore de 25% son bénéfice net en 2022 à 22 millions de dinars,https://www.ilboursa.com/marches/la-spdit-sicaf-ameliore-de-25-son-benefice-net-en-2022-a-22-millions-de-dinars_39856
22/02/23,12:41,"La SPDIT-SICAF propose la distribution d'un dividende de 0,700 dinar au titre de 2022",https://www.ilboursa.com/marches/la-spdit-sicaf-propose-la-distribution-d-un-dividende-de-0-700-dinar-au-titre-de-2022_39396
22/08/22,09:43,La SPDIT dégage un bénéfice net de 20 millions de dinars au premier semestre,https://www.ilboursa.com/marches/la-spdit-degage-un-benefice-net-de-20-millions-de-dinars-au-premier-semestre_36173
16/03/22,14:48,"La SPDIT propose la distribution d'un dividende de 0,600 dinar par action au titre de 2021",https://www.ilboursa.com/marches/la-spdit-propose-la-distribution-d-un-dividende-de-0-600-dinar-par-action-au-titre-de-2021_33421
28/08/20,11:11,La SPDIT voit ses bénéfices chuter de 25% au premier semestre à 16 millions de dinars,https://www.ilboursa.com/marches/la-spdit-voit-ses-benefices-chuter-de-25-au-premier-semestre-a-16-millions-de-dinars_23866
28/02/20,09:16,"La SPDIT-SICAF propose la distribution d'un dividende de 0,600 dinar par action au titre de 2019",https://www.ilboursa.com/marches/la-spdit-sicaf-propose-la-distribution-d-un-dividende-de-0-600-dinar-par-action-au-titre-de-2019_20993
20/08/19,08:11,SPDIT : Baisse du bénéfice semestriel de 8% à 21 millions de dinars,https://www.ilboursa.com/marches/spdit-baisse-du-benefice-semestriel-de-8-a-21-millions-de-dinars_18455
19/07/19,12:06,SPDIT : Baisse des produits d’exploitation de 5% au premier semestre,https://www.ilboursa.com/marches/spdit-baisse-des-produits-dexploitation-de-5-au-premier-semestre_18109
29/03/19,09:01,"La SPDIT-SICAF propose la distribution d'un dividende de 0,6 dinar au titre de 2018",https://www.ilboursa.com/marches/la-spdit-sicaf-propose-la-distribution-d-un-dividende-de-0-6-dinar-au-titre-de-2018_16755
20/08/18,10:03,La SPDIT améliore son bénéfice net semestriel de 34% à 23 millions de dinars,https://www.ilboursa.com/marches/la-spdit-ameliore-son-benefice-net-semestriel-de-34-a-23-millions-de-dinars_14671
12/07/18,11:52,"SPDIT : Hausse des produits d’exploitation de 30% à fin juin à 22,7 millions de dinars",https://www.ilboursa.com/marches/spdit-hausse-des-produits-dexploitation-de-30-a-fin-juin-a-22-7-millions-de-dinars_14462
19/04/18,13:29,La SPDIT réalise au premier trimestre 2018 une partie de sa plus-value sur la BIAT,https://www.ilboursa.com/marches/la-spdit-realise-au-premier-trimestre-2018-une-partie-de-sa-plus-value-sur-la-biat_13986
22/03/18,10:12,"La SPDIT annonce un bénéfice net de 17,5 millions de dinars, en hausse de 9%",https://www.ilboursa.com/marches/la-spdit-annonce-un-benefice-net-de-17-5-millions-de-dinars-en-hausse-de-9_13785
13/03/18,11:25,"La SPDIT propose la distribution d'un dividende de 0,550 dinar par action",https://www.ilboursa.com/marches/la-spdit-propose-la-distribution-d-un-dividende-de-0-550-dinar-par-action_13728
22/02/18,10:09,"SPDIT : Une plus value latente de 22,3 millions dinars sur la ligne BIAT",https://www.ilboursa.com/marches/spdit-une-plus-value-latente-de-22-3-millions-dinars-sur-la-ligne-biat_13616
16/01/18,08:09,SPDIT : Les revenus d’exploitation s'élèvent à plus de 18 millions de dinars en 2017,https://www.ilboursa.com/marches/spdit-les-revenus-dexploitation-s-elevent-a-plus-de-18-millions-de-dinars-en-2017_13355
17/04/17,17:08,"SPDIT : Les dividendes de la SEABG dopent le chiffre d’affaires, en hausse de 7% à fin mars",https://www.ilboursa.com/marches/spdit-les-dividendes-de-la-seabg-dopent-le-chiffre-daffaires-en-hausse-de-7-a-fin-mars_11442
28/02/17,17:43,"La SPDIT-SICAF propose la distribution d'un dividende de 0,550 dinar par action",https://www.ilboursa.com/marches/la-spdit-sicaf-propose-la-distribution-d-un-dividende-de-0-550-dinar-par-action_11099
16/08/16,11:30,SPDIT : Bénéfice net de 16 millions de dinars à fin juin 2016,https://www.ilboursa.com/marches/spdit-benefice-net-de-16-millions-de-dinars-a-fin-juin-2016_9844
24/03/16,08:07,SPDIT : Mise en paiement des dividendes à partir du 8 avril,https://www.ilboursa.com/marches/spdit-mise-en-paiement-des-dividendes-a-partir-du-8-avril_8805
10/03/16,08:35,"SPDIT-SICAF : Bénéfice net de 16,350 millions de dinars en 2015",https://www.ilboursa.com/marches/spdit-sicaf-benefice-net-de-16-350-millions-de-dinars-en-2015_8716
03/03/16,08:23,"SPDIT-SICAF propose la distribution d'un dividende de 0,550 dinar par action",https://www.ilboursa.com/marches/spdit-sicaf-propose-la-distribution-d-un-dividende-de-0-550-dinar-par-action_8676
01/03/16,15:20,La société WIP détient désormais plus de 5% du capital de la SPDIT-SICAF,https://www.ilboursa.com/marches/la-societe-wip-detient-desormais-plus-de-5-du-capital-de-la-spdit-sicaf_8660
15/02/16,07:08,"SPDIT : Réalisation de trois transactions de bloc pour 15,8 millions de dinars",https://www.ilboursa.com/marches/spdit-realisation-de-trois-transactions-de-bloc-pour-15-8-millions-de-dinars_8557
24/08/15,09:28,"SPDIT-SICAF : Bénéfice net semestriel en hausse de 8% à 16,7 millions de dinars",https://www.ilboursa.com/marches/spdit-sicaf-benefice-net-semestriel-en-hausse-de-8-a-16-7-millions-de-dinars_7332
21/04/15,12:21,"SPDIT-SICAF : Reprise de provisions sur actions cotées pour 0,4 MDT au 1er trimestre 2015",https://www.ilboursa.com/marches/spdit-sicaf-reprise-de-provisions-sur-actions-cotees-pour-0-4-mdt-au-1er-trimestre-2015_6493
08/04/15,10:45,SPDIT : Mise en paiement du dividende à partir du 20 avril 2015,https://www.ilboursa.com/marches/spdit-mise-en-paiement-du-dividende-a-partir-du-20-avril-2015_6386
25/03/15,09:57,SPDIT : Bénéfice net de 15 millions de dinars en 2014,https://www.ilboursa.com/marches/spdit-benefice-net-de-15-millions-de-dinars-en-2014_6289
10/03/15,14:06,"SPDIT-SICAF propose la distribution d'un dividende de 0,530 dinar",https://www.ilboursa.com/marches/spdit-sicaf-propose-la-distribution-d-un-dividende-de-0-530-dinar_6202
16/01/15,10:58,SPDIT-SICAF : Légère progression des revenus de placements en 2014,https://www.ilboursa.com/marches/spdit-sicaf-legere-progression-des-revenus-de-placements-en-2014_5782
15/08/14,08:14,SPDIT-SICAF: Hausse du résultat net de 15% au premier semestre,https://www.ilboursa.com/marches/spdit-sicaf-hausse-du-resultat-net-de-15-au-premier-semestre_4862
14/07/14,10:33,"SPDIT-SICAF: Les revenus s'élèvent à 15,320 MDT au premier semestre, en hausse de 11,9%",https://www.ilboursa.com/marches/spdit-sicaf-les-revenus-s-elevent-a-15-320-mdt-au-premier-semestre-en-hausse-de-11-9_4687
24/04/14,13:39,BNA Capitaux positif sur SPDIT-SICAF,https://www.ilboursa.com/marches/bna-capitaux-positif-sur-spdit-sicaf_4158
17/04/14,09:34,"SPDIT-SICAF: Les revenus s'élèvent à 14,137 MDT au premier trimestre",https://www.ilboursa.com/marches/spdit-sicaf-les-revenus-s-elevent-a-14-137-mdt-au-premier-trimestre_4060
01/04/14,09:45,SPDIT-SICAF : Ordre du jour de l'AGO du 18 avril,https://www.ilboursa.com/marches/spdit-sicaf-ordre-du-jour-de-l-ago-du-18-avril_3906
31/03/14,17:46,"SPDIT: Résultat net de 13,3 millions de dinars en 2013",https://www.ilboursa.com/marches/spdit-resultat-net-de-13-3-millions-de-dinars-en-2013_3901
11/03/14,09:50,Report de l'AGO de la SPDIT-SICAF au 18 avril,https://www.ilboursa.com/marches/report-de-l-ago-de-la-spdit-sicaf-au-18-avril_3739
04/03/14,22:18,"SPDIT-SICAF propose un dividende de 0,550 DT par action",https://www.ilboursa.com/marches/spdit-sicaf-propose-un-dividende-de-0-550-dt-par-action_3687
16/01/14,17:21,"SPDIT-SICAF: Hausse des revenus de 16,5% en 2013",https://www.ilboursa.com/marches/spdit-sicaf-hausse-des-revenus-de-16-5-en-2013_3341
