date_str,time_str,headline,url
21/05/26,09:36,STAR Assurances annonce un bénéfice record de 40 millions de dinars en 2025,https://www.ilboursa.com/marches/star-assurances-annonce-un-benefice-record-de-40-millions-de-dinars-en-2025_61846
27/01/26,10:48,STAR Assurances affiche une croissance à deux chiffres des primes en 2025,https://www.ilboursa.com/marches/star-assurances-affiche-une-croissance-a-deux-chiffres-des-primes-en-2025_59314
14/01/26,11:36,La STAR confirme son leadership avec le label « Élu Marque de l’Année » pour la deuxième année consécutive,https://www.ilboursa.com/marches/la-star-confirme-son-leadership-avec-le-label-elu-marque-de-lannee-pour-la-deuxieme-annee-consecutive_59007
23/10/25,13:07,STAR Assurances réalise 357 millions de dinars de primes émises à fin septembre,https://www.ilboursa.com/marches/star-assurances-realise-357-millions-de-dinars-de-primes-emises-a-fin-septembre_57076
11/09/25,10:31,STAR Assurances améliore de 45 % son bénéfice net au premier semestre 2025,https://www.ilboursa.com/marches/star-assurances-ameliore-de-45-son-benefice-net-au-premier-semestre-2025_55011
10/07/25,16:05,STAR Assurances annonce un changement au sein de son réseau d'agents,https://www.ilboursa.com/marches/star-assurances-annonce-un-changement-au-sein-de-son-reseau-d-agents_53769
15/05/25,09:44,STAR Assurances poursuit la cession de ses actions SFBT,https://www.ilboursa.com/marches/star-assurances-poursuit-la-cession-de-ses-actions-sfbt_52670
28/04/25,12:20,STAR Assurances publie son 2è rapport de durabilité : Une ambition renforcée pour un avenir plus juste et responsable,https://www.ilboursa.com/marches/star-assurances-publie-son-2e-rapport-de-durabilite-une-ambition-renforcee-pour-un-avenir-plus-juste-et-responsable_52359
10/04/25,09:41,STAR Assurances détient désormais moins de 5% du capital de la SFBT,https://www.ilboursa.com/marches/star-assurances-detient-desormais-moins-de-5-du-capital-de-la-sfbt_51999
03/04/25,10:13,Laurent THUILLIER nommé nouveau Directeur Général de STAR Assurances,https://www.ilboursa.com/marches/laurent-thuillier-nomme-nouveau-directeur-general-de-star-assurances_51863
17/03/25,10:05,STAR Assurances s'envole en Bourse après la publication de bons résultats,https://www.ilboursa.com/marches/star-assurances-s-envole-en-bourse-apres-la-publication-de-bons-resultats_51525
07/03/25,15:55,STAR Assurances augmente son dividende grâce à un bénéfice en hausse de 10% en 2024,https://www.ilboursa.com/marches/star-assurances-augmente-son-dividende-grace-a-un-benefice-en-hausse-de-10-en-2024_51384
