date_str,time_str,headline,url
07/09/21,14:04,La STEQ du Groupe AREM va absorber les sociétés La Rechange et AUTOCAR,https://www.ilboursa.com/marches/la-steq-du-groupe-arem-va-absorber-les-societes-la-rechange-et-autocar_30098
05/01/21,14:35,Radiation de la Cote de la Bourse de la société STEQ du Groupe AREM à partir de demain,https://www.ilboursa.com/marches/radiation-de-la-cote-de-la-bourse-de-la-societe-steq-du-groupe-arem-a-partir-de-demain_25896
11/12/20,19:45,"STEQ : Le Groupe AREM lance une Offre Publique de Retrait à 6,500 dinars l'action",https://www.ilboursa.com/marches/steq-le-groupe-arem-lance-une-offre-publique-de-retrait-a-6-500-dinars-l-action_25601
04/12/20,12:30,Le Groupe AREM retire sa société STEQ de la Bourse,https://www.ilboursa.com/marches/le-groupe-arem-retire-sa-societe-steq-de-la-bourse_25474
04/12/20,08:13,Suspension de la cotation des titres STEQ,https://www.ilboursa.com/marches/suspension-de-la-cotation-des-titres-steq_25464
16/11/20,16:00,Les charges financières font basculer les comptes semestriels de la STEQ dans le rouge,https://www.ilboursa.com/marches/les-charges-financieres-font-basculer-les-comptes-semestriels-de-la-steq-dans-le-rouge_25148
30/10/20,15:15,La STEQ voit ses revenus croître de 40% au troisième trimestre,https://www.ilboursa.com/marches/la-steq-voit-ses-revenus-croitre-de-40-au-troisieme-trimestre_24890
28/07/20,08:05,La STEQ augmente de 13% ses revenus au premier semestre,https://www.ilboursa.com/marches/la-steq-augmente-de-13-ses-revenus-au-premier-semestre_23440
05/06/20,13:19,La STEQ améliore de 32% ses revenus au premier trimestre à plus de 13 millions de dinars,https://www.ilboursa.com/marches/la-steq-ameliore-de-32-ses-revenus-au-premier-trimestre-a-plus-de-13-millions-de-dinars_22699
30/01/20,16:06,"Faiez KECHAOU, nouveau Directeur Général de la STEQ, société fondatrice de AREM GROUP",https://www.ilboursa.com/marches/faiez-kechaou-nouveau-directeur-general-de-la-steq-societe-fondatrice-de-arem-group_20601
29/01/20,09:01,La STEQ augmente de 16% ses revenus en 2019 à 47 millions de dinars,https://www.ilboursa.com/marches/la-steq-augmente-de-16-ses-revenus-en-2019-a-47-millions-de-dinars_20572
09/10/19,15:05,"La STEQ du Groupe Arem annonce un bénéfice semestriel de 182 mille dinars, en baisse de 52%",https://www.ilboursa.com/marches/la-steq-du-groupe-arem-annonce-un-benefice-semestriel-de-182-mille-dinars-en-baisse-de-52_19130
02/08/19,11:00,La STEQ voit son chiffre d'affaires semestriel baisser de 6%,https://www.ilboursa.com/marches/la-steq-voit-son-chiffre-d-affaires-semestriel-baisser-de-6_18302
27/06/19,09:50,"Après deux années de perte, la STEQ se redresse",https://www.ilboursa.com/marches/apres-deux-annees-de-perte-la-steq-se-redresse_17898
29/04/19,08:55,La STEQ stabilise son chiffre d'affaires au premier trimestre à 10 millions de dinars,https://www.ilboursa.com/marches/la-steq-stabilise-son-chiffre-d-affaires-au-premier-trimestre-a-10-millions-de-dinars_17186
12/02/19,10:30,Walid et Mehdi Arem se renforcent au capital de la société STEQ,https://www.ilboursa.com/marches/walid-et-mehdi-arem-se-renforcent-au-capital-de-la-societe-steq_16169
28/01/19,10:31,"La STEQ réalise un chiffre d'affaires de 40 millions de dinars en 2018, en baisse de 8%",https://www.ilboursa.com/marches/la-steq-realise-un-chiffre-d-affaires-de-40-millions-de-dinars-en-2018-en-baisse-de-8_15939
30/10/18,11:59,La STEQ voit ses revenus baisser de 5% à fin septembre,https://www.ilboursa.com/marches/la-steq-voit-ses-revenus-baisser-de-5-a-fin-septembre_15181
10/10/18,15:20,La STEQ renoue avec les bénéfices suite à la cession de sa filiale PIMA,https://www.ilboursa.com/marches/la-steq-renoue-avec-les-benefices-suite-a-la-cession-de-sa-filiale-pima_15014
27/07/18,12:09,La STEQ stabilise ses revenus au premier semestre à 22 millions de dinars,https://www.ilboursa.com/marches/la-steq-stabilise-ses-revenus-au-premier-semestre-a-22-millions-de-dinars_14566
01/06/18,09:26,STEQ : Une nouvelle année déficitaire en 2017,https://www.ilboursa.com/marches/steq-une-nouvelle-annee-deficitaire-en-2017_14268
25/04/18,08:39,La STEQ voit ses revenus baisser de 13% au premier trimestre,https://www.ilboursa.com/marches/la-steq-voit-ses-revenus-baisser-de-13-au-premier-trimestre_14045
27/10/17,14:12,STEQ augmente son chiffre d'affaires de 4% à fin septembre,https://www.ilboursa.com/marches/steq-augmente-son-chiffre-d-affaires-de-4-a-fin-septembre_12753
25/09/17,10:27,"La STEQ accuse un déficit net semestriel de 2,75 millions de dinars",https://www.ilboursa.com/marches/la-steq-accuse-un-deficit-net-semestriel-de-2-75-millions-de-dinars_12483
03/08/17,10:20,STEQ : Croissance de 5% du chiffre d'affaires au premier semestre,https://www.ilboursa.com/marches/steq-croissance-de-5-du-chiffre-d-affaires-au-premier-semestre_12199
05/06/17,10:34,"La STEQ termine l'année 2016 déficitaire, les charges financières pèsent",https://www.ilboursa.com/marches/la-steq-termine-l-annee-2016-deficitaire-les-charges-financieres-pesent_11855
27/04/17,08:01,STEQ : Chiffre d'affaires en hausse de 12% au premier trimestre,https://www.ilboursa.com/marches/steq-chiffre-d-affaires-en-hausse-de-12-au-premier-trimestre_11538
27/01/17,13:54,STEQ : Légère baisse des revenus à 44 millions de dinars en 2016,https://www.ilboursa.com/marches/steq-legere-baisse-des-revenus-a-44-millions-de-dinars-en-2016_10888
28/10/16,08:34,"STEQ : Perte nette de 1,4 million de dinars au premier semestre",https://www.ilboursa.com/marches/steq-perte-nette-de-1-4-million-de-dinars-au-premier-semestre_10292
10/08/16,09:27,"STEQ : Baisse de 4,5% des revenus à fin juin 2016",https://www.ilboursa.com/marches/steq-baisse-de-4-5-des-revenus-a-fin-juin-2016_9826
25/05/16,13:22,STEQ : Chute de 55% du bénéfice net en 2015,https://www.ilboursa.com/marches/steq-chute-de-55-du-benefice-net-en-2015_9374
27/04/16,10:56,STEQ : Baisse de 10% du chiffre d'affaires au premier trimestre,https://www.ilboursa.com/marches/steq-baisse-de-10-du-chiffre-d-affaires-au-premier-trimestre_9117
02/02/16,07:49,"STEQ : Stagnation des revenus en 2015 à 44,6 millions de dinars",https://www.ilboursa.com/marches/steq-stagnation-des-revenus-en-2015-a-44-6-millions-de-dinars_8491
04/11/15,08:00,"STEQ : Baisse de 2,5% des revenus à fin septembre",https://www.ilboursa.com/marches/steq-baisse-de-2-5-des-revenus-a-fin-septembre_7867
28/09/15,10:37,STEQ : Baisse de 85% des bénéfices semestriels,https://www.ilboursa.com/marches/steq-baisse-de-85-des-benefices-semestriels_7572
22/06/15,13:02,"STEQ : Bénéfice net de 1,3 MDT et distribution d'un dividende de 0,200 dinar par action",https://www.ilboursa.com/marches/steq-benefice-net-de-1-3-mdt-et-distribution-d-un-dividende-de-0-200-dinar-par-action_6990
03/05/15,18:09,STEQ : Progression de 11% des revenus trimestriels,https://www.ilboursa.com/marches/steq-progression-de-11-des-revenus-trimestriels_6588
13/03/15,11:43,STEQ : Résultat consolidé déficitaire de 348 mille dinars en 2013,https://www.ilboursa.com/marches/steq-resultat-consolide-deficitaire-de-348-mille-dinars-en-2013_6226
13/03/15,10:13,STEQ : AGO le 10 avril pour approuver les états financiers consolidés de 2013,https://www.ilboursa.com/marches/steq-ago-le-10-avril-pour-approuver-les-etats-financiers-consolides-de-2013_6224
28/01/15,21:11,STEQ : Hausse de 12% des revenus en 2014,https://www.ilboursa.com/marches/steq-hausse-de-12-des-revenus-en-2014_5912
31/10/14,09:31,"STEQ : Progression de 16,8% des revenus à fin septembre",https://www.ilboursa.com/marches/steq-progression-de-16-8-des-revenus-a-fin-septembre_5301
24/07/14,12:44,"STEQ : Hausse de 16,2% du chiffre d'affaires semestriel",https://www.ilboursa.com/marches/steq-hausse-de-16-2-du-chiffre-d-affaires-semestriel_4812
02/07/14,10:10,STEQ : Ordre du jour de l'AGO du 18 juillet 2014,https://www.ilboursa.com/marches/steq-ordre-du-jour-de-l-ago-du-18-juillet-2014_4625
25/09/13,10:06,STEQ: Résultat net semestriel à 74 842 dinars,https://www.ilboursa.com/marches/steq-resultat-net-semestriel-a-74-842-dinars_2597
22/07/13,07:50,STEQ: Baisse des ventes de 8% au premier semestre,https://www.ilboursa.com/marches/steq-baisse-des-ventes-de-8-au-premier-semestre_2305
04/06/13,14:01,La STEQ tiendra son Assemblée Générale Ordinaire le vendredi 21 juin 2013,https://www.ilboursa.com/marches/la-steq-tiendra-son-assemblee-generale-ordinaire-le-vendredi-21-juin-2013_1978
21/01/13,16:41,STEQ: Chiffre d'affaires en hausse de 7% en 2012,https://www.ilboursa.com/marches/steq-chiffre-d-affaires-en-hausse-de-7-en-2012_1179
18/12/12,16:24,STEQ: Assemblée Générale ordinaire le 28 décembre 2012,https://www.ilboursa.com/marches/steq-assemblee-generale-ordinaire-le-28-decembre-2012_1015
22/10/12,08:20,"STEQ: Evolution des ventes de 13,2% au terme des neuf premiers mois de 2012",https://www.ilboursa.com/marches/steq-evolution-des-ventes-de-13-2-au-terme-des-neuf-premiers-mois-de-2012_671
20/07/12,16:17,"STEQ: hausse de 19,5% des ventes au terme du premier semestre 2012",https://www.ilboursa.com/marches/steq-hausse-de-19-5-des-ventes-au-terme-du-premier-semestre-2012_216
12/06/12,12:32,STEQ ne distribuera pas de dividendes au titre de 2011,https://www.ilboursa.com/marches/steq-ne-distribuera-pas-de-dividendes-au-titre-de-2011_46
