date_str,time_str,headline,url
02/06/26,09:26,"Flotte, leasing, sureffectif et dette : Les coûts structurels qui pèsent sur l'avenir de Tunisair",https://www.ilboursa.com/marches/flotte-leasing-sureffectif-et-dette-les-couts-structurels-qui-pesent-sur-l-avenir-de-tunisair_62006
01/06/26,12:07,Tunisair booste son programme FIDELYS : -50 % sur les Miles Statut jusqu’au 30 juin 2026,https://www.ilboursa.com/marches/tunisair-booste-son-programme-fidelys--50-sur-les-miles-statut-jusquau-30-juin-2026_61991
25/05/26,19:28,TUNISAIR en 2023 : Forte reprise du trafic passagers mais le déficit se creuse,https://www.ilboursa.com/marches/tunisair-en-2023-forte-reprise-du-trafic-passagers-mais-le-deficit-se-creuse_61915
06/05/26,15:44,TUNISAIR améliore de 5 % ses revenus à plus de 330 millions de dinars à fin mars,https://www.ilboursa.com/marches/tunisair-ameliore-de-5-ses-revenus-a-plus-de-330-millions-de-dinars-a-fin-mars_61536
05/05/26,14:05,Tunisair célèbre ses membres Fidelys : Une offre exceptionnelle de -50% sur les Billets Prime,https://www.ilboursa.com/marches/tunisair-celebre-ses-membres-fidelys-une-offre-exceptionnelle-de-50-sur-les-billets-prime_61490
14/04/26,13:31,"Tunisair lance son offre “LIGHT” au départ et à destination du Maroc : voyager léger, payer moins",https://www.ilboursa.com/marches/tunisair-lance-son-offre-light-au-depart-et-a-destination-du-maroc-voyager-leger-payer-moins_61038
10/04/26,18:59,Tunisair s’installe au Terminal 3 de Francfort et renforce l’expérience client grâce à des solutions automatisées,https://www.ilboursa.com/marches/tunisair-sinstalle-au-terminal-3-de-francfort-et-renforce-lexperience-client-grace-a-des-solutions-automatisees_60992
06/04/26,12:14,Tunisair : -50% sur la Prime excedent de bagage pour les membres Fidelys,https://www.ilboursa.com/marches/tunisair--50-sur-la-prime-excedent-de-bagage-pour-les-membres-fidelys_60882
11/03/26,10:20,Tunisair relance ses « Destinations de la Semaine » : Londres et Venise à l'honneur avec des réductions allant jusqu'à -30 %,https://www.ilboursa.com/marches/tunisair-relance-ses-destinations-de-la-semaine--londres-et-venise-a-l-honneur-avec-des-reductions-allant-jusqu-a-30-_60375
10/03/26,10:53,Tunisair : Un plan de redressement entre courage politique et impératifs économiques,https://www.ilboursa.com/marches/tunisair-un-plan-de-redressement-entre-courage-politique-et-imperatifs-economiques_60349
25/02/26,21:39,"Tunisair prolonge son offre « Early Purchase » Été 2026 : voyagez plus, payez moins !",https://www.ilboursa.com/marches/tunisair-prolonge-son-offre-early-purchase-ete-2026-voyagez-plus-payez-moins-_60073
13/02/26,16:40,Tunisair célèbre la Saint-Valentin avec une offre Fidelys exceptionnelle : -50% sur les Billets Prime,https://www.ilboursa.com/marches/tunisair-celebre-la-saint-valentin-avec-une-offre-fidelys-exceptionnelle--50-sur-les-billets-prime_59790
27/01/26,16:42,TUNISAIR lance la promotion « Early Purchase Été 2026 » avec des avantages exclusifs pour les voyageurs,https://www.ilboursa.com/marches/tunisair-lance-la-promotion-early-purchase-ete-2026-avec-des-avantages-exclusifs-pour-les-voyageurs_59345
26/01/26,10:48,"TUNISAIR stabilise ses revenus à 1,6 milliard de dinars en 2025",https://www.ilboursa.com/marches/tunisair-stabilise-ses-revenus-a-1-6-milliard-de-dinars-en-2025_59277
16/01/26,19:20,Tunisair et Etihad Airways scellent un accord de partage de codes,https://www.ilboursa.com/marches/tunisair-et-etihad-airways-scellent-un-accord-de-partage-de-codes_59088
29/12/25,08:52,Tunisair annonce une perte de 230 millions de dinars en 2022,https://www.ilboursa.com/marches/tunisair-annonce-une-perte-de-230-millions-de-dinars-en-2022_58660
08/12/25,09:02,Tunisair convoque son Assemblée Générale Ordinaire de 2022,https://www.ilboursa.com/marches/tunisair-convoque-son-assemblee-generale-ordinaire-de-2022_58201
03/12/25,14:31,Tunisair lance la 6ᵉ édition de son opération « Destinations de la Semaine » avec des offres jusqu’à –30 %,https://www.ilboursa.com/marches/tunisair-lance-la-6ᵉ-edition-de-son-operation-destinations-de-la-semaine-avec-des-offres-jusqua-–30-_58123
01/12/25,10:34,TUNISAIR lève 100 millions de dinars sur le marché obligataire,https://www.ilboursa.com/marches/tunisair-leve-100-millions-de-dinars-sur-le-marche-obligataire_58028
26/11/25,12:40,Tunisair poursuit le succès de son opération “Destinations de la Semaine”,https://www.ilboursa.com/marches/tunisair-poursuit-le-succes-de-son-operation-destinations-de-la-semaine_57929
12/11/25,12:36,Tunisair poursuit le succès de son opération “Destinations de la Semaine”,https://www.ilboursa.com/marches/tunisair-poursuit-le-succes-de-son-operation-destinations-de-la-semaine_57582
07/11/25,09:25,TUNISAIR émet un emprunt obligataire de 125 millions de dinars,https://www.ilboursa.com/marches/tunisair-emet-un-emprunt-obligataire-de-125-millions-de-dinars_57449
04/11/25,09:44,Les “Destinations de la Semaine” by Tunisair : Une campagne qui fait voyager l’imagination avant même l’envol !,https://www.ilboursa.com/marches/les-destinations-de-la-semaine-by-tunisair-une-campagne-qui-fait-voyager-limagination-avant-meme-lenvol-_57349
31/10/25,17:37,"Les revenus de Tunisair frôlent les 1,3 milliard de dinars à fin septembre 2025",https://www.ilboursa.com/marches/les-revenus-de-tunisair-frolent-les-1-3-milliard-de-dinars-a-fin-septembre-2025_57292
