date_str,time_str,headline,url
24/04/26,14:32,Croissance robuste et désendettement massif au premier trimestre pour le Groupe TAWASOL,https://www.ilboursa.com/marches/croissance-robuste-et-desendettement-massif-au-premier-trimestre-pour-le-groupe-tawasol_61309
19/01/26,09:03,Le Groupe TAWASOL augmente de 25% ses revenus en 2025,https://www.ilboursa.com/marches/le-groupe-tawasol-augmente-de-25-ses-revenus-en-2025_59101
24/12/25,10:19,Le Groupe TAWASOL accuse une perte consolidée de plus de 3 millions de dinars en 2024,https://www.ilboursa.com/marches/le-groupe-tawasol-accuse-une-perte-consolidee-de-plus-de-3-millions-de-dinars-en-2024_58626
15/12/25,09:16,Le groupe TAWASOL renoue avec les bénéfices en 2024,https://www.ilboursa.com/marches/le-groupe-tawasol-renoue-avec-les-benefices-en-2024_58394
15/08/25,08:49,Le Groupe TAWASOL bascule dans le rouge en 2023,https://www.ilboursa.com/marches/le-groupe-tawasol-bascule-dans-le-rouge-en-2023_54421
28/07/25,08:35,Le Groupe TAWASOL maintient le cap au premier semestre grâce à ses pôles stratégiques,https://www.ilboursa.com/marches/le-groupe-tawasol-maintient-le-cap-au-premier-semestre-grace-a-ses-poles-strategiques_54070
13/05/25,16:51,Le Groupe TAWASOL voit ses revenus chuter de 18 % au premier trimestre,https://www.ilboursa.com/marches/le-groupe-tawasol-voit-ses-revenus-chuter-de-18-au-premier-trimestre_52640
30/01/25,09:21,Le Groupe TAWASOL améliore de 8% son chiffre d'affaires en 2024 à 85 millions de dinars,https://www.ilboursa.com/marches/le-groupe-tawasol-ameliore-de-8-son-chiffre-d-affaires-en-2024-a-85-millions-de-dinars_50607
23/10/24,09:24,Le groupe TAWASOL améliore de 18% ses revenus à fin septembre,https://www.ilboursa.com/marches/le-groupe-tawasol-ameliore-de-18-ses-revenus-a-fin-septembre_48896
24/09/24,16:20,Kaies TARRES nommé nouveau Directeur Général du groupe TAWASOL,https://www.ilboursa.com/marches/kaies-tarres-nomme-nouveau-directeur-general-du-groupe-tawasol_48348
17/07/24,14:32,Le groupe TAWASOL améliore de 20% ses revenus au premier semestre,https://www.ilboursa.com/marches/le-groupe-tawasol-ameliore-de-20-ses-revenus-au-premier-semestre_47264
23/04/24,09:34,Le Groupe TAWASOL augmente de 22% ses revenus au premier trimestre,https://www.ilboursa.com/marches/le-groupe-tawasol-augmente-de-22-ses-revenus-au-premier-trimestre_45867
14/03/24,15:14,Le groupe TAWASOL dégage plus de 1 million de dinars de bénéfices en 2022,https://www.ilboursa.com/marches/le-groupe-tawasol-degage-plus-de-1-million-de-dinars-de-benefices-en-2022_45277
29/01/24,19:04,Le groupe TAWASOL annonce avoir renoué avec les bénéfices,https://www.ilboursa.com/marches/le-groupe-tawasol-annonce-avoir-renoue-avec-les-benefices_44616
14/11/23,18:21,Le Groupe TAWASOL réduit considérablement ses pertes en 2021,https://www.ilboursa.com/marches/le-groupe-tawasol-reduit-considerablement-ses-pertes-en-2021_43563
02/11/23,10:55,Ahmed Chabchoub désigné Président du Conseil d'Administration de TAWASOL,https://www.ilboursa.com/marches/ahmed-chabchoub-designe-president-du-conseil-d-administration-de-tawasol_43395
01/11/23,12:02,"TAWASOL : Baisse des revenus de 8,4% à fin septembre",https://www.ilboursa.com/marches/tawasol-baisse-des-revenus-de-8-4-a-fin-septembre_43385
24/09/23,13:20,"Décès de Mohamed CHABCHOUB, président de TAWASOL Group Holding",https://www.ilboursa.com/marches/deces-de-mohamed-chabchoub-president-de-tawasol-group-holding_42746
