date_str,time_str,headline,url
16/02/26,14:45,"La mondialisation a échoué : Le futur sera régional, humain et africain",https://www.ilboursa.com/marches/la-mondialisation-a-echoue-le-futur-sera-regional-humain-et-africain_59822
12/02/26,10:26,"Après 17 ans, la Libye relance l’exploration pétrolière et gazière",https://www.ilboursa.com/marches/apres-17-ans-la-libye-relance-lexploration-petroliere-et-gaziere_59737
26/11/25,10:26,TUNINVEST flambe en bourse avec un rendement de 350 % depuis le début de l’année,https://www.ilboursa.com/marches/tuninvest-flambe-en-bourse-avec-un-rendement-de-350-depuis-le-debut-de-lannee_57924
16/09/24,14:27,"La Tunisie,12ème pays où le coût de la vie est le plus élevé en Afrique",https://www.ilboursa.com/marches/la-tunisie-12eme-pays-ou-le-cout-de-la-vie-est-le-plus-eleve-en-afrique_48161
12/06/24,11:30,Le constructeur Wallyscar lancera une nouvelle gamme de pick-up,https://www.ilboursa.com/marches/le-constructeur-wallyscar-lancera-une-nouvelle-gamme-de-pick-up_46722
22/11/23,12:38,AfricInvest et Africa50 investissent 20 millions de dollars dans Africa Healthcare Network,https://www.ilboursa.com/marches/africinvest-et-africa50-investissent-20-millions-de-dollars-dans-africa-healthcare-network_43672
05/10/22,09:11,Inflation : La BCT devrait-elle augmenter son taux directeur ?,https://www.ilboursa.com/marches/inflation-la-bct-devrait-elle-augmenter-son-taux-directeur-_36963
29/07/22,09:04,AfricInvest finalise sa sortie du capital Bridge Group West Africa,https://www.ilboursa.com/marches/africinvest-finalise-sa-sortie-du-capital-bridge-group-west-africa_35830
15/11/21,09:52,"AfricInvest investit dans MFS Africa, la plus grande plateforme panafricaine de paiements numériques",https://www.ilboursa.com/marches/africinvest-investit-dans-mfs-africa-la-plus-grande-plateforme-panafricaine-de-paiements-numeriques_31342
06/10/21,12:24,AfricInvest investit dans l'une des plus grandes compagnies d'assurance non-vie au Nigeria,https://www.ilboursa.com/marches/africinvest-investit-dans-l-une-des-plus-grandes-compagnies-d-assurance-non-vie-au-nigeria_30619
01/07/21,09:07,AfricInvest participe à la fusion historique des compagnies marocaines CMGP et CAS,https://www.ilboursa.com/marches/africinvest-participe-a-la-fusion-historique-des-compagnies-marocaines-cmgp-et-cas_29012
16/04/21,10:52,"TUNINVEST annonce un bénéfice de 2,8 millions de dinars en 2020",https://www.ilboursa.com/marches/tuninvest-annonce-un-benefice-de-2-8-millions-de-dinars-en-2020_27656
11/12/20,15:09,La FMO et Cathay AfricInvest Innovation investissent dans la Startup AgriTech sud-africaine Aerobotics,https://www.ilboursa.com/marches/la-fmo-et-cathay-africinvest-innovation-investissent-dans-la-startup-agritech-sud-africaine-aerobotics_25595
04/12/20,12:04,AfricInvest devient signataire officiel des Principes des Nations Unies pour l'investissement responsable,https://www.ilboursa.com/marches/africinvest-devient-signataire-officiel-des-principes-des-nations-unies-pour-l-investissement-responsable_25476
24/11/20,13:46,AfricInvest prend une participation minoritaire dans la banque ghanéenne Fidelity Bank,https://www.ilboursa.com/marches/africinvest-prend-une-participation-minoritaire-dans-la-banque-ghaneenne-fidelity-bank_25284
12/11/20,10:17,"Le Français GINGER prend le contrôle d’Hydrosol Fondations, leader de la géotechnique en Tunisie",https://www.ilboursa.com/marches/le-francais-ginger-prend-le-controle-dhydrosol-fondations-leader-de-la-geotechnique-en-tunisie_25088
21/10/20,13:06,TUNINVEST annonce des revenus des participations en hausse de 81% au troisième trimestre,https://www.ilboursa.com/marches/tuninvest-annonce-des-revenus-des-participations-en-hausse-de-81-au-troisieme-trimestre_24729
14/01/20,19:35,"AfricInvest s'associe à Masria Digital Payments, leader africain de solutions de cartes à puce",https://www.ilboursa.com/marches/africinvest-s-associe-a-masria-digital-payments-leader-africain-de-solutions-de-cartes-a-puce_20366
07/01/20,08:49,AfricInvest sort du capital du laboratoire marocain Polymedic au profit de NBK Capital Partners,https://www.ilboursa.com/marches/africinvest-sort-du-capital-du-laboratoire-marocain-polymedic-au-profit-de-nbk-capital-partners_20268
19/11/19,10:01,AfricInvest investit 4 millions d'euros dans la plateforme de VTC Heetch,https://www.ilboursa.com/marches/africinvest-investit-4-millions-d-euros-dans-la-plateforme-de-vtc-heetch_19699
02/05/19,10:19,AfricInvest finalise le 4è closing de son fonds FIVE qui accueille la BAD dans son tour de table,https://www.ilboursa.com/marches/africinvest-finalise-le-4e-closing-de-son-fonds-five-qui-accueille-la-bad-dans-son-tour-de-table_17238
10/04/19,10:40,AfricInvest et Cathay Innovation lancent le premier fonds panafricain de capital-risque,https://www.ilboursa.com/marches/africinvest-et-cathay-innovation-lancent-le-premier-fonds-panafricain-de-capital-risque_16910
09/01/19,13:23,AfricInvest entre dans le capital de la banque kényane Prime Bank,https://www.ilboursa.com/marches/africinvest-entre-dans-le-capital-de-la-banque-kenyane-prime-bank_15682
06/12/18,09:35,AfricInvest annonce le closing de son fonds MPEF IV pour un montant de 194 millions d'euros,https://www.ilboursa.com/marches/africinvest-annonce-le-closing-de-son-fonds-mpef-iv-pour-un-montant-de-194-millions-d-euros_15408
28/11/18,09:34,AfricInvest et Gulf Capital investissent 51 millions de dollars dans iSON Xperiences,https://www.ilboursa.com/marches/africinvest-et-gulf-capital-investissent-51-millions-de-dollars-dans-ison-xperiences_15354
26/11/18,12:43,AfricInvest entre au capital de la société ivoirienne de transport Les Centaures Routiers,https://www.ilboursa.com/marches/africinvest-entre-au-capital-de-la-societe-ivoirienne-de-transport-les-centaures-routiers_15341
12/11/18,16:42,AfricInvest décroche le trophée du Meilleur investisseur privé en Afrique,https://www.ilboursa.com/marches/africinvest-decroche-le-trophee-du-meilleur-investisseur-prive-en-afrique_15256
05/10/18,07:27,"AfricInvest réalise la deuxième clôture du fonds FIVE en réunissant Norfund, IFU et CBK Pension Fund",https://www.ilboursa.com/marches/africinvest-realise-la-deuxieme-cloture-du-fonds-five-en-reunissant-norfund-ifu-et-cbk-pension-fund_14971
24/09/18,09:03,Tunisie Valeurs démarre sa cotation en Bourse le vendredi 28 septembre,https://www.ilboursa.com/marches/tunisie-valeurs-demarre-sa-cotation-en-bourse-le-vendredi-28-septembre_14885
20/09/18,15:41,AfricInvest finalise sa sortie du capital de Kiboko Holdings,https://www.ilboursa.com/marches/africinvest-finalise-sa-sortie-du-capital-de-kiboko-holdings_14874
14/09/18,15:22,Tunisie Valeurs s'explique sur sa transformation en Banque d'Affaires,https://www.ilboursa.com/marches/tunisie-valeurs-s-explique-sur-sa-transformation-en-banque-d-affaires_14830
05/09/18,09:38,"Tunisie Valeurs augmente de 70% son bénéfice semestriel à 2,4 millions de dinars",https://www.ilboursa.com/marches/tunisie-valeurs-augmente-de-70-son-benefice-semestriel-a-2-4-millions-de-dinars_14770
30/08/18,11:39,Tunisie Valeurs prévoit de devenir la deuxième banque d'affaires en Tunisie,https://www.ilboursa.com/marches/tunisie-valeurs-prevoit-de-devenir-la-deuxieme-banque-d-affaires-en-tunisie_14710
29/08/18,09:43,Tuninvest SICAR : Légère croissance des bénéfices au premier semestre,https://www.ilboursa.com/marches/tuninvest-sicar-legere-croissance-des-benefices-au-premier-semestre_14703
27/08/18,13:28,Tunisie Valeurs en Bourse : Historique et dates clés,https://www.ilboursa.com/marches/tunisie-valeurs-en-bourse-historique-et-dates-cles_14691
20/08/18,11:02,Tunisie Valeurs en Bourse : Communication financière le mercredi 29 août,https://www.ilboursa.com/marches/tunisie-valeurs-en-bourse-communication-financiere-le-mercredi-29-aout_14672
