date_str,time_str,headline,url
09/06/26,16:58,Forte expansion commerciale et une transformation financière stratégique pour TELNET en 2025,https://www.ilboursa.com/marches/forte-expansion-commerciale-et-une-transformation-financiere-strategique-pour-telnet-en-2025_62159
21/04/26,09:05,Rentabilité en hausse pour TELNET Holding au premier trimestre,https://www.ilboursa.com/marches/rentabilite-en-hausse-pour-telnet-holding-au-premier-trimestre_61196
15/04/26,10:50,Telnet Holding s’envole de 40% en Bourse depuis le début de l'année,https://www.ilboursa.com/marches/telnet-holding-senvole-de-40-en-bourse-depuis-le-debut-de-l-annee_61058
16/01/26,15:10,Croissance solide de l’activité du Groupe TELNET en 2025,https://www.ilboursa.com/marches/croissance-solide-de-lactivite-du-groupe-telnet-en-2025_59076
20/10/25,13:02,Le Groupe TELNET augmente de 23% ses revenus à fin septembre à 62 millions de dinars,https://www.ilboursa.com/marches/le-groupe-telnet-augmente-de-23-ses-revenus-a-fin-septembre-a-62-millions-de-dinars_56946
19/09/25,15:15,TELNET Holding améliore de 8% son bénéfice semestriel à 5 millions de dinars,https://www.ilboursa.com/marches/telnet-holding-ameliore-de-8-son-benefice-semestriel-a-5-millions-de-dinars_55230
30/07/25,12:39,Nouvelle composition du conseil d'administration de TELNET Holding,https://www.ilboursa.com/marches/nouvelle-composition-du-conseil-d-administration-de-telnet-holding_54142
26/07/25,09:33,Des avancées stratégiques et un EBITDA solide pour le groupe TELNET au premier semestre,https://www.ilboursa.com/marches/des-avancees-strategiques-et-un-ebitda-solide-pour-le-groupe-telnet-au-premier-semestre_54053
19/05/25,08:44,Le Groupe TELNET repasse au vert en 2024 et dégage un bénéfice de près de 10 millions de dinars,https://www.ilboursa.com/marches/le-groupe-telnet-repasse-au-vert-en-2024-et-degage-un-benefice-de-pres-de-10-millions-de-dinars_52716
22/04/25,16:23,Le Groupe TELNET améliore de 12% ses revenus au premier trimestre,https://www.ilboursa.com/marches/le-groupe-telnet-ameliore-de-12-ses-revenus-au-premier-trimestre_52236
27/03/25,09:36,Du nouveau concernant le capital de Telnet Holding,https://www.ilboursa.com/marches/du-nouveau-concernant-le-capital-de-telnet-holding_51750
22/01/25,08:53,Le Groupe TELNET réalise un chiffre d'affaires record de 70 millions de dinars en 2024,https://www.ilboursa.com/marches/le-groupe-telnet-realise-un-chiffre-d-affaires-record-de-70-millions-de-dinars-en-2024_50419
18/10/24,17:37,Le Groupe TELNET annonce plus de 50 millions de dinars de revenus à fin septembre,https://www.ilboursa.com/marches/le-groupe-telnet-annonce-plus-de-50-millions-de-dinars-de-revenus-a-fin-septembre_48811
03/10/24,11:06,Le Groupe TELNET stabilise ses bénéfices au premier semestre,https://www.ilboursa.com/marches/le-groupe-telnet-stabilise-ses-benefices-au-premier-semestre_48519
02/10/24,19:33,Contrôle douanier : TELNET ramène à la baisse le montant des pénalités et amendes,https://www.ilboursa.com/marches/controle-douanier-telnet-ramene-a-la-baisse-le-montant-des-penalites-et-amendes_48511
19/07/24,10:58,TELNET réussit à prospérer malgré les difficultés,https://www.ilboursa.com/marches/telnet-reussit-a-prosperer-malgre-les-difficultes_47390
18/07/24,14:52,Le Groupe TELNET réalise un chiffre d'affaires semestriel de près de 35 millions de dinars,https://www.ilboursa.com/marches/le-groupe-telnet-realise-un-chiffre-d-affaires-semestriel-de-pres-de-35-millions-de-dinars_47280
19/06/24,18:25,Les provisions pour risques et charges font tomber TELNET dans le rouge en 2023,https://www.ilboursa.com/marches/les-provisions-pour-risques-et-charges-font-tomber-telnet-dans-le-rouge-en-2023_46838
24/04/24,08:44,Le Groupe TELNET améliore de 12% ses revenus à fin mars à 17 millions de dinars,https://www.ilboursa.com/marches/le-groupe-telnet-ameliore-de-12-ses-revenus-a-fin-mars-a-17-millions-de-dinars_45890
12/02/24,13:55,TELNET Holding réagit à la nomination des mandataires judiciaires par le Tribunal,https://www.ilboursa.com/marches/telnet-holding-reagit-a-la-nomination-des-mandataires-judiciaires-par-le-tribunal_44809
10/02/24,10:04,Le CMF suspend la cotation du titre TELNET à partir de lundi,https://www.ilboursa.com/marches/le-cmf-suspend-la-cotation-du-titre-telnet-a-partir-de-lundi_44795
07/02/24,18:38,TELNET Holding placée sous sauvegarde judiciaire par le Tribunal,https://www.ilboursa.com/marches/telnet-holding-placee-sous-sauvegarde-judiciaire-par-le-tribunal_44761
22/01/24,20:10,Les revenus du groupe Telnet Holding dépassent les 60 millions de dinars en 2023,https://www.ilboursa.com/marches/les-revenus-du-groupe-telnet-holding-depassent-les-60-millions-de-dinars-en-2023_44506
16/01/24,18:01,Slim KALLEL nommé nouveau Directeur Général de TELNET Holding,https://www.ilboursa.com/marches/slim-kallel-nomme-nouveau-directeur-general-de-telnet-holding_44395
23/10/23,18:05,Le Groupe TELNET améliore de 9% ses revenus à fin septembre à 45 millions de dinars,https://www.ilboursa.com/marches/le-groupe-telnet-ameliore-de-9-ses-revenus-a-fin-septembre-a-45-millions-de-dinars_43248
28/09/23,16:13,Le Groupe TELNET améliore de 6% ses bénéfices au premier semestre,https://www.ilboursa.com/marches/le-groupe-telnet-ameliore-de-6-ses-benefices-au-premier-semestre_42815
27/07/23,12:12,Le Groupe TELNET améliore de 9% ses revenus semestriels à plus de 30 millions de dinars,https://www.ilboursa.com/marches/le-groupe-telnet-ameliore-de-9-ses-revenus-semestriels-a-plus-de-30-millions-de-dinars_41855
02/05/23,12:28,Le Groupe TELNET réalise des revenus de plus de 15 millions de dinars au premier trimestre,https://www.ilboursa.com/marches/le-groupe-telnet-realise-des-revenus-de-plus-de-15-millions-de-dinars-au-premier-trimestre_40487
17/04/23,08:50,"Le Groupe TELNET dégage un bénéfice net de 8,3 millions de dinars en 2022",https://www.ilboursa.com/marches/le-groupe-telnet-degage-un-benefice-net-de-8-3-millions-de-dinars-en-2022_40211
27/01/23,16:37,Le Groupe TELNET augmente de 16% ses revenus en 2022 à 57 millions de dinars,https://www.ilboursa.com/marches/le-groupe-telnet-augmente-de-16-ses-revenus-en-2022-a-57-millions-de-dinars_39000
26/10/22,09:50,Le Groupe TELNET augmente de 17% ses revenus à fin septembre à plus de 40 millions de dinars,https://www.ilboursa.com/marches/le-groupe-telnet-augmente-de-17-ses-revenus-a-fin-septembre-a-plus-de-40-millions-de-dinars_37412
05/10/22,13:04,Signature d'une série d'accords de coopération entre TELNET et le groupe CS-Sopra Steria,https://www.ilboursa.com/marches/signature-d-une-serie-d-accords-de-cooperation-entre-telnet-et-le-groupe-cs-sopra-steria_36977
26/09/22,08:58,Le Groupe TELNET améliore de 20% son bénéfice semestriel à 4 millions de dinars,https://www.ilboursa.com/marches/le-groupe-telnet-ameliore-de-20-son-benefice-semestriel-a-4-millions-de-dinars_36772
22/09/22,13:26,L'homme d'affaires Mohamed FRIKHA libéré,https://www.ilboursa.com/marches/l-homme-d-affaires-mohamed-frikha-libere_36733
20/09/22,18:29,Le Conseil d'administration de TELNET délègue la gestion de la société à Ines FRIKHA,https://www.ilboursa.com/marches/le-conseil-d-administration-de-telnet-delegue-la-gestion-de-la-societe-a-ines-frikha_36692
29/07/22,13:33,Le Groupe TELNET améliore de 17% ses revenus semestriels à plus de 28 millions de dinars,https://www.ilboursa.com/marches/le-groupe-telnet-ameliore-de-17-ses-revenus-semestriels-a-plus-de-28-millions-de-dinars_35839
27/07/22,13:00,L’agence de notation PBR Rating octroie à Telnet Holding la note A+ (tun) avec perspective positive,https://www.ilboursa.com/marches/lagence-de-notation-pbr-rating-octroie-a-telnet-holding-la-note-a-tun-avec-perspective-positive_35806
19/05/22,11:29,Telnet Holding : Situation financière saine et activité génératrice de cash-flows récurrents,https://www.ilboursa.com/marches/telnet-holding-situation-financiere-saine-et-activite-generatrice-de-cash-flows-recurrents_34662
26/04/22,08:57,Le Groupe TELNET améliore de 20% son chiffre d'affaires au premier trimestre,https://www.ilboursa.com/marches/le-groupe-telnet-ameliore-de-20-son-chiffre-d-affaires-au-premier-trimestre_34222
11/04/22,08:10,TELNET Holding va élire un administrateur représentant les actionnaires minoritaires,https://www.ilboursa.com/marches/telnet-holding-va-elire-un-administrateur-representant-les-actionnaires-minoritaires_33895
06/04/22,13:51,Le Groupe TELNET améliore de 26% son bénéfice en 2021 à plus de 9 millions de dinars,https://www.ilboursa.com/marches/le-groupe-telnet-ameliore-de-26-son-benefice-en-2021-a-plus-de-9-millions-de-dinars_33842
23/03/22,11:24,TELNET expérimente son satellite « Challenge One » dans le domaine de l'agriculture intelligente,https://www.ilboursa.com/marches/telnet-experimente-son-satellite-challenge-one-dans-le-domaine-de-l-agriculture-intelligente_33541
09/03/22,09:56,Tunisie Valeurs réitère son opinion à l'Achat sur TELNET Holding,https://www.ilboursa.com/marches/tunisie-valeurs-reitere-son-opinion-a-l-achat-sur-telnet-holding_33285
27/01/22,18:22,Le Groupe TELNET améliore de 20% ses revenus en 2021 à près de 50 millions de dinars,https://www.ilboursa.com/marches/le-groupe-telnet-ameliore-de-20-ses-revenus-en-2021-a-pres-de-50-millions-de-dinars_32568
27/10/21,12:27,Le Groupe TELNET augmente de 20% ses revenus à fin septembre à 35 millions de dinars,https://www.ilboursa.com/marches/le-groupe-telnet-augmente-de-20-ses-revenus-a-fin-septembre-a-35-millions-de-dinars_31019
04/10/21,14:01,Le Groupe TELNET s'ouvre les portes du marché Tech italien,https://www.ilboursa.com/marches/le-groupe-telnet-s-ouvre-les-portes-du-marche-tech-italien_30577
21/09/21,16:34,La société TELNET améliore de 34% son bénéfice net au premier semestre,https://www.ilboursa.com/marches/la-societe-telnet-ameliore-de-34-son-benefice-net-au-premier-semestre_30344
29/07/21,09:41,Le Groupe Telnet voit ses revenus semestriels augmenter de 21% à 24 millions de dinars,https://www.ilboursa.com/marches/le-groupe-telnet-voit-ses-revenus-semestriels-augmenter-de-21-a-24-millions-de-dinars_29478
15/06/21,11:30,"La société TELNET propose la distribution d'un dividende de 0,250 dinar par action",https://www.ilboursa.com/marches/la-societe-telnet-propose-la-distribution-d-un-dividende-de-0-250-dinar-par-action_28692
02/06/21,08:47,Constellation de nanosatellites : TELNET va signer un accord avec la société française HEMERIA,https://www.ilboursa.com/marches/constellation-de-nanosatellites-telnet-va-signer-un-accord-avec-la-societe-francaise-hemeria_28427
25/05/21,16:02,Le Groupe TELNET annonce un bénéfice net de plus de 7 millions de dinars en 2020,https://www.ilboursa.com/marches/le-groupe-telnet-annonce-un-benefice-net-de-plus-de-7-millions-de-dinars-en-2020_28283
22/04/21,15:40,Le Groupe TELNET annonce une croissance de 15% de son chiffre d'affaires au premier trimestre,https://www.ilboursa.com/marches/le-groupe-telnet-annonce-une-croissance-de-15-de-son-chiffre-d-affaires-au-premier-trimestre_27761
22/03/21,07:47,Lancement avec succès du premier satellite tunisien « Challenge One » conçu par TELNET Holding,https://www.ilboursa.com/marches/lancement-avec-succes-du-premier-satellite-tunisien-challenge-one-concu-par-telnet-holding_27181
04/03/21,19:42,"Le Président Kais Saied rend visite au Groupe TELNET, constructeur du 1er satellite tunisien",https://www.ilboursa.com/marches/le-president-kais-saied-rend-visite-au-groupe-telnet-constructeur-du-1er-satellite-tunisien_26905
16/02/21,09:17,TELNET : Le premier satellite tunisien Challenge One remis à la société russe chargée du lancement,https://www.ilboursa.com/marches/telnet-le-premier-satellite-tunisien-challenge-one-remis-a-la-societe-russe-chargee-du-lancement_26616
02/02/21,09:20,TELNET : L'UIT accorde sa licence pour lancer le premier satellite tunisien Challenge One,https://www.ilboursa.com/marches/telnet-l-uit-accorde-sa-licence-pour-lancer-le-premier-satellite-tunisien-challenge-one_26356
28/01/21,09:59,Le Groupe TELNET réalise un chiffre d'affaires de 40 millions de dinars en 2020,https://www.ilboursa.com/marches/le-groupe-telnet-realise-un-chiffre-d-affaires-de-40-millions-de-dinars-en-2020_26255
26/10/20,08:34,Le Groupe TELNET annonce un chiffre d'affaires en repli de 12% à fin septembre,https://www.ilboursa.com/marches/le-groupe-telnet-annonce-un-chiffre-d-affaires-en-repli-de-12-a-fin-septembre_24796
06/10/20,15:46,Le Groupe TELNET Holding augmente de 42% son bénéfice net consolidé au premier semestre,https://www.ilboursa.com/marches/le-groupe-telnet-holding-augmente-de-42-son-benefice-net-consolide-au-premier-semestre_24480
23/07/20,11:24,Baisse de 10% du chiffre d'affaires du Groupe TELNET au premier semestre,https://www.ilboursa.com/marches/baisse-de-10-du-chiffre-d-affaires-du-groupe-telnet-au-premier-semestre_23367
12/06/20,10:16,TELNET : Dernière ligne droite avant le lancement du 1er satellite tunisien « Challenge One »,https://www.ilboursa.com/marches/telnet-derniere-ligne-droite-avant-le-lancement-du-1er-satellite-tunisien-challenge-one-_22806
08/06/20,10:52,"TELNET dégage un bénéfice de 8 millions de dinars et propose un dividende de 0,200 dinar par action",https://www.ilboursa.com/marches/telnet-degage-un-benefice-de-8-millions-de-dinars-et-propose-un-dividende-de-0-200-dinar-par-action_22718
07/04/20,09:20,Le Groupe TELNET affiche un chiffre d'affaires de 10 millions de dinars au premier trimestre,https://www.ilboursa.com/marches/le-groupe-telnet-affiche-un-chiffre-d-affaires-de-10-millions-de-dinars-au-premier-trimestre_21668
25/03/20,19:03,Coronavirus : Le groupe TELNET de Mohamed Frikha fait un don de drones au ministère de la Santé,https://www.ilboursa.com/marches/coronavirus-le-groupe-telnet-de-mohamed-frikha-fait-un-don-de-drones-au-ministere-de-la-sante_21434
27/01/20,14:20,Le Groupe TELNET annonce un chiffre d'affaires de 44 millions de dinars en 2019,https://www.ilboursa.com/marches/le-groupe-telnet-annonce-un-chiffre-d-affaires-de-44-millions-de-dinars-en-2019_20546
24/10/19,12:00,Le Groupe TELNET améliore de 15% ses revenus à fin septembre à plus de 33 millions de dinars,https://www.ilboursa.com/marches/le-groupe-telnet-ameliore-de-15-ses-revenus-a-fin-septembre-a-plus-de-33-millions-de-dinars_19347
22/10/19,18:55,Le Groupe TELNET ouvre une succursale en Russie,https://www.ilboursa.com/marches/le-groupe-telnet-ouvre-une-succursale-en-russie_19312
14/10/19,14:58,Une délégation américaine en visite à Telnet pour suivre l'avancement du projet du satellite tunisien,https://www.ilboursa.com/marches/une-delegation-americaine-en-visite-a-telnet-pour-suivre-l-avancement-du-projet-du-satellite-tunisien_19185
26/09/19,14:26,"Le Groupe TELNET annonce un bénéfice net consolidé de 2,2 millions de dinars à fin juin",https://www.ilboursa.com/marches/le-groupe-telnet-annonce-un-benefice-net-consolide-de-2-2-millions-de-dinars-a-fin-juin_18946
18/09/19,10:29,TELNET Holding tiendra une communication financière le 26 septembre,https://www.ilboursa.com/marches/telnet-holding-tiendra-une-communication-financiere-le-26-septembre_18834
16/09/19,09:40,HIKMA Participations reprend les actions TELNET détenues par le Saoudien Abdulaziz Alnamlah,https://www.ilboursa.com/marches/hikma-participations-reprend-les-actions-telnet-detenues-par-le-saoudien-abdulaziz-alnamlah_18794
05/09/19,10:06,TELNET salue le rachat d'Altran par le leader mondial des services informatiques Capgemini,https://www.ilboursa.com/marches/telnet-salue-le-rachat-d-altran-par-le-leader-mondial-des-services-informatiques-capgemini_18660
02/08/19,09:46,Le Saoudien Abdulaziz Alnamlah détient désormais 7% du capital de TELNET Holding,https://www.ilboursa.com/marches/le-saoudien-abdulaziz-alnamlah-detient-desormais-7-du-capital-de-telnet-holding_18292
