date_str,time_str,headline,url
17/04/26,09:21,Tunisie Leasing & Factoring prépare son désengagement stratégique de Tuninvest,https://www.ilboursa.com/marches/tunisie-leasing-factoring-prepare-son-desengagement-strategique-de-tuninvest_61120
30/03/26,11:54,Tunisie Leasing & Factoring voit son bénéfice net progresser de 38% en 2025,https://www.ilboursa.com/marches/tunisie-leasing-factoring-voit-son-benefice-net-progresser-de-38-en-2025_60728
29/10/25,08:06,Tunisie Leasing & Factoring émet un emprunt obligataire subordonné de 15 millions de dinars,https://www.ilboursa.com/marches/tunisie-leasing-factoring-emet-un-emprunt-obligataire-subordonne-de-15-millions-de-dinars_57203
20/10/25,09:11,Tunisie Leasing & Factoring réalise une croissance à deux chiffres à fin septembre,https://www.ilboursa.com/marches/tunisie-leasing-factoring-realise-une-croissance-a-deux-chiffres-a-fin-septembre_56921
28/07/25,09:17,TLF valide avec succès à Euronext son quatrième cycle de certification MSI 20000®,https://www.ilboursa.com/marches/tlf-valide-avec-succes-a-euronext-son-quatrieme-cycle-de-certification-msi-20000_54068
13/05/25,16:35,Tunisie Leasing & Factoring cède ses filiales africaines à Crédit d’Afrique Group,https://www.ilboursa.com/marches/tunisie-leasing-factoring-cede-ses-filiales-africaines-a-credit-dafrique-group_52639
21/04/25,09:49,Tunisie Leasing et Factoring : Résilience dans un contexte économique difficile,https://www.ilboursa.com/marches/tunisie-leasing-et-factoring-resilience-dans-un-contexte-economique-difficile_52195
08/04/25,08:41,Tunisie Leasing & Factoring émet un emprunt obligataire de 50 millions de dinars,https://www.ilboursa.com/marches/tunisie-leasing-factoring-emet-un-emprunt-obligataire-de-50-millions-de-dinars_51961
25/03/25,14:32,Le Groupe Tunisie Leasing & Factoring annonce un bénéfice de 37 millions de dinars en 2024,https://www.ilboursa.com/marches/le-groupe-tunisie-leasing-factoring-annonce-un-benefice-de-37-millions-de-dinars-en-2024_51700
30/08/24,10:33,Tunisie Leasing & Factoring lève 50 millions de dinars sur le marché obligataire,https://www.ilboursa.com/marches/tunisie-leasing-factoring-leve-50-millions-de-dinars-sur-le-marche-obligataire_47874
20/08/24,09:45,Tunisie Leasing & Factoring émet un emprunt obligataire de 40 millions de dinars,https://www.ilboursa.com/marches/tunisie-leasing-factoring-emet-un-emprunt-obligataire-de-40-millions-de-dinars_47753
10/05/24,11:20,"2023, une année exceptionnelle pour Tunisie Leasing & Factoring",https://www.ilboursa.com/marches/2023-une-annee-exceptionnelle-pour-tunisie-leasing-factoring_46147
29/04/24,09:24,Encore une belle année pour Tunisie Leasing & Factoring,https://www.ilboursa.com/marches/encore-une-belle-annee-pour-tunisie-leasing-factoring_45959
01/04/24,13:36,Le Groupe Tunisie Leasing & Factoring dégage un bénéfice de 28 millions de dinars en 2023,https://www.ilboursa.com/marches/le-groupe-tunisie-leasing-factoring-degage-un-benefice-de-28-millions-de-dinars-en-2023_45531
25/03/24,09:39,Tunisie Leasing & Factoring lève 50 millions de dinars sur le marché obligataire,https://www.ilboursa.com/marches/tunisie-leasing-factoring-leve-50-millions-de-dinars-sur-le-marche-obligataire_45406
28/02/24,09:19,Tunisie Leasing & Factoring émet un emprunt obligataire de 30 millions de dinars,https://www.ilboursa.com/marches/tunisie-leasing-factoring-emet-un-emprunt-obligataire-de-30-millions-de-dinars_45037
12/12/23,17:52,"Alios Finance, filiale de TLF, cède ses filiales ivoirienne, camerounaise et gabonaise",https://www.ilboursa.com/marches/alios-finance-filiale-de-tlf-cede-ses-filiales-ivoirienne-camerounaise-et-gabonaise_43953
04/12/23,10:47,Tunisie Leasing & Factoring lève 40 millions de dinars sur le marché obligataire,https://www.ilboursa.com/marches/tunisie-leasing-factoring-leve-40-millions-de-dinars-sur-le-marche-obligataire_43832
10/11/23,09:14,Tunisie Leasing & Factoring émet un emprunt obligataire de 25 millions de dinars,https://www.ilboursa.com/marches/tunisie-leasing-factoring-emet-un-emprunt-obligataire-de-25-millions-de-dinars_43507
26/10/23,17:21,"ALIOS FINANCE va céder ses participation en Côte d'Ivoire, au Cameroun et au Gabon",https://www.ilboursa.com/marches/alios-finance-va-ceder-ses-participation-en-cote-d-ivoire-au-cameroun-et-au-gabon_43305
22/05/23,09:02,Tunisie Leasing & Factoring dévoile son Plan d’affaires 2023-2027,https://www.ilboursa.com/marches/tunisie-leasing-factoring-devoile-son-plan-daffaires-2023-2027_40819
01/05/23,10:16,"Mise en place de TLFNet, première plateforme digitale de leasing en Tunisie",https://www.ilboursa.com/marches/mise-en-place-de-tlfnet-premiere-plateforme-digitale-de-leasing-en-tunisie_40473
