date_str,time_str,headline,url
07/01/26,13:51,Bourse : Quelle stratégie d’investissement adopter sur le premier trimestre 2026 ?,https://www.ilboursa.com/marches/bourse-quelle-strategie-dinvestissement-adopter-sur-le-premier-trimestre 2026-_58843
26/08/25,09:11,Tunisie Valeurs à l’honneur à EURONEXT pour sa certification AML 30001®,https://www.ilboursa.com/marches/tunisie-valeurs-a-lhonneur-a-euronext-pour-sa-certification-aml-30001_54633
30/01/25,11:00,Bourse : Portefeuille-type de Tunisie Valeurs pour le premier trimestre de 2025,https://www.ilboursa.com/marches/bourse-portefeuille-type-de-tunisie-valeurs-pour-le-premier-trimestre-de-2025_50615
04/05/24,13:10,Abdelhalim MESTIRI succède à Walid SAIBI à la tête de Tunisie Valeurs,https://www.ilboursa.com/marches/abdelhalim-mestiri-succede-a-walid-saibi-a-la-tete-de-tunisie-valeurs_46049
16/01/24,12:44,Bilan boursier 2023 et perspectives du Marché Actions selon Tunisie Valeurs,https://www.ilboursa.com/marches/bilan-boursier-2023-et-perspectives-du-marche-actions-selon-tunisie-valeurs_44382
10/01/24,10:12,Bourse de Tunis : Rétrospective 2023 des valeurs cotées,https://www.ilboursa.com/marches/bourse-de-tunis-retrospective-2023-des-valeurs-cotees_44292
21/12/23,11:36,Tunisie Valeurs remporte le label « Élu Service Client de l’Année 2024 »,https://www.ilboursa.com/marches/tunisie-valeurs-remporte-le-label- elu-service-client-de-lannee-2024 _44090
20/07/23,14:11,Tunisie Valeurs Asset Management clôture FCP VALEURS SERENITE 2028 pour 50 millions de dinars,https://www.ilboursa.com/marches/tunisie-valeurs-asset-management-cloture-fcp-valeurs-serenite-2028-pour-50-millions-de-dinars_41742
15/02/23,10:53,Tunisie Valeurs : Perspectives du marché actions et stratégie d’investissement pour 2023,https://www.ilboursa.com/marches/tunisie-valeurs -perspectives-du-marche-actions-et-strategie-dinvestissement-pour-2023_39294
12/12/22,11:34,"Tunisie Valeurs,  premier intermédiaire en Bourse en Tunisie certifié AML 30000",https://www.ilboursa.com/marches/tunisie-valeurs--premier-intermediaire-en-bourse-en-tunisie-certifie-aml-30000_38265
01/03/22,12:52,Bourse - Tunisie Valeurs : Quelle stratégie d’investissement à adopter en 2022 ?,https://www.ilboursa.com/marches/bourse--tunisie-valeurs-quelle-strategie-dinvestissement-a-adopter-en-2022-_33132
09/12/21,10:41,Tunisie Valeurs recommande de souscrire à l'introduction en Bourse de SMART Tunisie,https://www.ilboursa.com/marches/tunisie-valeurs-recommande-de-souscrire-a-l-introduction-en-bourse-de-smart-tunisie_31749
28/04/21,17:29,Tunisie Valeurs désignée Meilleure compagnie de gestion d’actifs pour l’année 2021,https://www.ilboursa.com/marches/tunisie-valeurs-designee-meilleure-compagnie-de-gestion-dactifs-pour-lannee-2021_27863
18/01/21,11:49,Bourse - Tunisie Valeurs : Quelle stratégie d’investissement à adopter en 2021 ?,https://www.ilboursa.com/marches/bourse--tunisie-valeurs-quelle-strategie-dinvestissement-a-adopter-en-2021-_26076
10/11/20,12:30,Bourse de Tunis : Quelle stratégie d’investissement faudrait-il adopter face à la crise ?,https://www.ilboursa.com/marches/bourse-de-tunis-quelle-strategie-dinvestissement-faudrait-il-adopter-face-a-la-crise-_25049
04/09/20,11:42,"Une provision de 1,4 million de dinars fait basculer Tunisie Valeurs dans le rouge",https://www.ilboursa.com/marches/une-provision-de-1-4-million-de-dinars-fait-basculer-tunisie-valeurs-dans-le-rouge_23987
18/08/20,09:46,"Tunisie Valeurs lance le service signature électronique pour ses clients, en partenariat avec Vneuron",https://www.ilboursa.com/marches/tunisie-valeurs-lance-le-service-signature-electronique-pour-ses-clients-en-partenariat-avec-vneuron_23695
27/07/20,13:42,Retrait de Tunisie Valeurs de la Bourse de Tunis à partir d'aujourd'hui,https://www.ilboursa.com/marches/retrait-de-tunisie-valeurs-de-la-bourse-de-tunis-a-partir-d-aujourd-hui_23425
19/06/20,16:12,"Tunisie Valeurs : L'Offre Publique de Retrait sera ouverte le 24 juin à un prix de 17,480 dinars l'action",https://www.ilboursa.com/marches/tunisie-valeurs-l-offre-publique-de-retrait-sera-ouverte-le-24-juin-a-un-prix-de-17-480-dinars-l-action_22920
17/06/20,17:15,La société Tunisie Valeurs se retire de la Bourse de Tunis,https://www.ilboursa.com/marches/la-societe-tunisie-valeurs-se-retire-de-la-bourse-de-tunis_22884
05/05/20,13:39,L'intermédiaire en Bourse Tunisie Valeurs se dote d'un nouveau Conseil d'Administration,https://www.ilboursa.com/marches/l-intermediaire-en-bourse-tunisie-valeurs-se-dote-d-un-nouveau-conseil-d-administration_22215
23/04/20,10:13,Tunisie Valeurs remporte le label « Meilleur Service Client 2020 » dans son secteur d’activité,https://www.ilboursa.com/marches/tunisie-valeurs-remporte-le-label-meilleur-service-client-2020-dans-son-secteur-dactivite_22001
21/04/20,09:46,La BIAT détient désormais plus de 96% du capital de Tunisie Valeurs,https://www.ilboursa.com/marches/la-biat-detient-desormais-plus-de-96-du-capital-de-tunisie-valeurs_21950
27/03/20,14:34,"Tunisie Valeurs annonce un bénéfice net de 4,5 millions de dinars en 2019",https://www.ilboursa.com/marches/tunisie-valeurs-annonce-un-benefice-net-de-4-5-millions-de-dinars-en-2019_21480
03/02/20,16:25,Tunisie Valeurs désignée Meilleure compagnie de gestion d’actifs pour l’année 2020,https://www.ilboursa.com/marches/tunisie-valeurs-designee-meilleure-compagnie-de-gestion-dactifs-pour-lannee-2020_20647
29/01/20,16:38,Tunisie Valeurs - Année boursière 2020 : Entre nuages et éclaircies,https://www.ilboursa.com/marches/tunisie-valeurs--annee-boursiere-2020-entre-nuages-et-eclaircies_20582
24/01/20,10:04,"Walid SAIBI, DG de Tunisie Valeurs : « L’alliance avec la BIAT constitue un véritable projet industriel »",https://www.ilboursa.com/marches/walid-saibi-dg-de-tunisie-valeurs--lalliance-avec-la-biat-constitue-un-veritable-projet-industriel-_20520
21/01/20,13:20,Tunisie Valeurs réalise un chiffre d'affaires de 17 millions de dinars en 2019,https://www.ilboursa.com/marches/tunisie-valeurs-realise-un-chiffre-d-affaires-de-17-millions-de-dinars-en-2019_20453
13/11/19,14:59,Plusieurs banques en lice pour une prise de participation dans le capital de Tunisie Valeurs,https://www.ilboursa.com/marches/plusieurs-banques-en-lice-pour-une-prise-de-participation-dans-le-capital-de-tunisie-valeurs_19636
12/11/19,14:34,Tunisie Valeurs en discussion avec des institutionnels en vue d’un rapprochement stratégique,https://www.ilboursa.com/marches/tunisie-valeurs-en-discussion-avec-des-institutionnels-en-vue-dun-rapprochement-strategique_19611
11/11/19,09:59,Secteur bancaire : Un nouvel exercice 2019 sous le signe de la résistance,https://www.ilboursa.com/marches/secteur-bancaire-un-nouvel-exercice-2019-sous-le-signe-de-la-resistance_19585
14/10/19,09:10,Tunisie Valeurs : Baisse du chiffre d'affaires de 15% à fin septembre,https://www.ilboursa.com/marches/tunisie-valeurs-baisse-du-chiffre-d-affaires-de-15-a-fin-septembre_19173
02/09/19,09:37,Tunisie Valeurs stabilise quasiment son bénéfice au premier semestre,https://www.ilboursa.com/marches/tunisie-valeurs-stabilise-quasiment-son-benefice-au-premier-semestre_18605
22/07/19,08:35,Tunisie Valeurs consolide sa position de premier gestionnaire du pays au premier semestre,https://www.ilboursa.com/marches/tunisie-valeurs-consolide-sa-position-de-premier-gestionnaire-du-pays-au-premier-semestre_18119
17/07/19,15:01,Tunisie Valeurs revoit le schéma organisationnel de sa transformation en Banque d'Affaires,https://www.ilboursa.com/marches/tunisie-valeurs-revoit-le-schema-organisationnel-de-sa-transformation-en-banque-d-affaires_18079
13/06/19,12:49,Le Club Entrepreneurs invite Fadhel Abdelkefi  pour son 15ème Afterwork Networking,https://www.ilboursa.com/marches/le-club-entrepreneurs-invite-fadhel-abdelkefi-pour-son-15eme-afterwork-networking_17742
22/04/19,09:30,Tunisie Valeurs : L'AGE approuve l'augmentation de capital par incorporation des réserves,https://www.ilboursa.com/marches/tunisie-valeurs-l-age-approuve-l-augmentation-de-capital-par-incorporation-des-reserves_17067
05/04/19,15:31,Tunisie Valeurs doublera son capital par attribution d’actions gratuites,https://www.ilboursa.com/marches/tunisie-valeurs-doublera-son-capital-par-attribution-dactions-gratuites_16861
28/03/19,20:24,Fadhel Abdelkefi : Tunisie Valeurs commencera 2020 avec le statut de Banque d'Affaires,https://www.ilboursa.com/marches/fadhel-abdelkefi-tunisie-valeurs-commencera-2020-avec-le-statut-de-banque-d-affaires_16753
12/03/19,14:30,"Tunisie Valeurs annonce un bénéfice de 6 millions de dinars en 2018 et un dividende de 1,8 dinar",https://www.ilboursa.com/marches/tunisie-valeurs-annonce-un-benefice-de-6-millions-de-dinars-en-2018-et-un-dividende-de-1-8-dinar_16514
05/03/19,13:38,Tunisie Valeurs gagne définitivement son procès contre la Douane,https://www.ilboursa.com/marches/tunisie-valeurs-gagne-definitivement-son-proces-contre-la-douane_16414
28/02/19,09:27,Tunisie Valeurs va élire un Administrateur représentant des petits porteurs,https://www.ilboursa.com/marches/tunisie-valeurs-va-elire-un-administrateur-representant-des-petits-porteurs_16365
05/02/19,10:43,L'intermédiaire en Bourse Tunisie Valeurs confirme son leadership en 2018,https://www.ilboursa.com/marches/l-intermediaire-en-bourse-tunisie-valeurs-confirme-son-leadership-en-2018_16054
21/01/19,09:27,Tunisie Valeurs annonce un chiffre d'affaires de 17 millions de dinars en 2018,https://www.ilboursa.com/marches/tunisie-valeurs-annonce-un-chiffre-d-affaires-de-17-millions-de-dinars-en-2018_15818
11/01/19,17:25,Tunisie Valeurs obtient l'agrément de principe pour se transformer en Banque d'affaires,https://www.ilboursa.com/marches/tunisie-valeurs-obtient-l-agrement-de-principe-pour-se-transformer-en-banque-d-affaires_15729
09/11/18,12:40,Banques - Nouveau ratio Crédits/Dépôts : Les enjeux et les implications,https://www.ilboursa.com/marches/banques--nouveau-ratio-creditsdepots-les-enjeux-et-les-implications_15242
