date_str,time_str,headline,url
28/11/24,15:11,Loukil Vehicules Industriels devient distributeur officiel des camions Eicher en Tunisie,https://www.ilboursa.com/marches/loukil-vehicules-industriels-devient-distributeur-officiel-des-camions-eicher-en-tunisie_49550
23/10/23,14:29,"Mise en vente d'un terrain de la société Economic Auto, filiale d'UADH",https://www.ilboursa.com/marches/mise-en-vente-d-un-terrain-de-la-societe-economic-auto- filiale-d-uadh_43241
14/02/23,09:13,Vente judiciaire de plus de 10 millions d'actions UADH,https://www.ilboursa.com/marches/vente-judiciaire-de-plus-de-10-millions-d-actions-uadh_39268
09/05/22,15:53,"Le Groupe Kilani intéressé par le rachat de la société Economic Auto, concessionnaire de Mazda",https://www.ilboursa.com/marches/le-groupe-kilani-interesse-par-le-rachat-de-la-societe-economic-auto-concessionnaire-de-mazda_34455
06/05/22,09:18,Le Groupe UADH voit ses revenus chuter de 50% au premier trimestre à 9 millions de dinars,https://www.ilboursa.com/marches/le-groupe-uadh-voit-ses-revenus-chuter-de-50-au-premier-trimestre-a-9-millions-de-dinars_34406
17/02/22,09:18,Le Groupe UADH annonce un chiffre d'affaires en chute de 60% en 2021,https://www.ilboursa.com/marches/le-groupe-uadh-annonce-un-chiffre-d-affaires-en-chute-de-60-en-2021_32926
17/11/21,15:09,Affaire Citroën : Groupe Loukil apporte ses précisions,https://www.ilboursa.com/marches/affaire-citroën-groupe-loukil-apporte-ses-precisions_31394
17/11/21,10:37,Citroën : Groupe Loukil perd officiellement ses recours contre STAFIM Peugeot,https://www.ilboursa.com/marches/citroën-groupe-loukil-perd-officiellement-ses-recours-contre-stafim-peugeot_31385
29/10/21,13:06,Les revenus du Groupe UADH chutent de 60% à fin septembre à 52 millions de dinars,https://www.ilboursa.com/marches/les-revenus-du-groupe-uadh-chutent-de-60-a-fin-septembre-a-52-millions-de-dinars_31073
29/10/21,11:09,"Mediterranean Industrial Group, filiale du Groupe Loukil, en règlement judicaire",https://www.ilboursa.com/marches/mediterranean-industrial-group-filiale-du-groupe-loukil-en-reglement-judicaire_31067
14/09/21,08:59,Suspension de la vente judiciaire de 10 millions d'actions UADH,https://www.ilboursa.com/marches/suspension-de-la-vente-judiciaire-de-10-millions-d-actions-uadh_30209
09/09/21,14:41,Vente judiciaire de 10 millions d'actions UADH,https://www.ilboursa.com/marches/vente-judiciaire-de-10-millions-d-actions-uadh_30142
04/08/21,10:33,Le Groupe UADH voit ses revenus semestriels chuter de 55% à 38 millions de dinars,https://www.ilboursa.com/marches/le-groupe-uadh-voit-ses-revenus-semestriels-chuter-de-55-a-38-millions-de-dinars_29578
