symbole,ticker_name,date,cloture,volume,daily_return,volume_zscore,return_zscore,volume_anomaly,price_anomaly,combined_anomaly,status,matched_headline,matched_news_date,gap_days,category,source,priority,baseline_volume,recent_volume,decline_ratio,last_active_date,days_since_active
AMV,MAGHREBIA VIE,2026-01-19,7.0,37466.0,0.0447761194029849,6.65063923625179,3.873616126130768,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
AMV,MAGHREBIA VIE,2026-01-20,7.35,42340.0,0.05,5.739867915111528,3.823074023192184,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
CIL,CIL,2024-11-05,24.02,1839.0,0.0918181818181818,3.466197409066188,3.832499053381019,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
DH,DELICE HOLDING,2025-02-13,9.595,98838.0,0.049207217058502,10.101785753328024,4.6761542092435,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
ECYCL,EURO-CYCLES,2021-09-15,32.2,27983.0,0.0353697749196142,6.30687006430956,3.4925255651878917,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
ECYCL,EURO-CYCLES,2022-10-11,29.39,24623.0,0.050768680729353,3.1324336703582656,3.570955335635517,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
ECYCL,EURO-CYCLES,2024-07-22,11.77,20814.0,0.0351802990325418,5.468649244874361,4.835530820257986,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
ECYCL,EURO-CYCLES,2024-08-15,12.33,21869.0,0.0592783505154639,4.693671387001886,7.2270980168166,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
ECYCL,EURO-CYCLES,2024-08-16,12.9,32333.0,0.0462287104622871,6.735530823373244,4.025469288701078,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
ECYCL,EURO-CYCLES,2025-08-21,13.3,27277.0,0.043956043956044,3.5637742039671045,3.3605340547745453,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
ECYCL,EURO-CYCLES,2025-12-12,12.9,26715.0,0.0411622276029055,3.878606021055159,3.149356632806505,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
ECYCL,EURO-CYCLES,2026-04-23,11.43,40935.0,-0.0848678943154523,4.239163767984871,-6.437664517871553,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
GIF,GIF FILTER,2022-05-31,0.59,64031.0,0.2553191489361701,9.273315352629938,7.334764732257696,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
GIF,GIF FILTER,2023-10-09,0.31,30295.0,-0.4150943396226415,5.444706091880176,-11.20553825798115,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
ICF,ICF,2021-09-13,78.0,885.0,0.0547667342799187,3.1404419488139683,4.0713434222031175,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
ICF,ICF,2021-09-16,85.73,7462.0,0.0599653808110782,14.636254401170785,3.6119793664748423,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
ICF,ICF,2025-07-22,113.42,3500.0,0.06,5.217667591521085,3.9761477553976654,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
ICF,ICF,2025-08-29,108.2,2856.0,-0.050877192982456,3.329367713705413,-3.4150649479792787,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
ICF,ICF,2025-09-01,101.71,3729.0,-0.0599815157116452,4.151653058211557,-3.6288712280316906,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
ICF,ICF,2026-03-23,86.95,4283.0,0.0565006075334144,4.616686658657156,3.629907837723251,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
LNDOR,LAND'OR,2022-12-06,6.25,51927.0,-0.0587349397590361,4.33366979793196,-3.016714255356057,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
LNDOR,LAND'OR,2023-06-21,6.13,30715.0,-0.0554699537750386,3.4966142213225235,-3.0475753874922824,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
LNDOR,LAND'OR,2023-09-12,5.53,17655.0,-0.0595238095238094,3.350562054230565,-3.651026091072172,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
LNDOR,LAND'OR,2024-11-05,10.23,10444.0,0.0590062111801241,6.0320728466495295,5.974382843425888,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
LNDOR,LAND'OR,2024-11-06,10.8,40201.0,0.0557184750733137,19.91406709868198,4.390501289550026,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
LNDOR,LAND'OR,2025-03-14,11.49,30927.0,0.0531622364802932,8.278681603383937,5.10995589571732,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
LNDOR,LAND'OR,2025-10-31,10.84,177733.0,0.0596285434995111,17.601061210194732,3.5168712342737973,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
MGR,SOTUMAG,2024-11-11,6.34,4000.0,-0.03206106870229,3.1864517677512083,-5.066368348869861,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
MIP,MIP,2022-05-20,0.26,11411.0,0.3,4.142299155506928,3.8167422637349495,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
MPBS,MPBS,2025-02-13,5.29,223478.0,0.0590590590590589,20.254254693988223,4.538382600374551,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
NAKL,ENNAKL AUTOMOBILES,2023-12-01,11.1,5700.0,-0.0593220338983051,5.756492784000391,-3.1364484449968697,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
NAKL,ENNAKL AUTOMOBILES,2024-03-04,10.35,6084.0,-0.0675675675675675,4.906005824900594,-3.2571392738798832,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
NBL,NEW BODY LINE,2021-08-06,5.24,12884.0,0.0438247011952193,3.658070417287975,3.907989985027733,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
NBL,NEW BODY LINE,2023-10-30,4.9,2873.0,-0.0277777777777776,3.458760983471078,-3.3001158483292303,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
NBL,NEW BODY LINE,2024-12-24,4.81,4965.0,0.0344086021505374,5.513706568042746,4.278019870557927,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
NBL,NEW BODY LINE,2024-12-25,4.95,8760.0,0.0291060291060292,8.399373292062139,3.125260946328712,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
NBL,NEW BODY LINE,2025-04-15,5.14,31240.0,0.0511247443762781,5.5324162639603625,4.282448631058071,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
OTH,ONE TECH,2022-07-12,8.05,32076.0,0.0592105263157896,3.874176440304778,6.993613144926034,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
PGH,POULINA GROUP HOLDING,2021-09-14,12.25,68184.0,-0.0369496855345912,8.140690145244525,-4.337257046184327,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
PGH,POULINA GROUP HOLDING,2025-02-27,8.73,36073.0,0.0343601895734597,3.798542958022652,3.231645079211533,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
PGH,POULINA GROUP HOLDING,2025-03-12,9.59,40090.0,0.0423913043478261,3.639007904024459,3.2756377993834658,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
PGH,POULINA GROUP HOLDING,2025-03-14,10.0,439026.0,0.044932079414838,44.11576584555903,3.158444690447767,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
PLAST,OFFICE PLAST,2023-05-30,1.03,7871.0,-0.1196581196581195,8.427058857151756,-3.082438551554463,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
PLAST,OFFICE PLAST,2025-12-10,1.61,12017.0,-0.0747126436781608,5.661086792533117,-3.0111641554038675,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
SAH,SAH,2023-07-11,8.75000017569445,649553.0,-0.0566037735849057,6.983760219794119,-8.678742855034155,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
SAM,MEUBLES INTERIEURS,2022-10-06,3.18,34860.0,0.06,5.760360295926301,4.412645391944431,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
SAM,MEUBLES INTERIEURS,2025-02-27,6.57,45541.0,0.0545746388443018,6.887758816452299,4.85615305838332,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
SCB,CIMENTS DE BIZERTE,2022-03-15,1.84,12200.0,-0.1153846153846154,5.593904137131583,-5.641491881574138,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
SERVI,SERVICOM,2022-09-21,0.41,438886.0,-0.3970588235294118,27.862159128371832,-4.673008153924645,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
SERVI,SERVICOM,2023-08-03,0.21,108430.0,-0.2500000000000001,5.754294907699327,-3.5861012411198687,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
SERVI,SERVICOM,2023-08-16,0.3,100621.0,0.4285714285714286,4.160174421776943,5.751658404413323,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
SFBT,SFBT,2022-03-18,17.0,37254.0,-0.0224266820011501,3.7068628367124825,-3.620467393591107,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
SIAME,SIAME,2022-10-03,3.71,367291.0,0.06,66.78223682354789,6.372588783167901,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
SIAME,SIAME,2023-10-23,3.67,29302.0,0.0485714285714284,5.201751226193345,4.430504846907828,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
