symbole,ticker_name,date,cloture,volume,daily_return,volume_zscore,return_zscore,volume_anomaly,price_anomaly,combined_anomaly,status,matched_headline,matched_news_date,gap_days,category,source,priority,baseline_volume,recent_volume,decline_ratio,last_active_date,days_since_active,index_return,index_return_zscore,co_flagged_count,excess_return,tag,ai_assessment,ai_reasoning
AMV,MAGHREBIA VIE,2026-01-19,7.0,37466.0,0.0447761194029849,6.65063923625179,3.873616126130768,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,0.0066680959927682,1.06067691390744,5.0,0.0381080234102166,MARKET_WIDE,likely_noise,"The high volume z-score may be a side effect of thin trading, and the presence of a market-wide move and multiple other tickers flagged on the same day suggests this anomaly may be part of a broader market event rather than a specific issue with this stock."
AMV,MAGHREBIA VIE,2026-01-20,7.35,42340.0,0.05,5.739867915111528,3.823074023192184,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,0.0041437318770192,0.4928039349677723,1.0,0.0458562681229807,COMPANY_SPECIFIC,worth_investigating,"The high volume z-score of 5.74 and return z-score of 3.82, combined with a relatively low excess return vs the index and only one other ticker being flagged on the same day, suggest that this move may be worth investigating, especially since this ticker does not appear to be a chronic offender with only 2 appearances in the watchlist."
CIL,CIL,2024-11-05,24.02,1839.0,0.0918181818181818,3.466197409066188,3.832499053381019,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,-0.0009758013414231,-0.3451794880793954,3.0,0.0927939831596049,MARKET_WIDE,likely_noise,"The move coincided with a broad market move, as indicated by the 'MARKET_WIDE' tag, and the z-scores, although somewhat high, are not extremely high, which suggests that the anomaly might be related to market-wide activity rather than a specific issue with the stock."
DH,DELICE HOLDING,2025-02-13,9.595,98838.0,0.049207217058502,10.101785753328024,4.6761542092435,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,0.0048699809728252,1.3331069211377131,1.0,0.0443372360856767,COMPANY_SPECIFIC,worth_investigating,"The high volume z-score of 10.101785753328024 and return z-score of 4.6761542092435, combined with a relatively low excess return versus the index of 0.0443372360856767 and only one other ticker flagged on the same day, suggest a potentially significant and isolated move for DELICE HOLDING that may warrant further investigation, especially given that this is the first time the ticker appears in the watchlist."
ECYCL,EURO-CYCLES,2021-09-15,32.2,27983.0,0.0353697749196142,6.30687006430956,3.492525565187892,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,-0.0019615465202191,-0.8067189393716603,5.0,0.0373313214398333,MARKET_WIDE,likely_noise,"The high z-scores could be a result of thin trading, and the fact that there was a market-wide move and this ticker has been flagged multiple times before suggests that this anomaly may not be unusual or suspicious, given its history of repeated flags."
ECYCL,EURO-CYCLES,2022-10-11,29.39,24623.0,0.050768680729353,3.1324336703582656,3.570955335635517,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,0.0016649967584134,0.1170420610553178,2.0,0.0491036839709395,COMPANY_SPECIFIC,uncertain,"The volume and return z-scores of 3.13 and 3.57 are notable, but the presence of two other flagged tickers on the same day and the fact that this ticker has appeared in the watchlist eight times before suggests that this could be either a meaningful event or a recurring issue with this particular stock, warranting further investigation."
ECYCL,EURO-CYCLES,2024-07-22,11.77,20814.0,0.0351802990325418,5.468649244874361,4.835530820257986,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,0.0016687928624825,0.0744028313890573,0.0,0.0335115061700592,COMPANY_SPECIFIC,worth_investigating,"The high volume z-score of 5.47 and return z-score of 4.84, combined with a relatively large excess return of 0.0335 and no other tickers being flagged on the same day, suggest a large and isolated move that may be worth further investigation, despite the ticker having been flagged multiple times before."
ECYCL,EURO-CYCLES,2024-08-15,12.33,21869.0,0.0592783505154639,4.693671387001886,7.2270980168166,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,0.000455552606666,-0.2093918636659071,1.0,0.0588227979087978,COMPANY_SPECIFIC,worth_investigating,"The high return z-score of 7.23, combined with a moderate volume z-score of 4.69, suggests a significant and unusual price movement, and the fact that this ticker has been flagged multiple times before may indicate a pattern, but the presence of a company-specific move without a clear market-wide explanation warrants further investigation."
ECYCL,EURO-CYCLES,2024-08-16,12.9,32333.0,0.0462287104622871,6.735530823373244,4.025469288701078,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,-0.002190332249517,-0.886312400802826,2.0,0.0484190427118041,COMPANY_SPECIFIC,uncertain,"The high volume z-score of 6.735530823373244 and return z-score of 4.025469288701078 suggest a significant anomaly, but the fact that this ticker has been flagged 8 times before and there were 2 other tickers flagged on the same day makes it difficult to determine if this is a genuine issue or just a recurring pattern of noise due to potential chronic illiquidity."
ECYCL,EURO-CYCLES,2025-08-21,13.3,27277.0,0.043956043956044,3.5637742039671045,3.3605340547745453,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,7.207952831134179e-05,-0.1445763351322454,2.0,0.0438839644277326,COMPANY_SPECIFIC,worth_investigating,"The combination of a high volume z-score of 3.56 and a return z-score of 3.36, along with a significant excess return of 0.044 versus the index, suggests a potentially meaningful anomaly, although the fact that this ticker has appeared in the watchlist 8 times before may indicate some chronic illiquidity issues."
