ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
AETECH,AETEC,2021-06-24,0.42,0.43,0.42,0.43,2168
AETECH,AETEC,2021-06-28,0.45,0.45,0.45,0.45,5770
AETECH,AETEC,2021-06-29,0.46,0.46,0.46,0.46,50
AETECH,AETEC,2021-06-30,0.49,0.49,0.49,0.49,349
AETECH,AETEC,2021-07-02,0.49,0.49,0.49,0.49,1539
AETECH,AETEC,2021-07-05,0.48,0.48,0.48,0.48,100
AETECH,AETEC,2021-07-06,0.47,0.47,0.47,0.47,120
AETECH,AETEC,2021-07-07,0.46,0.46,0.46,0.46,135
AETECH,AETEC,2021-07-08,0.45,0.45,0.45,0.45,255
AETECH,AETEC,2021-07-09,0.44,0.44,0.44,0.44,179
AETECH,AETEC,2021-07-12,0.43,0.43,0.43,0.43,60
AETECH,AETEC,2021-07-14,0.43,0.43,0.43,0.43,650
AETECH,AETEC,2021-07-15,0.43,0.43,0.43,0.43,9
AETECH,AETEC,2021-07-27,0.45,0.45,0.45,0.45,1021
AETECH,AETEC,2021-07-28,0.45,0.45,0.45,0.45,822
AETECH,AETEC,2021-07-29,0.45,0.45,0.45,0.45,3051
AETECH,AETEC,2021-08-02,0.44,0.44,0.44,0.44,10
AETECH,AETEC,2021-08-03,0.43,0.43,0.43,0.43,2100
AETECH,AETEC,2021-08-06,0.42,0.42,0.42,0.42,1051
AETECH,AETEC,2021-08-09,0.41,0.41,0.41,0.41,14
AETECH,AETEC,2021-08-12,0.41,0.41,0.41,0.41,14
AETECH,AETEC,2021-08-16,0.41,0.41,0.41,0.41,47
AETECH,AETEC,2021-08-17,0.41,0.41,0.41,0.41,1024
AETECH,AETEC,2021-08-18,0.4,0.4,0.4,0.4,1093
AETECH,AETEC,2021-08-19,0.4,0.4,0.4,0.4,244
AETECH,AETEC,2021-08-23,0.39,0.39,0.39,0.39,638
AETECH,AETEC,2021-08-24,0.39,0.39,0.39,0.39,100
AETECH,AETEC,2021-08-25,0.38,0.38,0.38,0.38,2016
AETECH,AETEC,2021-08-26,0.38,0.38,0.38,0.38,500
AETECH,AETEC,2021-08-27,0.38,0.38,0.38,0.38,500
AETECH,AETEC,2021-08-31,0.38,0.38,0.38,0.38,7853
AETECH,AETEC,2021-09-01,0.38,0.38,0.38,0.38,4762
AETECH,AETEC,2021-09-06,0.38,0.38,0.38,0.38,0
AETECH,AETEC,2021-09-07,0.38,0.38,0.38,0.38,0
AETECH,AETEC,2021-09-08,0.39,0.39,0.39,0.39,0
AETECH,AETEC,2021-09-09,0.39,0.39,0.39,0.39,0
AETECH,AETEC,2021-09-10,0.4,0.4,0.4,0.4,203
AETECH,AETEC,2021-09-13,0.4,0.4,0.4,0.4,3
AETECH,AETEC,2021-09-14,0.39,0.39,0.39,0.39,50
AETECH,AETEC,2021-09-15,0.39,0.39,0.39,0.39,0
AETECH,AETEC,2021-09-16,0.39,0.39,0.39,0.39,0
AETECH,AETEC,2021-09-17,0.38,0.38,0.38,0.38,376
AETECH,AETEC,2021-09-20,0.38,0.38,0.38,0.38,20
AETECH,AETEC,2021-09-21,0.38,0.38,0.38,0.38,1
AETECH,AETEC,2021-09-22,0.38,0.38,0.38,0.38,500
AETECH,AETEC,2021-09-23,0.39,0.39,0.39,0.39,1349
AETECH,AETEC,2021-09-24,0.39,0.39,0.39,0.39,85
AETECH,AETEC,2021-09-27,0.39,0.39,0.39,0.39,1
AETECH,AETEC,2021-09-28,0.39,0.39,0.39,0.39,0
AETECH,AETEC,2021-09-29,0.38,0.38,0.38,0.38,10
AETECH,AETEC,2021-09-30,0.38,0.38,0.38,0.38,501
AETECH,AETEC,2021-10-01,0.37,0.38,0.37,0.37,50
AETECH,AETEC,2021-10-07,0.37,0.38,0.37,0.37,714
AETECH,AETEC,2021-10-11,0.37,0.37,0.37,0.37,3000
AETECH,AETEC,2021-10-14,0.37,0.38,0.37,0.37,2000
AETECH,AETEC,2021-10-20,0.38,0.38,0.37,0.38,957
AETECH,AETEC,2021-10-22,0.39,0.39,0.38,0.39,3123
AETECH,AETEC,2021-10-25,0.39,0.39,0.39,0.39,877
AETECH,AETEC,2021-10-26,0.4,0.4,0.39,0.4,6400
AETECH,AETEC,2021-10-29,0.42,0.42,0.42,0.42,6305
AETECH,AETEC,2021-11-02,0.42,0.43,0.42,0.42,5098
AETECH,AETEC,2021-11-03,0.42,0.42,0.42,0.42,9001
AETECH,AETEC,2021-11-04,0.43,0.43,0.42,0.43,100
AETECH,AETEC,2021-11-08,0.43,0.43,0.43,0.43,399
AETECH,AETEC,2021-11-09,0.43,0.43,0.43,0.43,1585
AETECH,AETEC,2021-11-11,0.44,0.44,0.43,0.44,345
AETECH,AETEC,2021-11-12,0.45,0.45,0.44,0.45,120
AETECH,AETEC,2021-11-16,0.45,0.45,0.45,0.45,50
AETECH,AETEC,2021-11-17,0.46,0.46,0.45,0.46,5505
AETECH,AETEC,2021-11-18,0.47,0.47,0.46,0.47,111
AETECH,AETEC,2021-11-24,0.46,0.47,0.46,0.46,1
AETECH,AETEC,2021-11-25,0.46,0.46,0.46,0.46,250
AETECH,AETEC,2021-12-01,0.46,0.46,0.46,0.46,20
AETECH,AETEC,2021-12-02,0.44,0.46,0.44,0.44,420
AETECH,AETEC,2021-12-03,0.43,0.44,0.43,0.43,724
AETECH,AETEC,2022-03-14,0.82,0.84,0.82,0.82,10457
AETECH,AETEC,2022-03-15,0.81,0.82,0.81,0.81,7972
AETECH,AETEC,2022-03-16,0.79,0.81,0.78,0.79,36686
AETECH,AETEC,2022-03-17,0.82,0.82,0.79,0.82,5804
AETECH,AETEC,2022-03-18,0.82,0.82,0.82,0.82,10449
AETECH,AETEC,2022-03-21,0.82,0.82,0.82,0.82,18339
AETECH,AETEC,2022-03-22,0.85,0.85,0.82,0.85,11167
AETECH,AETEC,2022-03-23,0.86,0.86,0.85,0.86,1036
AETECH,AETEC,2022-03-24,0.91,0.91,0.88,0.91,5569
AETECH,AETEC,2022-03-25,0.95,0.95,0.91,0.95,1350
AETECH,AETEC,2022-03-28,0.95,0.95,0.95,0.95,1236
AETECH,AETEC,2022-03-30,0.92,0.92,0.92,0.92,1700
AETECH,AETEC,2022-03-31,0.96,0.96,0.95,0.96,300
AETECH,AETEC,2022-04-01,1.0,1.0,0.99,1.0,2650
AETECH,AETEC,2022-04-04,1.07,1.07,1.03,1.07,7169
AETECH,AETEC,2022-04-05,1.1,1.1,1.07,1.1,8651
AETECH,AETEC,2022-04-06,1.09,1.1,1.09,1.09,2633
AETECH,AETEC,2022-04-07,1.05,1.09,1.05,1.05,79
AETECH,AETEC,2022-04-12,1.0,1.0,0.95,1.0,13385
AETECH,AETEC,2022-04-13,1.0,1.0,0.97,1.0,2550
AETECH,AETEC,2022-04-14,1.02,1.02,1.0,1.02,2813
AETECH,AETEC,2022-04-18,0.95,0.98,0.95,0.95,18034
AETECH,AETEC,2022-04-19,0.94,0.95,0.94,0.94,732
AETECH,AETEC,2022-04-20,0.98,0.98,0.94,0.98,1791
AETECH,AETEC,2022-04-21,0.94,0.98,0.94,0.94,21652
AETECH,AETEC,2022-04-25,1.0,1.0,0.98,1.0,1025
AETECH,AETEC,2022-04-27,0.96,0.96,0.92,0.96,2230
AETECH,AETEC,2022-04-28,0.92,0.96,0.92,0.92,8316
