ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
ALKIM,ALKIM,2021-08-03,41.03,41.03,41.03,41.03,50
ALKIM,ALKIM,2021-08-05,41.03,41.03,41.03,41.03,10
ALKIM,ALKIM,2021-08-06,41.03,41.03,41.03,41.03,10
ALKIM,ALKIM,2021-08-11,41.03,41.03,41.03,41.03,62
ALKIM,ALKIM,2021-09-15,41.0,41.0,41.0,41.0,20
ALKIM,ALKIM,2021-09-22,39.5,39.5,39.5,39.5,25
ALKIM,ALKIM,2021-09-24,39.2,39.2,39.2,39.2,25
ALKIM,ALKIM,2021-10-04,37.6,37.6,37.6,37.6,3
ALKIM,ALKIM,2021-10-07,36.0,37.6,36.0,36.0,406
ALKIM,ALKIM,2021-10-08,35.95,36.0,35.95,35.95,11
ALKIM,ALKIM,2021-10-12,36.3,36.3,35.95,36.3,40
ALKIM,ALKIM,2021-10-13,36.3,36.3,36.3,36.3,167
ALKIM,ALKIM,2021-10-14,36.3,36.3,36.3,36.3,40
ALKIM,ALKIM,2021-10-21,36.0,36.3,36.0,36.0,64
ALKIM,ALKIM,2021-10-28,36.0,36.0,36.0,36.0,112
ALKIM,ALKIM,2021-10-29,36.0,36.0,36.0,36.0,79
ALKIM,ALKIM,2021-11-02,36.0,36.0,36.0,36.0,386
ALKIM,ALKIM,2021-11-04,37.0,37.0,36.0,37.0,77
ALKIM,ALKIM,2021-11-05,36.0,37.0,36.0,36.0,164
ALKIM,ALKIM,2021-11-12,36.0,36.0,36.0,36.0,3
ALKIM,ALKIM,2021-11-15,36.0,36.0,36.0,36.0,26
ALKIM,ALKIM,2021-11-16,36.0,36.0,36.0,36.0,143
ALKIM,ALKIM,2021-11-19,36.0,36.0,36.0,36.0,91
ALKIM,ALKIM,2021-11-25,37.0,37.0,36.0,37.0,69
ALKIM,ALKIM,2021-11-26,37.0,37.0,37.0,37.0,72
ALKIM,ALKIM,2021-11-29,38.0,38.0,37.0,38.0,45
ALKIM,ALKIM,2021-12-03,38.0,38.0,38.0,38.0,81
ALKIM,ALKIM,2022-04-05,36.5,38.14,36.5,36.5,9
ALKIM,ALKIM,2022-04-06,36.5,36.5,36.5,36.5,36
ALKIM,ALKIM,2022-04-19,36.0,36.5,36.0,36.0,20
ALKIM,ALKIM,2022-04-26,34.38,36.0,34.38,34.38,45
ALKIM,ALKIM,2022-05-06,35.5,35.5,34.38,35.5,250
ALKIM,ALKIM,2022-05-11,35.5,35.5,35.5,35.5,57
ALKIM,ALKIM,2022-05-12,35.5,35.5,35.5,35.5,28
ALKIM,ALKIM,2022-05-13,35.5,35.5,35.5,35.5,88
ALKIM,ALKIM,2022-05-17,35.5,35.5,35.5,35.5,52
ALKIM,ALKIM,2022-05-18,35.5,35.5,35.5,35.5,40
ALKIM,ALKIM,2022-05-19,35.45,35.5,35.45,35.45,24
ALKIM,ALKIM,2022-05-20,35.45,35.45,35.45,35.45,61
ALKIM,ALKIM,2022-05-24,35.0,35.45,35.0,35.0,146
ALKIM,ALKIM,2022-06-08,35.5,35.5,35.0,35.5,125
ALKIM,ALKIM,2022-06-14,33.91,35.5,33.91,33.91,30
ALKIM,ALKIM,2022-06-28,33.9,33.91,33.9,33.9,76
ALKIM,ALKIM,2022-07-05,32.38,33.9,32.38,32.38,35
ALKIM,ALKIM,2022-07-27,31.0,32.38,31.0,31.0,15
ALKIM,ALKIM,2022-08-04,32.39,32.39,31.0,32.39,2
ALKIM,ALKIM,2022-08-16,33.5,33.5,32.39,33.5,4
ALKIM,ALKIM,2022-08-18,33.5,33.5,33.5,33.5,9
ALKIM,ALKIM,2022-08-23,33.5,33.5,33.5,33.5,13
ALKIM,ALKIM,2022-08-26,33.88,33.88,33.5,33.88,11
ALKIM,ALKIM,2022-09-14,34.99,34.99,33.88,34.99,15
ALKIM,ALKIM,2022-09-15,34.0,34.99,34.0,34.0,25
ALKIM,ALKIM,2022-09-19,33.5,34.0,33.5,33.5,34
ALKIM,ALKIM,2022-09-21,32.0,33.5,32.0,32.0,31
ALKIM,ALKIM,2022-09-22,30.7,32.0,30.7,30.7,30
ALKIM,ALKIM,2022-09-23,29.5,30.7,29.5,29.5,24
ALKIM,ALKIM,2022-10-03,29.5,29.5,29.5,29.5,90
ALKIM,ALKIM,2022-10-17,29.51,29.51,29.5,29.51,15
ALKIM,ALKIM,2022-10-18,29.5,29.51,29.5,29.5,89
ALKIM,ALKIM,2022-10-20,29.5,29.5,29.5,29.5,13
ALKIM,ALKIM,2022-11-10,28.51,29.5,28.51,28.51,11
ALKIM,ALKIM,2022-11-23,31.13,31.13,29.79,31.13,38
ALKIM,ALKIM,2022-11-24,32.5,32.5,31.13,32.5,4
ALKIM,ALKIM,2022-11-25,33.5,33.5,32.5,33.5,176
ALKIM,ALKIM,2022-11-30,33.5,33.5,33.5,33.5,329
ALKIM,ALKIM,2022-12-05,35.0,35.0,33.5,35.0,50
ALKIM,ALKIM,2022-12-07,35.49,35.49,35.0,35.49,265
ALKIM,ALKIM,2023-05-18,32.39,32.39,30.94,30.94,41
ALKIM,ALKIM,2023-07-26,35.3,35.3,33.72,33.72,26
ALKIM,ALKIM,2023-08-24,33.72,33.72,33.72,33.72,10
ALKIM,ALKIM,2023-08-28,33.72,33.72,32.299,32.3,45
ALKIM,ALKIM,2023-09-06,30.85,30.85,30.0,30.0,7
ALKIM,ALKIM,2023-09-08,30.0,30.0,30.0,30.0,6
ALKIM,ALKIM,2023-09-11,30.0,30.0,30.0,30.0,44
ALKIM,ALKIM,2023-09-25,30.0,30.0,30.0,30.0,19
ALKIM,ALKIM,2023-10-02,30.0,30.0,30.0,30.0,50
ALKIM,ALKIM,2023-10-04,30.0,30.0,30.0,30.0,62
ALKIM,ALKIM,2023-10-05,30.0,30.0,29.9,29.9,20
ALKIM,ALKIM,2023-10-06,29.9,30.0,29.9,30.0,26
ALKIM,ALKIM,2023-10-12,30.0,30.0,29.9,29.9,13
ALKIM,ALKIM,2023-10-18,29.9,29.9,29.0,29.0,50
ALKIM,ALKIM,2023-10-19,29.0,29.0,29.0,29.0,12
ALKIM,ALKIM,2023-10-20,29.0,30.0,29.0,30.0,3
ALKIM,ALKIM,2023-10-25,30.0,30.0,29.0,29.0,5
ALKIM,ALKIM,2023-10-26,29.0,29.0,27.7,27.7,62
ALKIM,ALKIM,2023-10-27,27.7,27.7,26.46,26.46,14
ALKIM,ALKIM,2023-10-30,26.46,26.46,25.4,25.4,20
ALKIM,ALKIM,2023-11-03,28.97,28.97,28.97,28.97,6
ALKIM,ALKIM,2023-11-07,28.97,30.0,28.97,30.0,6
ALKIM,ALKIM,2023-11-13,30.0,30.0,30.0,30.0,5
ALKIM,ALKIM,2023-11-14,30.0,30.0,30.0,30.0,10
ALKIM,ALKIM,2023-11-15,30.0,30.0,30.0,30.0,5
ALKIM,ALKIM,2023-11-17,30.0,30.0,30.0,30.0,4
ALKIM,ALKIM,2024-03-07,23.7,23.7,23.2,23.2,10
ALKIM,ALKIM,2024-04-08,23.2,23.2,23.19,23.19,38
ALKIM,ALKIM,2024-04-12,23.19,23.2,23.19,23.2,100
ALKIM,ALKIM,2024-04-17,23.2,23.2,22.16,22.16,10
ALKIM,ALKIM,2024-04-18,22.16,22.16,21.17,21.17,18
ALKIM,ALKIM,2024-04-19,21.17,21.17,21.0,21.0,19
ALKIM,ALKIM,2024-04-22,21.0,21.02,21.0,21.02,20
ALKIM,ALKIM,2024-04-24,21.02,21.02,21.02,21.02,5
ALKIM,ALKIM,2024-05-03,21.0,21.0,21.0,21.0,15
ALKIM,ALKIM,2024-05-15,21.0,21.0,20.2,20.2,20
ALKIM,ALKIM,2024-05-17,20.2,20.2,20.2,20.2,10
ALKIM,ALKIM,2024-05-24,19.45,19.45,19.45,19.45,38
ALKIM,ALKIM,2024-05-27,19.45,19.45,19.4,19.4,20
ALKIM,ALKIM,2024-05-28,19.45,19.45,19.45,19.45,10
ALKIM,ALKIM,2024-06-04,18.58,18.58,18.5,18.5,6
ALKIM,ALKIM,2024-06-07,18.5,18.5,18.0,18.0,10
ALKIM,ALKIM,2024-06-18,18.0,18.0,18.0,18.0,70
ALKIM,ALKIM,2024-07-09,18.0,18.0,18.0,18.0,5
ALKIM,ALKIM,2024-07-11,18.0,18.0,18.0,18.0,300
ALKIM,ALKIM,2024-07-16,18.0,18.0,17.2,17.2,623
ALKIM,ALKIM,2024-08-06,17.2,17.2,17.2,17.2,5
ALKIM,ALKIM,2024-08-15,17.2,17.2,17.2,17.2,5
ALKIM,ALKIM,2024-08-16,17.2,17.2,17.0,17.0,34
ALKIM,ALKIM,2024-08-27,17.0,17.76,17.0,17.76,18
ALKIM,ALKIM,2024-09-05,17.76,17.76,17.76,17.76,36
ALKIM,ALKIM,2024-09-06,17.76,17.8,17.76,17.8,10
ALKIM,ALKIM,2024-09-11,17.8,17.84,17.8,17.84,294
ALKIM,ALKIM,2024-09-25,17.84,17.84,17.6,17.6,21
ALKIM,ALKIM,2024-10-03,17.6,17.6,16.81,16.81,119
ALKIM,ALKIM,2024-10-08,16.81,17.2,16.81,17.2,100
ALKIM,ALKIM,2024-10-09,17.2,17.2,17.2,17.2,100
ALKIM,ALKIM,2024-10-14,16.43,16.43,15.71,15.71,300
ALKIM,ALKIM,2024-10-23,17.91,18.0,17.91,18.0,5
ALKIM,ALKIM,2024-10-28,18.0,18.5,18.0,18.5,18
ALKIM,ALKIM,2024-10-31,18.5,18.6,18.5,18.6,17
ALKIM,ALKIM,2024-11-04,18.6,18.6,18.0,18.0,15
ALKIM,ALKIM,2024-11-18,18.0,18.0,17.6,17.6,6
ALKIM,ALKIM,2024-11-19,17.6,17.6,17.6,17.6,13
ALKIM,ALKIM,2024-11-20,17.6,17.6,17.6,17.6,50
ALKIM,ALKIM,2024-12-03,17.6,17.6,17.6,17.6,112
ALKIM,ALKIM,2024-12-13,17.6,17.6,17.6,17.6,36
ALKIM,ALKIM,2024-12-23,17.6,17.6,17.6,17.6,36
ALKIM,ALKIM,2024-12-24,17.6,17.6,17.6,17.6,36
ALKIM,ALKIM,2025-01-07,17.6,18.3,17.6,18.3,294
ALKIM,ALKIM,2025-01-14,18.3,18.3,17.5,17.5,147
ALKIM,ALKIM,2025-02-10,17.5,17.5,16.9,16.9,66
ALKIM,ALKIM,2025-02-14,16.9,16.9,16.14,16.14,198
ALKIM,ALKIM,2025-02-17,16.14,16.14,15.51,15.51,137
ALKIM,ALKIM,2025-03-04,16.92,16.92,16.16,16.16,90
ALKIM,ALKIM,2025-03-05,16.16,16.16,15.51,15.51,10
ALKIM,ALKIM,2025-03-06,15.51,15.51,15.44,15.44,110
ALKIM,ALKIM,2025-03-11,15.44,15.44,14.75,14.75,127
ALKIM,ALKIM,2025-03-14,14.75,14.76,14.75,14.76,13
ALKIM,ALKIM,2025-03-17,14.76,14.76,14.76,14.76,37
ALKIM,ALKIM,2025-03-25,14.76,14.76,14.12,14.12,62
ALKIM,ALKIM,2025-03-26,14.12,14.12,14.12,14.12,26
ALKIM,ALKIM,2025-04-08,14.12,14.12,13.5,13.5,70
ALKIM,ALKIM,2025-05-02,13.5,13.5,13.5,13.5,105
ALKIM,ALKIM,2025-05-05,13.5,13.5,13.5,13.5,82
ALKIM,ALKIM,2025-05-12,13.5,13.5,13.5,13.5,54
