ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
MAGHREBIA VIE,AMV,2023-03-09,5.92,6.0,5.92,5.92,3308
MAGHREBIA VIE,AMV,2023-03-10,6.25,6.29,5.99,6.25,70777
MAGHREBIA VIE,AMV,2023-03-13,6.28,6.29,6.2,6.28,29075
MAGHREBIA VIE,AMV,2023-03-14,6.27,6.28,6.2,6.27,16079
MAGHREBIA VIE,AMV,2023-03-15,6.34,6.35,6.2,6.34,50808
MAGHREBIA VIE,AMV,2023-03-16,6.4,6.4,6.3,6.4,65863
MAGHREBIA VIE,AMV,2023-03-17,6.4,6.4,6.36,6.4,24340
MAGHREBIA VIE,AMV,2023-03-21,6.35,6.4,6.35,6.35,8372
MAGHREBIA VIE,AMV,2023-03-22,6.35,6.35,6.3,6.35,6567
MAGHREBIA VIE,AMV,2023-03-23,6.34,6.35,6.34,6.34,1500
MAGHREBIA VIE,AMV,2023-03-24,6.34,6.34,6.34,6.34,1050
MAGHREBIA VIE,AMV,2023-03-27,6.3,6.34,6.2,6.3,29216
MAGHREBIA VIE,AMV,2023-03-28,6.27,6.3,6.23,6.27,5650
MAGHREBIA VIE,AMV,2023-03-29,6.24,6.27,6.12,6.24,5300
MAGHREBIA VIE,AMV,2023-03-30,6.22,6.24,6.22,6.22,19448
MAGHREBIA VIE,AMV,2023-03-31,6.26,6.26,6.19,6.26,10109
MAGHREBIA VIE,AMV,2023-04-03,6.3,6.3,6.26,6.3,16850
MAGHREBIA VIE,AMV,2023-04-04,6.3,6.33,6.29,6.3,2601
MAGHREBIA VIE,AMV,2023-04-05,6.3,6.3,6.21,6.3,30699
MAGHREBIA VIE,AMV,2023-04-06,6.3,6.3,6.2,6.3,5120
MAGHREBIA VIE,AMV,2023-04-07,6.35,6.35,6.16,6.35,36586
MAGHREBIA VIE,AMV,2023-04-10,6.35,6.35,6.23,6.35,7776
MAGHREBIA VIE,AMV,2023-04-11,6.4,6.4,6.34,6.4,37162
MAGHREBIA VIE,AMV,2023-04-12,6.49,6.49,6.4,6.49,28189
MAGHREBIA VIE,AMV,2023-04-13,6.47,6.49,6.36,6.47,3372
MAGHREBIA VIE,AMV,2023-04-14,6.47,6.48,6.36,6.47,6950
MAGHREBIA VIE,AMV,2023-04-17,6.44,6.47,6.33,6.44,5010
MAGHREBIA VIE,AMV,2023-04-18,6.44,6.44,6.44,6.44,400
MAGHREBIA VIE,AMV,2023-04-19,6.44,6.44,6.43,6.44,9520
MAGHREBIA VIE,AMV,2023-04-20,6.44,6.44,6.4,6.44,75202
MAGHREBIA VIE,AMV,2023-04-24,6.44,6.44,6.44,6.44,400
MAGHREBIA VIE,AMV,2023-04-25,6.44,6.44,6.4,6.43,5513
MAGHREBIA VIE,AMV,2023-04-26,6.43,6.43,6.4,6.43,3878
MAGHREBIA VIE,AMV,2023-04-27,6.43,6.43,6.3,6.42,3360
MAGHREBIA VIE,AMV,2023-04-28,6.42,6.42,6.4,6.42,3701
MAGHREBIA VIE,AMV,2023-05-02,6.42,6.42,6.4,6.4,4700
MAGHREBIA VIE,AMV,2023-05-03,6.4,6.4,6.3,6.4,12911
MAGHREBIA VIE,AMV,2023-05-04,6.4,6.4,6.35,6.38,13922
MAGHREBIA VIE,AMV,2023-05-05,6.38,6.59,6.35,6.5,81595
MAGHREBIA VIE,AMV,2023-05-08,6.5,6.57,6.49,6.5,37041
MAGHREBIA VIE,AMV,2023-05-09,6.5,6.5,6.46,6.5,24500
MAGHREBIA VIE,AMV,2023-05-10,6.5,6.54,6.45,6.5,2835
MAGHREBIA VIE,AMV,2023-05-11,6.5,6.53,6.49,6.53,7157
MAGHREBIA VIE,AMV,2023-05-12,6.53,6.54,6.5,6.54,2184
MAGHREBIA VIE,AMV,2023-05-15,6.54,6.55,6.5,6.55,2044
MAGHREBIA VIE,AMV,2023-05-16,6.55,6.55,6.45,6.55,7158
MAGHREBIA VIE,AMV,2023-05-17,6.55,6.58,6.5,6.58,17457
MAGHREBIA VIE,AMV,2023-05-18,6.58,6.59,6.5,6.59,5803
MAGHREBIA VIE,AMV,2023-05-19,6.59,6.59,6.55,6.58,11662
MAGHREBIA VIE,AMV,2023-05-22,6.58,6.59,6.57,6.57,5050
MAGHREBIA VIE,AMV,2023-05-23,6.57,6.6,6.57,6.6,19911
MAGHREBIA VIE,AMV,2023-05-24,6.6,6.65,6.5,6.6,18933
MAGHREBIA VIE,AMV,2023-05-25,6.6,6.66,6.59,6.66,9781
MAGHREBIA VIE,AMV,2023-05-26,6.66,6.67,6.61,6.67,14159
MAGHREBIA VIE,AMV,2023-05-29,6.67,6.67,6.6,6.65,11111
MAGHREBIA VIE,AMV,2023-05-30,6.65,6.91,6.63,6.91,67353
MAGHREBIA VIE,AMV,2023-05-31,6.91,6.93,6.86,6.86,5288
MAGHREBIA VIE,AMV,2023-06-01,6.57,6.86,6.57,6.7,4945
MAGHREBIA VIE,AMV,2023-06-02,6.7,6.7,6.59,6.6,7751
MAGHREBIA VIE,AMV,2023-06-05,6.6,6.68,6.55,6.68,3107
MAGHREBIA VIE,AMV,2023-06-06,6.68,6.68,6.64,6.65,1440
MAGHREBIA VIE,AMV,2023-06-07,6.65,6.73,6.5,6.73,50966
MAGHREBIA VIE,AMV,2023-06-08,6.73,6.73,6.72,6.72,403
MAGHREBIA VIE,AMV,2023-06-09,6.72,6.72,6.65,6.71,13147
MAGHREBIA VIE,AMV,2023-06-12,6.71,6.72,6.7,6.71,2103
MAGHREBIA VIE,AMV,2023-06-13,6.71,6.71,6.69,6.69,12763
MAGHREBIA VIE,AMV,2023-06-14,6.69,6.71,6.69,6.71,8546
MAGHREBIA VIE,AMV,2023-06-15,6.71,6.72,6.7,6.72,887
MAGHREBIA VIE,AMV,2023-06-16,6.72,6.72,6.71,6.72,904
MAGHREBIA VIE,AMV,2023-06-19,6.72,6.72,6.55,6.7,800
MAGHREBIA VIE,AMV,2023-06-20,6.7,6.7,6.7,6.7,1000
MAGHREBIA VIE,AMV,2023-06-21,6.7,6.7,6.68,6.68,400
MAGHREBIA VIE,AMV,2023-06-22,6.68,6.69,6.65,6.69,4900
MAGHREBIA VIE,AMV,2023-06-23,6.69,6.7,6.67,6.7,7674
MAGHREBIA VIE,AMV,2023-06-26,6.7,6.7,6.68,6.69,650
MAGHREBIA VIE,AMV,2023-06-27,6.69,6.69,6.65,6.68,6360
MAGHREBIA VIE,AMV,2023-06-30,6.68,6.68,6.68,6.68,400
MAGHREBIA VIE,AMV,2023-07-03,6.68,6.68,6.51,6.64,6069
MAGHREBIA VIE,AMV,2023-07-04,6.64,6.64,6.64,6.64,12000
MAGHREBIA VIE,AMV,2023-07-05,6.64,6.64,6.61,6.61,407
MAGHREBIA VIE,AMV,2023-07-06,6.61,6.61,6.5,6.5,13074
MAGHREBIA VIE,AMV,2023-07-07,6.5,6.5,6.5,6.5,613
MAGHREBIA VIE,AMV,2023-07-10,6.5,6.5,6.4,6.5,5635
MAGHREBIA VIE,AMV,2023-07-11,6.5,6.5,6.4,6.4,6425
MAGHREBIA VIE,AMV,2023-07-12,6.4,6.4,6.4,6.4,500
MAGHREBIA VIE,AMV,2023-07-13,6.4,6.4,6.39,6.4,565
MAGHREBIA VIE,AMV,2023-07-14,6.4,6.4,6.39,6.4,4009
MAGHREBIA VIE,AMV,2023-07-17,6.4,6.4,6.39,6.4,2600
MAGHREBIA VIE,AMV,2023-07-18,6.4,6.4,6.3,6.4,5840
MAGHREBIA VIE,AMV,2023-07-20,6.4,6.45,6.4,6.45,26759
MAGHREBIA VIE,AMV,2023-07-21,6.45,6.5,6.4,6.45,23973
MAGHREBIA VIE,AMV,2023-07-24,6.45,6.49,6.45,6.45,14575
MAGHREBIA VIE,AMV,2023-07-26,6.45,6.5,6.45,6.5,66455
MAGHREBIA VIE,AMV,2023-07-27,6.5,6.5,6.45,6.5,44776
MAGHREBIA VIE,AMV,2023-07-28,6.5,6.5,6.45,6.5,26415
MAGHREBIA VIE,AMV,2023-07-31,6.5,6.5,6.45,6.5,27656
MAGHREBIA VIE,AMV,2023-08-01,6.5,6.5,6.38,6.5,28762
MAGHREBIA VIE,AMV,2023-08-02,6.5,6.5,6.5,6.5,414
MAGHREBIA VIE,AMV,2023-08-03,6.5,6.5,6.5,6.5,385
MAGHREBIA VIE,AMV,2023-08-04,6.5,6.5,6.45,6.45,4535
MAGHREBIA VIE,AMV,2023-08-07,6.45,6.45,6.45,6.45,392
MAGHREBIA VIE,AMV,2023-08-08,6.45,6.45,6.45,6.45,2441
