ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
ASTREE,AST,2021-06-28,59.0,59.0,59.0,59.0,23
ASTREE,AST,2021-07-28,56.2,56.2,56.2,56.2,54
ASTREE,AST,2021-08-17,56.2,56.2,56.2,56.2,62
ASTREE,AST,2021-08-19,56.2,56.2,56.2,56.2,37
ASTREE,AST,2021-08-20,56.2,56.2,56.2,56.2,40
ASTREE,AST,2021-10-29,56.2,56.2,56.2,56.2,5058
ASTREE,AST,2021-11-16,56.2,56.2,56.2,56.2,100
ASTREE,AST,2021-11-22,56.2,56.2,56.2,56.2,20000
ASTREE,AST,2021-12-02,56.2,56.2,56.2,56.2,10
ASTREE,AST,2021-12-03,56.2,56.2,56.2,56.2,391
ASTREE,AST,2021-12-13,56.2,56.2,56.2,56.2,300
ASTREE,AST,2022-03-21,57.43,57.43,57.43,57.43,51326
ASTREE,AST,2022-03-22,57.43,57.43,57.43,57.43,51326
ASTREE,AST,2022-04-14,57.43,57.43,57.43,57.43,51326
ASTREE,AST,2022-04-19,57.43,57.43,57.43,57.43,504
ASTREE,AST,2022-04-20,57.43,57.43,57.43,57.43,2000
ASTREE,AST,2022-04-21,57.43,57.43,57.43,57.43,1000
ASTREE,AST,2022-04-26,57.43,57.43,57.43,57.43,674
ASTREE,AST,2022-04-28,57.43,57.43,57.43,57.43,10
ASTREE,AST,2022-04-29,57.43,57.43,57.43,57.43,500
ASTREE,AST,2022-05-31,57.42,57.43,57.42,57.42,5428
ASTREE,AST,2022-06-03,57.43,57.43,57.42,57.43,11
ASTREE,AST,2022-07-11,54.6,54.63,54.6,54.6,760
ASTREE,AST,2022-07-13,54.6,54.6,54.6,54.6,10
ASTREE,AST,2022-08-09,54.6,54.6,54.6,54.6,15
ASTREE,AST,2022-08-23,54.6,54.6,54.6,54.6,200
ASTREE,AST,2022-08-24,54.6,54.6,54.6,54.6,600
ASTREE,AST,2022-08-25,54.6,54.6,54.6,54.6,1000
ASTREE,AST,2022-08-26,54.6,54.6,54.6,54.6,500
ASTREE,AST,2022-08-29,54.6,54.6,54.6,54.6,500
ASTREE,AST,2022-08-30,54.6,54.6,54.6,54.6,20
ASTREE,AST,2022-09-01,54.6,54.6,54.6,54.6,518
ASTREE,AST,2022-09-02,54.6,54.6,54.6,54.6,1200
ASTREE,AST,2022-09-12,54.4,54.6,54.4,54.4,300
ASTREE,AST,2022-09-20,54.0,54.4,54.0,54.0,200
ASTREE,AST,2022-09-28,54.0,54.0,54.0,54.0,200
ASTREE,AST,2022-09-30,54.0,54.0,54.0,54.0,20
ASTREE,AST,2022-10-14,52.01,54.0,52.01,52.01,366
ASTREE,AST,2022-10-17,52.0,52.01,52.0,52.0,395
ASTREE,AST,2022-10-18,52.0,52.0,52.0,52.0,2
ASTREE,AST,2022-10-24,52.0,52.0,52.0,52.0,198
ASTREE,AST,2022-11-01,52.0,52.0,52.0,52.0,1
ASTREE,AST,2022-11-21,54.0,54.0,52.0,54.0,2
ASTREE,AST,2022-12-05,54.6,54.6,53.99,54.6,10
ASTREE,AST,2022-12-06,54.6,54.6,54.6,54.6,7
ASTREE,AST,2023-03-14,47.42,47.42,47.42,47.42,100
ASTREE,AST,2023-03-21,47.42,47.42,47.42,47.42,200
ASTREE,AST,2023-03-23,47.42,47.42,47.42,47.42,300
ASTREE,AST,2023-03-30,47.2,47.42,47.2,47.2,37
ASTREE,AST,2023-03-31,47.2,47.2,47.2,47.2,1
ASTREE,AST,2023-04-03,47.42,47.42,47.2,47.42,42
ASTREE,AST,2023-04-04,47.42,47.42,47.42,47.42,230
ASTREE,AST,2023-04-05,47.42,47.42,47.42,47.42,5
ASTREE,AST,2023-04-06,47.42,47.42,47.42,47.42,10
ASTREE,AST,2023-04-10,47.42,47.42,47.42,47.42,2
ASTREE,AST,2023-04-11,47.42,47.42,47.42,47.42,200
ASTREE,AST,2023-04-24,47.42,47.42,47.42,47.42,50
ASTREE,AST,2023-05-03,47.42,47.42,47.42,47.42,10
ASTREE,AST,2023-05-11,47.42,47.42,47.42,47.42,30
ASTREE,AST,2023-05-18,47.42,47.42,47.41,47.41,18
ASTREE,AST,2023-05-19,47.41,47.42,47.41,47.42,332
ASTREE,AST,2023-05-22,47.42,47.42,47.42,47.42,10
ASTREE,AST,2023-05-25,47.42,47.42,47.42,47.42,20
ASTREE,AST,2023-05-31,47.42,47.42,47.42,47.42,10
ASTREE,AST,2023-06-09,47.42,47.42,47.42,47.42,21
ASTREE,AST,2023-06-14,47.42,47.42,47.42,47.42,4
ASTREE,AST,2023-06-20,47.42,47.42,47.42,47.42,8
ASTREE,AST,2023-07-03,45.42,47.42,45.42,47.42,22
ASTREE,AST,2023-07-14,47.42,47.42,45.5,47.42,31000
ASTREE,AST,2023-07-20,47.42,47.42,45.29,45.29,400
ASTREE,AST,2023-08-10,47.32,47.32,47.32,47.32,10
ASTREE,AST,2023-08-15,47.32,47.32,46.99,46.99,40
ASTREE,AST,2023-08-21,46.99,46.99,45.0,45.0,2000
ASTREE,AST,2023-08-22,45.0,47.0,45.0,47.0,4
ASTREE,AST,2023-08-24,47.0,47.0,47.0,47.0,10
ASTREE,AST,2023-08-25,47.0,47.0,47.0,47.0,76
ASTREE,AST,2023-08-28,47.0,47.0,47.0,47.0,3
ASTREE,AST,2023-08-29,47.0,47.4,47.0,47.4,15
ASTREE,AST,2023-09-06,47.4,47.4,47.4,47.4,154
ASTREE,AST,2023-09-08,47.4,47.4,47.4,47.4,59
ASTREE,AST,2023-09-26,47.4,47.4,47.0,47.0,126
ASTREE,AST,2023-09-28,47.0,47.3,47.0,47.3,146
ASTREE,AST,2023-10-05,47.3,47.3,47.3,47.3,204
ASTREE,AST,2023-11-09,47.3,47.3,46.5,46.5,1
ASTREE,AST,2023-11-10,46.5,46.5,46.5,46.5,406
ASTREE,AST,2023-11-14,46.5,46.5,46.5,46.5,197
ASTREE,AST,2024-03-13,48.0,48.0,47.99,47.99,10
ASTREE,AST,2024-03-14,47.99,48.0,47.99,48.0,7
ASTREE,AST,2024-03-15,48.0,48.0,48.0,48.0,19
