ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
ARAB TUNISIAN LEASE,ATL,2021-06-17,1.53,1.57,1.53,1.57,305
ARAB TUNISIAN LEASE,ATL,2021-06-18,1.57,1.57,1.55,1.57,255
ARAB TUNISIAN LEASE,ATL,2021-06-21,1.58,1.59,1.58,1.59,2125
ARAB TUNISIAN LEASE,ATL,2021-06-22,1.55,1.57,1.55,1.57,271
ARAB TUNISIAN LEASE,ATL,2021-06-23,1.6,1.6,1.55,1.58,77
ARAB TUNISIAN LEASE,ATL,2021-06-24,1.54,1.57,1.52,1.52,288
ARAB TUNISIAN LEASE,ATL,2021-06-25,1.55,1.55,1.5,1.51,5930
ARAB TUNISIAN LEASE,ATL,2021-06-28,1.57,1.57,1.51,1.57,1833
ARAB TUNISIAN LEASE,ATL,2021-06-29,1.56,1.57,1.56,1.57,735
ARAB TUNISIAN LEASE,ATL,2021-07-01,1.57,1.57,1.57,1.57,25
ARAB TUNISIAN LEASE,ATL,2021-07-13,1.58,1.58,1.57,1.58,1520
ARAB TUNISIAN LEASE,ATL,2021-07-14,1.6,1.6,1.6,1.6,25
ARAB TUNISIAN LEASE,ATL,2021-07-15,1.6,1.61,1.59,1.61,1210
ARAB TUNISIAN LEASE,ATL,2021-07-16,1.61,1.61,1.61,1.61,197
ARAB TUNISIAN LEASE,ATL,2021-07-23,1.6,1.61,1.6,1.61,2035
ARAB TUNISIAN LEASE,ATL,2021-07-26,1.54,1.56,1.54,1.56,1767
ARAB TUNISIAN LEASE,ATL,2021-07-27,1.6,1.6,1.56,1.56,2
ARAB TUNISIAN LEASE,ATL,2021-07-28,1.6,1.6,1.56,1.6,105
ARAB TUNISIAN LEASE,ATL,2021-07-29,1.61,1.61,1.61,1.61,1
ARAB TUNISIAN LEASE,ATL,2021-07-30,1.57,1.6,1.57,1.57,6099
ARAB TUNISIAN LEASE,ATL,2021-08-02,1.6,1.6,1.6,1.6,1
ARAB TUNISIAN LEASE,ATL,2021-08-03,1.55,1.6,1.55,1.6,2040
ARAB TUNISIAN LEASE,ATL,2021-08-04,1.61,1.61,1.56,1.61,490
ARAB TUNISIAN LEASE,ATL,2021-08-06,1.62,1.62,1.6,1.6,31
ARAB TUNISIAN LEASE,ATL,2021-08-09,1.56,1.6,1.56,1.6,354
ARAB TUNISIAN LEASE,ATL,2021-08-11,1.61,1.62,1.61,1.62,110
ARAB TUNISIAN LEASE,ATL,2021-08-12,1.61,1.61,1.6,1.61,8240
ARAB TUNISIAN LEASE,ATL,2021-08-16,1.58,1.61,1.58,1.61,88
ARAB TUNISIAN LEASE,ATL,2021-08-17,1.6,1.6,1.57,1.58,9345
ARAB TUNISIAN LEASE,ATL,2021-08-18,1.58,1.6,1.54,1.54,7884
ARAB TUNISIAN LEASE,ATL,2021-08-19,1.58,1.58,1.58,1.58,1
ARAB TUNISIAN LEASE,ATL,2021-08-20,1.58,1.58,1.58,1.58,1200
ARAB TUNISIAN LEASE,ATL,2021-08-23,1.55,1.6,1.55,1.59,46842
ARAB TUNISIAN LEASE,ATL,2021-08-26,1.58,1.58,1.55,1.58,1251
ARAB TUNISIAN LEASE,ATL,2021-08-27,1.54,1.59,1.54,1.59,754
ARAB TUNISIAN LEASE,ATL,2021-08-31,1.6,1.6,1.59,1.6,151
ARAB TUNISIAN LEASE,ATL,2021-09-01,1.53,1.58,1.53,1.58,2525
ARAB TUNISIAN LEASE,ATL,2021-09-02,1.58,1.6,1.56,1.56,12031
ARAB TUNISIAN LEASE,ATL,2021-09-03,1.53,1.56,1.53,1.56,13
ARAB TUNISIAN LEASE,ATL,2021-09-06,1.53,1.54,1.53,1.54,9059
ARAB TUNISIAN LEASE,ATL,2021-09-07,1.56,1.58,1.54,1.58,351
ARAB TUNISIAN LEASE,ATL,2021-09-08,1.55,1.55,1.53,1.55,2470
ARAB TUNISIAN LEASE,ATL,2021-09-09,1.55,1.55,1.54,1.55,16999
ARAB TUNISIAN LEASE,ATL,2021-09-10,1.54,1.57,1.54,1.55,5005
ARAB TUNISIAN LEASE,ATL,2021-09-13,1.55,1.57,1.55,1.57,7603
ARAB TUNISIAN LEASE,ATL,2021-09-14,1.57,1.58,1.57,1.58,999
ARAB TUNISIAN LEASE,ATL,2021-09-15,1.58,1.62,1.55,1.6,46709
ARAB TUNISIAN LEASE,ATL,2021-09-16,1.65,1.65,1.6,1.62,7733
ARAB TUNISIAN LEASE,ATL,2021-09-17,1.6,1.7,1.6,1.71,21389
ARAB TUNISIAN LEASE,ATL,2021-09-20,1.72,1.81,1.71,1.81,83227
ARAB TUNISIAN LEASE,ATL,2021-09-21,1.9,1.9,1.9,1.9,27214
ARAB TUNISIAN LEASE,ATL,2021-09-22,1.92,2.0,1.9,1.9,53991
