ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
BH BANK,BH,2021-06-18,9.68,9.97,9.68,9.97,601
BH BANK,BH,2021-06-21,9.97,9.97,9.97,9.97,1000
BH BANK,BH,2021-06-22,9.68,9.97,9.68,9.97,11275
BH BANK,BH,2021-06-23,9.95,9.95,9.95,9.95,10
BH BANK,BH,2021-06-25,9.9,9.93,9.66,9.93,303
BH BANK,BH,2021-06-28,9.8,9.8,9.8,9.8,2430
BH BANK,BH,2021-06-29,9.9,9.9,9.9,9.9,100
BH BANK,BH,2021-06-30,9.88,9.89,9.88,9.89,1352
BH BANK,BH,2021-07-01,9.89,9.89,9.7,9.89,2845
BH BANK,BH,2021-07-02,9.89,9.89,9.61,9.89,2200
BH BANK,BH,2021-07-07,9.87,9.89,9.87,9.89,1223
BH BANK,BH,2021-07-08,9.88,9.88,9.85,9.88,3507
BH BANK,BH,2021-07-09,9.88,9.88,9.88,9.88,2054
BH BANK,BH,2021-07-12,9.88,9.88,9.87,9.88,2032
BH BANK,BH,2021-07-13,9.88,9.88,9.88,9.88,1107
BH BANK,BH,2021-07-14,9.85,9.86,9.85,9.86,3910
BH BANK,BH,2021-07-15,9.86,9.88,9.86,9.88,3000
BH BANK,BH,2021-07-16,9.88,9.88,9.88,9.88,4105
BH BANK,BH,2021-07-19,9.88,9.88,9.61,9.88,5232
BH BANK,BH,2021-07-22,9.86,9.86,9.85,9.85,6405
BH BANK,BH,2021-07-23,9.85,9.88,9.85,9.88,10018
BH BANK,BH,2021-07-26,9.88,9.88,9.86,9.88,8055
BH BANK,BH,2021-07-27,9.88,9.88,9.85,9.88,8460
BH BANK,BH,2021-07-28,9.88,9.88,9.88,9.88,6831
BH BANK,BH,2021-07-29,9.9,9.99,9.9,9.97,18316
BH BANK,BH,2021-07-30,9.95,9.96,9.95,9.95,8345
BH BANK,BH,2021-08-02,9.8,9.93,9.8,9.93,5668
BH BANK,BH,2021-08-03,9.9,9.9,9.9,9.9,13704
BH BANK,BH,2021-08-04,9.89,9.95,9.89,9.9,12804
BH BANK,BH,2021-08-05,9.9,9.94,9.9,9.94,3667
BH BANK,BH,2021-08-06,9.94,9.94,9.94,9.94,2944
BH BANK,BH,2021-08-09,9.94,9.95,9.94,9.95,3333
BH BANK,BH,2021-08-11,9.95,9.95,9.9,9.9,6694
BH BANK,BH,2021-08-12,9.85,9.94,9.85,9.94,5994
BH BANK,BH,2021-08-16,10.09,10.17,10.08,10.17,981
BH BANK,BH,2021-08-17,10.15,10.15,10.15,10.15,1470
BH BANK,BH,2021-08-18,10.14,10.39,10.1,10.2,5980
BH BANK,BH,2021-08-19,10.0,10.3,10.0,10.3,9741
BH BANK,BH,2021-08-20,10.1,10.42,10.1,10.42,17485
BH BANK,BH,2021-08-23,10.11,10.27,10.11,10.26,13783
BH BANK,BH,2021-08-24,10.26,10.26,10.0,10.23,12729
BH BANK,BH,2021-08-25,10.23,10.23,10.22,10.23,1477
BH BANK,BH,2021-08-26,10.23,10.47,10.2,10.47,1435
BH BANK,BH,2021-08-27,10.47,10.47,10.2,10.45,1339
BH BANK,BH,2021-08-30,10.47,10.47,10.45,10.47,77
BH BANK,BH,2021-08-31,10.44,10.47,10.3,10.44,771
BH BANK,BH,2021-09-01,10.44,10.44,10.44,10.44,63
BH BANK,BH,2021-09-02,10.25,10.39,10.18,10.38,633
BH BANK,BH,2021-09-03,10.38,10.38,10.18,10.18,173
BH BANK,BH,2021-09-06,10.25,10.3,10.25,10.3,200
BH BANK,BH,2021-09-07,10.33,10.33,10.3,10.3,1285
BH BANK,BH,2021-09-08,10.3,10.3,10.29,10.3,550
BH BANK,BH,2021-09-09,9.9,10.28,9.9,10.28,1239
BH BANK,BH,2021-09-10,10.27,10.28,10.27,10.28,235
BH BANK,BH,2021-09-14,10.2,10.2,10.2,10.2,5600
BH BANK,BH,2021-09-15,10.27,10.27,10.25,10.25,1481
BH BANK,BH,2021-09-17,10.23,10.24,10.23,10.23,1884
BH BANK,BH,2021-09-21,10.23,10.23,10.23,10.23,468
BH BANK,BH,2021-09-22,10.23,10.23,10.23,10.23,100
BH BANK,BH,2021-09-23,10.21,10.23,10.21,10.23,1772
BH BANK,BH,2021-09-24,10.3,10.3,10.29,10.29,4926
