ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
BH ASSURANCE,BHASS,2021-06-23,47.0,47.0,47.0,47.0,5
BH ASSURANCE,BHASS,2021-06-29,47.5,47.5,47.5,47.5,12
BH ASSURANCE,BHASS,2021-08-04,48.0,48.0,48.0,48.0,3
BH ASSURANCE,BHASS,2021-08-25,48.0,48.0,48.0,48.0,30
BH ASSURANCE,BHASS,2021-10-13,48.5,48.5,48.0,48.5,600
BH ASSURANCE,BHASS,2021-11-09,49.0,49.0,48.5,49.0,15
BH ASSURANCE,BHASS,2021-12-02,47.5,49.0,47.5,47.5,25
BH ASSURANCE,BHASS,2021-12-09,47.5,47.5,47.5,47.5,10
BH ASSURANCE,BHASS,2022-03-14,47.5,47.5,47.5,47.5,292
BH ASSURANCE,BHASS,2022-03-16,47.5,50.35,47.5,47.5,217
BH ASSURANCE,BHASS,2022-04-12,47.5,47.5,46.4,47.5,124
BH ASSURANCE,BHASS,2022-08-02,48.5,48.5,48.5,48.5,43
BH ASSURANCE,BHASS,2022-08-16,48.5,48.5,48.5,48.5,12
BH ASSURANCE,BHASS,2022-08-22,48.5,48.5,48.5,48.5,30
BH ASSURANCE,BHASS,2022-08-24,48.5,48.5,48.5,48.5,10
BH ASSURANCE,BHASS,2022-09-01,48.5,48.5,48.5,48.5,12
BH ASSURANCE,BHASS,2022-09-02,48.5,48.5,48.5,48.5,50
BH ASSURANCE,BHASS,2022-09-16,49.0,49.0,48.5,49.0,12
BH ASSURANCE,BHASS,2022-09-19,49.0,49.0,49.0,49.0,1059
BH ASSURANCE,BHASS,2022-09-23,49.0,49.0,49.0,49.0,6
BH ASSURANCE,BHASS,2022-09-30,49.0,49.0,49.0,49.0,13
BH ASSURANCE,BHASS,2022-10-06,49.0,49.0,49.0,49.0,6
BH ASSURANCE,BHASS,2022-10-07,49.0,49.0,49.0,49.0,7
BH ASSURANCE,BHASS,2022-10-14,49.0,49.0,49.0,49.0,25
BH ASSURANCE,BHASS,2022-10-17,49.0,49.0,49.0,49.0,100
BH ASSURANCE,BHASS,2022-10-19,50.0,50.0,49.0,50.0,200
BH ASSURANCE,BHASS,2022-11-01,50.0,50.0,50.0,50.0,20
BH ASSURANCE,BHASS,2022-11-03,50.0,50.0,50.0,50.0,38
BH ASSURANCE,BHASS,2023-03-29,50.0,50.0,50.0,50.0,6
BH ASSURANCE,BHASS,2023-04-24,50.0,50.0,50.0,50.0,21
BH ASSURANCE,BHASS,2023-05-15,48.75,48.75,48.75,48.75,528
BH ASSURANCE,BHASS,2023-06-09,48.75,48.75,48.75,48.75,20
BH ASSURANCE,BHASS,2023-06-16,48.75,48.75,48.75,48.75,60
BH ASSURANCE,BHASS,2023-08-08,48.75,48.75,48.75,48.75,184
BH ASSURANCE,BHASS,2023-08-09,48.75,48.75,48.75,48.75,10
BH ASSURANCE,BHASS,2023-08-29,48.75,48.75,48.75,48.75,125
BH ASSURANCE,BHASS,2023-10-30,48.75,48.75,48.75,48.75,43
BH ASSURANCE,BHASS,2023-11-14,48.75,48.75,48.75,48.75,84
BH ASSURANCE,BHASS,2023-11-16,48.75,48.75,48.75,48.75,17
BH ASSURANCE,BHASS,2023-11-29,48.75,48.75,48.75,48.75,3
BH ASSURANCE,BHASS,2023-11-30,48.75,48.76,48.75,48.76,39000
BH ASSURANCE,BHASS,2024-04-18,48.75,48.75,48.75,48.75,30
BH ASSURANCE,BHASS,2024-04-22,48.75,48.75,48.75,48.75,19
BH ASSURANCE,BHASS,2024-05-23,47.0,47.0,47.0,47.0,5
BH ASSURANCE,BHASS,2024-05-31,47.0,47.0,47.0,47.0,35
BH ASSURANCE,BHASS,2024-06-05,47.0,47.0,47.0,47.0,839
BH ASSURANCE,BHASS,2024-06-14,47.0,47.25,47.0,47.25,265
BH ASSURANCE,BHASS,2024-06-21,47.25,47.25,47.25,47.25,19
