ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
BH LEASING,BHL,2021-06-18,1.37,1.37,1.37,1.37,400
BH LEASING,BHL,2021-06-21,1.31,1.31,1.31,1.31,10
BH LEASING,BHL,2021-06-25,1.36,1.36,1.36,1.36,492
BH LEASING,BHL,2021-06-29,1.32,1.32,1.32,1.32,1436
BH LEASING,BHL,2021-06-30,1.32,1.32,1.32,1.32,555
BH LEASING,BHL,2021-07-05,1.32,1.32,1.32,1.32,10
BH LEASING,BHL,2021-07-06,1.32,1.32,1.32,1.32,205
BH LEASING,BHL,2021-07-07,1.3,1.3,1.3,1.3,145
BH LEASING,BHL,2021-07-23,1.56,1.56,1.56,1.56,800
BH LEASING,BHL,2021-07-26,1.6,1.6,1.6,1.6,150
BH LEASING,BHL,2021-07-27,1.6,1.6,1.6,1.6,300
BH LEASING,BHL,2021-07-29,1.55,1.55,1.55,1.55,170
BH LEASING,BHL,2021-07-30,1.51,1.51,1.51,1.51,1800
BH LEASING,BHL,2021-08-09,1.5,1.5,1.5,1.5,24
BH LEASING,BHL,2021-08-11,1.5,1.5,1.5,1.5,141
BH LEASING,BHL,2021-08-20,1.5,1.5,1.5,1.5,200
BH LEASING,BHL,2021-08-24,1.49,1.49,1.49,1.49,5
BH LEASING,BHL,2021-09-01,1.49,1.49,1.49,1.49,60
BH LEASING,BHL,2021-09-14,1.44,1.44,1.44,1.44,100
BH LEASING,BHL,2021-09-16,1.43,1.43,1.43,1.43,200
BH LEASING,BHL,2021-09-29,1.43,1.43,1.37,1.37,32
BH LEASING,BHL,2021-10-04,1.33,1.37,1.33,1.33,300
BH LEASING,BHL,2021-10-14,1.34,1.34,1.33,1.34,233
BH LEASING,BHL,2021-10-21,1.4,1.4,1.4,1.4,146
BH LEASING,BHL,2021-10-27,1.43,1.43,1.4,1.43,1000
BH LEASING,BHL,2021-10-28,1.4,1.43,1.4,1.4,11119
BH LEASING,BHL,2021-10-29,1.4,1.43,1.4,1.4,2301
BH LEASING,BHL,2021-11-01,1.4,1.4,1.4,1.4,100
BH LEASING,BHL,2021-11-02,1.41,1.41,1.4,1.41,1985
BH LEASING,BHL,2021-11-03,1.47,1.47,1.41,1.47,1
BH LEASING,BHL,2021-11-05,1.47,1.47,1.4,1.47,10510
BH LEASING,BHL,2021-11-16,1.5,1.53,1.5,1.5,204
BH LEASING,BHL,2021-11-17,1.44,1.5,1.44,1.44,5
BH LEASING,BHL,2021-11-18,1.44,1.44,1.44,1.44,500
BH LEASING,BHL,2021-11-19,1.5,1.5,1.44,1.5,265
BH LEASING,BHL,2021-11-30,1.49,1.5,1.49,1.49,1319
BH LEASING,BHL,2021-12-02,1.43,1.49,1.43,1.43,1000
BH LEASING,BHL,2021-12-03,1.4,1.43,1.4,1.4,1051
BH LEASING,BHL,2021-12-06,1.45,1.45,1.4,1.45,355
BH LEASING,BHL,2021-12-07,1.45,1.45,1.45,1.45,100
BH LEASING,BHL,2021-12-09,1.45,1.45,1.45,1.45,12
BH LEASING,BHL,2021-12-10,1.45,1.45,1.45,1.45,6
BH LEASING,BHL,2022-03-14,1.98,2.05,1.98,1.98,1800
BH LEASING,BHL,2022-03-15,2.05,2.05,1.98,2.05,69
BH LEASING,BHL,2022-03-16,2.14,2.14,2.05,2.14,5
BH LEASING,BHL,2022-03-17,2.1,2.14,2.1,2.1,3800
BH LEASING,BHL,2022-03-18,2.18,2.18,2.1,2.18,750
BH LEASING,BHL,2022-03-21,2.09,2.27,2.09,2.09,455
BH LEASING,BHL,2022-03-24,2.0,2.09,2.0,2.0,819
BH LEASING,BHL,2022-03-25,2.08,2.08,2.0,2.08,185
BH LEASING,BHL,2022-03-31,1.83,1.91,1.83,1.83,175
BH LEASING,BHL,2022-04-01,2.0,2.0,1.98,2.0,1475
BH LEASING,BHL,2022-04-04,2.05,2.05,2.0,2.05,17
BH LEASING,BHL,2022-04-05,2.05,2.05,2.05,2.05,483
BH LEASING,BHL,2022-04-06,2.05,2.05,2.05,2.05,60
BH LEASING,BHL,2022-04-07,2.05,2.05,2.05,2.05,10
BH LEASING,BHL,2022-04-08,1.99,2.05,1.99,1.99,504
BH LEASING,BHL,2022-04-11,1.91,1.99,1.91,1.91,2422
BH LEASING,BHL,2022-04-13,1.83,1.91,1.83,1.83,510
BH LEASING,BHL,2022-04-15,1.75,1.83,1.75,1.75,36
BH LEASING,BHL,2022-04-18,1.8,1.8,1.75,1.8,50
BH LEASING,BHL,2022-04-21,1.9,1.9,1.88,1.9,50
BH LEASING,BHL,2022-04-22,1.89,1.9,1.89,1.89,1040
BH LEASING,BHL,2022-04-26,1.81,1.89,1.81,1.81,500
BH LEASING,BHL,2022-04-28,1.81,1.81,1.81,1.81,1040
BH LEASING,BHL,2022-05-12,1.7,1.73,1.7,1.7,1785
BH LEASING,BHL,2022-05-24,1.59,1.59,1.59,1.59,1681
BH LEASING,BHL,2022-05-30,1.56,1.56,1.5,1.56,2
