ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
BIAT,BIAT,2021-06-17,62.48,62.49,62.31,62.49,5896
BIAT,BIAT,2021-06-18,62.32,62.49,62.32,62.4,306
BIAT,BIAT,2021-06-21,62.32,62.7,62.3,62.4,1028
BIAT,BIAT,2021-06-22,62.65,62.67,62.41,62.41,2490
BIAT,BIAT,2021-06-23,62.41,62.5,62.41,62.41,4737
BIAT,BIAT,2021-06-24,62.4,62.5,62.4,62.45,2372
BIAT,BIAT,2021-06-25,62.44,62.59,62.44,62.55,654
BIAT,BIAT,2021-06-28,62.5,62.5,62.4,62.41,5308
BIAT,BIAT,2021-06-29,62.41,62.5,62.41,62.5,7074
BIAT,BIAT,2021-06-30,62.42,62.5,62.4,62.5,819
BIAT,BIAT,2021-07-01,62.5,62.5,62.4,62.5,733
BIAT,BIAT,2021-07-02,62.5,62.5,62.4,62.4,142
BIAT,BIAT,2021-07-05,62.4,62.4,62.4,62.4,209
BIAT,BIAT,2021-07-06,62.4,62.5,62.4,62.5,5045
BIAT,BIAT,2021-07-07,62.5,62.7,62.5,62.7,2802
BIAT,BIAT,2021-07-08,62.9,63.3,62.5,62.5,2253
BIAT,BIAT,2021-07-09,62.5,62.5,62.41,62.5,1458
BIAT,BIAT,2021-07-12,62.5,62.7,62.4,62.5,3815
BIAT,BIAT,2021-07-13,62.5,62.5,62.41,62.5,1784
BIAT,BIAT,2021-07-14,62.5,62.5,62.0,62.3,3222
BIAT,BIAT,2021-07-15,62.1,62.2,62.0,62.2,2699
BIAT,BIAT,2021-07-16,62.2,62.9,62.2,62.5,209
BIAT,BIAT,2021-07-19,62.2,62.5,62.0,62.5,768
BIAT,BIAT,2021-07-22,62.9,62.9,62.5,62.5,57
BIAT,BIAT,2021-07-23,62.11,62.5,62.11,62.5,1111
BIAT,BIAT,2021-07-26,62.15,62.7,62.15,62.49,2032
BIAT,BIAT,2021-07-27,62.49,62.49,62.1,62.1,125
BIAT,BIAT,2021-07-28,62.49,62.7,62.12,62.4,363
BIAT,BIAT,2021-07-29,62.5,62.5,62.5,62.5,14094
BIAT,BIAT,2021-07-30,62.49,62.68,62.49,62.5,1529
BIAT,BIAT,2021-08-02,62.68,62.68,62.49,62.5,4406
BIAT,BIAT,2021-08-03,62.5,62.5,62.4,62.5,1882
BIAT,BIAT,2021-08-04,62.47,62.5,62.47,62.5,502
BIAT,BIAT,2021-08-05,62.49,62.69,62.45,62.5,3269
BIAT,BIAT,2021-08-06,62.65,62.65,62.65,62.65,200
BIAT,BIAT,2021-08-09,62.59,62.59,62.59,62.59,298
BIAT,BIAT,2021-08-11,62.45,62.5,62.45,62.5,636
BIAT,BIAT,2021-08-12,62.46,63.0,62.45,63.0,1437
BIAT,BIAT,2021-08-16,63.0,63.0,63.0,63.0,32
