ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
BEST LEASE,BL,2021-06-18,2.0,2.0,2.0,2.0,1589
BEST LEASE,BL,2021-08-06,1.96,1.96,1.96,1.96,100
BEST LEASE,BL,2021-08-17,1.91,1.91,1.91,1.91,770
BEST LEASE,BL,2021-09-06,1.9,1.9,1.9,1.9,881
BEST LEASE,BL,2021-09-08,1.9,1.9,1.9,1.9,1000
BEST LEASE,BL,2021-09-14,1.91,1.91,1.91,1.91,204
BEST LEASE,BL,2021-10-19,1.7,1.91,1.7,1.7,8264824
BEST LEASE,BL,2021-10-21,1.92,1.92,1.91,1.92,110
BEST LEASE,BL,2021-10-22,1.92,1.92,1.92,1.92,175
BEST LEASE,BL,2021-10-28,1.92,1.92,1.92,1.92,10
BEST LEASE,BL,2021-10-29,1.92,1.92,1.92,1.92,5
BEST LEASE,BL,2021-11-02,1.93,1.93,1.92,1.93,5
BEST LEASE,BL,2021-11-04,1.93,1.93,1.93,1.93,45
BEST LEASE,BL,2021-11-05,1.93,1.93,1.93,1.93,1000
BEST LEASE,BL,2021-11-17,1.93,1.93,1.93,1.93,48
BEST LEASE,BL,2022-04-18,2.27,2.27,2.26,2.27,695
BEST LEASE,BL,2022-04-22,2.27,2.27,2.27,2.27,300
BEST LEASE,BL,2022-04-27,2.27,2.27,2.27,2.27,48465
BEST LEASE,BL,2022-04-28,2.27,2.27,2.27,2.27,17485
BEST LEASE,BL,2022-04-29,2.26,2.27,2.26,2.26,100
BEST LEASE,BL,2022-07-01,2.2,2.2,2.2,2.2,1
BEST LEASE,BL,2022-07-07,2.2,2.2,2.2,2.2,140
BEST LEASE,BL,2022-07-19,2.19,2.2,2.19,2.19,62
BEST LEASE,BL,2022-08-05,2.12,2.12,2.07,2.12,50
BEST LEASE,BL,2022-08-08,2.12,2.12,2.12,2.12,305
BEST LEASE,BL,2022-08-12,2.21,2.21,2.12,2.21,30
BEST LEASE,BL,2022-08-18,2.21,2.21,2.21,2.21,510
BEST LEASE,BL,2022-08-19,2.3,2.3,2.21,2.3,10
BEST LEASE,BL,2022-08-22,2.39,2.39,2.3,2.39,10
BEST LEASE,BL,2022-08-23,2.39,2.39,2.39,2.39,414
BEST LEASE,BL,2022-08-24,2.49,2.49,2.39,2.49,10
BEST LEASE,BL,2022-08-25,2.55,2.55,2.49,2.55,20
BEST LEASE,BL,2022-08-26,2.66,2.66,2.55,2.66,10
BEST LEASE,BL,2022-08-29,2.72,2.72,2.66,2.72,20
BEST LEASE,BL,2022-09-23,2.59,2.6,2.59,2.59,1
BEST LEASE,BL,2022-10-04,2.27,2.37,2.27,2.27,7800
BEST LEASE,BL,2022-10-11,2.27,2.27,2.27,2.27,300
BEST LEASE,BL,2022-10-28,2.26,2.27,2.26,2.26,5
BEST LEASE,BL,2022-11-03,2.36,2.36,2.36,2.36,200
BEST LEASE,BL,2022-11-15,2.36,2.36,2.36,2.36,2
BEST LEASE,BL,2022-11-16,2.36,2.36,2.36,2.36,1
BEST LEASE,BL,2022-11-17,2.36,2.36,2.36,2.36,8
BEST LEASE,BL,2022-11-24,2.29,2.36,2.29,2.29,4
BEST LEASE,BL,2023-03-15,2.2,2.2,2.2,2.2,120
BEST LEASE,BL,2023-03-17,2.2,2.2,2.2,2.2,10
BEST LEASE,BL,2023-04-17,2.25,2.25,2.2,2.25,133735
