ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
CARTHAGE CEMENT,CC,2021-06-17,2.09,2.09,2.05,2.05,183205
CARTHAGE CEMENT,CC,2021-06-18,2.14,2.14,1.96,1.96,555674
CARTHAGE CEMENT,CC,2021-06-21,1.9,2.04,1.9,2.0,824442
CARTHAGE CEMENT,CC,2021-06-22,2.0,2.0,1.97,1.99,153967
CARTHAGE CEMENT,CC,2021-06-30,1.79,1.79,1.72,1.72,122494
CARTHAGE CEMENT,CC,2021-07-05,1.51,1.65,1.51,1.6,836405
CARTHAGE CEMENT,CC,2021-07-06,1.58,1.62,1.55,1.61,266263
CARTHAGE CEMENT,CC,2021-07-07,1.6,1.64,1.6,1.64,155334
CARTHAGE CEMENT,CC,2021-07-08,1.61,1.65,1.61,1.65,71984
CARTHAGE CEMENT,CC,2021-07-09,1.64,1.65,1.61,1.63,19394
CARTHAGE CEMENT,CC,2021-07-12,1.6,1.62,1.6,1.6,87197
CARTHAGE CEMENT,CC,2021-07-13,1.61,1.61,1.58,1.59,76434
CARTHAGE CEMENT,CC,2021-07-14,1.57,1.59,1.56,1.57,80635
CARTHAGE CEMENT,CC,2021-07-15,1.57,1.61,1.57,1.58,82893
CARTHAGE CEMENT,CC,2021-07-16,1.6,1.6,1.56,1.58,40697
CARTHAGE CEMENT,CC,2021-07-19,1.59,1.61,1.59,1.61,34954
CARTHAGE CEMENT,CC,2021-07-22,1.6,1.6,1.57,1.59,34406
CARTHAGE CEMENT,CC,2021-07-23,1.59,1.59,1.56,1.58,19575
CARTHAGE CEMENT,CC,2021-07-26,1.54,1.56,1.5,1.5,265858
CARTHAGE CEMENT,CC,2021-07-27,1.5,1.56,1.46,1.56,71504
CARTHAGE CEMENT,CC,2021-07-28,1.57,1.6,1.57,1.58,97545
CARTHAGE CEMENT,CC,2021-07-29,1.58,1.66,1.58,1.65,241325
CARTHAGE CEMENT,CC,2021-07-30,1.67,1.69,1.65,1.68,122249
CARTHAGE CEMENT,CC,2021-08-02,1.68,1.68,1.63,1.63,63827
